Medicare Part B Physician/Supplier BESS Data,,,,,
For Calendar Year 2000,,,,,
Code Range 56405 - 58999,,,,,
,,,,,
HCPCS,MODIFIER,DESCRIPTION,ALLOWED SERVICES,ALLOWED CHARGES,PAYMENT
,,,,,
56405,SG,FEMALE GENITAL,13,"$4,922","$3,897"
,OTHER,,"2,512","$243,717","$181,319"
,TOTAL,,"2,525","$248,639","$185,216"
56420,OTHER,,"1,289","$124,750","$91,115"
,TOTAL,,"1,289","$124,750","$91,115"
56440,SG,,25,"$10,208","$7,981"
,OTHER,,427,"$81,345","$62,923"
,TOTAL,,452,"$91,553","$70,905"
56441,SG,,17,"$4,898","$3,907"
,80'S,,3,$57,$46
,OTHER,,283,"$36,086","$28,201"
,TOTAL,,303,"$41,041","$32,153"
56501,OTHER,,"3,345","$313,129","$235,825"
,TOTAL,,"3,345","$313,129","$235,825"
56515,SG,,91,"$43,911","$34,617"
,OTHER,,"1,483","$212,597","$165,376"
,TOTAL,,"1,574","$256,509","$199,993"
56605,SG,,182,"$50,379","$39,615"
,80'S,,1,$5,$4
,OTHER,,"23,416","$1,843,506","$1,375,871"
,TOTAL,,"23,599","$1,893,890","$1,415,490"
56606,OTHER,,"3,611","$161,889","$127,869"
,TOTAL,,"3,611","$161,889","$127,869"
56620,SG,,76,"$51,103","$40,532"
,80'S,,102,"$7,560","$5,979"
,OTHER,,"1,797","$862,047","$683,834"
,TOTAL,,"1,975","$920,710","$730,345"
56625,SG,,4,"$3,754","$2,412"
,80'S,,20,"$1,873","$1,491"
,OTHER,,195,"$109,452","$87,296"
,TOTAL,,219,"$115,079","$91,199"
56630,80'S,,67,"$9,232","$7,374"
,OTHER,,579,"$490,707","$391,433"
,TOTAL,,646,"$499,939","$398,807"
56631,80'S,,38,"$6,878","$5,423"
,OTHER,,237,"$268,927","$213,608"
,TOTAL,,275,"$275,805","$219,030"
56632,80'S,,37,"$7,882","$6,157"
,OTHER,,198,"$244,538","$194,508"
,TOTAL,,235,"$252,420","$200,665"
56633,80'S,,22,"$3,709","$2,967"
,OTHER,,171,"$179,548","$143,262"
,TOTAL,,193,"$183,257","$146,229"
56634,80'S,,20,"$3,878","$3,084"
,OTHER,,97,"$116,254","$91,200"
,TOTAL,,117,"$120,132","$94,284"
56637,80'S,,57,"$13,507","$10,620"
,OTHER,,239,"$339,748","$271,412"
,TOTAL,,296,"$353,256","$282,032"
56640,80'S,,8,"$1,957","$1,566"
,OTHER,,18,"$26,350","$21,060"
,TOTAL,,26,"$28,307","$22,625"
56700,SG,,6,"$1,423","$1,139"
,OTHER,,57,"$8,156","$6,116"
,TOTAL,,63,"$9,580","$7,255"
56720,SG,,4,$632,$448
,OTHER,,46,"$1,589","$1,235"
,TOTAL,,50,"$2,221","$1,683"
56740,SG,,32,"$15,149","$11,941"
,OTHER,,463,"$108,765","$85,548"
,TOTAL,,495,"$123,914","$97,489"
56800,SG,,4,"$2,097","$1,678"
,80'S,,9,$246,$197
,OTHER,,123,"$23,232","$18,517"
,TOTAL,,136,"$25,576","$20,392"
56805,OTHER,,2,"$1,159",$928
,TOTAL,,2,"$1,159",$928
56810,SG,,16,"$10,635","$8,428"
,80'S,,75,"$1,912","$1,517"
,OTHER,,583,"$109,617","$86,056"
,TOTAL,,674,"$122,164","$96,000"
57000,SG,,31,"$9,792","$7,833"
,OTHER,,105,"$16,016","$12,673"
,TOTAL,,136,"$25,808","$20,506"
57010,SG,,2,$810,$648
,80'S,,3,$135,$108
,OTHER,,131,"$37,576","$29,190"
,TOTAL,,136,"$38,522","$29,947"
57020,SG,,3,$893,$715
,OTHER,,115,"$9,252","$7,158"
,TOTAL,,118,"$10,146","$7,873"
57061,OTHER,,"1,683","$149,550","$112,411"
,TOTAL,,"1,683","$149,550","$112,411"
57065,SG,,65,"$18,091","$14,466"
,OTHER,,"1,014","$188,091","$147,557"
,TOTAL,,"1,079","$206,183","$162,023"
57100,OTHER,,"6,039","$396,592","$295,528"
,TOTAL,,"6,039","$396,592","$295,528"
57105,SG,,45,"$17,880","$14,140"
,OTHER,,916,"$92,023","$71,439"
,TOTAL,,961,"$109,903","$85,579"
57106,80'S,,166,"$5,818","$4,655"
,OTHER,,931,"$221,822","$175,998"
,TOTAL,,"1,097","$227,641","$180,653"
57107,80'S,,24,"$3,886","$3,109"
,OTHER,,88,"$87,027","$69,035"
,TOTAL,,112,"$90,912","$72,144"
57109,80'S,,3,$601,$480
,OTHER,,19,"$25,969","$20,695"
,TOTAL,,22,"$26,570","$21,176"
57110,80'S,,123,"$15,169","$12,093"
,OTHER,,440,"$317,405","$252,860"
,TOTAL,,563,"$332,574","$264,952"
57111,80'S,,5,$997,$797
,OTHER,,28,"$36,867","$29,494"
,TOTAL,,33,"$37,864","$30,291"
57112,80'S,,1,$264,$211
,OTHER,,13,"$17,442","$13,953"
,TOTAL,,14,"$17,705","$14,164"
57120,80'S,,503,"$36,466","$29,038"
,OTHER,,"1,728","$749,051","$596,259"
,TOTAL,,"2,231","$785,517","$625,297"
57130,SG,,3,$838,$671
,80'S,,2,$40,$32
,OTHER,,42,"$6,252","$4,922"
,TOTAL,,47,"$7,130","$5,624"
57135,SG,,82,"$32,722","$25,880"
,OTHER,,"1,412","$236,599","$184,749"
,TOTAL,,"1,494","$269,321","$210,629"
57150,OTHER,,"11,401","$460,097","$343,608"
,TOTAL,,"11,401","$460,097","$343,608"
57160,OTHER,,"96,254","$5,612,896","$4,058,232"
,TOTAL,,"96,254","$5,612,896","$4,058,232"
57170,OTHER,,271,"$16,459","$12,013"
,TOTAL,,271,"$16,459","$12,013"
57180,OTHER,,283,"$24,749","$19,558"
,TOTAL,,283,"$24,749","$19,558"
57200,SG,,5,"$1,498","$1,198"
