Medicare Part Physician/Supplier BESS Data,,,,,
For Calendar Year 2001,,,,,
Code Ranges 50010 - 53899,,,,,
,,,,,
HCPCS,MODIFIER,DESCRIPTION,ALLOWED SERVICES,ALLOWED CHARGES,PAYMENT
,,,,,
50010,80'S,URINARY,85,"$7,236","$5,789"
,OTHER,,287,"$161,927","$128,610"
,TOTAL,,372,"$169,163","$134,399"
50020,SG,,2,$891,$361
,80'S,,2,$342,$274
,OTHER,,353,"$236,000","$188,266"
,TOTAL,,357,"$237,234","$188,901"
50021,80'S,,1,$36,$29
,OTHER,,757,"$358,201","$283,068"
,TOTAL,,758,"$358,237","$283,096"
50040,80'S,,1,$175,$140
,OTHER,,223,"$187,330","$149,039"
,TOTAL,,224,"$187,504","$149,179"
50045,80'S,,8,"$1,055",$844
,OTHER,,21,"$16,313","$12,765"
,TOTAL,,29,"$17,368","$13,609"
50060,80'S,,23,"$3,890","$3,112"
,OTHER,,71,"$73,874","$59,031"
,TOTAL,,94,"$77,764","$62,143"
50065,80'S,,2,$292,$233
,OTHER,,13,"$13,525","$10,820"
,TOTAL,,15,"$13,817","$11,054"
50070,80'S,,4,$757,$455
,OTHER,,5,"$6,094","$3,935"
,TOTAL,,9,"$6,851","$4,390"
50075,80'S,,18,"$4,346","$3,397"
,OTHER,,58,"$89,563","$71,651"
,TOTAL,,76,"$93,909","$75,047"
50080,OTHER,,"1,252","$1,204,236","$957,137"
,TOTAL,,"1,252","$1,204,236","$957,137"
50081,80'S,,182,"$40,369","$32,221"
,OTHER,,"1,914","$2,565,584","$2,034,777"
,TOTAL,,"2,096","$2,605,952","$2,066,998"
50100,80'S,,5,$499,$399
,OTHER,,43,"$22,108","$17,154"
,TOTAL,,48,"$22,606","$17,553"
50120,80'S,,5,$629,$503
,OTHER,,39,"$33,333","$26,622"
,TOTAL,,44,"$33,962","$27,125"
50125,80'S,,1,$192,$154
,OTHER,,6,"$5,930","$4,744"
,TOTAL,,7,"$6,122","$4,898"
50130,80'S,,71,"$9,973","$7,978"
,OTHER,,154,"$136,239","$108,213"
,TOTAL,,225,"$146,212","$116,192"
