Medicare Part B Physician/Supplier BESS Data,,,,,
For Calendar Year 2001,,,,,
Code Range 90281 - 99199 ,,,,,
,,,,,
HCPCS,MODIFIER,DESCRIPTION,ALLOWED SERVICES,ALLOWED CHARGES,PAYMENT
,,,,,
90281,TOTAL,MEDICINE,1,$10,$1
90371,TOTAL,,268,"$37,470","$29,244"
90375,TOTAL,,365,"$39,759","$31,481"
90376,TOTAL,,263,"$22,118","$17,629"
90385,TOTAL,,1,$95,$76
90389,TOTAL,,294,"$10,762","$7,913"
90393,TOTAL,,23,$722,$578
90396,TOTAL,,1,$59,$47
90471,TOTAL,,"2,921","$9,066","$5,260"
90472,TOTAL,,296,"$1,073",$657
90585,TOTAL,,2,$175,$60
90586,TOTAL,,"1,594","$261,301","$204,232"
90632,TOTAL,,"2,447","$134,827","$91,063"
90633,TOTAL,,75,"$3,065","$2,165"
90634,TOTAL,,16,$702,$549
90636,TOTAL,,33,"$1,443","$1,127"
90645,TOTAL,,34,$628,$463
90646,TOTAL,,20,$404,$307
90647,TOTAL,,1,$26,$20
90648,TOTAL,,18,$314,$246
90657,TOTAL,,"141,652","$758,253","$757,670"
90658,TOTAL,,"8,184,456","$55,226,747","$55,143,385"
90659,TOTAL,,"3,172,017","$18,871,888","$18,847,930"
90660,TOTAL,,284,"$1,208","$1,204"
90665,TOTAL,,37,"$2,064","$1,479"
90675,TOTAL,,962,"$108,643","$85,115"
90676,TOTAL,,5,$297,$238
90691,TOTAL,,77,"$3,099","$1,910"
90692,TOTAL,,2,$2,$1
90700,TOTAL,,4,$58,$17
90701,TOTAL,,58,$750,$519
90702,TOTAL,,538,"$3,169","$1,952"
90703,TOTAL,,"43,775","$180,423","$124,156"
90707,TOTAL,,2,$63,$51
90708,TOTAL,,1,$9,$7
90712,TOTAL,,1,$29,$23
90713,TOTAL,,7,$185,$109
90716,TOTAL,,3,$135,$108
90717,TOTAL,,1,$54,$43
90718,TOTAL,,"27,303","$181,949","$120,630"
90720,TOTAL,,8,$216,$125
90721,TOTAL,,5,$160,$113
90723,TOTAL,,5,$125,$55
90732,TOTAL,,"1,365,839","$18,128,423","$18,077,094"
90733,TOTAL,,6,$407,$303
90735,TOTAL,,6,$178,$142
90740,TOTAL,,793,"$110,841","$87,875"
90743,TOTAL,,28,"$1,080",$816
90744,TOTAL,,620,"$14,281","$9,709"
90746,TOTAL,,"27,670","$1,517,715","$1,072,757"
90747,TOTAL,,"1,295","$118,515","$90,944"
90748,TOTAL,,162,"$8,410","$6,096"
90749,TOTAL,,1,$62,$50
90780,TOTAL,,"1,944,774","$85,150,538","$66,983,908"
90781,TOTAL,,"1,169,384","$26,411,354","$20,817,795"
90782,TOTAL,,"2,344,341","$10,103,932","$7,221,589"
90783,TOTAL,,533,"$7,853","$5,342"
90784,TOTAL,,"72,615","$1,301,889","$1,005,360"
90788,TOTAL,,"18,035","$81,814","$58,449"
