,,,Medicare Part B Physician/Supplier Data,,
,,,For Calendar Year 2001,,
,,,Code Ranges K0000-K9999,,
,,,,,
HCPCS,MODIFIER,DESCRIPTION,ALLOWED SERVICES,ALLOWED CHARGES,PAYMENT
,,,,,
K0001,TOTAL,REGIONAL DURABLE MEDICAL EQUIPMENTRCS,"2,372,360","$105,290,651","$78,967,960"
K0002,TOTAL,,"164,543","$10,568,766","$7,973,301"
K0003,TOTAL,,"681,980","$47,811,761","$36,307,135"
K0004,TOTAL,,"818,600","$84,112,486","$64,490,380"
K0005,TOTAL,,"1,699","$2,135,971","$1,669,752"
K0006,TOTAL,,"110,429","$10,741,111","$8,222,255"
K0007,TOTAL,,"35,425","$5,072,341","$3,934,279"
K0008,TOTAL,,9,"$17,956","$14,365"
K0009,TOTAL,,"1,673","$3,533,295","$2,811,754"
K0010,TOTAL,,"6,773","$12,087,881","$9,615,631"
K0011,TOTAL,,"110,619","$512,994,644","$408,569,670"
K0012,TOTAL,,"5,260","$7,484,036","$5,942,398"
K0013,TOTAL,,5,"$31,381","$22,861"
K0014,TOTAL,,770,"$5,388,726","$4,217,046"
K0015,TOTAL,,"3,675","$329,666","$259,369"
K0016,TOTAL,,"164,313","$7,792,014","$6,198,311"
K0017,TOTAL,,320,"$8,162","$6,302"
K0018,TOTAL,,268,"$6,189","$4,863"
K0019,TOTAL,,"14,667","$221,537","$166,306"
K0020,TOTAL,,"1,010","$26,477","$20,898"
K0021,TOTAL,,"338,298","$10,832,979","$8,624,193"
K0022,TOTAL,,408,"$17,190","$13,170"
K0023,TOTAL,,"2,719","$225,082","$178,296"
K0024,TOTAL,,965,"$66,363","$52,719"
K0025,TOTAL,,"10,404","$411,033","$326,174"
K0026,TOTAL,,528,"$21,826","$16,787"
K0027,TOTAL,,"1,011","$41,443","$31,447"
K0028,TOTAL,,"35,947","$5,131,620","$4,070,396"
K0029,TOTAL,,450,"$19,060","$14,319"
K0030,TOTAL,,"18,776","$1,840,840","$1,465,696"
K0031,TOTAL,,"168,034","$4,540,272","$3,607,173"
K0032,TOTAL,,808,"$32,025","$24,101"
