,,,Medicare Part B Physician/Supplier BESS Data,,
,,,For Calendar Year 2001,,
,,,Code Ranges V0000-V2799,,
,,,,,
HCPCS,MODIFIER,DESCRIPTION,ALLOWED SERVICES,ALLOWED CHARGES,PAYMENT
,,,,,
V2020,TOTAL,VISION,"495,751","$26,803,598","$20,628,134"
V2100,TOTAL,,"38,178","$1,221,054","$941,572"
V2101,TOTAL,,"2,630","$88,762","$68,057"
V2102,TOTAL,,"1,093","$43,605","$33,710"
V2103,TOTAL,,"69,510","$2,002,272","$1,536,385"
V2104,TOTAL,,"4,130","$130,014","$100,114"
V2105,TOTAL,,425,"$14,162","$10,988"
V2106,TOTAL,,135,"$5,133","$4,004"
V2107,TOTAL,,"2,043","$76,340","$58,470"
V2108,TOTAL,,556,"$20,741","$15,924"
V2109,TOTAL,,106,"$4,324","$3,286"
V2110,TOTAL,,107,"$4,228","$3,115"
V2111,TOTAL,,221,"$9,597","$7,321"
V2112,TOTAL,,129,"$5,605","$4,296"
V2113,TOTAL,,63,"$2,901","$2,278"
V2114,TOTAL,,100,"$5,485","$4,272"
V2115,TOTAL,,46,"$2,638","$2,054"
V2116,TOTAL,,40,"$2,032","$1,562"
V2117,TOTAL,,590,"$37,152","$28,882"
V2118,TOTAL,,8,$488,$391
V2200,TOTAL,,"177,207","$7,418,719","$5,717,999"
V2201,TOTAL,,"9,566","$421,260","$325,100"
V2202,TOTAL,,"8,651","$430,489","$331,811"
V2203,TOTAL,,"757,035","$32,023,923","$24,625,542"
V2204,TOTAL,,"45,879","$2,022,388","$1,553,969"
V2205,TOTAL,,"4,062","$193,528","$149,589"
V2206,TOTAL,,"1,682","$87,036","$67,953"
V2207,TOTAL,,"4,862","$231,321","$178,215"
V2208,TOTAL,,"3,367","$157,960","$121,966"
V2209,TOTAL,,772,"$39,315","$30,402"
V2210,TOTAL,,672,"$38,111","$29,663"
V2211,TOTAL,,"1,308","$69,003","$53,339"
V2212,TOTAL,,638,"$36,680","$28,422"
V2213,TOTAL,,451,"$23,414","$17,966"
V2214,TOTAL,,601,"$40,220","$31,293"
V2215,TOTAL,,333,"$24,542","$19,263"
V2216,TOTAL,,"1,662","$100,397","$78,510"
V2217,TOTAL,,"5,264","$380,587","$297,583"
V2218,TOTAL,,125,"$9,242","$7,377"
V2219,TOTAL,,"48,430","$1,166,402","$919,563"
V2220,TOTAL,,"9,813","$234,275","$185,857"
V2299,TOTAL,,34,"$1,436","$1,134"
V2300,TOTAL,,"44,150","$2,365,817","$1,833,250"
V2301,TOTAL,,"3,048","$178,400","$137,978"
V2302,TOTAL,,"2,958","$182,646","$141,898"
V2303,TOTAL,,"187,257","$9,915,044","$7,661,700"
V2304,TOTAL,,"10,794","$595,353","$459,937"
V2305,TOTAL,,"1,175","$70,869","$55,510"
V2306,TOTAL,,453,"$28,676","$22,306"
V2307,TOTAL,,"1,569","$93,636","$72,664"
V2308,TOTAL,,767,"$47,112","$36,749"
V2309,TOTAL,,167,"$11,203","$8,761"
V2310,TOTAL,,121,"$7,946","$6,305"
V2311,TOTAL,,179,"$12,462","$9,877"
V2312,TOTAL,,151,"$9,943","$7,881"
V2313,TOTAL,,201,"$13,158","$10,334"
V2314,TOTAL,,127,"$8,115","$6,457"
V2315,TOTAL,,67,"$3,834","$3,034"
V2316,TOTAL,,135,"$10,751","$8,379"
V2317,TOTAL,,313,"$29,576","$23,347"
V2318,TOTAL,,79,"$7,208","$5,709"
V2319,TOTAL,,"9,555","$263,580","$208,231"
V2320,TOTAL,,"1,771","$48,965","$38,832"
V2399,TOTAL,,7,$361,$289
V2410,TOTAL,,752,"$57,840","$45,600"
V2430,TOTAL,,"5,979","$509,892","$398,881"
V2499,TOTAL,,10,$460,$368
V2500,TOTAL,,"1,045","$69,290","$51,997"
V2501,TOTAL,,66,"$5,563","$4,077"
V2502,TOTAL,,27,"$2,900","$2,320"
V2503,TOTAL,,14,"$1,107",$768
V2510,TOTAL,,"3,767","$316,989","$240,202"
V2511,TOTAL,,238,"$27,259","$21,058"
V2512,TOTAL,,105,"$14,404","$11,247"
V2513,TOTAL,,"1,096","$140,588","$108,590"
V2520,TOTAL,,"3,787","$330,716","$248,197"
V2521,TOTAL,,329,"$42,471","$32,682"
V2522,TOTAL,,105,"$13,829","$10,666"
V2523,TOTAL,,"8,622","$1,056,419","$808,032"
V2530,TOTAL,,77,"$10,227","$7,815"
V2531,TOTAL,,36,"$5,168","$3,895"
V2599,TOTAL,,63,"$5,521","$4,325"
V2623,TOTAL,,"5,156","$4,093,206","$3,226,019"
V2624,TOTAL,,"13,492","$666,747","$464,295"
V2625,TOTAL,,"1,408","$444,747","$344,288"
V2626,TOTAL,,900,"$163,031","$123,733"
V2627,TOTAL,,"1,391","$1,522,664","$1,206,482"
V2628,TOTAL,,"1,904","$489,521","$381,887"
V2629,TOTAL,,14,"$8,850","$7,050"
V2630,TOTAL,,3,$535,$428
V2632,TOTAL,,271,"$49,332","$37,063"
V2700,TOTAL,,"12,653","$435,215","$340,065"
V2710,TOTAL,,"13,875","$700,388","$552,630"
V2715,TOTAL,,"23,271","$193,590","$152,637"
V2718,TOTAL,,781,"$16,409","$12,817"
V2730,TOTAL,,"4,423","$73,873","$58,759"
V2740,TOTAL,,"17,841","$145,798","$115,451"
V2741,TOTAL,,"21,170","$153,406","$121,247"
V2742,TOTAL,,514,"$4,001","$3,157"
V2743,TOTAL,,432,"$3,968","$3,118"
V2744,TOTAL,,"15,807","$216,193","$170,588"
V2750,TOTAL,,"12,742","$220,782","$174,086"
V2755,TOTAL,,"252,359","$3,001,933","$2,374,534"
V2770,TOTAL,,42,$491,$390
V2780,TOTAL,,"1,366","$13,038","$10,321"
V2785,TOTAL,,"5,546","$9,376,914","$7,483,562"
V2790,TOTAL,,10,"$5,444","$4,355"
V2799,TOTAL,,"6,412","$326,663","$256,451"
,,,,,
