Medicare Part B Physician/Supplier BESS Data,,,,,
For Calendar Year 2001,,,,,
"Code Range Local Codes W, X, Y, and Z ",,,,,
,,,,,
HCPCS,MODIFIER,DESCRIPTION,ALLOWED SERVICES,ALLOWED CHARGES,PAYMENT
,,,,,
W0002,TOTAL,MISC.,33,"$42,187","$33,725"
W1050,TOTAL,,3,$3,$1
W1886,TOTAL,,490,"$2,955","$2,243"
W1887,TOTAL,,626,"$3,601","$2,713"
W1999,TOTAL,,81,"$6,198","$4,973"
W2012,TOTAL,,6,$0,$0
W2016,TOTAL,,"3,539","$84,052","$67,107"
W2965,TOTAL,,45,$360,$275
W3016,TOTAL,,480,"$3,169","$2,427"
W3025,TOTAL,,6,$13,$11
W3033,TOTAL,,1,$37,$30
W3065,TOTAL,,"2,451","$8,221","$6,568"
W3701,TOTAL,,537,"$4,052","$3,237"
W3703,TOTAL,,6,$21,$17
W3708,TOTAL,,229,$435,$346
W4001,TOTAL,,63,$112,$85
W4003,TOTAL,,12,$79,$42
W4005,TOTAL,,6,$16,$13
W4034,TOTAL,,1,$8,$6
W4056,TOTAL,,1,$4,$3
W4070,TOTAL,,1,$7,
W4072,TOTAL,,234,"$1,599","$1,233"
W4081,TOTAL,,"2,239","$60,459","$45,323"
W4125,TOTAL,,"3,406","$89,893","$71,331"
W4126,TOTAL,,"1,741","$1,741","$1,345"
W4128,TOTAL,,1,$0,$0
W4130,TOTAL,,"1,265","$37,835","$30,044"
W4131,TOTAL,,"1,590","$141,499","$112,767"
W4132,TOTAL,,"1,529","$84,114","$66,358"
W4134,TOTAL,,"2,959","$66,821","$52,992"
W4136,TOTAL,,140,"$1,925","$1,540"
W4139,TOTAL,,470,"$9,291","$7,273"
W4140,TOTAL,,"2,902","$63,897","$50,639"
W4141,TOTAL,,252,"$3,251","$2,570"
W4142,TOTAL,,328,"$39,453","$31,342"
W4143,TOTAL,,"3,190","$56,699","$45,207"
W4144,TOTAL,,424,"$5,811","$4,599"
W4149,TOTAL,,3,$42,$33
W4150,TOTAL,,466,"$9,113","$7,273"
W4151,TOTAL,,"13,843","$248,931","$196,570"
W4153,TOTAL,,"1,023","$22,009","$17,488"
W4156,TOTAL,,268,"$7,607","$6,086"
W4158,TOTAL,,236,"$64,900","$51,860"
W4444,TOTAL,,17,$542,$433
W5555,TOTAL,,112,"$24,793","$19,818"
W6103,TOTAL,,"1,860","$12,531","$10,025"
W6105,TOTAL,,"3,839","$98,729","$78,639"
W6666,TOTAL,,1,$92,$74
W7681,TOTAL,,"4,444","$258,679","$203,381"
W7682,TOTAL,,"1,463","$64,102","$50,420"
W7683,TOTAL,,858,"$38,435","$30,535"
W7684,TOTAL,,103,"$5,088","$4,070"
W7777,TOTAL,,371,"$17,165","$13,706"
W7800,TOTAL,,"53,568","$33,148","$26,156"
W7811,TOTAL,,786,"$16,931","$13,388"
W7821,TOTAL,,509,"$6,083","$4,866"
W7822,TOTAL,,100,$979,$766
W7823,TOTAL,,215,"$66,960","$53,325"
W7824,TOTAL,,14,"$1,050",$840
W7825,TOTAL,,652,"$9,765","$7,753"
W7827,TOTAL,,643,"$8,731","$6,970"
W7828,TOTAL,,654,"$12,641","$9,999"
W8634,TOTAL,,128,"$3,239","$3,239"
W8888,TOTAL,,233,"$8,705","$6,950"
W8889,TOTAL,,25,$277,$272
W8953,TOTAL,,"20,712","$131,126","$111,796"
W9200,TOTAL,,100,"$40,990","$32,300"
W9205,TOTAL,,59,"$1,358","$1,013"
W9610,TOTAL,,199,"$8,494","$6,510"
W9612,TOTAL,,"12,623","$542,276","$414,007"
W9614,TOTAL,,"56,980","$2,477,917","$1,914,451"
W9616,TOTAL,,244,"$10,494","$8,209"
W9618,TOTAL,,374,"$17,988","$14,225"
W9620,TOTAL,,"6,799","$325,525","$255,933"
W9622,TOTAL,,"20,889","$1,002,159","$769,528"
W9624,TOTAL,,"59,801","$2,918,013","$2,266,420"
W9626,TOTAL,,428,"$20,675","$16,294"
W9628,TOTAL,,19,$838,$670
W9630,TOTAL,,"1,719","$73,430","$55,985"
W9632,TOTAL,,726,"$31,017","$23,256"
W9634,TOTAL,,"3,127","$133,853","$102,889"
W9638,TOTAL,,67,"$3,179","$2,503"
W9640,TOTAL,,"3,655","$176,200","$136,651"
W9642,TOTAL,,"1,221","$56,788","$42,907"
W9644,TOTAL,,"4,276","$202,000","$156,819"
W9840,TOTAL,,2,$334,$267
W9999,TOTAL,,317,"$17,175","$13,735"
XX001,TOTAL,,"6,803",$790,$534
XX011,TOTAL,,300,$126,$27
X0001,TOTAL,,"8,934","$974,248","$769,590"
X0002,TOTAL,,"1,818","$108,951","$86,872"
X0003,TOTAL,,737,"$25,724","$20,544"
X0004,TOTAL,,349,"$6,744","$5,343"
X0005,TOTAL,,119,"$2,841","$2,273"
X0006,TOTAL,,48,$924,$739
X0007,TOTAL,,1,$17,$14
X0009,TOTAL,,1,$13,$11
X1002,TOTAL,,"39,497","$1,803,710","$1,439,491"
X1015,TOTAL,,897,"$27,559","$21,824"
X1090,TOTAL,,155,$709,$485
X1310,TOTAL,,7,$8,$3
X1365,TOTAL,,2,$1,$1
X1415,TOTAL,,4,$52,$42
X1525,TOTAL,,244,"$1,389",$853
X1530,TOTAL,,5,$114,$75
X1550,TOTAL,,19,$8,$5
X1573,TOTAL,,"5,907","$150,633","$105,193"
X1574,TOTAL,,"7,768","$322,719","$231,534"
X1630,TOTAL,,7,$7,$5
X1655,TOTAL,,484,"$1,690","$1,294"
X1705,TOTAL,,2,$1,$1
X1717,TOTAL,,"3,797","$6,104","$4,358"
X1730,TOTAL,,107,$791,$506
X6026,TOTAL,,10,$100,$80
X6530,TOTAL,,2,$20,$16
X7930,TOTAL,,19,"$1,805","$1,444"
X7933,TOTAL,,328,"$27,243","$21,739"
X7935,TOTAL,,71,"$4,401","$3,448"
X7936,TOTAL,,4,$112,$90
X9250,TOTAL,,224,$374,$290
X9253,TOTAL,,149,$984,$767
Y0022,TOTAL,,3,"$9,745","$7,796"
Y1006,TOTAL,,"7,283","$512,446","$407,190"
Y1007,TOTAL,,"2,951","$138,421","$109,982"
Y1008,TOTAL,,"1,477","$51,990","$41,239"
Y3700,TOTAL,,64,$58,$47
Y3800,TOTAL,,20,$51,$40
Y4100,TOTAL,,797,$774,$536
Y5595,TOTAL,,52,"$116,341","$93,073"
Y6000,TOTAL,,"6,719","$95,740","$95,740"
Y7002,TOTAL,,"13,299","$710,309","$552,682"
Y7003,TOTAL,,"4,715","$167,935","$130,052"
Y7004,TOTAL,,"2,414","$63,823","$48,623"
Y8030,TOTAL,,15,$230,$230
Y8038,TOTAL,,"5,556","$133,271","$133,247"
Y8900,TOTAL,,"1,211","$3,633","$3,624"
Y9211,TOTAL,,2,$159,$127
Y9212,TOTAL,,182,"$8,861","$7,089"
Y9214,TOTAL,,"108,247","$11,544,572","$9,227,354"
Y9215,TOTAL,,25,"$1,739","$1,391"
Z0007,TOTAL,,"18,541","$601,179","$479,307"
Z0030,TOTAL,,459,"$8,666","$6,933"
Z0040,TOTAL,,373,"$11,302","$9,042"
Z0112,TOTAL,,227,$224,$153
Z0117,TOTAL,,24,$8,$4
Z0137,TOTAL,,622,"$6,044","$4,491"
Z0174,TOTAL,,38,$93,$74
Z0224,TOTAL,,1,$0,$0
Z4036,TOTAL,,235,"$2,563","$1,956"
Z7900,TOTAL,,92,$900,$798
Z9024,TOTAL,,6,$256,$205
Z9530,TOTAL,,4,$25,$5
Z9539,TOTAL,,5,$48,$16
Z9999,TOTAL,,40,"$2,203","$1,665"
