Medicare Part Physician/Supplier BESS Data,,,,,
For Calendar Year 2001,,,,,
Code Ranges 39000 - 39599,,,,,
,,,,,
HCPCS,MODIFIER,DESCRIPTION,ALLOWED SERVICES,ALLOWED CHARGES,PAYMENT
,,,,,
39000,80'S,MEDIASTINUM,84,"$6,181","$4,878"
,OTHER,,974,"$465,328","$369,313"
,TOTAL,,"1,058","$471,509","$374,191"
39010,80'S,,292,"$38,304","$30,243"
,OTHER,,"2,554","$1,960,960","$1,555,900"
,TOTAL,,"2,846","$1,999,264","$1,586,143"
39200,80'S,,13,"$1,711","$1,369"
,OTHER,,96,"$76,762","$61,353"
,TOTAL,,109,"$78,473","$62,722"
39220,80'S,,130,"$23,234","$18,587"
,OTHER,,506,"$541,626","$427,930"
,TOTAL,,636,"$564,860","$446,517"
39400,80'S,,3,$121,$96
,OTHER,,"12,518","$6,059,645","$4,809,304"
,TOTAL,,"12,521","$6,059,766","$4,809,401"
39499,80'S,,1,$64,$51
,OTHER,,24,"$11,208","$8,966"
,TOTAL,,25,"$11,272","$9,018"
39501,80'S,,45,"$4,785","$3,828"
,OTHER,,271,"$179,058","$142,683"
,TOTAL,,316,"$183,843","$146,511"
39502,80'S,,776,"$117,769","$92,985"
,OTHER,,"2,357","$2,138,259","$1,692,947"
,TOTAL,,"3,133","$2,256,028","$1,785,932"
39503,80'S,,2,$691,$553
,OTHER,,13,"$16,176","$12,941"
,TOTAL,,15,"$16,867","$13,494"
39520,80'S,,99,"$16,744","$13,175"
,OTHER,,350,"$351,354","$280,145"
,TOTAL,,449,"$368,098","$293,320"
39530,80'S,,30,"$3,563","$2,851"
,OTHER,,82,"$65,800","$52,640"
,TOTAL,,112,"$69,363","$55,490"
39531,80'S,,7,"$1,218",$962
,OTHER,,16,"$15,553","$11,613"
,TOTAL,,23,"$16,770","$12,575"
39540,80'S,,22,"$2,462","$1,969"
,OTHER,,87,"$61,956","$49,448"
,TOTAL,,109,"$64,418","$51,418"
39541,80'S,,86,"$10,150","$7,906"
,OTHER,,241,"$171,701","$136,637"
,TOTAL,,327,"$181,851","$144,543"
39545,80'S,,10,"$1,280","$1,024"
,OTHER,,72,"$61,714","$48,601"
,TOTAL,,82,"$62,994","$49,625"
39560,80'S,,59,"$4,854","$3,852"
,OTHER,,234,"$110,143","$87,245"
,TOTAL,,293,"$114,997","$91,096"
39561,80'S,,23,"$3,086","$2,469"
,OTHER,,116,"$87,643","$69,793"
,TOTAL,,139,"$90,729","$72,262"
39599,80'S,,25,"$3,674","$2,939"
,OTHER,,148,"$120,929","$96,720"
,TOTAL,,173,"$124,603","$99,660"
,,,,,
