Medicare Part B Physician/Supplier BESS Data,,,,,
For Calendar Year 2001,,,,,
Code Range  80048 - 89399,,,,,
,,,,,
HCPCS,MODIFIER,DESCRIPTION,ALLOWED SERVICES,ALLOWED CHARGES,PAYMENT
,,,,,
80048,TC,PATH/LAB,2,$23,$23
,26,,2,$18,$18
,GLOBL,,"8,267,677","$81,771,232","$81,617,051"
,TOTAL,,"8,267,681","$81,771,273","$81,617,092"
80050,GLOBL,,10,$5,$5
,TOTAL,,10,$5,$5
80051,GLOBL,,"1,868,743","$9,922,427","$9,912,432"
,TOTAL,,"1,868,743","$9,922,427","$9,912,432"
80053,TC,,4,$45,$45
,26,,4,$42,$35
,GLOBL,,"14,350,653","$168,442,876","$168,107,346"
,TOTAL,,"14,350,661","$168,442,963","$168,107,426"
80061,TC,,9,$117,$115
,26,,22,$331,$314
,GLOBL,,"13,864,246","$194,837,867","$194,452,921"
,TOTAL,,"13,864,277","$194,838,314","$194,453,350"
80069,GLOBL,,"360,852","$3,709,621","$3,700,792"
,TOTAL,,"360,852","$3,709,621","$3,700,792"
80072,26,,1,$31,$31
,GLOBL,,"65,726","$1,773,294","$1,768,576"
,TOTAL,,"65,727","$1,773,325","$1,768,607"
80074,GLOBL,,"137,113","$7,995,542","$7,985,234"
,TOTAL,,"137,113","$7,995,542","$7,985,234"
80076,TC,,1,$11,$11
,26,,9,$49,$49
,GLOBL,,"3,789,772","$30,905,956","$30,827,625"
,TOTAL,,"3,789,782","$30,906,016","$30,827,685"
80090,GLOBL,,875,"$66,597","$66,498"
,TOTAL,,875,"$66,597","$66,498"
80100,GLOBL,,"75,096","$1,426,413","$1,425,025"
,TOTAL,,"75,096","$1,426,413","$1,425,025"
80101,GLOBL,,"259,769","$3,554,782","$3,549,521"
,TOTAL,,"259,769","$3,554,782","$3,549,521"
80102,GLOBL,,"10,592","$192,096","$191,990"
,TOTAL,,"10,592","$192,096","$191,990"
80103,GLOBL,,2,$100,$79
,TOTAL,,2,$100,$79
80150,GLOBL,,"1,923","$37,715","$37,672"
,TOTAL,,"1,923","$37,715","$37,672"
80152,GLOBL,,"3,398","$82,327","$82,101"
,TOTAL,,"3,398","$82,327","$82,101"
80154,GLOBL,,"13,003","$315,487","$315,095"
,TOTAL,,"13,003","$315,487","$315,095"
80156,26,,2,$40,$40
,GLOBL,,"209,146","$4,142,548","$4,136,557"
,TOTAL,,"209,148","$4,142,589","$4,136,597"
80157,GLOBL,,"1,952","$26,794","$26,745"
,TOTAL,,"1,952","$26,794","$26,745"
80158,26,,1,$24,$24
,GLOBL,,"88,511","$2,146,305","$2,133,311"
,TOTAL,,"88,512","$2,146,329","$2,133,335"
80160,GLOBL,,"1,595","$36,071","$35,728"
,TOTAL,,"1,595","$36,071","$35,728"
80162,GLOBL,,"1,270,307","$23,284,804","$23,262,598"
,TOTAL,,"1,270,307","$23,284,804","$23,262,598"
80164,GLOBL,,"394,712","$7,118,935","$7,111,640"
,TOTAL,,"394,712","$7,118,935","$7,111,640"
80166,GLOBL,,918,"$19,166","$19,094"
,TOTAL,,918,"$19,166","$19,094"
80168,GLOBL,,584,"$12,570","$12,500"
,TOTAL,,584,"$12,570","$12,500"
80170,GLOBL,,"9,512","$205,698","$205,444"
,TOTAL,,"9,512","$205,698","$205,444"
80172,GLOBL,,25,$557,$557
,TOTAL,,25,$557,$557
80173,GLOBL,,"1,473","$29,340","$29,306"
,TOTAL,,"1,473","$29,340","$29,306"
80174,GLOBL,,"1,444","$33,872","$33,618"
,TOTAL,,"1,444","$33,872","$33,618"
80176,GLOBL,,255,"$4,569","$4,549"
,TOTAL,,255,"$4,569","$4,549"
80178,GLOBL,,"154,906","$1,412,964","$1,411,198"
,TOTAL,,"154,906","$1,412,964","$1,411,198"
80182,GLOBL,,"8,756","$156,763","$156,530"
,TOTAL,,"8,756","$156,763","$156,530"
