,,,Medicare Part B Physician/Supplier BESS Data,,
,,,For Calendar Year 2002,,
,,,Code Ranges B4034 - B9999,,
,,,,,
HCPCS,MODIFIER,DESCRIPTION,ALLOWED SERVICES,ALLOWED CHARGES,PAYMENT
,,,,,
B4034,TOTAL,ENTERAL PARENTAL,6774378,"$36,796,482","$29,233,574"
B4035,TOTAL,,18883417,"$199,558,961","$158,916,773"
B4036,TOTAL,,3057055,"$21,769,118","$17,283,434"
B4081,TOTAL,,752,"$14,547","$11,299"
B4082,TOTAL,,1806,"$29,381","$23,373"
B4083,TOTAL,,1082,"$2,374","$1,881"
B4084,TOTAL,,849,"$14,005","$9,841"
B4085,TOTAL,,2678,"$99,557","$73,558"
B4086,TOTAL,,38920,"$1,239,890","$985,170"
B4150,TOTAL,,345066245,"$202,527,501","$160,601,224"
B4151,TOTAL,,1596021,"$2,217,456","$1,766,693"
B4152,TOTAL,,70412687,"$33,928,592","$26,904,206"
B4153,TOTAL,,2025472,"$3,339,667","$2,654,389"
B4154,TOTAL,,68089635,"$73,471,168","$58,536,618"
B4155,TOTAL,,1373732,"$1,054,400","$839,013"
B4156,TOTAL,,44371,"$50,581","$40,324"
B4164,TOTAL,,2159,"$34,739","$27,770"
B4176,TOTAL,,936,"$37,324","$29,798"
B4178,TOTAL,,1553,"$74,672","$59,292"
B4180,TOTAL,,920,"$15,208","$12,019"
B4184,TOTAL,,32352,"$1,517,437","$1,210,172"
B4186,TOTAL,,146269,"$11,309,986","$9,027,493"
B4189,TOTAL,,74196,"$10,428,228","$8,329,758"
B4193,TOTAL,,132840,"$25,894,299","$20,681,203"
B4197,TOTAL,,185520,"$43,024,108","$34,348,052"
B4199,TOTAL,,50610,"$13,841,439","$11,054,518"
B4216,TOTAL,,2390,"$16,372","$13,030"
B4220,TOTAL,,416242,"$2,785,768","$2,224,752"
B4222,TOTAL,,5347,"$45,276","$36,137"
B4224,TOTAL,,427953,"$9,383,503","$7,494,980"
B5000,TOTAL,,7363,"$49,901","$39,752"
B5100,TOTAL,,19965,"$82,256","$64,891"
B9000,TOTAL,,974,"$105,645","$83,672"
B9002,TOTAL,,316430,"$33,721,706","$26,777,612"
B9004,TOTAL,,5606,"$1,948,178","$1,554,902"
B9006,TOTAL,,1135,"$384,440","$306,900"
B9998,TOTAL,,14537,"$23,067","$18,272"
B9999,TOTAL,,1017,"$129,940","$103,907"
,,,,,
