,,,Medicare Part B Physician/Supplier BESS Data,,
,,,For Calendar Year 2002,,
,,,Code Ranges D0140 - D9999,,
,,,,,
HCPCS,MODIFIER,DESCRIPTION,ALLOWED SERVICES,ALLOWED CHARGES,PAYMENT
,,,,,
D0140,TOTAL,DENTAL,2,$67,$53
D0150,TOTAL,,19,$889,$711
D0240,TOTAL,,6,$139,$111
D0272,TOTAL,,1,$25,$20
D0274,TOTAL,,2,$71,$57
D0277,TOTAL,,1,$25,$20
D0999,TOTAL,,4,"$3,900","$3,120"
D4268,TOTAL,,31,"$2,724","$2,179"
D5213,TOTAL,,1,"$1,270","$1,016"
D5850,TOTAL,,1,$68,$54
D7110,TOTAL,,687,"$31,589","$25,089"
D7120,TOTAL,,"3,341","$127,285","$101,091"
D7130,TOTAL,,4,$247,$164
D7210,TOTAL,,430,"$31,602","$25,235"
D7220,TOTAL,,3,$150,$120
D7230,TOTAL,,6,$523,$418
D7240,TOTAL,,10,"$1,207",$922
D7241,TOTAL,,7,$765,$612
D7250,TOTAL,,29,"$1,864","$1,491"
D7471,TOTAL,,1,$0,$0
D7899,TOTAL,,1,$103,$83
D9221,TOTAL,,1,$0,$0
D9230,TOTAL,,2,$147,$117
D9241,TOTAL,,3,$0,$0
D9242,TOTAL,,7,$0,$0
D9248,TOTAL,,1,$0,$0
D9999,TOTAL,,13,$700,$560
,,,,,
