,,,Medicare Part B Physician/Supplier BESS Data,,
,,,For Calendar Year 2002,,
,,,Code Ranges G0001 - G9004,,
,,,,,
HCPCS,MODIFIER,DESCRIPTION,ALLOWED SERVICES,ALLOWED CHARGES,PAYMENT
,,,,,
G0001,TOTAL,PROCEDURES/PROFESSIONAL SERVICES,60494822,"$181,452,399","$181,051,327"
G0002,TOTAL,,65918,"$7,834,686","$6,141,010"
G0004,TOTAL,,14334,"$4,044,075","$3,180,671"
G0005,TOTAL,,25291,"$1,109,759","$861,998"
G0006,TOTAL,,57080,"$13,141,381","$10,410,541"
G0007,TOTAL,,26657,"$697,590","$544,277"
G0008,TOTAL,,11246224,"$43,736,072","$43,704,323"
G0009,TOTAL,,1242829,"$4,825,933","$4,820,395"
G0010,TOTAL,,16804,"$67,007","$49,192"
G0015,TOTAL,,10706,"$2,529,418","$2,003,675"
G0016,TOTAL,,961,"$26,506","$18,502"
G0026,TOTAL,,10364,"$57,152","$57,099"
G0027,TOTAL,,713,"$6,133","$6,133"
G0030,TOTAL,,19,"$1,364","$1,035"
G0031,TOTAL,,458,"$53,317","$42,139"
G0032,TOTAL,,11,"$4,254","$3,403"
G0033,TOTAL,,48,"$77,385","$61,746"
G0034,TOTAL,,37,"$6,171","$4,725"
G0035,TOTAL,,324,"$225,854","$179,235"
G0036,TOTAL,,34,"$6,741","$5,369"
G0037,TOTAL,,562,"$195,742","$155,547"
G0038,TOTAL,,4,"$1,227",$982
G0039,TOTAL,,2,$183,$147
G0040,TOTAL,,3,$966,$773
G0041,TOTAL,,34,"$22,768","$18,159"
G0043,TOTAL,,5,"$6,892","$5,434"
G0044,TOTAL,,22,"$2,600","$2,050"
G0045,TOTAL,,1434,"$694,215","$542,360"
G0046,TOTAL,,24,"$1,925","$1,540"
G0047,TOTAL,,698,"$463,067","$366,154"
G0050,TOTAL,,944594,"$29,167,063","$21,955,687"
G0101,TOTAL,,911311,"$30,778,269","$24,557,234"
G0102,TOTAL,,27206,"$507,784","$313,212"
