Medicare Part B Physician/Supplier BESS Data,,,,,
For Calendar Year 2002,,,,,
"Code Range Local Codes W, X, Y, Z, 10021, 10022 and Tracking Codes ",,,,,
,,,,,
HCPCS,MODIFIER,DESCRIPTION,ALLOWED SERVICES,ALLOWED CHARGES,PAYMENT
,,,,,
W0002,TOTAL,MISC.,24,"$27,200","$21,760"
W1886,TOTAL,,501,"$3,021","$2,328"
W1887,TOTAL,,988,"$6,262","$4,822"
W1990,TOTAL,,2,$110,$88
W1999,TOTAL,,20,"$2,405","$1,928"
W2016,TOTAL,,"2,730","$59,559","$47,537"
W2965,TOTAL,,38,$303,$207
W3016,TOTAL,,452,"$3,522","$2,635"
W3025,TOTAL,,12,$26,$19
W3065,TOTAL,,"1,920","$5,607","$4,454"
W3701,TOTAL,,517,"$2,025","$1,615"
W3703,TOTAL,,5,$21,$16
W3708,TOTAL,,280,"$1,301","$1,019"
W4001,TOTAL,,66,$117,$87
W4003,TOTAL,,4,$27,$22
W4034,TOTAL,,4,$30,$24
W4072,TOTAL,,437,"$3,021","$2,151"
W4081,TOTAL,,"5,429","$146,198","$109,926"
W4125,TOTAL,,"2,826","$74,350","$58,878"
W4126,TOTAL,,215,$229,$159
W4128,TOTAL,,2,$1,$1
W4130,TOTAL,,"1,259","$36,712","$29,335"
W4131,TOTAL,,"1,731","$159,265","$127,140"
W4132,TOTAL,,"1,376","$74,321","$58,492"
W4134,TOTAL,,"2,647","$59,734","$47,362"
W4136,TOTAL,,177,"$2,406","$1,902"
W4139,TOTAL,,392,"$6,993","$5,487"
W4140,TOTAL,,"3,439","$72,634","$57,703"
W4141,TOTAL,,564,"$7,494","$5,921"
W4142,TOTAL,,468,"$52,716","$41,944"
W4143,TOTAL,,"4,012","$70,967","$56,721"
W4144,TOTAL,,500,"$6,875","$5,489"
W4147,TOTAL,,1,$20,$16
W4149,TOTAL,,5,$69,$55
W4150,TOTAL,,445,"$8,612","$6,778"
W4151,TOTAL,,"14,302","$257,273","$203,079"
W4153,TOTAL,,"1,103","$22,722","$18,006"
W4156,TOTAL,,565,"$16,004","$12,734"
W4158,TOTAL,,251,"$68,580","$54,864"
W5555,TOTAL,,95,"$14,333","$11,467"
W6103,TOTAL,,207,"$1,529","$1,223"
W6105,TOTAL,,"1,267","$35,141","$27,828"
W6345,TOTAL,,1,$15,$12
W6666,TOTAL,,4,"$1,054",$843
W7681,TOTAL,,"6,833","$427,696","$336,081"
W7682,TOTAL,,"2,367","$124,482","$97,930"
W7683,TOTAL,,974,"$46,352","$36,488"
W7684,TOTAL,,353,"$15,359","$11,858"
W7777,TOTAL,,"1,355","$13,774","$10,919"
W7800,TOTAL,,"55,278","$34,194","$26,835"
W7811,TOTAL,,587,"$14,515","$11,482"
W7821,TOTAL,,598,"$7,159","$5,685"
W7822,TOTAL,,117,"$1,107",$879
W7823,TOTAL,,208,"$70,225","$56,058"
W7824,TOTAL,,8,$600,$453
W7825,TOTAL,,485,"$7,253","$5,682"
W7827,TOTAL,,644,"$8,580","$6,792"
W7828,TOTAL,,763,"$14,778","$11,693"
W8634,TOTAL,,198,"$4,950","$4,950"
W8888,TOTAL,,115,"$3,932","$3,126"
W8889,TOTAL,,37,$542,$505
W9200,TOTAL,,78,"$33,374","$26,034"
W9205,TOTAL,,55,"$1,450","$1,145"
W9610,TOTAL,,189,"$7,045","$5,536"
W9612,TOTAL,,"12,322","$458,457","$352,081"
W9614,TOTAL,,"53,932","$2,034,604","$1,565,270"
W9616,TOTAL,,127,"$4,781","$3,743"
W9618,TOTAL,,434,"$18,248","$14,264"
W9620,TOTAL,,"6,653","$276,878","$215,437"
W9622,TOTAL,,"23,533","$973,928","$751,905"
W9624,TOTAL,,"63,793","$2,686,531","$2,080,983"
W9626,TOTAL,,283,"$11,905","$9,268"
W9628,TOTAL,,55,"$1,999","$1,599"
W9630,TOTAL,,"2,817","$101,350","$78,116"
W9632,TOTAL,,"1,089","$38,898","$29,864"
W9634,TOTAL,,"3,759","$135,957","$104,664"
W9638,TOTAL,,135,"$5,535","$4,358"
W9640,TOTAL,,"6,370","$258,945","$199,263"
W9642,TOTAL,,"2,322","$93,044","$72,211"
W9644,TOTAL,,"6,754","$270,994","$210,921"
W9999,TOTAL,,203,"$12,596","$10,050"
X0001,TOTAL,,"7,903","$1,073,293","$851,491"
X0002,TOTAL,,"2,980","$202,772","$159,375"
X0003,TOTAL,,"1,093","$42,323","$32,883"
X0004,TOTAL,,430,"$9,197","$7,216"
X0005,TOTAL,,323,"$7,956","$6,226"
X0006,TOTAL,,71,"$1,410","$1,128"
X0007,TOTAL,,87,"$1,535","$1,214"
X0008,TOTAL,,2,$31,$12
X1002,TOTAL,,"51,304","$2,018,861","$1,613,181"
X1015,TOTAL,,554,"$17,470","$13,976"
X1090,TOTAL,,185,$619,$431
X1200,TOTAL,,1,$1,$1
X1415,TOTAL,,1,$15,$12
X1453,TOTAL,,3,$180,$144
X1525,TOTAL,,225,"$1,314",$863
X1550,TOTAL,,11,$5,$3
X1573,TOTAL,,"4,665","$124,439","$84,980"
X1574,TOTAL,,"7,142","$321,101","$230,381"
X1655,TOTAL,,799,"$2,866","$2,126"
X1705,TOTAL,,81,$74,$56
X1717,TOTAL,,"3,896","$12,417","$9,234"
X1730,TOTAL,,46,$340,$252
X7930,TOTAL,,7,$665,$532
X7933,TOTAL,,252,"$22,110","$17,685"
X7935,TOTAL,,45,"$2,837","$2,129"
X9250,TOTAL,,91,$182,$140
X9253,TOTAL,,106,$701,$479
Y1006,TOTAL,,"7,234","$539,331","$422,013"
Y1007,TOTAL,,"2,715","$134,621","$104,358"
Y1008,TOTAL,,"1,322","$49,283","$37,817"
Y3700,TOTAL,,40,$37,$29
Y3800,TOTAL,,8,$21,$15
Y4100,TOTAL,,742,$467,$330
Y4351,TOTAL,,1,$12,$10
Y5000,TOTAL,,900,$945,$741
Y5595,TOTAL,,70,"$150,375","$120,300"
Y6000,TOTAL,,"3,629","$51,667","$51,664"
Y7002,TOTAL,,"11,287","$578,941","$452,419"
Y7003,TOTAL,,"4,221","$143,305","$111,051"
Y7004,TOTAL,,"2,291","$58,047","$44,661"
Y7617,TOTAL,,2,$90,$72
Y8030,TOTAL,,35,$538,$538
Y8038,TOTAL,,"5,685","$136,408","$136,374"
Y8900,TOTAL,,"1,257","$3,771","$3,757"
Y9212,TOTAL,,119,"$5,202","$4,140"
Y9214,TOTAL,,"116,923","$10,947,382","$8,747,159"
Z0007,TOTAL,,"24,336","$651,264","$520,163"
Z0117,TOTAL,,1,$6,$5
Z0137,TOTAL,,2,$21,$17
Z4036,TOTAL,,416,"$4,588","$3,643"
Z7900,TOTAL,,153,"$1,086",$953
Z9024,TOTAL,,14,$631,$504
Z9999,TOTAL,,7,$357,$286
0001T,TOTAL,,41,"$51,553","$41,242"
0002T,TOTAL,,52,"$57,196","$45,757"
0003T,TOTAL,,1,$40,
0005T,TOTAL,,231,"$81,985","$65,372"
0006T,TOTAL,,3,$647,$517
0007T,TOTAL,,217,"$14,589","$11,635"
0008T,TOTAL,,13,"$3,534","$2,828"
10021,TOTAL,,"48,306","$4,000,423","$3,142,739"
10022,TOTAL,,"30,630","$2,616,146","$2,073,859"
