Medicare Part B Physician/Supplier BESS Data,,,,,
For Calendar Year 2002,,,,,
Code Range 69000 - 69990,,,,,
,,,,,
HCPCS,MODIFIER,DESCRIPTION,ALLOWED SERVICES,ALLOWED CHARGES,PAYMENT
,,,,,
69000,OTHER,EAR,"1,338","$155,583","$118,538"
,TOTAL,,"1,338","$155,583","$118,538"
69005,OTHER,,694,"$106,318","$82,799"
,TOTAL,,694,"$106,318","$82,799"
69020,OTHER,,"1,635","$203,822","$156,704"
,TOTAL,,"1,635","$203,822","$156,704"
69100,OTHER,,"38,181","$2,386,408","$1,792,620"
,TOTAL,,"38,181","$2,386,408","$1,792,620"
69105,OTHER,,"1,231","$96,634","$74,204"
,TOTAL,,"1,231","$96,634","$74,204"
69110,SG,,236,"$63,192","$50,154"
,OTHER,,"2,748","$575,606","$452,153"
,TOTAL,,"2,984","$638,798","$502,306"
69120,SG,,9,"$3,171","$2,537"
,OTHER,,289,"$50,438","$39,215"
,TOTAL,,298,"$53,609","$41,752"
69140,SG,,35,"$13,234","$10,126"
,80'S,,1,$105,$84
,OTHER,,209,"$107,789","$86,208"
,TOTAL,,245,"$121,129","$96,419"
69145,SG,,203,"$78,494","$61,724"
,OTHER,,"2,041","$404,953","$318,096"
,TOTAL,,"2,244","$483,447","$379,819"
69150,SG,,22,"$10,750","$8,600"
,80'S,,1,$76,$60
,OTHER,,367,"$300,862","$238,983"
,TOTAL,,390,"$311,687","$247,644"
69155,80'S,,3,$635,$508
,OTHER,,29,"$33,467","$26,226"
,TOTAL,,32,"$34,102","$26,735"
69200,OTHER,,"23,523","$1,707,152","$1,258,622"
,TOTAL,,"23,523","$1,707,152","$1,258,622"
69205,SG,,66,"$18,305","$14,524"
,OTHER,,482,"$41,279","$31,355"
,TOTAL,,548,"$59,584","$45,878"
69210,OTHER,,"1,214,815","$51,342,383","$35,795,613"
,TOTAL,,"1,214,815","$51,342,383","$35,795,613"
69220,OTHER,,"47,729","$4,059,038","$2,948,400"
,TOTAL,,"47,729","$4,059,038","$2,948,400"
69222,OTHER,,"7,193","$962,187","$722,421"
,TOTAL,,"7,193","$962,187","$722,421"
69300,OTHER,,18,"$7,179","$5,743"
,TOTAL,,18,"$7,179","$5,743"
69310,SG,,121,"$49,976","$39,736"
,OTHER,,803,"$495,516","$391,633"
,TOTAL,,924,"$545,492","$431,368"
69320,SG,,1,$992,$794
,OTHER,,39,"$41,680","$33,221"
,TOTAL,,40,"$42,672","$34,014"
69399,OTHER,,140,"$18,540","$14,797"
,TOTAL,,140,"$18,540","$14,797"
69400,OTHER,,"1,843","$153,583","$119,931"
,TOTAL,,"1,843","$153,583","$119,931"
69401,OTHER,,"3,567","$251,308","$194,279"
,TOTAL,,"3,567","$251,308","$194,279"
69405,OTHER,,40,"$5,251","$4,075"
,TOTAL,,40,"$5,251","$4,075"
69410,OTHER,,149,"$7,533","$5,657"
,TOTAL,,149,"$7,533","$5,657"
69420,OTHER,,"12,069","$1,596,778","$1,225,025"
,TOTAL,,"12,069","$1,596,778","$1,225,025"
69421,SG,,168,"$69,991","$55,242"
,OTHER,,503,"$70,107","$54,849"
,TOTAL,,671,"$140,098","$110,091"
69424,SG,,93,"$22,720","$18,018"
,OTHER,,"1,419","$113,599","$86,725"
,TOTAL,,"1,512","$136,319","$104,743"
69433,OTHER,,"37,258","$5,208,131","$3,992,679"
,TOTAL,,"37,258","$5,208,131","$3,992,679"
69436,SG,,"2,327","$1,088,691","$861,019"
,OTHER,,"9,793","$1,494,581","$1,173,622"
,TOTAL,,"12,120","$2,583,272","$2,034,640"
69440,SG,,86,"$36,212","$28,970"
,OTHER,,972,"$473,677","$375,092"
,TOTAL,,"1,058","$509,889","$404,062"
69450,SG,,33,"$8,131","$6,505"
,OTHER,,518,"$134,210","$105,746"
,TOTAL,,551,"$142,341","$112,250"
69501,SG,,9,"$8,499","$6,777"
,OTHER,,75,"$40,874","$32,130"
,TOTAL,,84,"$49,373","$38,907"
69502,SG,,19,"$16,849","$13,479"
,80'S,,1,$141,$112
,OTHER,,266,"$200,050","$159,447"
,TOTAL,,286,"$217,040","$173,038"
69505,SG,,15,"$13,734","$10,987"
,OTHER,,139,"$116,462","$91,977"
,TOTAL,,154,"$130,196","$102,965"
69511,SG,,14,"$13,468","$10,774"
,OTHER,,66,"$57,590","$45,046"
,TOTAL,,80,"$71,058","$55,820"
69530,80'S,,1,$211,$169
,OTHER,,25,"$24,462","$17,770"
,TOTAL,,26,"$24,674","$17,939"
69535,80'S,,1,$373,$298
,OTHER,,144,"$320,009","$254,523"
,TOTAL,,145,"$320,382","$254,821"
69540,OTHER,,578,"$65,470","$50,143"
