Medicare Part B Physician/Supplier BESS Data,,,,,
For Calendar Year 2003,,,,,
Code Ranges 20000 - 29999 ,,,,,
,,,,,
HCPCS,MODIFIER,DESCRIPTION,ALLOWED SERVICES,ALLOWED CHARGES,PAYMENT
20000,OTHER,MUSCULOSKELETAL,"3,851","$543,541.16 ","$417,560.11 "
,TOTAL,,"3,851","$543,541.16 ","$417,560.11 "
20005,SG,,51,"$21,316.57 ","$16,668.61 "
,OTHER,,"3,503","$709,362.09 ","$559,022.54 "
,TOTAL,,"3,554","$730,678.66 ","$575,691.15 "
20100,80'S,,26,"$1,921.28 ","$1,537.03 "
,OTHER,,235,"$120,432.68 ","$94,921.58 "
,TOTAL,,261,"$122,353.96 ","$96,458.61 "
20101,OTHER,,98,"$14,082.30 ","$11,099.99 "
,TOTAL,,98,"$14,082.30 ","$11,099.99 "
20102,AS,,10,$278.34 ,$200.22 
,80'S,,15,$458.25 ,$366.59 
,OTHER,,495,"$96,689.74 ","$76,667.77 "
,TOTAL,,520,"$97,426.33 ","$77,234.58 "
20103,AS,,4,$170.58 ,$136.47 
,80'S,,3,$111.14 ,$88.91 
,OTHER,,"1,198","$326,456.75 ","$255,936.38 "
,TOTAL,,"1,205","$326,738.47 ","$256,161.76 "
20150,OTHER,,18,"$7,077.98 ","$5,625.74 "
,TOTAL,,18,"$7,077.98 ","$5,625.74 "
20200,SG,,48,"$20,076.75 ","$15,941.49 "
,OTHER,,"1,225","$94,055.07 ","$73,922.10 "
,TOTAL,,"1,273","$114,131.82 ","$89,863.59 "
20205,SG,,208,"$102,749.77 ","$80,663.94 "
,OTHER,,"3,677","$467,528.04 ","$366,883.94 "
,TOTAL,,"3,885","$570,277.81 ","$447,547.88 "
20206,SG,,20,"$5,646.39 ","$4,347.67 "
,OTHER,,"6,603","$446,072.48 ","$350,312.25 "
,TOTAL,,"6,623","$451,718.87 ","$354,659.92 "
20220,SG,,58,"$15,795.15 ","$12,620.88 "
,OTHER,,"6,468","$1,031,629.05 ","$818,793.23 "
,TOTAL,,"6,526","$1,047,424.20 ","$831,414.11 "
20225,AS,,2,$38.60 ,$30.88 
,SG,,69,"$26,604.77 ","$20,728.23 "
,OTHER,,"21,351","$3,254,962.75 ","$2,588,922.53 "
,TOTAL,,"21,422","$3,281,606.12 ","$2,609,681.64 "
20240,SG,,62,"$23,066.76 ","$18,453.43 "
,OTHER,,"1,402","$342,556.79 ","$270,471.81 "
,TOTAL,,"1,464","$365,623.55 ","$288,925.24 "
20245,SG,,44,"$19,766.54 ","$15,813.21 "
,OTHER,,"1,556","$666,618.85 ","$528,366.56 "
,TOTAL,,"1,600","$686,385.39 ","$544,179.77 "
20250,AS,,2,$95.32 ,$76.26 
,OTHER,,820,"$188,140.19 ","$149,974.40 "
,TOTAL,,822,"$188,235.51 ","$150,050.66 "
20251,AS,,99,"$4,000.35 ","$3,195.53 "
,80'S,,72,"$3,184.12 ","$2,547.28 "
,OTHER,,"1,279","$348,985.94 ","$278,251.77 "
,TOTAL,,"1,450","$356,170.41 ","$283,994.58 "
20500,OTHER,,653,"$105,826.21 ","$82,727.33 "
,TOTAL,,653,"$105,826.21 ","$82,727.33 "
