Medicare Part B Physician/Supplier BESS Data,,,,,
For Calendar Year 2003,,,,,
Code Ranges K0000 - K9999,,,,,
,,,,,
HCPCS,MODIFIER,DESCRIPTION,ALLOWED SERVICES,ALLOWED CHARGES,PAYMENT
,,,,,
K0001,TOTAL,REGIONAL DURABLE MEDICAL EQUIPMENTRCS,"2,292,936","$103,217,366.21 ","$77,308,285.53 "
K0002,TOTAL,,"161,700","$10,531,748.38 ","$7,928,166.97 "
K0003,TOTAL,,"781,097","$55,321,792.23 ","$42,043,524.38 "
K0004,TOTAL,,"837,475","$87,208,462.52 ","$66,845,233.82 "
K0005,TOTAL,,"2,645","$3,634,997.37 ","$2,857,116.22 "
K0006,TOTAL,,"114,304","$11,247,022.66 ","$8,611,247.48 "
K0007,TOTAL,,"41,793","$6,053,043.96 ","$4,686,917.25 "
K0009,TOTAL,,954,"$2,024,303.01 ","$1,611,354.26 "
K0010,TOTAL,,"6,617","$14,025,613.75 ","$11,169,319.88 "
K0011,TOTAL,,"238,611","$1,176,284,663.16 ","$936,761,592.39 "
K0012,TOTAL,,"2,882","$4,168,711.15 ","$3,314,305.32 "
K0014,TOTAL,,"1,597","$11,592,834.89 ","$9,154,672.04 "
K0015,TOTAL,,"4,276","$481,104.09 ","$379,189.99 "
K0016,TOTAL,,"196,951","$12,239,734.23 ","$9,746,095.47 "
K0017,TOTAL,,289,"$9,487.07 ","$7,383.84 "
K0018,TOTAL,,532,"$13,823.22 ","$10,898.78 "
K0019,TOTAL,,"21,529","$334,497.63 ","$254,311.41 "
K0020,TOTAL,,"1,783","$59,060.98 ","$47,021.50 "
K0021,TOTAL,,"75,486","$2,953,320.90 ","$2,333,551.92 "
K0022,TOTAL,,"3,561","$165,651.62 ","$124,836.34 "
K0023,TOTAL,,"2,545","$221,511.10 ","$174,776.62 "
K0024,TOTAL,,"1,671","$167,966.72 ","$133,735.95 "
K0025,TOTAL,,"27,065","$1,585,283.35 ","$1,262,186.96 "
K0026,TOTAL,,497,"$20,592.94 ","$15,597.50 "
K0027,TOTAL,,"1,072","$44,436.25 ","$34,161.36 "
K0028,TOTAL,,"45,507","$10,286,766.72 ","$8,185,319.76 "
K0029,TOTAL,,"3,375","$145,884.17 ","$111,303.81 "
K0030,TOTAL,,"21,465","$2,191,471.89 ","$1,746,733.04 "
K0031,TOTAL,,"279,504","$9,068,469.95 ","$7,215,653.53 "
K0032,TOTAL,,695,"$28,914.74 ","$21,847.91 "
K0033,TOTAL,,"1,545","$62,583.70 ","$47,372.49 "
K0034,TOTAL,,"24,771","$267,497.57 ","$210,544.53 "
K0035,TOTAL,,"2,723","$43,977.25 ","$34,471.64 "
K0036,TOTAL,,"12,350","$215,566.66 ","$171,561.88 "
K0037,TOTAL,,"1,089","$28,166.86 ","$21,915.05 "
K0038,TOTAL,,"1,348","$28,638.81 ","$22,542.83 "
K0039,TOTAL,,841,"$33,406.20 ","$26,387.65 "
K0040,TOTAL,,"14,797","$958,717.90 ","$759,535.56 "
K0041,TOTAL,,"3,775","$161,512.23 ","$128,077.11 "
K0042,TOTAL,,527,"$17,279.73 ","$13,299.18 "
K0043,TOTAL,,"1,277","$20,787.46 ","$15,772.93 "
K0044,TOTAL,,743,"$12,117.21 ","$9,312.34 "
K0045,TOTAL,,"1,744","$82,275.50 ","$63,680.86 "
K0046,TOTAL,,138,"$1,415.38 ","$1,129.16 "
K0047,TOTAL,,377,"$21,549.77 ","$17,239.65 "
K0048,TOTAL,,"133,801","$12,948,140.99 ","$10,325,651.80 "
K0049,TOTAL,,933,"$23,485.47 ","$18,509.88 "
K0050,TOTAL,,130,"$3,255.76 ","$2,547.41 "
K0051,TOTAL,,632,"$24,028.28 ","$18,586.84 "
K0052,TOTAL,,"4,199","$269,291.32 ","$212,241.75 "
K0053,TOTAL,,"5,008","$276,031.61 ","$219,711.95 "
K0054,TOTAL,,"14,262","$408,709.48 ","$323,452.65 "
K0055,TOTAL,,"17,108","$677,967.99 ","$538,384.13 "
K0056,TOTAL,,"14,135","$385,003.41 ","$306,009.03 "
K0057,TOTAL,,"19,349","$853,229.65 ","$671,392.93 "
K0058,TOTAL,,"70,417","$4,217,668.99 ","$3,359,638.10 "
K0059,TOTAL,,"2,663","$50,744.48 ","$39,851.92 "
K0060,TOTAL,,89,"$2,277.26 ","$1,759.98 "
K0061,TOTAL,,440,"$15,230.76 ","$11,801.83 "
K0062,TOTAL,,658,"$27,131.33 ","$21,621.33 "
K0063,TOTAL,,205,"$13,246.65 ","$10,369.18 "
K0064,TOTAL,,"12,549","$265,151.12 ","$207,936.71 "
K0065,TOTAL,,259,"$10,430.39 ","$8,008.83 "
K0066,TOTAL,,"2,748","$63,830.41 ","$48,725.69 "
K0067,TOTAL,,"13,471","$364,900.72 ","$278,733.87 "
K0068,TOTAL,,"3,496","$19,075.06 ","$14,176.71 "
K0069,TOTAL,,"1,597","$141,309.16 ","$111,055.57 "
K0070,TOTAL,,"1,373","$194,728.72 ","$152,940.53 "
K0071,TOTAL,,"2,106","$181,452.48 ","$142,911.50 "
K0072,TOTAL,,"1,839","$104,287.42 ","$81,077.01 "
K0073,TOTAL,,643,"$19,195.43 ","$15,168.08 "
K0074,TOTAL,,"2,256","$59,826.97 ","$46,114.09 "
K0075,TOTAL,,"1,748","$57,672.63 ","$45,385.58 "
K0076,TOTAL,,"3,437","$81,435.64 ","$63,210.29 "
K0077,TOTAL,,"3,161","$163,270.30 ","$126,866.69 "
K0078,TOTAL,,661,"$5,683.87 ","$4,262.07 "
K0079,TOTAL,,"106,376","$2,373,776.94 ","$1,885,903.38 "
K0080,TOTAL,,"2,852","$148,682.25 ","$117,912.54 "
K0081,TOTAL,,"30,678","$1,205,795.45 ","$956,777.23 "
K0082,TOTAL,,"33,548","$3,576,310.90 ","$2,845,439.93 "
K0083,TOTAL,,"113,483","$15,632,574.88 ","$12,413,316.10 "
K0084,TOTAL,,"3,246","$300,885.74 ","$237,895.28 "
K0085,TOTAL,,"85,388","$15,569,054.44 ","$12,380,280.03 "
K0086,TOTAL,,"153,354","$16,144,727.52 ","$12,835,500.20 "
K0087,TOTAL,,"158,906","$17,580,310.04 ","$13,957,795.57 "
K0088,TOTAL,,"3,372","$789,259.14 ","$620,336.81 "
K0089,TOTAL,,578,"$217,123.14 ","$171,529.73 "
K0090,TOTAL,,"4,903","$297,981.63 ","$231,193.26 "
K0091,TOTAL,,849,"$13,504.17 ","$10,245.86 "
K0092,TOTAL,,"3,562","$562,442.42 ","$447,021.31 "
K0093,TOTAL,,"208,734","$30,856,941.01 ","$24,616,018.38 "
K0094,TOTAL,,"4,583","$169,961.58 ","$132,071.51 "
K0095,TOTAL,,"2,130","$68,018.95 ","$53,131.97 "
K0096,TOTAL,,"5,268","$886,187.56 ","$702,998.99 "
K0097,TOTAL,,"132,935","$8,143,855.01 ","$6,497,790.11 "
K0098,TOTAL,,134,"$3,260.88 ","$2,424.82 "
K0099,TOTAL,,"9,192","$647,539.04 ","$508,752.84 "
K0100,TOTAL,,"3,468","$76,690.01 ","$60,510.22 "
K0101,TOTAL,,754,"$25,703.07 ","$18,025.03 "
K0103,TOTAL,,"7,802","$375,351.00 ","$296,087.26 "
K0104,TOTAL,,"30,117","$2,102,145.53 ","$1,673,791.08 "
K0105,TOTAL,,127,"$8,607.59 ","$6,739.12 "
K0106,TOTAL,,"4,401","$295,132.88 ","$234,478.70 "
K0107,TOTAL,,"4,159","$287,006.86 ","$227,346.66 "
K0108,TOTAL,,"160,973","$52,156,972.38 ","$41,318,852.51 "
K0114,TOTAL,,26,"$15,490.30 ","$11,270.82 "
K0115,TOTAL,,911,"$704,074.11 ","$561,126.78 "
K0116,TOTAL,,392,"$605,165.49 ","$478,466.84 "
K0183,TOTAL,,"21,448","$1,653,858.66 ","$1,142,500.76 "
K0184,TOTAL,,"5,605","$132,087.23 ","$93,540.36 "
K0185,TOTAL,,"18,137","$677,720.68 ","$495,526.00 "
K0186,TOTAL,,"2,946","$47,474.75 ","$34,864.38 "
K0187,TOTAL,,"13,303","$524,650.04 ","$391,127.17 "
K0188,TOTAL,,"23,306","$113,921.03 ","$73,509.02 "
K0189,TOTAL,,"2,947","$39,746.40 ","$29,151.30 "
K0195,TOTAL,,"994,959","$17,112,727.03 ","$13,235,343.26 "
K0268,TOTAL,,"82,590","$3,339,868.20 ","$2,624,339.51 "
K0415,TOTAL,,"14,673","$337,817.43 ","$270,253.58 "
K0452,TOTAL,,"14,239","$89,722.77 ","$68,300.31 "
K0455,TOTAL,,"8,553","$2,179,669.45 ","$1,738,289.69 "
K0461,TOTAL,,9,"$6,676.08 ","$5,340.84 "
K0462,TOTAL,,"4,123","$1,420,797.41 ","$1,126,956.07 "
K0531,TOTAL,,"215,444","$20,101,858.72 ","$15,890,508.03 "
K0532,TOTAL,,"272,820","$56,046,390.01 ","$43,976,861.80 "
K0533,TOTAL,,"127,868","$75,136,508.38 ","$59,716,473.01 "
K0534,TOTAL,,855,"$512,453.67 ","$406,165.65 "
K0538,TOTAL,,"39,183","$65,603,535.94 ","$52,328,002.13 "
K0539,TOTAL,,"208,109","$14,947,724.91 ","$11,943,896.37 "
K0540,TOTAL,,"328,750","$8,261,816.16 ","$6,600,811.78 "
K0541,TOTAL,,37,"$11,665.35 ","$8,692.10 "
K0542,TOTAL,,79,"$80,548.84 ","$63,338.75 "
K0543,TOTAL,,351,"$1,109,622.43 ","$874,887.40 "
K0544,TOTAL,,"1,211","$7,230,622.40 ","$5,702,136.73 "
K0545,TOTAL,,29,"$10,284.42 ","$7,207.96 "
K0546,TOTAL,,661,"$313,693.83 ","$247,844.52 "
K0547,TOTAL,,"2,483","$339,343.18 ","$266,185.36 "
K0548,TOTAL,,"43,973","$111,437.37 ","$86,230.00 "
K0549,TOTAL,,"15,455","$3,781,693.10 ","$2,991,385.43 "
K0550,TOTAL,,779,"$479,853.34 ","$382,228.32 "
K0551,TOTAL,,341,"$41,489.04 ","$32,620.05 "
K0552,TOTAL,,"649,982","$1,705,976.69 ","$1,342,837.56 "
K0556,TOTAL,,"62,168","$36,268,863.62 ","$28,582,614.54 "
K0557,TOTAL,,"15,052","$7,333,731.51 ","$5,781,472.56 "
K0558,TOTAL,,"1,719","$1,710,966.43 ","$1,357,513.37 "
K0559,TOTAL,,"3,934","$4,041,487.34 ","$3,196,708.83 "
K0560,TOTAL,,16,"$20,001.68 ","$16,001.38 "
K0561,TOTAL,,"25,109","$61,371.70 ","$38,519.10 "
K0562,TOTAL,,"102,838","$506,082.38 ","$329,082.30 "
K0563,TOTAL,,"191,153","$1,619,021.44 ","$1,091,232.35 "
K0564,TOTAL,,"7,386","$60,059.00 ","$41,421.97 "
K0565,TOTAL,,"146,231","$896,141.28 ","$585,977.20 "
K0566,TOTAL,,"20,699","$176,784.57 ","$127,527.54 "
K0567,TOTAL,,"155,758","$313,246.83 ","$166,836.10 "
K0568,TOTAL,,"278,699","$1,013,507.05 ","$586,409.75 "
K0569,TOTAL,,"21,074","$90,152.88 ","$60,575.60 "
K0570,TOTAL,,"635,327","$3,092,110.55 ","$1,951,276.20 "
K0571,TOTAL,,"73,969","$430,762.60 ","$288,151.79 "
K0572,TOTAL,,"1,205,386","$102,184.35 ","$71,983.98 "
K0573,TOTAL,,"315,838","$82,165.96 ","$58,747.39 "
K0574,TOTAL,,"494,633","$226,055.63 ","$166,917.34 "
K0575,TOTAL,,"1,583,841","$440,443.31 ","$312,886.27 "
K0576,TOTAL,,"1,290,400","$358,579.03 ","$260,159.82 "
K0577,TOTAL,,"1,796,046","$498,662.83 ","$359,270.40 "
K0578,TOTAL,,"185,725","$97,953.10 ","$71,513.11 "
K0579,TOTAL,,"17,151","$2,058.12 ","$1,312.44 "
K0580,TOTAL,,"55,358","$19,203.53 ","$14,279.69 "
K0581,TOTAL,,"989,171","$2,684,710.73 ","$2,131,288.12 "
K0582,TOTAL,,"18,544","$67,252.09 ","$52,790.48 "
K0583,TOTAL,,"274,505","$493,499.09 ","$388,619.20 "
K0584,TOTAL,,"1,457,269","$2,528,399.46 ","$2,005,544.65 "
K0585,TOTAL,,"3,956","$7,421.05 ","$5,914.25 "
K0586,TOTAL,,"91,352","$166,765.95 ","$132,867.50 "
K0587,TOTAL,,"98,965","$431,605.19 ","$338,159.19 "
