Medicare Part B Physician/Supplier BESS Data,,,,,
For Calendar Year 2003,,,,,
Code Ranges L0100 - L4999,,,,,
,,,,,
HCPCS,MODIFIER,DESCRIPTION,ALLOWED SERVICES,ALLOWED CHARGES,PAYMENT
,,,,,
L0100,TOTAL,ORTHOTICS,107,"$47,045.46 ","$37,476.67 "
L0110,TOTAL,,93,"$12,466.25 ","$9,793.20 "
L0120,TOTAL,,"20,621","$417,827.41 ","$321,439.53 "
L0130,TOTAL,,419,"$59,182.70 ","$46,585.10 "
L0140,TOTAL,,903,"$43,939.87 ","$33,833.15 "
L0150,TOTAL,,"1,338","$124,736.89 ","$96,869.58 "
L0160,TOTAL,,580,"$75,271.66 ","$58,008.53 "
L0170,TOTAL,,"2,413","$1,339,303.91 ","$1,066,253.19 "
L0172,TOTAL,,"5,130","$547,333.09 ","$423,939.81 "
L0174,TOTAL,,"1,376","$265,204.50 ","$208,819.21 "
L0180,TOTAL,,"1,604","$456,175.94 ","$360,650.10 "
L0190,TOTAL,,"3,408","$1,438,497.02 ","$1,144,220.78 "
L0200,TOTAL,,"1,953","$764,110.31 ","$605,468.49 "
L0210,TOTAL,,"5,657","$165,406.06 ","$126,076.96 "
L0220,TOTAL,,321,"$22,937.71 ","$17,772.22 "
L0300,TOTAL,,695,"$97,367.40 ","$69,387.16 "
L0310,TOTAL,,55,"$12,552.16 ","$9,345.41 "
L0315,TOTAL,,146,"$26,500.12 ","$20,262.72 "
L0317,TOTAL,,134,"$46,418.61 ","$36,331.73 "
L0320,TOTAL,,57,"$16,641.80 ","$12,955.90 "
L0321,TOTAL,,105,"$43,124.10 ","$34,056.22 "
L0330,TOTAL,,113,"$46,022.88 ","$35,457.39 "
L0331,TOTAL,,22,"$9,917.11 ","$7,892.86 "
L0340,TOTAL,,74,"$39,718.04 ","$31,451.98 "
L0350,TOTAL,,165,"$141,370.41 ","$111,839.21 "
L0360,TOTAL,,49,"$60,666.86 ","$47,966.17 "
L0370,TOTAL,,"1,656","$568,755.96 ","$442,356.13 "
L0380,TOTAL,,39,"$19,823.16 ","$15,487.80 "
L0390,TOTAL,,64,"$72,038.10 ","$55,419.10 "
L0391,TOTAL,,69,"$43,135.57 ","$34,131.31 "
L0400,TOTAL,,340,"$429,408.60 ","$339,569.55 "
L0410,TOTAL,,202,"$285,172.14 ","$226,315.83 "
L0420,TOTAL,,508,"$767,185.70 ","$605,851.66 "
L0430,TOTAL,,203,"$234,760.33 ","$185,951.07 "
L0440,TOTAL,,118,"$108,645.50 ","$85,935.21 "
