Medicare Part B Physician/Supplier BESS Data,,,,,
For Calendar Year 2003,,,,,
Code Ranges L5000- L9999,,,,,
,,,,,
HCPCS,MODIFIER,DESCRIPTION,ALLOWED SERVICES,ALLOWED CHARGES,PAYMENT
,,,,,
L5000,TOTAL,PROSTHETIC PROCEDURES,"10,642","$4,477,230.32 ","$3,533,766.43 "
L5010,TOTAL,,640,"$662,667.52 ","$522,920.72 "
L5020,TOTAL,,509,"$899,547.02 ","$707,904.09 "
L5050,TOTAL,,714,"$1,465,305.63 ","$1,150,374.71 "
L5060,TOTAL,,26,"$47,401.25 ","$36,041.40 "
L5100,TOTAL,,887,"$1,687,252.23 ","$1,326,887.31 "
L5105,TOTAL,,159,"$498,503.49 ","$391,866.39 "
L5150,TOTAL,,51,"$151,317.38 ","$119,376.01 "
L5160,TOTAL,,"1,644","$5,018,635.96 ","$4,014,785.49 "
L5200,TOTAL,,331,"$995,018.24 ","$786,137.33 "
L5210,TOTAL,,89,"$188,189.92 ","$149,001.53 "
L5220,TOTAL,,107,"$280,429.35 ","$221,081.36 "
L5230,TOTAL,,28,"$88,038.56 ","$70,263.73 "
L5250,TOTAL,,204,"$858,311.26 ","$686,329.01 "
L5270,TOTAL,,47,"$195,356.36 ","$156,285.00 "
L5280,TOTAL,,22,"$87,023.03 ","$69,538.46 "
L5301,TOTAL,,"27,299","$57,867,077.33 ","$45,641,128.38 "
L5311,TOTAL,,227,"$679,498.83 ","$533,796.14 "
L5321,TOTAL,,"8,856","$24,961,174.37 ","$19,734,398.57 "
L5331,TOTAL,,251,"$920,433.23 ","$735,021.19 "
L5341,TOTAL,,248,"$900,850.82 ","$717,714.71 "
L5400,TOTAL,,45,"$43,599.24 ","$33,442.47 "
L5410,TOTAL,,64,"$24,311.68 ","$18,592.08 "
L5420,TOTAL,,25,"$1,701.54 ","$1,361.23 "
L5430,TOTAL,,1,$452.99 ,$362.39 
L5450,TOTAL,,215,"$75,466.34 ","$58,437.88 "
L5460,TOTAL,,5,"$2,242.64 ","$1,794.11 "
L5500,TOTAL,,181,"$135,631.56 ","$108,089.21 "
L5505,TOTAL,,42,"$54,970.89 ","$43,976.77 "
L5510,TOTAL,,"1,553","$1,819,027.71 ","$1,453,963.95 "
L5520,TOTAL,,"1,269","$1,470,172.97 ","$1,175,363.25 "
L5530,TOTAL,,"1,828","$2,864,463.31 ","$2,255,331.65 "
L5535,TOTAL,,128,"$194,933.12 ","$155,016.51 "
L5540,TOTAL,,"4,012","$6,651,559.18 ","$5,261,652.99 "
L5560,TOTAL,,38,"$79,679.69 ","$63,743.71 "
L5570,TOTAL,,28,"$48,078.03 ","$38,162.69 "
L5580,TOTAL,,736,"$1,552,072.82 ","$1,232,507.48 "
L5585,TOTAL,,645,"$1,215,932.49 ","$969,296.18 "
L5590,TOTAL,,"1,367","$3,037,455.82 ","$2,412,205.19 "
L5595,TOTAL,,345,"$1,170,311.04 ","$930,427.72 "
L5600,TOTAL,,54,"$196,860.01 ","$157,412.97 "
L5610,TOTAL,,19,"$26,191.40 ","$20,265.27 "
L5611,TOTAL,,920,"$1,255,081.10 ","$1,003,422.11 "
L5613,TOTAL,,350,"$724,196.56 ","$566,973.31 "
L5614,TOTAL,,41,"$55,539.65 ","$44,261.66 "
L5616,TOTAL,,77,"$91,334.71 ","$71,351.03 "
L5617,TOTAL,,162,"$71,437.29 ","$55,790.04 "
L5618,TOTAL,,965,"$236,894.70 ","$185,810.95 "
L5620,TOTAL,,"48,973","$12,050,183.18 ","$9,509,471.20 "
L5622,TOTAL,,398,"$139,631.93 ","$109,866.97 "
L5624,TOTAL,,"18,432","$6,049,304.15 ","$4,786,077.34 "
L5626,TOTAL,,217,"$93,812.32 ","$74,608.05 "
L5628,TOTAL,,58,"$30,156.01 ","$23,641.59 "
L5629,TOTAL,,"31,781","$9,158,371.25 ","$7,239,834.64 "
L5630,TOTAL,,137,"$52,324.97 ","$41,135.09 "
L5631,TOTAL,,"9,097","$3,620,170.49 ","$2,862,206.38 "
L5632,TOTAL,,931,"$185,523.56 ","$146,483.82 "
L5634,TOTAL,,169,"$45,606.79 ","$36,054.93 "
L5636,TOTAL,,315,"$68,110.98 ","$54,010.89 "
L5637,TOTAL,,"41,430","$11,835,286.57 ","$9,354,976.04 "
L5638,TOTAL,,48,"$20,022.81 ","$15,412.90 "
L5639,TOTAL,,20,"$13,783.50 ","$11,026.82 "
L5640,TOTAL,,77,"$39,695.22 ","$31,238.80 "
L5642,TOTAL,,9,"$4,578.17 ","$3,375.67 "
L5643,TOTAL,,134,"$174,305.13 ","$138,558.08 "
L5644,TOTAL,,15,"$7,050.78 ","$5,640.60 "
L5645,TOTAL,,"8,888","$5,917,563.41 ","$4,683,965.77 "
L5646,TOTAL,,112,"$51,595.13 ","$40,810.68 "
L5647,TOTAL,,"13,598","$9,087,210.37 ","$7,176,172.00 "
L5648,TOTAL,,44,"$23,610.27 ","$17,657.28 "
L5649,TOTAL,,"11,592","$20,393,156.36 ","$16,158,047.73 "
L5650,TOTAL,,"13,347","$5,852,411.91 ","$4,640,856.51 "
L5651,TOTAL,,"9,274","$9,703,870.73 ","$7,682,801.28 "
L5652,TOTAL,,"6,583","$2,442,550.50 ","$1,932,350.23 "
