Medicare Part B Physician/Supplier BESS Data,,,,,
For Calendar Year 2003,,,,,
Code Ranges Q0000 - Q9999,,,,,
,,,,,
HCPCS,MODIFIER,DESCRIPTION,ALLOWED SERVICES,ALLOWED CHARGES,PAYMENT
,,,,,
Q0035,TOTAL,NATIONAL CODES ASSIGNED BY CMS ON A TEMPORARY BASIS,26,$632.86 ,$506.35 
Q0081,TOTAL,,18,$718.93 ,$575.14 
Q0086,TOTAL,,11,$0.11 ,$0.11 
Q0091,TOTAL,,"1,060,695","$36,827,484.69 ","$29,409,985.80 "
Q0092,TOTAL,,"1,617,283","$19,455,576.57 ","$15,157,489.16 "
Q0111,TOTAL,,"94,058","$552,115.18 ","$548,947.30 "
Q0112,TOTAL,,"50,061","$288,775.03 ","$287,427.91 "
Q0113,TOTAL,,32,$239.06 ,$239.06 
Q0114,TOTAL,,247,"$2,434.35 ","$2,416.56 "
Q0115,TOTAL,,287,"$3,917.40 ","$3,883.37 "
Q0136,TOTAL,,"80,686,967","$1,016,757,710.21 ","$807,074,087.18 "
Q0163,TOTAL,,"1,346",$399.98 ,$320.89 
Q0164,TOTAL,,347,$194.37 ,$154.09 
Q0165,TOTAL,,"11,968","$8,842.55 ","$7,041.11 "
Q0166,TOTAL,,"7,213","$499,357.05 ","$397,793.29 "
Q0167,TOTAL,,"2,221","$7,041.10 ","$5,574.57 "
Q0168,TOTAL,,"1,540","$13,385.07 ","$10,708.04 "
Q0169,TOTAL,,100,$22.40 ,$17.92 
Q0170,TOTAL,,"1,491",$29.82 ,$23.86 
Q0171,TOTAL,,150,$10.50 ,$8.40 
Q0172,TOTAL,,1,$0.09 ,$0.07 
Q0173,TOTAL,,141,$71.20 ,$56.97 
Q0174,TOTAL,,962,$518.76 ,$416.88 
Q0179,TOTAL,,"21,494","$1,182,012.17 ","$940,450.11 "
Q0180,TOTAL,,"6,418","$590,796.60 ","$470,582.96 "
Q0181,TOTAL,,45,$580.97 ,$464.75 
Q0183,TOTAL,,407,"$29,055.83 ","$23,217.46 "
Q0184,TOTAL,,"4,043","$64,599.17 ","$50,478.25 "
Q0187,TOTAL,,"47,397","$25,898,260.33 ","$20,710,159.85 "
Q1001,TOTAL,,"6,380","$316,626.25 ","$252,180.02 "
Q1002,TOTAL,,"7,291","$362,113.50 ","$288,936.80 "
Q2002,TOTAL,,2,"$16,967.00 ","$13,573.60 "
Q2004,TOTAL,,4,$109.40 ,$85.54 
Q2005,TOTAL,,2,$758.70 ,$606.96 
Q2007,TOTAL,,3,$172.77 ,$138.22 
Q2011,TOTAL,,"6,955","$36,009.43 ","$28,807.65 "
Q2012,TOTAL,,5,$395.47 ,$316.38 
Q2014,TOTAL,,18,$195.36 ,$112.42 
Q2017,TOTAL,,46,"$12,047.90 ","$9,638.33 "
Q2021,TOTAL,,25,"$2,935.66 ","$2,348.61 "
Q2022,TOTAL,,"83,598","$5,251,680.58 ","$4,201,134.49 "
Q3001,TOTAL,,"1,529","$176,647.72 ","$141,237.12 "
Q3002,TOTAL,,723,"$13,393.43 ","$10,492.23 "
