Medicare Part B Physician/Supplier BESS Data,,,,,
For Calendar Year 2003,,,,,
Code Ranges V0000 - V9999,,,,,
,,,,,
HCPCS,MODIFIER,DESCRIPTION,ALLOWED SERVICES,ALLOWED CHARGES,PAYMENT
,,,,,
V2020,TOTAL,VISION SERVICES,"531,504","$29,820,873.14 ","$22,958,420.59 "
V2100,TOTAL,,"45,010","$1,468,988.63 ","$1,137,185.66 "
V2101,TOTAL,,"2,615","$91,620.53 ","$70,766.32 "
V2102,TOTAL,,"1,108","$45,931.71 ","$35,612.84 "
V2103,TOTAL,,"77,703","$2,293,944.03 ","$1,765,931.26 "
V2104,TOTAL,,"4,174","$135,021.65 ","$103,753.84 "
V2105,TOTAL,,497,"$17,458.18 ","$13,432.52 "
V2106,TOTAL,,158,"$6,356.98 ","$4,920.63 "
V2107,TOTAL,,"2,040","$77,601.62 ","$59,843.78 "
V2108,TOTAL,,528,"$19,855.19 ","$15,274.69 "
V2109,TOTAL,,100,"$4,194.82 ","$2,952.70 "
V2110,TOTAL,,77,"$3,149.51 ","$2,482.84 "
V2111,TOTAL,,352,"$15,079.57 ","$11,892.82 "
V2112,TOTAL,,112,"$5,064.28 ","$3,993.60 "
V2113,TOTAL,,43,"$1,842.85 ","$1,448.63 "
V2114,TOTAL,,190,"$9,444.29 ","$7,288.25 "
V2115,TOTAL,,30,"$1,801.85 ","$1,438.67 "
V2116,TOTAL,,42,"$2,191.71 ","$1,709.35 "
V2117,TOTAL,,396,"$25,790.70 ","$20,175.42 "
V2118,TOTAL,,10,$624.13 ,$499.32 
V2199,TOTAL,,2,$9.15 ,$7.32 
V2200,TOTAL,,"209,813","$8,983,430.70 ","$6,953,483.52 "
V2201,TOTAL,,"10,307","$466,286.46 ","$361,753.91 "
V2202,TOTAL,,"8,795","$440,047.71 ","$339,809.47 "
V2203,TOTAL,,"741,903","$32,254,552.73 ","$24,930,101.78 "
V2204,TOTAL,,"40,962","$1,862,541.75 ","$1,439,639.93 "
V2205,TOTAL,,"3,584","$172,862.60 ","$133,410.19 "
V2206,TOTAL,,"1,500","$79,151.39 ","$61,960.68 "
V2207,TOTAL,,"4,175","$206,001.46 ","$159,244.51 "
V2208,TOTAL,,"3,341","$163,200.42 ","$126,266.62 "
V2209,TOTAL,,603,"$31,843.95 ","$24,369.84 "
V2210,TOTAL,,727,"$42,388.15 ","$32,841.50 "
V2211,TOTAL,,943,"$51,238.29 ","$40,037.46 "
V2212,TOTAL,,540,"$32,177.45 ","$24,987.46 "
V2213,TOTAL,,407,"$21,559.85 ","$16,594.60 "
V2214,TOTAL,,789,"$44,220.63 ","$34,062.21 "
V2215,TOTAL,,218,"$14,689.72 ","$11,617.53 "
V2216,TOTAL,,"1,279","$77,024.07 ","$59,252.57 "
V2217,TOTAL,,"3,606","$265,447.15 ","$208,566.37 "
V2218,TOTAL,,137,"$10,602.96 ","$8,457.03 "
V2219,TOTAL,,"45,546","$1,154,767.40 ","$913,836.31 "
