Medicare Part B Physician/Supplier BESS Data,,,,,
For Calendar Year 2003,,,,,
Code Range 90281 - 99199 ,,,,,
,,,,,
HCPCS,MODIFIER,DESCRIPTION,ALLOWED SERVICES,ALLOWED CHARGES,PAYMENT
,,,,,
90281,TOTAL,MEDICINE,7,$0.07 ,$0.07 
90283,TOTAL,,10,$0.10 ,$0.10 
90287,TOTAL,,3,$0.03 ,$0.03 
90291,TOTAL,,1,$0.01 ,$0.01 
90371,TOTAL,,444,"$127,679.94 ","$88,921.83 "
90375,TOTAL,,557,"$34,549.93 ","$27,541.82 "
90376,TOTAL,,195,"$12,544.61 ","$9,916.38 "
90385,TOTAL,,6,$206.46 ,$159.72 
90389,TOTAL,,7,$0.07 ,$0.07 
90396,TOTAL,,4,$267.50 ,$176.00 
90471,TOTAL,,"326,006","$2,346,723.19 ","$1,689,061.50 "
90472,TOTAL,,"15,637","$79,708.88 ","$56,318.09 "
90581,TOTAL,,1,$9.95 ,$7.96 
90585,TOTAL,,11,$521.26 ,$409.01 
90586,TOTAL,,"1,130","$188,720.43 ","$147,742.70 "
90632,TOTAL,,"1,011","$58,643.07 ","$40,153.79 "
90633,TOTAL,,15,$445.44 ,$311.09 
90634,TOTAL,,2,$59.60 ,$47.68 
90636,TOTAL,,141,"$10,661.08 ","$7,785.40 "
90645,TOTAL,,85,"$1,954.24 ","$1,393.97 "
90646,TOTAL,,36,$757.60 ,$597.20 
90647,TOTAL,,27,$694.88 ,$499.20 
90648,TOTAL,,48,$955.15 ,$707.64 
90657,TOTAL,,"46,293","$296,974.08 ","$296,699.10 "
90658,TOTAL,,"10,954,187","$105,852,705.49 ","$105,634,720.61 "
90659,TOTAL,,"1,814,478","$17,228,900.87 ","$17,194,877.09 "
90660,TOTAL,,22,$940.40 ,$887.96 
90665,TOTAL,,5,$201.18 ,$160.94 
90669,TOTAL,,8,$86.96 ,$86.96 
90675,TOTAL,,"1,034","$127,534.71 ","$100,611.09 "
90676,TOTAL,,7,"$1,460.98 ","$1,134.76 "
90691,TOTAL,,68,"$2,643.67 ","$1,730.83 "
90692,TOTAL,,1,$46.65 ,$37.32 
90700,TOTAL,,15,$322.63 ,$258.12 
90701,TOTAL,,66,"$1,299.59 ",$842.30 
90702,TOTAL,,799,"$5,622.78 ","$3,887.59 "
90703,TOTAL,,"58,398","$634,815.30 ","$463,065.36 "
90704,TOTAL,,1,$17.85 ,$14.28 
90706,TOTAL,,1,$15.00 ,$12.00 
90707,TOTAL,,2,$72.06 ,$57.64 
90708,TOTAL,,4,$60.00 ,$48.00 
90713,TOTAL,,5,$113.72 ,$51.49 
90716,TOTAL,,7,$306.42 ,$159.46 
90717,TOTAL,,2,$111.44 ,
90718,TOTAL,,"112,900","$1,146,713.07 ","$785,869.97 "
