,,,Medicare Part B Physician/Supplier BESS Data,,
,,,For Calendar Year 2004,,
,,,Code Ranges 00100 - 01999,,
,,,,,
HCPCS,MODIFIER,DESCRIPTION,ALLOWED SERVICES,ALLOWED CHARGES,PAYMENT
,,,,,
00100,AA,ANESTHESIA,"4,091","$1,012,735.77 ","$799,479.39 "
,AD,,81,"$5,484.21 ","$4,290.69 "
,QK,,"4,041","$560,701.85 ","$443,937.25 "
,QZ,,"1,577","$358,853.82 ","$284,182.11 "
,OTHER,,"4,445","$583,588.28 ","$463,089.90 "
,TOTAL,,"14,235","$2,521,363.93 ","$1,994,979.34 "
00102,AA,,21,"$4,744.05 ","$3,690.79 "
,QK,,25,"$3,128.65 ","$2,502.92 "
,QZ,,4,$954.92 ,$763.93 
,OTHER,,32,"$3,361.49 ","$2,628.23 "
,TOTAL,,82,"$12,189.11 ","$9,585.87 "
00103,AA,,"20,250","$3,384,535.21 ","$2,671,014.73 "
,AD,,248,"$15,785.83 ","$12,129.77 "
,QK,,"15,313","$1,359,806.03 ","$1,071,015.75 "
,QZ,,"17,113","$2,636,154.17 ","$2,075,168.90 "
,OTHER,,"18,042","$1,602,860.92 ","$1,269,970.64 "
,TOTAL,,"70,966","$8,999,142.16 ","$7,099,299.79 "
00104,AA,,"101,756","$9,478,458.47 ","$5,988,439.40 "
,AD,,896,"$54,407.93 ","$37,157.12 "
,QK,,"24,825","$1,203,489.50 ","$779,713.19 "
,QZ,,"13,894","$1,254,675.31 ","$780,498.07 "
,OTHER,,"44,234","$2,044,499.40 ","$1,285,845.00 "
,TOTAL,,"185,605","$14,035,530.61 ","$8,871,652.78 "
0012T,OTHER,,6,"$3,637.73 ","$2,910.18 "
,TOTAL,,6,"$3,637.73 ","$2,910.18 "
00120,AA,,"7,243","$1,506,112.03 ","$1,184,857.50 "
,AD,,98,"$7,474.44 ","$5,552.57 "
,QK,,"6,665","$766,362.36 ","$604,412.35 "
,QZ,,"2,473","$483,296.19 ","$382,503.37 "
,OTHER,,"7,405","$843,858.27 ","$669,546.74 "
,TOTAL,,"23,884","$3,607,103.29 ","$2,846,872.53 "
00124,AA,,181,"$21,259.80 ","$16,699.39 "
,AD,,2,$121.91 ,$97.53 
,QK,,207,"$12,442.81 ","$9,474.32 "
,QZ,,106,"$11,279.43 ","$8,990.53 "
,OTHER,,244,"$14,686.26 ","$11,399.44 "
,TOTAL,,740,"$59,790.21 ","$46,661.21 "
00126,AA,,"2,588","$283,649.36 ","$223,181.05 "
,AD,,82,"$5,545.48 ","$4,354.79 "
,QK,,"2,252","$133,236.82 ","$104,993.01 "
,QZ,,"1,007","$110,243.51 ","$87,149.56 "
,OTHER,,"2,657","$157,157.84 ","$125,020.60 "
,TOTAL,,"8,586","$689,833.01 ","$544,699.01 "
0013T,OTHER,,1,"$1,144.88 ",$915.90 
,TOTAL,,1,"$1,144.88 ",$915.90 
00140,AA,,"53,444","$8,575,830.04 ","$6,775,229.74 "
,AD,,534,"$36,420.13 ","$28,445.11 "
,QK,,"32,041","$2,839,421.32 ","$2,229,602.02 "
,QZ,,"35,971","$5,294,090.50 ","$4,186,872.53 "
,OTHER,,"38,950","$3,487,911.95 ","$2,765,639.74 "
,TOTAL,,"160,940","$20,233,673.94 ","$15,985,789.14 "
00142,AA,,"637,955","$74,370,727.84 ","$58,910,841.09 "
,AD,,"13,249","$856,818.58 ","$680,767.98 "
,QK,,"417,099","$24,669,304.47 ","$19,519,535.00 "
,QZ,,"552,039","$58,726,498.40 ","$46,512,302.02 "
,OTHER,,"543,858","$32,166,562.72 ","$25,534,667.83 "
,TOTAL,,"2,164,200","$190,789,912.01 ","$151,158,113.92 "
00144,AA,,"4,970","$1,068,575.29 ","$844,549.87 "
,AD,,112,"$7,673.33 ","$6,138.71 "
,QK,,"5,811","$663,054.80 ","$523,860.72 "
,QZ,,"3,052","$600,247.57 ","$476,090.73 "
,OTHER,,"6,327","$709,515.13 ","$563,257.22 "
,TOTAL,,"20,272","$3,049,066.12 ","$2,413,897.25 "
00145,AA,,"36,660","$7,948,613.34 ","$6,281,967.99 "
,AD,,832,"$54,592.47 ","$42,922.47 "
,QK,,"34,235","$3,857,921.97 ","$3,046,520.31 "
,QZ,,"14,580","$2,964,570.36 ","$2,347,817.37 "
,OTHER,,"38,009","$4,304,303.12 ","$3,420,574.73 "
,TOTAL,,"124,316","$19,130,001.26 ","$15,139,802.87 "
00147,AA,,398,"$61,555.10 ","$48,600.72 "
,AD,,5,$307.96 ,$246.37 
,QK,,277,"$21,071.91 ","$16,024.96 "
,QZ,,326,"$47,331.47 ","$37,412.83 "
,OTHER,,286,"$21,676.05 ","$17,283.98 "
,TOTAL,,"1,292","$151,942.49 ","$119,568.86 "
00148,AA,,309,"$35,832.29 ","$28,205.38 "
,AD,,5,$318.55 ,$254.82 
,QK,,280,"$18,201.30 ","$13,766.93 "
,QZ,,77,"$8,892.94 ","$6,923.40 "
,OTHER,,274,"$16,679.85 ","$12,916.73 "
,TOTAL,,945,"$79,924.93 ","$62,067.26 "
0016T,OTHER,,"3,667","$2,163,678.24 ","$1,718,017.23 "
,TOTAL,,"3,667","$2,163,678.24 ","$1,718,017.23 "
00160,AA,,"21,348","$4,050,801.70 ","$3,179,368.74 "
,AD,,357,"$24,960.91 ","$19,646.79 "
,QK,,"17,935","$1,802,211.04 ","$1,421,138.86 "
,QZ,,"7,511","$1,382,505.40 ","$1,090,815.68 "
,OTHER,,"20,236","$2,005,988.60 ","$1,590,882.03 "
,TOTAL,,"67,387","$9,266,467.65 ","$7,301,852.10 "
00162,AA,,672,"$183,190.52 ","$145,274.07 "
,AD,,8,"$1,218.61 ",$959.09 
,QK,,634,"$121,656.82 ","$95,975.12 "
,QZ,,295,"$68,627.68 ","$54,307.39 "
,OTHER,,507,"$88,790.26 ","$70,581.46 "
,TOTAL,,"2,116","$463,483.89 ","$367,097.13 "
00164,AA,,131,"$19,489.76 ","$15,502.00 "
,AD,,2,$143.56 ,$114.85 
,QK,,114,"$8,568.76 ","$6,783.86 "
,QZ,,168,"$23,482.84 ","$18,757.91 "
,OTHER,,272,"$23,459.66 ","$18,750.26 "
,TOTAL,,687,"$75,144.58 ","$59,908.88 "
0017T,OTHER,,51,"$42,393.74 ","$33,914.89 "
,TOTAL,,51,"$42,393.74 ","$33,914.89 "
00170,AA,,"9,375","$1,676,373.10 ","$1,300,414.02 "
,AD,,157,"$11,519.68 ","$9,130.43 "
,QK,,"9,266","$901,109.25 ","$694,715.73 "
,QZ,,"3,405","$555,374.15 ","$433,490.79 "
,OTHER,,"9,807","$943,811.78 ","$738,685.31 "
,TOTAL,,"32,010","$4,088,187.96 ","$3,176,436.28 "
00172,AA,,35,"$7,285.16 ","$5,660.43 "
,QK,,34,"$4,671.34 ","$3,607.45 "
,QZ,,15,"$2,492.27 ","$1,993.83 "
,OTHER,,25,"$3,059.62 ","$2,436.25 "
,TOTAL,,109,"$17,508.39 ","$13,697.96 "
00174,AA,,44,"$8,461.78 ","$6,651.13 "
,AD,,1,$12.35 ,$9.88 
,QK,,25,"$2,460.86 ","$1,888.67 "
,QZ,,10,"$1,597.86 ","$1,278.29 "
,OTHER,,28,"$2,841.05 ","$2,272.85 "
,TOTAL,,108,"$15,373.90 ","$12,100.82 "
00176,AA,,424,"$220,323.79 ","$173,688.81 "
,AD,,13,"$1,008.26 ",$751.13 
,QK,,791,"$238,706.47 ","$189,731.80 "
,QZ,,66,"$29,297.37 ","$23,306.80 "
,OTHER,,544,"$154,781.45 ","$123,531.92 "
,TOTAL,,"1,838","$644,117.34 ","$511,010.46 "
00190,AA,,"3,067","$685,835.35 ","$540,594.46 "
,AD,,71,"$4,260.97 ","$3,338.34 "
,QK,,"3,572","$471,146.25 ","$369,421.48 "
,QZ,,826,"$176,586.66 ","$138,802.47 "
,OTHER,,"3,412","$425,890.74 ","$337,677.23 "
,TOTAL,,"10,948","$1,763,719.97 ","$1,389,833.98 "
00192,AA,,530,"$183,349.39 ","$145,358.11 "
,AD,,29,"$2,270.32 ","$1,760.96 "
,QK,,834,"$180,453.35 ","$138,753.76 "
,QZ,,149,"$44,299.20 ","$35,372.39 "
,OTHER,,684,"$127,313.61 ","$100,895.08 "
,TOTAL,,"2,226","$537,685.87 ","$422,140.30 "
0020T,OTHER,,458,"$127,191.98 ","$99,864.15 "
,TOTAL,,458,"$127,191.98 ","$99,864.15 "
00210,AA,,"13,400","$5,733,646.14 ","$4,546,782.88 "
,AD,,284,"$22,438.13 ","$17,816.21 "
,QK,,"14,010","$3,273,043.02 ","$2,597,956.63 "
