Medicare Part B Physician/Supplier BESS Data,,,,,
For Calendar Year 2004,,,,,
Code Ranges 69000 -  69990,,,,,
,,,,,
HCPCS,MODIFIER,DESCRIPTION,ALLOWED SERVICES,ALLOWED CHARGES,PAYMENT
69000,OTHER,EAR,"1,938","$268,021.15 ","$206,090.68 "
,TOTAL,,"1,938","$268,021.15 ","$206,090.68 "
69005,OTHER,,789,"$130,522.54 ","$102,511.68 "
,TOTAL,,789,"$130,522.54 ","$102,511.68 "
69020,OTHER,,"1,631","$295,242.27 ","$228,585.93 "
,TOTAL,,"1,631","$295,242.27 ","$228,585.93 "
69100,OTHER,,"54,375","$4,704,808.46 ","$3,588,865.38 "
,TOTAL,,"54,375","$4,704,808.46 ","$3,588,865.38 "
69105,OTHER,,"1,306","$135,866.90 ","$105,395.87 "
,TOTAL,,"1,306","$135,866.90 ","$105,395.87 "
69110,SG,,278,"$75,629.20 ","$59,665.16 "
,OTHER,,"2,734","$636,561.44 ","$500,638.74 "
,TOTAL,,"3,012","$712,190.64 ","$560,303.90 "
69120,SG,,17,"$5,745.41 ","$4,596.34 "
,OTHER,,283,"$48,299.72 ","$38,209.44 "
,TOTAL,,300,"$54,045.13 ","$42,805.78 "
69140,SG,,28,"$11,538.06 ","$9,085.69 "
,OTHER,,154,"$75,710.32 ","$59,402.60 "
,TOTAL,,182,"$87,248.38 ","$68,488.29 "
69145,SG,,233,"$92,214.11 ","$73,354.87 "
,OTHER,,"2,213","$470,769.13 ","$371,084.19 "
,TOTAL,,"2,446","$562,983.24 ","$444,439.06 "
69150,SG,,22,"$10,572.24 ","$8,203.69 "
,OTHER,,255,"$212,037.63 ","$166,485.66 "
,TOTAL,,277,"$222,609.87 ","$174,689.35 "
69155,80'S,,1,$244.36 ,$195.49 
,OTHER,,23,"$27,957.87 ","$21,701.84 "
,TOTAL,,24,"$28,202.23 ","$21,897.33 "
69200,OTHER,,"23,148","$2,228,939.58 ","$1,688,273.76 "
,TOTAL,,"23,148","$2,228,939.58 ","$1,688,273.76 "
69205,SG,,69,"$19,995.48 ","$15,994.78 "
,OTHER,,507,"$42,361.87 ","$32,375.48 "
,TOTAL,,576,"$62,357.35 ","$48,370.26 "
69210,OTHER,,"1,322,641","$60,341,310.01 ","$42,951,739.97 "
,TOTAL,,"1,322,641","$60,341,310.01 ","$42,951,739.97 "
69220,OTHER,,"52,319","$5,860,567.99 ","$4,359,019.31 "
,TOTAL,,"52,319","$5,860,567.99 ","$4,359,019.31 "
69222,OTHER,,"7,797","$1,451,510.31 ","$1,114,531.13 "
,TOTAL,,"7,797","$1,451,510.31 ","$1,114,531.13 "
69300,SG,,7,"$3,232.01 ","$2,585.60 "
,OTHER,,34,"$13,703.52 ","$10,962.82 "
,TOTAL,,41,"$16,935.53 ","$13,548.42 "
69310,SG,,122,"$54,323.82 ","$42,126.07 "
,OTHER,,869,"$504,182.77 ","$399,233.83 "
,TOTAL,,991,"$558,506.59 ","$441,359.90 "
69320,SG,,6,"$5,383.95 ","$4,307.16 "
,OTHER,,35,"$38,000.40 ","$30,400.32 "
,TOTAL,,41,"$43,384.35 ","$34,707.48 "
69399,OTHER,,90,"$14,104.22 ","$11,276.54 "
,TOTAL,,90,"$14,104.22 ","$11,276.54 "
69400,OTHER,,"1,325","$143,234.13 ","$111,543.69 "
,TOTAL,,"1,325","$143,234.13 ","$111,543.69 "
69401,OTHER,,"4,191","$283,077.92 ","$218,499.19 "
,TOTAL,,"4,191","$283,077.92 ","$218,499.19 "
69405,OTHER,,40,"$6,606.34 ","$5,285.06 "
,TOTAL,,40,"$6,606.34 ","$5,285.06 "
69410,OTHER,,121,"$9,230.87 ","$6,666.41 "
,TOTAL,,121,"$9,230.87 ","$6,666.41 "
69420,OTHER,,"12,921","$2,087,108.37 ","$1,618,506.66 "
,TOTAL,,"12,921","$2,087,108.37 ","$1,618,506.66 "
69421,SG,,152,"$68,353.78 ","$52,889.59 "
,OTHER,,597,"$72,597.61 ","$56,946.05 "
,TOTAL,,749,"$140,951.39 ","$109,835.64 "
69424,OTHER,,"1,178","$113,991.06 ","$87,331.47 "
,TOTAL,,"1,178","$113,991.06 ","$87,331.47 "
69433,OTHER,,"40,687","$7,062,589.43 ","$5,464,673.77 "
,TOTAL,,"40,687","$7,062,589.43 ","$5,464,673.77 "
69436,SG,,"3,221","$1,539,964.60 ","$1,215,530.14 "
,OTHER,,"11,431","$1,907,510.51 ","$1,500,815.40 "
,TOTAL,,"14,652","$3,447,475.11 ","$2,716,345.54 "
69440,SG,,74,"$30,169.86 ","$23,621.14 "
,OTHER,,"1,031","$488,682.15 ","$386,518.27 "
,TOTAL,,"1,105","$518,852.01 ","$410,139.41 "
69450,SG,,57,"$10,538.78 ","$8,240.19 "
,OTHER,,348,"$132,992.31 ","$104,488.13 "
,TOTAL,,405,"$143,531.09 ","$112,728.32 "
69501,SG,,8,"$7,283.60 ","$5,826.88 "
,OTHER,,78,"$38,738.54 ","$30,339.86 "
,TOTAL,,86,"$46,022.14 ","$36,166.74 "
69502,SG,,20,"$19,402.35 ","$15,521.86 "
,80'S,,1,$79.35 ,$63.48 
,OTHER,,245,"$174,000.65 ","$138,229.51 "
,TOTAL,,266,"$193,482.35 ","$153,814.85 "
69505,SG,,17,"$15,678.97 ","$12,538.20 "
,OTHER,,129,"$106,543.96 ","$83,028.45 "
,TOTAL,,146,"$122,222.93 ","$95,566.65 "
69511,SG,,13,"$12,922.50 ","$10,338.00 "
,OTHER,,64,"$54,439.92 ","$42,351.02 "
,TOTAL,,77,"$67,362.42 ","$52,689.02 "
69530,OTHER,,19,"$22,548.23 ","$17,055.70 "
,TOTAL,,19,"$22,548.23 ","$17,055.70 "
69535,OTHER,,176,"$386,221.70 ","$307,436.08 "
,TOTAL,,176,"$386,221.70 ","$307,436.08 "
69540,OTHER,,573,"$88,557.41 ","$67,749.43 "
,TOTAL,,573,"$88,557.41 ","$67,749.43 "
69550,SG,,9,"$6,400.53 ","$5,120.43 "
,80'S,,1,$115.27 ,$92.22 
,OTHER,,57,"$41,068.77 ","$32,123.25 "
,TOTAL,,67,"$47,584.57 ","$37,335.90 "
69552,SG,,5,"$4,542.62 ","$3,634.08 "
,OTHER,,29,"$37,091.38 ","$29,593.09 "
,TOTAL,,34,"$41,634.00 ","$33,227.17 "
69554,OTHER,,5,"$10,216.30 ","$8,132.22 "
,TOTAL,,5,"$10,216.30 ","$8,132.22 "
69601,SG,,13,"$12,254.07 ","$9,723.25 "
,OTHER,,81,"$70,919.64 ","$56,280.35 "
,TOTAL,,94,"$83,173.71 ","$66,003.60 "
69602,SG,,7,"$6,423.35 ","$5,138.69 "
,OTHER,,84,"$73,531.96 ","$58,042.55 "
,TOTAL,,91,"$79,955.31 ","$63,181.24 "
69603,SG,,1,$491.82 ,$393.46 
,OTHER,,53,"$48,714.45 ","$38,891.58 "
,TOTAL,,54,"$49,206.27 ","$39,285.04 "
69604,SG,,12,"$11,011.84 ","$8,809.46 "
,OTHER,,74,"$67,802.64 ","$50,373.35 "
,TOTAL,,86,"$78,814.48 ","$59,182.81 "
69605,OTHER,,7,"$8,362.11 ","$6,689.69 "
,TOTAL,,7,"$8,362.11 ","$6,689.69 "
69610,OTHER,,"2,704","$923,622.78 ","$723,471.35 "
,TOTAL,,"2,704","$923,622.78 ","$723,471.35 "
69620,SG,,130,"$51,971.00 ","$40,188.03 "
,OTHER,,616,"$241,094.23 ","$189,035.44 "
,TOTAL,,746,"$293,065.23 ","$229,223.47 "
69631,SG,,671,"$467,731.44 ","$367,525.83 "
,OTHER,,"2,881","$1,879,597.62 ","$1,479,388.61 "
