Medicare Part B Physician/Supplier BESS Data,,,,,
For Calendar Year 2004,,,,,
Code Ranges 70010 - 79999,,,,,
,,,,,
HCPCS,MODIFIER,DESCRIPTION,ALLOWED SERVICES,ALLOWED CHARGES,PAYMENT
70010,TC,RADIOLOGY,2,$174.49 ,$139.59 
,26,,206,"$6,418.75 ","$4,852.49 "
,GLOBL,,9,$691.54 ,$553.24 
,TOTAL,,217,"$7,284.78 ","$5,545.32 "
70015,26,,227,"$13,720.66 ","$10,869.26 "
,GLOBL,,12,"$1,399.87 ","$1,119.87 "
,TOTAL,,239,"$15,120.53 ","$11,989.13 "
70030,TC,,962,"$14,604.31 ","$11,065.54 "
,26,,"27,331","$242,727.37 ","$186,601.04 "
,GLOBL,,"7,052","$177,912.42 ","$134,124.11 "
,TOTAL,,"35,345","$435,244.10 ","$331,790.69 "
70100,TC,,691,"$13,713.63 ","$10,346.55 "
,26,,"5,972","$55,953.96 ","$42,247.37 "
,GLOBL,,"2,013","$59,067.96 ","$44,212.00 "
,TOTAL,,"8,676","$128,735.55 ","$96,805.92 "
70110,TC,,516,"$12,288.55 ","$9,302.51 "
,26,,"14,260","$181,532.32 ","$136,588.22 "
,GLOBL,,"2,127","$79,154.49 ","$57,968.35 "
,TOTAL,,"16,903","$272,975.36 ","$203,859.08 "
70120,TC,,55,"$1,323.15 ",$961.75 
,26,,418,"$3,830.23 ","$2,922.23 "
,GLOBL,,493,"$16,247.30 ","$12,469.68 "
,TOTAL,,966,"$21,400.68 ","$16,353.66 "
70130,TC,,73,"$2,095.02 ","$1,543.67 "
,26,,536,"$9,080.41 ","$6,786.39 "
,GLOBL,,747,"$35,732.37 ","$26,860.75 "
,TOTAL,,"1,356","$46,907.80 ","$35,190.81 "
70134,26,,58,$989.33 ,$736.36 
,GLOBL,,51,"$2,245.71 ","$1,649.22 "
,TOTAL,,109,"$3,235.04 ","$2,385.58 "
70140,TC,,"1,799","$46,882.25 ","$36,248.50 "
,26,,"11,662","$101,778.01 ","$77,513.75 "
,GLOBL,,"3,632","$126,954.47 ","$95,706.96 "
,TOTAL,,"17,093","$275,614.73 ","$209,469.21 "
70150,TC,,"2,357","$73,072.81 ","$55,903.78 "
,26,,"33,994","$455,309.40 ","$344,084.18 "
,GLOBL,,"7,120","$316,446.55 ","$235,003.81 "
,TOTAL,,"43,471","$844,828.76 ","$634,991.77 "
