,,,Medicare Part B Physician/Supplier BESS Data,,
,,,For Calendar Year 2004,,
,,,Code Ranges S0016 - S9986,,
,,,,,
HCPCS,MODIFIER,DESCRIPTION,ALLOWED SERVICES,ALLOWED CHARGES,PAYMENT
,,,,,
S0016,TOTAL,NATIONAL CODES ESTABLISHED FOR PRIVATE PAYER USE,20,$0.20 ,$0.19 
S0020,TOTAL,,"2,868",$28.68 ,$27.30 
S0023,TOTAL,,515,$5.15 ,$4.93 
S0028,TOTAL,,136,$1.36 ,$1.13 
S0030,TOTAL,,13,$0.13 ,$0.13 
S0077,TOTAL,,30,$0.30 ,$0.28 
S0080,TOTAL,,1,$0.01 ,$0.01 
S0171,TOTAL,,5,$0.05 ,$0.04 
S0173,TOTAL,,1,$0.01 ,$0.01 
S0179,TOTAL,,2,$0.02 ,$0.02 
S0195,TOTAL,,1,$0.01 ,$0.01 
S0260,TOTAL,,1,$0.01 ,$0.01 
S0390,TOTAL,,92,$0.92 ,$0.76 
S0395,TOTAL,,3,$60.01 ,$48.01 
S0500,TOTAL,,3,$0.03 ,$0.02 
S0504,TOTAL,,10,$0.10 ,$0.07 
S0506,TOTAL,,10,$0.10 ,$0.10 
S0508,TOTAL,,1,$0.01 ,$0.01 
S0581,TOTAL,,1,$0.01 ,$0.01 
S0605,TOTAL,,9,$0.09 ,$0.09 
S0612,TOTAL,,5,$0.05 ,$0.03 
S0620,TOTAL,,12,$0.12 ,$0.10 
S0621,TOTAL,,12,$0.12 ,$0.11 
S0630,TOTAL,,105,$1.05 ,$1.01 
S0812,TOTAL,,2,$0.02 ,$0.02 
S0820,TOTAL,,33,$0.33 ,$0.33 
S0830,TOTAL,,28,$269.27 ,$215.46 
S1002,TOTAL,,1,$0.01 ,$0.01 
S2363,TOTAL,,1,"$1,038.20 ",$830.56 
S2370,TOTAL,,2,$0.02 ,$0.02 
S2371,TOTAL,,2,$0.02 ,$0.02 
S3601,TOTAL,,108,$1.08 ,$1.06 
S3645,TOTAL,,1,$0.01 ,$0.01 
S5010,TOTAL,,1,$0.01 ,$0.01 
S5522,TOTAL,,1,$0.01 ,$0.01 
S8085,TOTAL,,1,$0.01 ,$0.01 
S8100,TOTAL,,2,$0.02 ,$0.02 
S8110,TOTAL,,188,$1.88 ,$1.84 
S8431,TOTAL,,1,$0.01 ,$0.01 
S8450,TOTAL,,4,$0.04 ,$0.03 
S8451,TOTAL,,14,$0.14 ,$0.14 
S9213,TOTAL,,4,$0.04 ,$0.04 
S9214,TOTAL,,2,$0.02 ,$0.02 
S9494,TOTAL,,1,$0.01 ,$0.01 
S9502,TOTAL,,6,$0.06 ,$0.06 
S9986,TOTAL,,1,$0.01 ,$0.01 
,,,,,
