,,,Medicare Part B Physician/Supplier BESS Data,,
,,,For Calendar Year 2004,,
,,,Code Ranges WW002 - Z9024,,
,,,,,
HCPCS,MODIFIER,DESCRIPTION,ALLOWED SERVICES,ALLOWED CHARGES,PAYMENT
,,,,,
WW002,TOTAL,MISC.,"87,436","$581,663.59 ","$464,954.07 "
WW003,TOTAL,,"8,599","$2,270,135.25 ","$1,810,983.17 "
WW004,TOTAL,,"7,002","$1,288,933.64 ","$1,028,689.27 "
WW005,TOTAL,,"111,467","$12,081,880.21 ","$9,621,946.09 "
WW006,TOTAL,,"85,929","$2,217,592.17 ","$1,769,491.21 "
WW007,TOTAL,,"13,996","$369,888.35 ","$294,906.99 "
WW008,TOTAL,,"18,605","$2,280,539.66 ","$1,821,210.38 "
WW009,TOTAL,,"5,595","$39,247.11 ","$31,337.52 "
WW010,TOTAL,,"24,301","$43,659.45 ","$34,581.43 "
WW011,TOTAL,,"105,721","$315,144.37 ","$249,000.34 "
WW013,TOTAL,,144,$508.20 ,$406.56 
WW014,TOTAL,,"2,990","$5,661.81 ","$4,321.91 "
WW015,TOTAL,,"27,324","$87,604.60 ","$67,146.55 "
WW016,TOTAL,,136,$495.04 ,$392.77 
WW017,TOTAL,,30,$53.10 ,$42.48 
WW020,TOTAL,,"1,647","$3,294.50 ","$2,555.92 "
WW030,TOTAL,,"50,234","$2,000,597.69 ","$1,597,104.59 "
WW031,TOTAL,,"17,836","$768,686.90 ","$611,993.23 "
WW032,TOTAL,,"2,198","$97,291.95 ","$77,513.81 "
WW034,TOTAL,,56,$140.00 ,$112.00 
WW040,TOTAL,,"28,219","$59,117.36 ","$46,766.47 "
WW044,TOTAL,,60,$201.60 ,$161.28 
WW052,TOTAL,,130,$436.80 ,$349.44 
WW053,TOTAL,,364,"$1,099.42 ",$663.70 
WW054,TOTAL,,"13,859","$31,192.42 ","$21,816.71 "
WW060,TOTAL,,"16,415","$39,139.59 ","$26,479.51 "
WW064,TOTAL,,16,$42.24 ,$33.79 
WW068,TOTAL,,521,"$1,722.54 ","$1,164.70 "
WW076,TOTAL,,108,$362.88 ,$240.90 
WW080,TOTAL,,"51,220","$111,509.27 ","$88,894.92 "
WW081,TOTAL,,"36,542","$88,924.19 ","$67,551.81 "
WW089,TOTAL,,"3,462","$11,048.76 ","$8,839.00 "
WW090,TOTAL,,"142,866","$455,184.99 ","$362,938.61 "
WW091,TOTAL,,"99,421","$345,104.49 ","$273,758.39 "
WW093,TOTAL,,"2,187,911","$23,048,687.62 ","$18,391,548.61 "
WW094,TOTAL,,"1,542,727","$17,742,585.28 ","$14,095,596.27 "
WW096,TOTAL,,"44,289","$471,652.18 ","$376,758.03 "
WW921,TOTAL,,"55,346","$6,115,700.60 ","$4,772,058.96 "
WW922,TOTAL,,"65,834","$6,091,863.49 ","$4,800,306.88 "
W1886,TOTAL,,26,$161.60 ,$78.80 
W1887,TOTAL,,17,$142.75 ,$93.82 
W1999,TOTAL,,2,$235.32 ,$188.26 
W2016,TOTAL,,140,"$1,393.85 ","$1,105.25 "
W4072,TOTAL,,1,$6.34 ,$5.07 
W4125,TOTAL,,2,$51.53 ,$41.22 
W4130,TOTAL,,1,$29.85 ,$23.88 
W4131,TOTAL,,14,$436.58 ,$349.26 
W4132,TOTAL,,26,$330.37 ,$264.30 
W4134,TOTAL,,1,$22.57 ,$18.06 
W4151,TOTAL,,2,$36.30 ,$29.04 
W6105,TOTAL,,11,$311.36 ,$249.12 
W7681,TOTAL,,143,"$12,080.64 ","$8,649.72 "
W7822,TOTAL,,7,$68.50 ,$54.81 
W7823,TOTAL,,24,"$8,142.00 ","$6,513.60 "
W7824,TOTAL,,2,$79.50 ,$63.61 
W7825,TOTAL,,29,$435.00 ,$320.32 
W7827,TOTAL,,22,$266.00 ,$203.08 
W7828,TOTAL,,15,$294.00 ,$219.52 
X0800,TOTAL,,6,$97.20 ,$77.76 
X1002,TOTAL,,4,$96.00 ,$76.80 
X4526,TOTAL,,1,$55.00 ,$44.00 
X5522,TOTAL,,2,$892.00 ,$713.60 
X5588,TOTAL,,1,$20.00 ,$16.00 
X5610,TOTAL,,1,$32.00 ,$25.60 
X5634,TOTAL,,1,$10.00 ,$8.00 
X5862,TOTAL,,1,$85.00 ,$68.00 
X5864,TOTAL,,1,$40.00 ,$32.00 
X6051,TOTAL,,3,$220.00 ,$176.00 
X6234,TOTAL,,60,"$5,400.00 ","$4,320.00 "
Y8038,TOTAL,,100,"$2,400.00 ","$2,400.00 "
Z0007,TOTAL,,1,$15.32 ,$12.26 
Z1034,TOTAL,,1,$146.00 ,$116.80 
Z2704,TOTAL,,1,$60.00 ,$48.00 
Z2930,TOTAL,,3,$110.54 ,$88.43 
Z2932,TOTAL,,4,$125.00 ,$100.00 
Z5220,TOTAL,,8,$95.00 ,$64.00 
Z7500,TOTAL,,1,$71.00 ,$56.80 
Z7900,TOTAL,,270,$576.08 ,$460.60 
Z9024,TOTAL,,1,$104.00 ,$83.20 
,,,,,
