,,,Medicare Part B Physician/Supplier Bess Data,,
,,,For Calendar Year 2004,,
,,,Code Ranges B4000 - B9999,,
,,,,,
HCPCS,MODIFIER,DESCRIPTION,ALLOWED SERVICES,ALLOWED CHARGES,PAYMENT
B4034,TOTAL,ENTERAL AND PARENTAL THERAPY,"6,143,253","$34,170,648.64 ","$27,131,203.84 "
B4035,TOTAL,,"17,855,611","$195,101,695.33 ","$155,427,662.31 "
B4036,TOTAL,,"2,476,963","$18,234,155.62 ","$14,475,762.34 "
B4081,TOTAL,,959,"$18,308.39 ","$14,531.99 "
B4082,TOTAL,,"1,144","$17,019.71 ","$13,527.95 "
B4083,TOTAL,,733,"$1,697.03 ","$1,336.80 "
B4086,TOTAL,,"44,001","$1,498,347.85 ","$1,184,986.68 "
B4150,TOTAL,,"290,669,011","$177,148,640.11 ","$140,465,656.87 "
B4151,TOTAL,,"1,304,248","$1,871,912.75 ","$1,491,906.58 "
B4152,TOTAL,,"76,499,171","$38,906,914.02 ","$30,895,814.96 "
B4153,TOTAL,,"3,499,539","$5,972,440.04 ","$4,756,743.69 "
B4154,TOTAL,,"73,124,485","$81,136,058.70 ","$64,659,903.46 "
B4155,TOTAL,,"2,271,156","$1,751,358.67 ","$1,394,835.10 "
B4156,TOTAL,,"22,894","$24,631.13 ","$19,704.92 "
B4164,TOTAL,,"1,721","$25,502.23 ","$20,233.24 "
B4168,TOTAL,,92,"$1,858.94 ","$1,487.15 "
B4176,TOTAL,,636,"$24,616.68 ","$19,058.05 "
B4178,TOTAL,,"2,359","$114,749.80 ","$91,799.71 "
B4180,TOTAL,,"1,323","$25,678.83 ","$20,543.14 "
B4184,TOTAL,,"25,961","$1,484,804.68 ","$1,185,275.48 "
B4186,TOTAL,,"144,768","$12,122,409.98 ","$9,664,914.44 "
B4189,TOTAL,,"63,994","$10,166,048.86 ","$8,123,650.70 "
B4193,TOTAL,,"125,391","$25,602,809.12 ","$20,436,225.41 "
B4197,TOTAL,,"181,996","$45,720,544.93 ","$36,509,997.29 "
B4199,TOTAL,,"63,439","$18,019,537.09 ","$14,399,743.21 "
B4216,TOTAL,,"2,243","$12,052.62 ","$9,642.17 "
B4220,TOTAL,,"420,763","$2,954,229.64 ","$2,359,258.18 "
B4222,TOTAL,,"7,651","$66,042.05 ","$52,721.69 "
B4224,TOTAL,,"435,379","$9,838,078.66 ","$7,857,846.12 "
B5000,TOTAL,,"17,181","$153,642.68 ","$121,759.99 "
B5100,TOTAL,,"9,500","$40,470.00 ","$32,375.99 "
B5200,TOTAL,,1,$440.00 ,$352.00 
B9000,TOTAL,,"1,474","$612,182.72 ","$488,880.23 "
B9002,TOTAL,,"296,336","$32,601,994.97 ","$25,907,620.96 "
B9004,TOTAL,,"6,652","$2,384,768.39 ","$1,904,918.62 "
B9006,TOTAL,,895,"$318,903.23 ","$254,846.75 "
B9998,TOTAL,,"3,464","$19,132.21 ","$15,277.33 "
B9999,TOTAL,,175,"$33,038.12 ","$26,430.34 "
,,,,,
