Medicare Part B Physician/Supplier BESS Data,,,,,
For Calendar Year 2004,,,,,
Code Ranges K0000 - K9999,,,,,
,,,,,
HCPCS,MODIFIER,DESCRIPTION,ALLOWED SERVICES,ALLOWED CHARGES,PAYMENT
K0001,TOTAL,REGIONAL DURABLE MEDICAL EQUIPMENTRCS,"2,269,998","$102,306,527.80 ","$76,976,567.83 "
K0002,TOTAL,,"156,667","$10,240,010.38 ","$7,744,707.03 "
K0003,TOTAL,,"827,700","$58,697,781.84 ","$44,751,285.58 "
K0004,TOTAL,,"811,943","$84,882,687.64 ","$65,182,718.33 "
K0005,TOTAL,,"2,451","$3,631,806.05 ","$2,848,280.60 "
K0006,TOTAL,,"111,009","$10,950,647.92 ","$8,406,476.43 "
K0007,TOTAL,,"43,103","$6,280,708.02 ","$4,870,179.40 "
K0009,TOTAL,,182,"$300,508.21 ","$238,370.20 "
K0010,TOTAL,,"6,488","$13,805,312.86 ","$10,985,245.65 "
K0011,TOTAL,,"170,871","$822,204,573.58 ","$653,808,978.66 "
K0012,TOTAL,,"2,051","$2,765,905.22 ","$2,200,507.33 "
K0014,TOTAL,,"1,398","$10,042,833.35 ","$7,862,864.96 "
K0015,TOTAL,,"4,109","$534,916.01 ","$424,269.68 "
K0016,TOTAL,,"24,755","$1,485,235.72 ","$1,174,454.58 "
K0017,TOTAL,,"1,416","$39,236.16 ","$31,257.12 "
K0018,TOTAL,,299,"$6,498.03 ","$5,008.31 "
K0019,TOTAL,,"26,131","$415,933.10 ","$318,865.70 "
K0020,TOTAL,,"1,753","$47,733.58 ","$37,936.41 "
K0022,TOTAL,,162,"$7,256.78 ","$5,754.21 "
K0023,TOTAL,,"1,545","$132,350.76 ","$105,236.68 "
K0024,TOTAL,,344,"$28,890.09 ","$22,812.60 "
K0025,TOTAL,,"2,665","$141,649.61 ","$112,511.25 "
K0026,TOTAL,,32,"$1,332.80 ",$910.22 
K0027,TOTAL,,399,"$17,358.13 ","$13,425.40 "
K0028,TOTAL,,"5,670","$1,067,386.00 ","$834,290.87 "
K0029,TOTAL,,33,"$1,418.08 ",$923.24 
K0030,TOTAL,,"1,897","$230,016.10 ","$182,274.13 "
K0031,TOTAL,,"30,050","$963,559.67 ","$760,301.59 "
K0032,TOTAL,,51,"$2,177.16 ","$1,467.67 "
K0033,TOTAL,,427,"$17,853.37 ","$13,617.91 "
K0035,TOTAL,,287,"$5,197.68 ","$3,982.85 "
K0036,TOTAL,,207,"$3,418.86 ","$2,654.81 "
K0037,TOTAL,,999,"$17,754.16 ","$14,015.67 "
K0038,TOTAL,,"1,108","$24,552.06 ","$19,483.19 "
K0039,TOTAL,,705,"$30,264.79 ","$23,878.60 "
K0040,TOTAL,,"17,912","$1,171,686.17 ","$929,030.31 "
K0041,TOTAL,,"4,034","$187,608.08 ","$149,040.34 "
K0042,TOTAL,,660,"$18,959.85 ","$14,828.98 "
K0043,TOTAL,,"1,489","$24,982.15 ","$19,230.46 "
K0044,TOTAL,,904,"$14,635.33 ","$11,210.53 "
K0045,TOTAL,,"1,991","$88,263.98 ","$68,372.92 "
K0046,TOTAL,,177,"$2,064.82 ","$1,622.27 "
K0047,TOTAL,,427,"$24,823.09 ","$19,557.10 "
K0048,TOTAL,,"19,049","$1,799,649.24 ","$1,428,564.10 "
K0049,TOTAL,,173,"$4,396.36 ","$3,442.93 "
K0050,TOTAL,,97,"$2,936.79 ","$2,170.47 "
K0051,TOTAL,,451,"$18,010.35 ","$13,801.79 "
K0052,TOTAL,,"6,474","$327,852.91 ","$258,729.33 "
K0053,TOTAL,,"6,659","$448,306.63 ","$357,478.03 "
K0054,TOTAL,,"1,897","$44,962.41 ","$34,245.42 "
K0055,TOTAL,,"2,727","$87,369.55 ","$68,360.33 "
K0056,TOTAL,,"11,182","$318,375.36 ","$252,645.78 "
K0057,TOTAL,,"2,672","$64,627.37 ","$48,369.72 "
