Medicare Part B Physician/Supplier BESS Data,,,,,
For Calendar Year 2004,,,,,
Code Ranges L0100 - L4999,,,,,
,,,,,
HCPCS,MODIFIER,DESCRIPTION,ALLOWED SERVICES,ALLOWED CHARGES,PAYMENT
L0100,TOTAL,ORTHOTICS,27,"$9,781.75 ","$7,784.59 "
L0110,TOTAL,,41,"$5,386.17 ","$4,308.95 "
L0112,TOTAL,,436,"$484,850.22 ","$386,099.33 "
L0120,TOTAL,,"21,212","$434,230.29 ","$335,706.43 "
L0130,TOTAL,,348,"$48,993.73 ","$38,628.37 "
L0140,TOTAL,,848,"$41,852.44 ","$32,495.67 "
L0150,TOTAL,,"1,107","$100,819.92 ","$78,163.38 "
L0160,TOTAL,,547,"$70,893.69 ","$55,290.58 "
L0170,TOTAL,,"3,136","$1,753,556.94 ","$1,399,361.08 "
L0172,TOTAL,,"5,146","$550,411.19 ","$428,957.11 "
L0174,TOTAL,,"2,029","$457,866.34 ","$360,980.62 "
L0180,TOTAL,,"1,152","$354,807.96 ","$281,148.00 "
L0190,TOTAL,,707,"$309,518.50 ","$244,983.50 "
L0200,TOTAL,,526,"$235,084.39 ","$184,999.40 "
L0210,TOTAL,,"6,636","$192,629.24 ","$147,219.69 "
L0220,TOTAL,,229,"$14,790.95 ","$11,244.98 "
L0450,TOTAL,,"3,605","$541,909.43 ","$423,988.89 "
L0452,TOTAL,,75,"$24,219.00 ","$19,232.22 "
L0454,TOTAL,,"1,440","$384,273.00 ","$303,815.33 "
L0456,TOTAL,,"1,255","$840,398.94 ","$668,459.41 "
L0458,TOTAL,,809,"$573,299.63 ","$453,494.29 "
L0460,TOTAL,,"1,000","$788,627.51 ","$624,356.09 "
L0462,TOTAL,,324,"$306,155.73 ","$242,605.13 "
L0464,TOTAL,,"2,909","$3,382,012.69 ","$2,692,958.68 "
L0466,TOTAL,,381,"$96,050.62 ","$75,662.35 "
L0468,TOTAL,,396,"$159,056.95 ","$125,880.41 "
L0470,TOTAL,,659,"$348,751.67 ","$278,031.81 "
L0472,TOTAL,,"8,840","$3,076,944.98 ","$2,435,910.90 "
L0474,TOTAL,,15,"$8,841.55 ","$6,955.03 "
L0476,TOTAL,,242,"$209,984.06 ","$166,051.74 "
L0478,TOTAL,,183,"$228,069.86 ","$181,769.81 "
L0480,TOTAL,,596,"$708,064.33 ","$563,240.61 "
L0482,TOTAL,,"1,991","$1,314,961.24 ","$1,040,086.90 "
L0484,TOTAL,,712,"$993,275.40 ","$784,137.04 "
L0486,TOTAL,,"2,560","$3,904,353.41 ","$3,079,316.54 "
L0488,TOTAL,,401,"$319,769.73 ","$251,940.33 "
