Medicare Part B Physician/Supplier BESS Data,,,,,
For Calendar Year 2004,,,,,
Code Ranges L5000- L9999,,,,,
,,,,,
HCPCS,MODIFIER,DESCRIPTION,ALLOWED SERVICES,ALLOWED CHARGES,PAYMENT
L5000,TOTAL,PROSTHECTICS,"11,811","$5,119,769.68 ","$4,046,443.88 "
L5010,TOTAL,,612,"$604,806.06 ","$478,121.33 "
L5020,TOTAL,,599,"$1,079,327.86 ","$845,787.09 "
L5050,TOTAL,,"2,540","$4,997,435.09 ","$3,976,134.45 "
L5060,TOTAL,,478,"$1,059,582.64 ","$847,381.12 "
L5100,TOTAL,,"1,845","$3,651,077.89 ","$2,908,929.79 "
L5105,TOTAL,,291,"$845,765.50 ","$670,859.19 "
L5150,TOTAL,,56,"$165,472.97 ","$130,098.20 "
L5160,TOTAL,,28,"$77,073.92 ","$61,551.31 "
L5200,TOTAL,,242,"$712,737.11 ","$565,510.80 "
L5210,TOTAL,,89,"$191,690.71 ","$148,821.62 "
L5220,TOTAL,,111,"$274,390.93 ","$219,393.54 "
L5230,TOTAL,,59,"$185,727.12 ","$148,501.55 "
L5250,TOTAL,,11,"$49,441.76 ","$37,668.26 "
L5270,TOTAL,,3,"$15,423.32 ","$12,316.26 "
L5280,TOTAL,,323,"$1,322,749.58 ","$1,058,120.29 "
L5301,TOTAL,,"26,578","$56,817,451.84 ","$44,706,559.42 "
L5311,TOTAL,,165,"$513,193.91 ","$398,864.14 "
L5321,TOTAL,,"7,666","$22,922,979.45 ","$18,144,651.15 "
L5331,TOTAL,,197,"$870,549.87 ","$687,030.86 "
L5341,TOTAL,,"1,744","$6,177,501.07 ","$4,938,301.66 "
L5400,TOTAL,,69,"$78,436.39 ","$61,016.13 "
L5410,TOTAL,,61,"$22,811.84 ","$18,181.73 "
L5420,TOTAL,,2,"$2,293.00 ","$1,834.40 "
L5430,TOTAL,,1,$538.08 ,$430.46 
L5450,TOTAL,,295,"$105,335.00 ","$81,997.88 "
L5460,TOTAL,,10,"$4,613.37 ","$3,690.70 "
L5500,TOTAL,,"2,075","$2,102,402.13 ","$1,680,958.01 "
L5505,TOTAL,,20,"$28,410.52 ","$22,728.42 "
L5510,TOTAL,,147,"$178,018.89 ","$141,709.52 "
L5520,TOTAL,,"4,261","$4,923,237.82 ","$3,936,952.71 "
L5530,TOTAL,,"1,807","$2,856,967.85 ","$2,255,103.19 "
L5535,TOTAL,,119,"$182,295.56 ","$145,551.68 "
L5540,TOTAL,,"4,075","$6,781,225.06 ","$5,349,756.16 "
L5560,TOTAL,,439,"$693,914.31 ","$555,051.42 "
L5570,TOTAL,,41,"$68,271.45 ","$54,537.13 "
L5580,TOTAL,,672,"$1,431,370.65 ","$1,136,293.17 "
L5585,TOTAL,,143,"$336,331.43 ","$264,866.83 "
L5590,TOTAL,,"1,568","$3,443,268.90 ","$2,740,286.04 "
L5595,TOTAL,,"7,939","$27,023,635.34 ","$21,617,345.51 "
L5600,TOTAL,,"2,625","$9,618,103.96 ","$7,694,160.03 "
L5610,TOTAL,,9,"$16,652.29 ","$13,241.83 "
L5611,TOTAL,,696,"$946,872.29 ","$753,829.20 "
L5613,TOTAL,,345,"$726,512.63 ","$572,674.14 "
L5614,TOTAL,,37,"$50,346.07 ","$38,602.36 "
L5616,TOTAL,,81,"$94,626.99 ","$75,159.47 "
L5617,TOTAL,,202,"$89,934.33 ","$71,620.25 "
L5618,TOTAL,,"1,009","$248,795.73 ","$195,041.11 "
L5620,TOTAL,,"50,927","$12,538,506.29 ","$9,878,319.59 "
L5622,TOTAL,,399,"$132,588.71 ","$103,348.69 "
L5624,TOTAL,,"18,343","$5,996,512.17 ","$4,747,400.45 "
L5626,TOTAL,,211,"$90,139.42 ","$69,774.04 "
L5628,TOTAL,,60,"$27,146.51 ","$21,380.61 "
L5629,TOTAL,,"33,340","$9,604,588.73 ","$7,576,911.82 "
L5630,TOTAL,,142,"$56,970.46 ","$45,008.07 "
L5631,TOTAL,,"9,156","$3,618,124.62 ","$2,857,657.84 "
L5632,TOTAL,,879,"$174,318.06 ","$137,256.47 "
L5634,TOTAL,,192,"$52,290.75 ","$41,488.73 "
L5636,TOTAL,,288,"$61,446.22 ","$48,627.77 "
L5637,TOTAL,,"42,391","$12,127,298.46 ","$9,573,719.78 "
L5638,TOTAL,,51,"$22,981.10 ","$17,968.51 "
L5639,TOTAL,,9,"$6,398.54 ","$5,118.83 "
L5640,TOTAL,,57,"$30,954.29 ","$24,404.14 "
L5642,TOTAL,,11,"$5,770.84 ","$4,616.71 "
L5643,TOTAL,,175,"$229,823.75 ","$179,114.24 "
L5644,TOTAL,,6,"$3,171.47 ","$2,537.16 "
L5645,TOTAL,,"10,072","$6,720,714.18 ","$5,312,465.60 "
L5646,TOTAL,,119,"$54,678.04 ","$43,703.83 "
L5647,TOTAL,,"11,090","$7,429,757.02 ","$5,848,770.87 "
L5648,TOTAL,,50,"$27,127.33 ","$21,544.90 "
L5649,TOTAL,,"11,183","$19,787,963.68 ","$15,675,825.58 "
L5650,TOTAL,,"11,675","$5,068,695.49 ","$4,014,540.02 "
L5651,TOTAL,,"9,189","$9,693,469.27 ","$7,663,857.62 "
L5652,TOTAL,,"5,639","$2,100,046.43 ","$1,658,178.87 "
L5653,TOTAL,,157,"$78,073.13 ","$61,984.36 "
L5654,TOTAL,,287,"$85,552.64 ","$66,437.93 "
L5655,TOTAL,,"9,870","$2,644,760.50 ","$2,091,436.37 "
L5656,TOTAL,,90,"$29,945.14 ","$23,575.59 "
L5658,TOTAL,,379,"$173,623.42 ","$138,396.04 "
L5661,TOTAL,,119,"$63,781.18 ","$49,771.25 "
L5665,TOTAL,,"3,031","$1,359,758.87 ","$1,076,063.81 "
L5666,TOTAL,,"3,304","$211,115.51 ","$163,950.19 "
L5668,TOTAL,,"15,858","$1,470,045.10 ","$1,159,054.02 "
L5670,TOTAL,,"6,166","$1,412,920.01 ","$1,115,464.06 "
L5671,TOTAL,,"31,795","$14,356,063.30 ","$11,328,949.78 "
L5672,TOTAL,,186,"$47,358.99 ","$37,326.06 "
L5673,TOTAL,,"63,039","$36,872,568.79 ","$29,024,775.00 "
L5674,TOTAL,,"4,851","$271,920.19 ","$208,483.78 "
L5675,TOTAL,,"31,620","$2,457,189.30 ","$1,901,306.05 "
L5676,TOTAL,,609,"$192,825.27 ","$151,472.14 "
L5677,TOTAL,,190,"$82,781.19 ","$65,100.84 "
L5678,TOTAL,,675,"$23,188.07 ","$18,193.22 "
L5679,TOTAL,,"16,144","$7,904,479.63 ","$6,209,540.29 "
L5680,TOTAL,,537,"$143,603.20 ","$113,617.81 "
L5681,TOTAL,,"1,799","$1,546,296.46 ","$1,221,724.16 "
L5682,TOTAL,,206,"$110,510.15 ","$86,771.42 "
L5683,TOTAL,,"3,336","$3,487,704.87 ","$2,759,548.85 "
L5684,TOTAL,,"1,507","$60,940.50 ","$47,591.67 "
L5686,TOTAL,,344,"$15,657.19 ","$12,291.48 "
L5688,TOTAL,,"1,356","$72,342.83 ","$55,706.51 "
L5690,TOTAL,,840,"$73,325.82 ","$57,361.15 "
L5692,TOTAL,,391,"$46,046.66 ","$36,333.81 "
L5694,TOTAL,,"1,257","$199,960.04 ","$156,416.95 "
L5695,TOTAL,,"4,518","$665,345.30 ","$524,645.55 "
L5696,TOTAL,,805,"$130,793.49 ","$103,457.15 "
L5697,TOTAL,,766,"$53,210.05 ","$42,090.84 "
L5698,TOTAL,,"1,279","$126,710.02 ","$97,789.43 "
L5699,TOTAL,,68,"$11,340.17 ","$8,898.24 "
L5700,TOTAL,,"19,719","$46,410,404.50 ","$36,799,956.86 "
L5701,TOTAL,,"3,341","$9,869,702.33 ","$7,789,023.84 "
L5702,TOTAL,,590,"$2,054,314.43 ","$1,641,383.57 "
L5704,TOTAL,,"26,312","$12,155,251.99 ","$9,582,692.31 "
L5705,TOTAL,,"6,958","$5,738,140.68 ","$4,544,058.51 "
L5706,TOTAL,,146,"$117,822.56 ","$90,857.18 "
L5707,TOTAL,,129,"$138,859.03 ","$109,939.33 "
L5710,TOTAL,,29,"$9,045.44 ","$6,996.45 "
L5711,TOTAL,,38,"$17,236.47 ","$13,789.10 "
L5712,TOTAL,,134,"$50,275.13 ","$39,731.91 "
L5714,TOTAL,,7,"$2,627.78 ","$2,052.99 "
L5716,TOTAL,,5,"$3,129.24 ","$2,503.40 "
L5718,TOTAL,,12,"$9,801.31 ","$7,763.11 "
L5722,TOTAL,,2,"$1,543.64 ","$1,234.92 "
L5724,TOTAL,,15,"$21,224.29 ","$15,889.54 "
L5726,TOTAL,,2,"$3,090.01 ","$1,171.43 "
L5728,TOTAL,,50,"$101,102.02 ","$79,024.36 "
L5780,TOTAL,,3,"$3,236.95 ","$2,589.56 "
L5781,TOTAL,,836,"$2,659,032.81 ","$2,049,979.92 "
L5782,TOTAL,,66,"$210,225.15 ","$164,514.04 "
L5785,TOTAL,,"1,489","$668,666.65 ","$528,194.46 "
L5790,TOTAL,,414,"$256,408.60 ","$201,542.93 "
L5795,TOTAL,,21,"$21,560.62 ","$17,248.49 "
L5810,TOTAL,,600,"$244,992.00 ","$195,396.16 "
L5811,TOTAL,,"1,139","$730,302.92 ","$582,556.71 "
