Medicare Part B Physician/Supplier BESS Data,,,,,
For Calendar Year 2005,,,,,
Code Ranges - 38100 - 38999,,,,,
,BESS REPORTS, CODE RANGES,,,
HCPCS,MODIFIER,DESCRIPTION,ALLOWED SERVICES,ALLOWED CHARGES,PAYMENT
_____,________,___________,________________,_______________,_______
38100,80'S,LYMPHATIC,"1,026","$115,702.95 ","$91,701.68 "
,OTHER,,"4,293","$2,906,276.57 ","$2,311,017.46 "
,TOTAL,,"5,319","$3,021,979.52 ","$2,402,719.14 "
38101,80'S,,12,"$1,299.80 ","$1,039.83 "
,OTHER,,51,"$28,145.78 ","$22,137.16 "
,TOTAL,,63,"$29,445.58 ","$23,176.99 "
38102,80'S,,166,"$7,078.75 ","$5,658.98 "
,OTHER,,739,"$186,031.71 ","$148,528.04 "
,TOTAL,,905,"$193,110.46 ","$154,187.02 "
38115,80'S,,60,"$5,804.72 ","$4,643.76 "
,OTHER,,290,"$172,873.02 ","$136,852.64 "
,TOTAL,,350,"$178,677.74 ","$141,496.40 "
38120,80'S,,384,"$59,447.14 ","$47,168.85 "
,OTHER,,"1,158","$1,077,659.40 ","$850,705.97 "
,TOTAL,,"1,542","$1,137,106.54 ","$897,874.82 "
38129,80'S,,3,$235.52 ,$188.41 
,OTHER,,15,"$8,589.26 ","$6,871.42 "
,TOTAL,,18,"$8,824.78 ","$7,059.83 "
38200,OTHER,,41,"$4,238.69 ","$3,312.30 "
,TOTAL,,41,"$4,238.69 ","$3,312.30 "
38205,OTHER,,127,"$10,466.78 ","$8,272.66 "
,TOTAL,,127,"$10,466.78 ","$8,272.66 "
38206,OTHER,,"2,044","$170,341.08 ","$135,365.58 "
,TOTAL,,"2,044","$170,341.08 ","$135,365.58 "
38220,80'S,,215,"$1,274.84 ","$1,011.78 "
,OTHER,,"50,681","$3,596,443.71 ","$2,831,090.89 "
,TOTAL,,"50,896","$3,597,718.55 ","$2,832,102.67 "
38221,80'S,,5,$41.26 ,$33.00 
,OTHER,,"137,487","$19,394,783.46 ","$15,273,163.72 "
,TOTAL,,"137,492","$19,394,824.72 ","$15,273,196.72 "
38230,80'S,,6,$102.52 ,$82.01 
,OTHER,,747,"$161,455.54 ","$127,700.61 "
,TOTAL,,753,"$161,558.06 ","$127,782.62 "
38240,OTHER,,181,"$23,814.22 ","$19,018.50 "
,TOTAL,,181,"$23,814.22 ","$19,018.50 "
38241,OTHER,,976,"$122,489.21 ","$97,395.28 "
,TOTAL,,976,"$122,489.21 ","$97,395.28 "
38242,OTHER,,39,"$3,821.32 ","$3,049.29 "
,TOTAL,,39,"$3,821.32 ","$3,049.29 "
38300,SG,,3,$653.41 ,$522.73 
,OTHER,,"1,104","$225,505.76 ","$178,980.43 "
,TOTAL,,"1,107","$226,159.17 ","$179,503.16 "
38305,SG,,6,"$2,383.48 ","$1,906.79 "
,OTHER,,"6,274","$2,216,494.72 ","$1,763,237.38 "
,TOTAL,,"6,280","$2,218,878.20 ","$1,765,144.17 "
38308,SG,,20,"$5,274.77 ","$4,219.76 "
,80'S,,115,"$4,937.51 ","$3,947.36 "
,OTHER,,"1,481","$449,931.82 ","$357,092.59 "
,TOTAL,,"1,616","$460,144.10 ","$365,259.71 "
38380,80'S,,4,$236.89 ,$189.51 
,OTHER,,53,"$20,110.12 ","$15,804.68 "
,TOTAL,,57,"$20,347.01 ","$15,994.19 "
38381,80'S,,18,"$1,892.44 ","$1,513.96 "
,OTHER,,158,"$85,184.71 ","$68,147.79 "
,TOTAL,,176,"$87,077.15 ","$69,661.75 "
38382,80'S,,3,$233.74 ,$186.99 
,OTHER,,10,"$4,499.93 ","$3,388.97 "
,TOTAL,,13,"$4,733.67 ","$3,575.96 "
38500,SG,,967,"$377,929.86 ","$297,939.04 "
,80'S,,2,$93.57 ,$74.86 
,OTHER,,"13,982","$2,643,024.00 ","$2,091,134.24 "
,TOTAL,,"14,951","$3,021,047.43 ","$2,389,148.14 "
38505,SG,,125,"$34,461.93 ","$26,938.93 "
,80'S,,2,$20.94 ,$16.75 
,OTHER,,"8,460","$754,807.27 ","$592,040.04 "
,TOTAL,,"8,587","$789,290.14 ","$618,995.72 "
38510,SG,,964,"$398,303.60 ","$313,342.80 "
,OTHER,,"10,159","$3,717,462.54 ","$2,939,636.29 "
,TOTAL,,"11,123","$4,115,766.14 ","$3,252,979.09 "
38520,SG,,45,"$18,663.55 ","$14,816.22 "
,OTHER,,944,"$384,878.90 ","$303,507.09 "
,TOTAL,,989,"$403,542.45 ","$318,323.31 "
38525,SG,,"1,893","$597,427.26 ","$473,884.30 "
,80'S,,2,$81.35 ,$65.08 
,OTHER,,"33,497","$8,793,227.32 ","$6,979,309.56 "
,TOTAL,,"35,392","$9,390,735.93 ","$7,453,258.94 "
38530,SG,,11,"$3,099.09 ","$2,479.27 "
,80'S,,42,"$2,152.37 ","$1,710.94 "
,OTHER,,315,"$108,375.96 ","$85,912.91 "
,TOTAL,,368,"$113,627.42 ","$90,103.12 "
38542,SG,,57,"$22,728.90 ","$17,489.59 "
,80'S,,103,"$5,120.88 ","$4,085.24 "
,OTHER,,"1,197","$380,701.66 ","$301,383.81 "
,TOTAL,,"1,357","$408,551.44 ","$322,958.64 "
38550,SG,,8,"$3,639.97 ","$2,827.58 "
,80'S,,2,$94.66 ,$75.73 
,OTHER,,159,"$56,383.41 ","$44,905.50 "
,TOTAL,,169,"$60,118.04 ","$47,808.81 "
38555,SG,,4,"$2,605.16 ","$2,084.14 "
,80'S,,3,$397.37 ,$317.89 
,OTHER,,76,"$62,221.96 ","$48,996.23 "
,TOTAL,,83,"$65,224.49 ","$51,398.26 "
38562,80'S,,287,"$23,664.19 ","$18,931.39 "
,OTHER,,"1,271","$598,057.60 ","$475,796.07 "
,TOTAL,,"1,558","$621,721.79 ","$494,727.46 "
38564,80'S,,93,"$6,149.34 ","$4,894.50 "
,OTHER,,438,"$188,322.09 ","$148,860.94 "
,TOTAL,,531,"$194,471.43 ","$153,755.44 "
38570,SG,,3,"$3,819.34 ","$3,055.47 "
,80'S,,156,"$7,888.47 ","$6,282.80 "
,OTHER,,571,"$215,392.31 ","$170,937.96 "
,TOTAL,,730,"$227,100.12 ","$180,276.23 "
38571,SG,,2,"$2,622.42 ","$2,097.94 "
,80'S,,438,"$35,053.34 ","$27,756.86 "
,OTHER,,"1,560","$729,220.11 ","$574,972.67 "
,TOTAL,,"2,000","$766,895.87 ","$604,827.47 "
38572,80'S,,87,"$10,204.47 ","$8,004.00 "
,OTHER,,315,"$208,188.69 ","$166,107.85 "
,TOTAL,,402,"$218,393.16 ","$174,111.85 "
38589,80'S,,6,$291.58 ,$233.27 
,OTHER,,45,"$14,325.14 ","$11,460.14 "
,TOTAL,,51,"$14,616.72 ","$11,693.41 "
38700,80'S,,152,"$10,979.61 ","$8,690.22 "
,OTHER,,873,"$362,454.17 ","$286,726.31 "
,TOTAL,,"1,025","$373,433.78 ","$295,416.53 "
38720,80'S,,176,"$23,071.22 ","$18,127.48 "
,OTHER,,927,"$723,407.21 ","$574,839.08 "
,TOTAL,,"1,103","$746,478.43 ","$592,966.56 "
38724,80'S,,806,"$105,212.31 ","$83,117.01 "
,OTHER,,"4,563","$3,604,776.71 ","$2,859,719.41 "
,TOTAL,,"5,369","$3,709,989.02 ","$2,942,836.42 "
38740,SG,,138,"$43,698.29 ","$34,870.58 "
,80'S,,159,"$14,745.65 ","$11,796.52 "
,OTHER,,"2,769","$1,516,984.31 ","$1,204,385.99 "
,TOTAL,,"3,066","$1,575,428.25 ","$1,251,053.09 "
38745,SG,,150,"$94,286.57 ","$75,165.15 "
,80'S,,315,"$38,419.55 ","$30,583.60 "
,OTHER,,"4,018","$2,895,742.37 ","$2,296,072.46 "
,TOTAL,,"4,483","$3,028,448.49 ","$2,401,821.21 "
38746,80'S,,"1,797","$78,657.26 ","$62,578.18 "
,OTHER,,"13,215","$3,228,056.83 ","$2,565,766.64 "
,TOTAL,,"15,012","$3,306,714.09 ","$2,628,344.82 "
38747,80'S,,389,"$17,688.99 ","$14,062.17 "
,OTHER,,"1,910","$499,785.37 ","$396,713.52 "
,TOTAL,,"2,299","$517,474.36 ","$410,775.69 "
38760,SG,,94,"$36,282.83 ","$28,727.95 "
