Medicare Part B Physician/Supplier BESS Data,,,,,
For Calendar Year 2005,,,,,
Code Ranges - 50010 - 53899,,,,,
,BESS REPORTS, CODE RANGES,,,
HCPCS,MODIFIER,DESCRIPTION,ALLOWED SERVICES,ALLOWED CHARGES,PAYMENT
_____,________,___________,________________,_______________,_______
50010,80'S,URINARY,65,"$4,286.37 ","$3,373.56 "
,OTHER,,231,"$104,541.96 ","$82,998.94 "
,TOTAL,,296,"$108,828.33 ","$86,372.50 "
50020,80'S,,1,$137.98 ,$110.38 
,OTHER,,232,"$131,485.56 ","$104,320.33 "
,TOTAL,,233,"$131,623.54 ","$104,430.71 "
50021,OTHER,,820,"$142,668.39 ","$112,999.29 "
,TOTAL,,820,"$142,668.39 ","$112,999.29 "
50040,OTHER,,165,"$120,688.86 ","$96,237.20 "
,TOTAL,,165,"$120,688.86 ","$96,237.20 "
50045,80'S,,4,$427.94 ,$342.08 
,OTHER,,13,"$9,044.32 ","$7,235.46 "
,TOTAL,,17,"$9,472.26 ","$7,577.54 "
50060,80'S,,20,"$3,263.53 ","$2,610.81 "
,OTHER,,71,"$64,736.06 ","$51,027.52 "
,TOTAL,,91,"$67,999.59 ","$53,638.33 "
50065,80'S,,2,$252.99 ,$202.39 
,OTHER,,10,"$10,045.11 ","$7,963.42 "
,TOTAL,,12,"$10,298.10 ","$8,165.81 "
50070,OTHER,,3,"$2,513.75 ","$2,011.00 "
,TOTAL,,3,"$2,513.75 ","$2,011.00 "
50075,80'S,,16,"$3,551.29 ","$2,841.06 "
,OTHER,,50,"$67,812.80 ","$54,162.28 "
,TOTAL,,66,"$71,364.09 ","$57,003.34 "
50080,OTHER,,"1,464","$1,158,249.71 ","$916,850.98 "
,TOTAL,,"1,464","$1,158,249.71 ","$916,850.98 "
50081,80'S,,234,"$45,587.78 ","$35,728.29 "
,OTHER,,"2,506","$2,960,138.07 ","$2,343,432.52 "
,TOTAL,,"2,740","$3,005,725.85 ","$2,379,160.81 "
50100,OTHER,,19,"$10,881.70 ","$8,705.35 "
,TOTAL,,19,"$10,881.70 ","$8,705.35 "
50120,80'S,,1,$72.67 ,$58.14 
,OTHER,,28,"$19,827.47 ","$15,861.97 "
,TOTAL,,29,"$19,900.14 ","$15,920.11 "
50125,80'S,,1,$145.43 ,$116.34 
,OTHER,,5,"$3,786.44 ","$3,029.15 "
,TOTAL,,6,"$3,931.87 ","$3,145.49 "
50130,80'S,,45,"$5,911.76 ","$4,641.42 "
,OTHER,,84,"$67,219.70 ","$53,766.63 "
,TOTAL,,129,"$73,131.46 ","$58,408.05 "
50135,80'S,,9,"$1,395.91 ","$1,116.73 "
,OTHER,,18,"$15,803.75 ","$12,614.88 "
,TOTAL,,27,"$17,199.66 ","$13,731.61 "
50200,SG,,26,"$8,272.89 ","$6,618.25 "
,80'S,,1,$10.16 ,$8.13 
,OTHER,,"24,541","$3,728,701.80 ","$2,926,100.67 "
,TOTAL,,"24,568","$3,736,984.85 ","$2,932,727.05 "
50205,80'S,,110,"$8,935.69 ","$7,098.43 "
,OTHER,,977,"$451,450.03 ","$353,704.78 "
,TOTAL,,"1,087","$460,385.72 ","$360,803.21 "
50220,80'S,,"1,138","$171,005.71 ","$135,624.27 "
,OTHER,,"2,318","$2,063,746.58 ","$1,639,930.62 "
,TOTAL,,"3,456","$2,234,752.29 ","$1,775,554.89 "
50225,80'S,,151,"$26,751.13 ","$21,253.63 "
,OTHER,,331,"$356,405.42 ","$283,888.19 "
,TOTAL,,482,"$383,156.55 ","$305,141.82 "
50230,80'S,,"3,968","$765,783.40 ","$606,889.26 "
,OTHER,,"7,071","$8,152,566.52 ","$6,449,846.37 "
,TOTAL,,"11,039","$8,918,349.92 ","$7,056,735.63 "
50234,80'S,,504,"$95,080.26 ","$75,317.60 "
,OTHER,,980,"$1,100,362.21 ","$872,369.79 "
,TOTAL,,"1,484","$1,195,442.47 ","$947,687.39 "
50236,80'S,,451,"$99,356.51 ","$79,090.89 "
,OTHER,,681,"$906,930.19 ","$723,709.82 "
,TOTAL,,"1,132","$1,006,286.70 ","$802,800.71 "
50240,80'S,,"1,207","$234,513.77 ","$184,970.56 "
,OTHER,,"2,700","$3,230,182.93 ","$2,554,798.58 "
,TOTAL,,"3,907","$3,464,696.70 ","$2,739,769.14 "
50280,80'S,,95,"$10,578.34 ","$8,404.02 "
,OTHER,,270,"$172,645.85 ","$136,613.99 "
,TOTAL,,365,"$183,224.19 ","$145,018.01 "
50290,80'S,,8,$806.99 ,$645.59 
,OTHER,,30,"$24,486.19 ","$19,588.92 "
,TOTAL,,38,"$25,293.18 ","$20,234.51 "
50300,OTHER,,5,$5.00 ,$5.00 
,TOTAL,,5,$5.00 ,$5.00 
50320,80'S,,68,"$14,511.32 ","$13,189.48 "
,OTHER,,407,"$502,629.76 ","$485,186.26 "
,TOTAL,,475,"$517,141.08 ","$498,375.74 "
50323,80'S,,264,"$7,573.32 ","$5,993.35 "
,OTHER,,"3,770","$539,392.70 ","$427,192.37 "
,TOTAL,,"4,034","$546,966.02 ","$433,185.72 "
50325,80'S,,109,"$4,687.65 ","$3,752.53 "
,OTHER,,"1,569","$219,777.30 ","$172,064.56 "
,TOTAL,,"1,678","$224,464.95 ","$175,817.09 "
50327,80'S,,64,"$1,258.82 ",$998.27 
,OTHER,,"1,148","$138,563.17 ","$109,375.83 "
,TOTAL,,"1,212","$139,821.99 ","$110,374.10 "
50328,80'S,,63,"$1,117.02 ",$891.45 
,OTHER,,871,"$87,943.34 ","$69,495.35 "
,TOTAL,,934,"$89,060.36 ","$70,386.80 "
50329,80'S,,13,$198.19 ,$157.59 
,OTHER,,159,"$14,477.77 ","$11,446.59 "
,TOTAL,,172,"$14,675.96 ","$11,604.18 "
50340,80'S,,6,$783.49 ,$626.78 
,OTHER,,40,"$28,712.61 ","$22,550.48 "
,TOTAL,,46,"$29,496.10 ","$23,177.26 "
50360,80'S,,"1,299","$388,525.63 ","$302,976.90 "
,OTHER,,"10,120","$18,455,643.69 ","$14,444,694.05 "
,TOTAL,,"11,419","$18,844,169.32 ","$14,747,670.95 "
50365,80'S,,15,"$5,206.21 ","$4,164.97 "
,OTHER,,150,"$308,858.43 ","$243,065.67 "
,TOTAL,,165,"$314,064.64 ","$247,230.64 "
50370,80'S,,141,"$18,011.10 ","$14,062.41 "
,OTHER,,"1,212","$960,985.38 ","$753,946.61 "
,TOTAL,,"1,353","$978,996.48 ","$768,009.02 "
50380,80'S,,13,"$1,650.09 ","$1,232.98 "
,OTHER,,42,"$41,255.27 ","$31,915.84 "
,TOTAL,,55,"$42,905.36 ","$33,148.82 "
50390,SG,,12,"$3,720.46 ","$2,976.35 "
,OTHER,,"9,016","$616,112.51 ","$487,606.26 "
,TOTAL,,"9,028","$619,832.97 ","$490,582.61 "
50391,OTHER,,433,"$51,733.55 ","$41,096.88 "
,TOTAL,,433,"$51,733.55 ","$41,096.88 "
50392,SG,,3,$817.96 ,$654.36 
,OTHER,,"17,077","$3,038,429.62 ","$2,412,125.25 "
,TOTAL,,"17,080","$3,039,247.58 ","$2,412,779.61 "
50393,SG,,5,"$1,468.16 ","$1,174.52 "
,OTHER,,"10,721","$2,388,538.13 ","$1,897,524.49 "
,TOTAL,,"10,726","$2,390,006.29 ","$1,898,699.01 "
50394,80'S,,1,$4.77 ,$3.82 
,OTHER,,"32,088","$1,354,373.57 ","$1,070,686.92 "
,TOTAL,,"32,089","$1,354,378.34 ","$1,070,690.74 "
50395,SG,,4,"$1,122.82 ",$885.68 
,80'S,,2,$45.70 ,$36.56 
,OTHER,,"3,020","$447,297.41 ","$354,753.30 "
,TOTAL,,"3,026","$448,465.93 ","$355,675.54 "
50396,OTHER,,123,"$13,962.14 ","$11,041.68 "
,TOTAL,,123,"$13,962.14 ","$11,041.68 "
50398,SG,,25,"$8,305.80 ","$6,528.52 "
,OTHER,,"22,297","$1,876,552.61 ","$1,474,952.83 "
,TOTAL,,"22,322","$1,884,858.41 ","$1,481,481.35 "
50400,80'S,,116,"$19,576.58 ","$15,420.65 "
,OTHER,,227,"$219,686.39 ","$173,658.16 "
,TOTAL,,343,"$239,262.97 ","$189,078.81 "
50405,80'S,,38,"$7,739.55 ","$6,191.61 "
