Medicare Part B Physician/Supplier BESS Data,,,,,
For Calendar Year 2005,,,,,
Code Ranges - 80048 - 89342,,,,,
,BESS REPORTS,CODE RANGES,,,
HCPCS,MODIFIER,DESCRIPTION,ALLOWED SERVICES,ALLOWED CHARGES,PAYMENT
_____,________,___________,________________,_______________,_______
80048,TC,PATH/LAB,146,"$1,553.56 ","$1,553.56 "
,GLOBL,,"9,988,998","$98,599,490.59 ","$98,360,343.51 "
,TOTAL,,"9,989,144","$98,601,044.15 ","$98,361,897.07 "
80050,GLOBL,,4,$34.88 ,$34.88 
,TOTAL,,4,$34.88 ,$34.88 
80051,GLOBL,,"1,248,756","$6,339,142.88 ","$6,330,399.38 "
,TOTAL,,"1,248,756","$6,339,142.88 ","$6,330,399.38 "
80053,TC,,172,"$2,239.81 ","$2,239.81 "
,GLOBL,,"22,567,446","$263,443,401.89 ","$262,829,882.37 "
,TOTAL,,"22,567,618","$263,445,641.70 ","$262,832,122.18 "
80055,GLOBL,,17,$0.17 ,$0.17 
,TOTAL,,17,$0.17 ,$0.17 
80061,TC,,43,$610.12 ,$610.12 
,GLOBL,,"19,964,599","$283,280,536.76 ","$282,606,210.22 "
,TOTAL,,"19,964,642","$283,281,146.88 ","$282,606,820.34 "
80069,GLOBL,,"650,892","$6,819,080.06 ","$6,797,726.61 "
,TOTAL,,"650,892","$6,819,080.06 ","$6,797,726.61 "
80074,GLOBL,,"130,158","$8,579,196.95 ","$8,572,329.88 "
,TOTAL,,"130,158","$8,579,196.95 ","$8,572,329.88 "
80076,TC,,13,$132.26 ,$132.26 
,GLOBL,,"4,105,174","$33,185,598.30 ","$33,076,911.60 "
,TOTAL,,"4,105,187","$33,185,730.56 ","$33,077,043.86 "
80100,GLOBL,,"93,088","$1,650,285.91 ","$1,647,615.18 "
,TOTAL,,"93,088","$1,650,285.91 ","$1,647,615.18 "
80101,GLOBL,,"953,186","$14,358,050.28 ","$14,312,846.73 "
,TOTAL,,"953,186","$14,358,050.28 ","$14,312,846.73 "
80102,GLOBL,,"17,652","$309,388.42 ","$307,943.79 "
,TOTAL,,"17,652","$309,388.42 ","$307,943.79 "
80150,GLOBL,,"2,907","$59,017.35 ","$58,946.66 "
,TOTAL,,"2,907","$59,017.35 ","$58,946.66 "
80152,GLOBL,,"2,618","$64,169.28 ","$64,001.46 "
,TOTAL,,"2,618","$64,169.28 ","$64,001.46 "
80154,GLOBL,,"44,140","$1,126,705.09 ","$1,120,326.55 "
,TOTAL,,"44,140","$1,126,705.09 ","$1,120,326.55 "
80156,GLOBL,,"164,937","$3,319,558.01 ","$3,314,810.53 "
,TOTAL,,"164,937","$3,319,558.01 ","$3,314,810.53 "
80157,GLOBL,,"2,249","$41,307.00 ","$41,184.24 "
,TOTAL,,"2,249","$41,307.00 ","$41,184.24 "
80158,GLOBL,,"66,920","$1,626,600.04 ","$1,616,790.71 "
,TOTAL,,"66,920","$1,626,600.04 ","$1,616,790.71 "
80160,GLOBL,,837,"$19,952.96 ","$19,938.15 "
,TOTAL,,837,"$19,952.96 ","$19,938.15 "
80162,GLOBL,,"870,576","$16,144,498.75 ","$16,123,573.40 "
,TOTAL,,"870,576","$16,144,498.75 ","$16,123,573.40 "
80164,GLOBL,,"410,781","$7,472,583.05 ","$7,465,597.09 "
,TOTAL,,"410,781","$7,472,583.05 ","$7,465,597.09 "
80166,GLOBL,,517,"$10,196.04 ","$10,159.21 "
,TOTAL,,517,"$10,196.04 ","$10,159.21 "
80168,GLOBL,,460,"$9,763.71 ","$9,755.77 "
,TOTAL,,460,"$9,763.71 ","$9,755.77 "
80170,GLOBL,,"13,028","$288,663.26 ","$288,424.97 "
,TOTAL,,"13,028","$288,663.26 ","$288,424.97 "
80172,GLOBL,,34,$760.84 ,$760.84 
,TOTAL,,34,$760.84 ,$760.84 
80173,GLOBL,,"1,124","$22,129.49 ","$22,116.48 "
,TOTAL,,"1,124","$22,129.49 ","$22,116.48 "
80174,GLOBL,,929,"$22,268.65 ","$22,261.42 "
,TOTAL,,929,"$22,268.65 ","$22,261.42 "
80176,GLOBL,,"1,061","$14,173.61 ","$14,071.46 "
,TOTAL,,"1,061","$14,173.61 ","$14,071.46 "
80178,GLOBL,,"136,530","$1,260,379.40 ","$1,258,785.84 "
,TOTAL,,"136,530","$1,260,379.40 ","$1,258,785.84 "
80182,GLOBL,,"4,895","$87,778.57 ","$87,632.72 "
,TOTAL,,"4,895","$87,778.57 ","$87,632.72 "
80184,GLOBL,,"93,260","$1,473,818.23 ","$1,472,721.47 "
,TOTAL,,"93,260","$1,473,818.23 ","$1,472,721.47 "
80185,GLOBL,,"591,495","$10,944,672.76 ","$10,935,306.07 "
,TOTAL,,"591,495","$10,944,672.76 ","$10,935,306.07 "
80186,GLOBL,,"36,040","$690,938.64 ","$690,581.47 "
,TOTAL,,"36,040","$690,938.64 ","$690,581.47 "
80188,GLOBL,,"10,775","$242,992.28 ","$242,729.35 "
,TOTAL,,"10,775","$242,992.28 ","$242,729.35 "
80190,GLOBL,,84,"$1,965.91 ","$1,965.91 "
,TOTAL,,84,"$1,965.91 ","$1,965.91 "
80192,GLOBL,,"1,494","$34,668.89 ","$34,643.14 "
,TOTAL,,"1,494","$34,668.89 ","$34,643.14 "
80194,GLOBL,,"2,689","$54,577.56 ","$54,507.79 "
,TOTAL,,"2,689","$54,577.56 ","$54,507.79 "
80196,GLOBL,,"2,989","$29,620.12 ","$29,541.79 "
,TOTAL,,"2,989","$29,620.12 ","$29,541.79 "
80197,GLOBL,,"153,164","$2,889,252.63 ","$2,867,360.76 "
,TOTAL,,"153,164","$2,889,252.63 ","$2,867,360.76 "
80198,GLOBL,,"77,774","$1,513,649.94 ","$1,509,861.72 "
,TOTAL,,"77,774","$1,513,649.94 ","$1,509,861.72 "
80200,GLOBL,,"4,784","$103,457.24 ","$103,377.73 "
,TOTAL,,"4,784","$103,457.24 ","$103,377.73 "
80201,GLOBL,,"6,027","$100,409.82 ","$100,305.79 "
,TOTAL,,"6,027","$100,409.82 ","$100,305.79 "
80202,GLOBL,,"119,154","$2,122,122.50 ","$2,119,417.36 "
,TOTAL,,"119,154","$2,122,122.50 ","$2,119,417.36 "
80299,GLOBL,,"100,345","$1,996,676.46 ","$1,993,207.51 "
,TOTAL,,"100,345","$1,996,676.46 ","$1,993,207.51 "
80400,GLOBL,,"1,127","$51,014.50 ","$50,333.17 "
,TOTAL,,"1,127","$51,014.50 ","$50,333.17 "
80402,GLOBL,,6,$727.44 ,$622.66 
,TOTAL,,6,$727.44 ,$622.66 
80406,GLOBL,,1,$109.34 ,$109.34 
,TOTAL,,1,$109.34 ,$109.34 
80408,GLOBL,,23,$999.64 ,$999.64 
,TOTAL,,23,$999.64 ,$999.64 
80410,GLOBL,,11,"$1,202.94 ","$1,202.94 "
,TOTAL,,11,"$1,202.94 ","$1,202.94 "
80412,GLOBL,,9,"$4,144.50 ","$4,144.50 "
,TOTAL,,9,"$4,144.50 ","$4,144.50 "
80414,GLOBL,,150,"$10,807.04 ","$10,807.04 "
,TOTAL,,150,"$10,807.04 ","$10,807.04 "
80415,GLOBL,,9,$663.26 ,$663.26 
,TOTAL,,9,$663.26 ,$663.26 
80418,GLOBL,,180,"$142,690.82 ","$142,188.14 "
,TOTAL,,180,"$142,690.82 ","$142,188.14 "
80420,GLOBL,,19,"$1,610.28 ","$1,610.28 "
,TOTAL,,19,"$1,610.28 ","$1,610.28 "
80422,GLOBL,,214,"$4,998.34 ","$4,998.34 "
,TOTAL,,214,"$4,998.34 ","$4,998.34 "
80424,GLOBL,,"2,694","$147,136.72 ","$146,995.58 "
,TOTAL,,"2,694","$147,136.72 ","$146,995.58 "
80426,GLOBL,,3,$458.66 ,$458.66 
,TOTAL,,3,$458.66 ,$458.66 
80428,GLOBL,,60,"$5,587.61 ","$5,363.45 "
,TOTAL,,60,"$5,587.61 ","$5,363.45 "
80430,GLOBL,,6,$476.53 ,$476.53 
,TOTAL,,6,$476.53 ,$476.53 
80432,GLOBL,,20,"$2,543.38 ","$2,543.38 "
,TOTAL,,20,"$2,543.38 ","$2,543.38 "
80434,GLOBL,,20,"$2,800.07 ","$2,679.97 "
,TOTAL,,20,"$2,800.07 ","$2,679.97 "
