Medicare Part B Physician/Supplier BESS Data,,,,,
For Calendar Year 2005,,,,,
Code Ranges - 90281 -  99199,,,,,
,BESS REPORTS, CODE RANGES,,,
HCPCS,MODIFIER,DESCRIPTION,ALLOWED SERVICES,ALLOWED CHARGES,PAYMENT
_____,________,___________,________________,_______________,_______
90281,TOTAL,MEDICINE,8,$0.08 ,$0.08 
90291,TOTAL,,12,$0.12 ,$0.12 
90371,TOTAL,,467,"$51,944.92 ","$38,903.66 "
90375,TOTAL,,"1,223","$52,930.07 ","$41,605.35 "
90376,TOTAL,,430,"$17,799.87 ","$13,763.36 "
90378,TOTAL,,2,$33.16 ,$26.53 
90384,TOTAL,,1,$0.01 ,$0.01 
90385,TOTAL,,21,$450.25 ,$355.20 
90389,TOTAL,,10,$114.09 ,$91.28 
90396,TOTAL,,4,$296.54 ,$203.95 
90399,TOTAL,,4,$0.04 ,$0.04 
90465,TOTAL,,502,"$8,642.08 ","$6,611.56 "
90466,TOTAL,,24,$247.47 ,$183.09 
90471,TOTAL,,"604,331","$9,554,148.96 ","$6,875,286.18 "
90472,TOTAL,,"30,566","$318,144.48 ","$225,248.33 "
90473,TOTAL,,23,$55.50 ,$44.39 
90585,TOTAL,,19,$551.42 ,$373.14 
90586,TOTAL,,845,"$98,673.09 ","$76,185.16 "
90632,TOTAL,,"1,344","$57,224.45 ","$39,956.32 "
90633,TOTAL,,12,$263.56 ,$180.91 
90634,TOTAL,,4,$92.86 ,$61.20 
90636,TOTAL,,632,"$53,917.54 ","$39,625.12 "
90645,TOTAL,,27,$678.80 ,$500.67 
90646,TOTAL,,3,$76.01 ,$60.81 
90647,TOTAL,,47,"$1,034.69 ",$827.75 
90648,TOTAL,,22,$470.63 ,$330.78 
90655,TOTAL,,423,"$6,048.38 ","$6,048.38 "
90656,TOTAL,,"401,582","$6,984,624.52 ","$6,894,106.18 "
90657,TOTAL,,"6,390","$62,316.55 ","$62,255.41 "
90658,TOTAL,,"10,648,515","$122,687,250.58 ","$122,398,182.08 "
90660,TOTAL,,330,"$8,268.34 ","$8,217.69 "
90665,TOTAL,,7,$147.00 ,$101.60 
90675,TOTAL,,"1,496","$184,830.13 ","$144,842.43 "
90676,TOTAL,,13,"$1,541.22 ","$1,232.99 "
90691,TOTAL,,71,"$2,480.79 ","$1,557.28 "
90698,TOTAL,,1,$12.81 ,$10.25 
90701,TOTAL,,38,$978.98 ,$740.98 
90702,TOTAL,,585,"$5,048.05 ","$3,483.72 "
90703,TOTAL,,"76,329","$1,105,601.54 ","$798,711.93 "
90715,TOTAL,,123,"$2,852.32 ","$2,235.80 "
90718,TOTAL,,"135,070","$1,687,391.78 ","$1,209,441.86 "
90720,TOTAL,,1,$30.71 ,$24.56 
90721,TOTAL,,3,$123.39 ,$98.70 
90732,TOTAL,,"1,541,340","$36,068,412.28 ","$35,898,501.17 "
90733,TOTAL,,11,$762.23 ,$609.80 
90734,TOTAL,,37,"$1,800.26 ","$1,367.03 "
90740,TOTAL,,"1,836","$172,713.05 ","$133,623.05 "
90743,TOTAL,,60,"$3,507.61 ","$2,563.42 "
90744,TOTAL,,357,"$17,979.99 ","$12,361.79 "
90746,TOTAL,,"35,570","$1,959,372.65 ","$1,412,468.21 "
90747,TOTAL,,"1,423","$139,309.06 ","$107,382.91 "
90749,TOTAL,,666,"$10,536.62 ","$8,115.21 "
90780,TOTAL,,381,$231.93 ,$141.79 
90781,TOTAL,,99,$195.42 ,$134.02 
90782,TOTAL,,"57,252","$947,653.53 ","$631,864.71 "
90783,TOTAL,,"6,290","$99,177.20 ","$74,615.24 "
90784,TOTAL,,622,"$17,421.02 ","$10,550.18 "
90788,TOTAL,,"169,436","$2,473,711.85 ","$1,825,371.63 "
90799,TOTAL,,"8,248","$65,300.37 ","$51,329.40 "
90801,TOTAL,,"1,360,492","$191,074,748.62 ","$145,904,988.80 "
90802,TOTAL,,"4,787","$551,422.64 ","$412,885.79 "
90804,TOTAL,,"678,358","$38,134,997.31 ","$18,060,212.11 "
90805,TOTAL,,"1,641,569","$114,616,016.96 ","$51,481,402.46 "
90806,TOTAL,,"5,440,889","$474,531,955.97 ","$228,849,226.05 "
90807,TOTAL,,"1,151,517","$122,203,253.58 ","$57,918,899.43 "
90808,TOTAL,,"284,404","$35,335,230.94 ","$17,395,742.99 "
90809,TOTAL,,"37,117","$5,557,656.24 ","$2,682,477.11 "
90810,TOTAL,,"4,605","$275,866.17 ","$133,957.06 "
90811,TOTAL,,"10,349","$774,274.17 ","$342,876.90 "
90812,TOTAL,,"26,063","$2,562,485.90 ","$1,213,948.11 "
90813,TOTAL,,"7,322","$808,637.67 ","$374,108.31 "
90814,TOTAL,,"4,608","$586,369.28 ","$289,944.28 "
90815,TOTAL,,430,"$64,441.44 ","$30,958.36 "
90816,TOTAL,,"1,205,661","$76,028,163.13 ","$41,103,559.21 "
90817,TOTAL,,"622,505","$45,134,293.70 ","$33,052,114.61 "
90818,TOTAL,,"1,315,217","$126,477,346.93 ","$66,446,115.18 "
90819,TOTAL,,"177,994","$18,723,786.79 ","$13,829,139.26 "
90821,TOTAL,,"23,529","$3,234,498.98 ","$1,807,587.09 "
90822,TOTAL,,"5,438","$803,306.01 ","$572,478.24 "
90823,TOTAL,,"4,152","$304,524.46 ","$189,456.91 "
90824,TOTAL,,"4,829","$382,063.59 ","$212,716.57 "
90826,TOTAL,,"1,313","$128,457.90 ","$72,474.32 "
90827,TOTAL,,"1,040","$116,929.01 ","$66,395.26 "
90828,TOTAL,,60,"$8,782.32 ","$5,152.13 "
90829,TOTAL,,23,"$3,614.43 ","$2,629.35 "
90845,TOTAL,,"3,426","$321,816.51 ","$160,157.69 "
90846,TOTAL,,"17,496","$1,578,032.73 ","$849,306.69 "
90847,TOTAL,,"154,873","$16,219,208.73 ","$8,139,271.88 "
90849,TOTAL,,355,"$10,165.71 ","$5,026.31 "
90853,TOTAL,,"1,450,932","$41,735,146.76 ","$21,050,311.55 "
90857,TOTAL,,"14,115","$385,951.60 ","$188,818.72 "
90862,TOTAL,,"5,465,879","$271,797,847.94 ","$139,626,891.08 "
90865,TOTAL,,266,"$35,638.51 ","$19,301.53 "
90870,TOTAL,,"149,604","$14,456,889.09 ","$9,243,204.84 "
90875,TOTAL,,40,$0.40 ,$0.40 
90876,TOTAL,,1,$0.01 ,$0.01 
90880,TOTAL,,"8,407","$1,062,566.52 ","$592,577.38 "
90899,TOTAL,,174,"$11,318.77 ","$7,217.14 "
90901,TOTAL,,"22,377","$918,592.46 ","$726,312.07 "
90911,TOTAL,,"25,662","$2,336,074.98 ","$1,826,035.13 "
90935,TOTAL,,"1,675,519","$123,077,775.15 ","$97,750,308.92 "
90937,TOTAL,,"124,663","$15,110,613.77 ","$12,009,148.11 "
90945,TOTAL,,"147,691","$11,262,193.36 ","$8,875,821.37 "
90947,TOTAL,,"17,870","$2,192,054.26 ","$1,734,005.31 "
90989,TOTAL,,"4,138","$1,757,195.41 ","$1,365,681.38 "
90993,TOTAL,,"1,832","$39,201.60 ","$30,991.52 "
90997,TOTAL,,226,"$21,811.65 ","$17,368.06 "
90999,TOTAL,,"36,726","$375,076.42 ","$298,614.80 "
91000,TOTAL,,327,"$7,538.27 ","$5,129.00 "
91010,TOTAL,,"16,314","$1,460,772.16 ","$1,133,949.49 "
91011,TOTAL,,180,"$18,944.78 ","$14,630.56 "
91012,TOTAL,,303,"$24,707.14 ","$19,370.75 "
91020,TOTAL,,"1,133","$113,093.99 ","$87,768.73 "
91030,TOTAL,,102,"$5,271.37 ","$4,109.17 "
91034,TOTAL,,"6,971","$637,192.41 ","$498,668.29 "
91035,TOTAL,,"6,983","$1,058,575.81 ","$829,925.85 "
91037,TOTAL,,532,"$40,020.90 ","$31,555.06 "
91038,TOTAL,,943,"$68,884.00 ","$53,692.20 "
91040,TOTAL,,11,"$1,914.07 ","$1,507.24 "
91052,TOTAL,,322,"$16,763.27 ","$13,294.56 "
91055,TOTAL,,349,"$23,827.49 ","$18,772.46 "
91060,TOTAL,,38,"$2,096.75 ","$1,644.03 "
91065,TOTAL,,"44,545","$2,809,159.99 ","$2,216,775.01 "
91100,TOTAL,,186,"$7,432.00 ","$5,738.91 "
91105,TOTAL,,"12,548","$237,566.91 ","$187,766.87 "
