Medicare Part B Physician/Supplier BESS Data,,,,,
For Calendar Year 2005,,,,,
Code Ranges A0000 - A0999,,,,,
,BESS REPORTS,CODE RANGES,,,
HCPCS,MODIFIER,DESCRIPTION,ALLOWED SERVICES,ALLOWED CHARGES,PAYMENT
_____,________,___________,________________,_______________,_______
A0382,TOTAL,TRANSPORTATION SERVICES INCLUDING AMBULANCE,"662,774","$2,153,714.22 ","$1,720,783.90 "
A0384,TOTAL,,"12,941","$85,443.62 ","$68,152.18 "
A0392,TOTAL,,"26,824","$197,422.62 ","$157,492.73 "
A0394,TOTAL,,"788,205","$5,042,645.99 ","$4,024,563.17 "
A0396,TOTAL,,"30,910","$233,502.37 ","$186,127.33 "
A0398,TOTAL,,"898,024","$4,115,675.14 ","$3,284,505.30 "
A0420,TOTAL,,"25,210","$107,857.89 ","$86,134.94 "
A0422,TOTAL,,"2,050,174","$12,878,522.76 ","$10,288,575.24 "
A0424,TOTAL,,"18,204","$197,542.15 ","$157,737.27 "
A0425,TOTAL,,"114,713,302","$721,719,905.69 ","$575,686,027.36 "
A0426,TOTAL,,"461,594","$112,298,806.70 ","$88,951,867.83 "
A0427,TOTAL,,"4,121,822","$1,484,187,812.76 ","$1,173,284,034.15 "
A0428,TOTAL,,"4,828,778","$939,153,821.91 ","$746,291,334.70 "
A0429,TOTAL,,"1,940,981","$571,094,784.74 ","$450,655,379.23 "
A0430,TOTAL,,"6,996","$22,409,169.14 ","$17,814,988.38 "
A0431,TOTAL,,"42,941","$137,753,916.75 ","$109,268,836.07 "
A0432,TOTAL,,"3,566","$1,112,381.15 ","$875,822.38 "
A0433,TOTAL,,"118,423","$57,930,162.40 ","$45,808,218.76 "
A0434,TOTAL,,"60,396","$38,628,409.66 ","$30,727,510.07 "
A0435,TOTAL,,"1,236,338","$15,352,137.11 ","$12,216,544.20 "
A0436,TOTAL,,"2,291,600","$59,507,793.43 ","$47,246,652.83 "
A0800,TOTAL,,"73,765","$849,880.47 ","$678,900.32 "
A0888,TOTAL,,5,"$1,484.07 ","$1,187.24 "
A0999,TOTAL,,"12,289","$1,796,243.49 ","$1,428,359.08 "
,,,,,
