Medicare Part B Physician/Supplier BESS Data,,,,,
For Calendar Year 2005,,,,,
Code Ranges A4000 - A7527,,,,,
,BESS REPORTS, CODE RANGES,,,
HCPCS,MODIFIER,DESCRIPTION,ALLOWED SERVICES,ALLOWED CHARGES,PAYMENT
_____,________,___________,________________,_______________,_______
A4206,TOTAL,MEDICAL SURGICAL,"1,091",$10.91 ,$9.23 
A4207,TOTAL,,28,$0.28 ,$0.26 
A4208,TOTAL,,"2,873",$28.73 ,$27.16 
A4209,TOTAL,,"5,646",$56.46 ,$46.97 
A4211,TOTAL,,175,$25.51 ,$20.64 
A4212,TOTAL,,"6,942","$42,312.46 ","$33,387.48 "
A4213,TOTAL,,"2,357",$23.57 ,$21.07 
A4215,TOTAL,,"2,595",$25.95 ,$24.25 
A4216,TOTAL,,"683,599","$257,265.33 ","$202,636.02 "
A4217,TOTAL,,"625,893","$1,547,277.20 ","$1,223,043.71 "
A4220,TOTAL,,"4,163","$58,248.04 ","$45,491.60 "
A4221,TOTAL,,"696,016","$15,450,879.51 ","$12,146,480.21 "
A4222,TOTAL,,"670,820","$28,917,658.67 ","$23,015,837.74 "
A4230,TOTAL,,50,$412.75 ,$330.20 
A4244,TOTAL,,92,$345.82 ,$270.09 
A4245,TOTAL,,"17,110","$5,352.98 ","$4,280.99 "
A4246,TOTAL,,50,$883.51 ,$706.75 
A4247,TOTAL,,"3,770","$4,076.08 ","$3,193.86 "
A4248,TOTAL,,1,$0.01 ,$0.01 
A4250,TOTAL,,1,$1.00 ,$0.80 
A4253,TOTAL,,"27,006,612","$988,738,963.50 ","$747,259,778.62 "
A4254,TOTAL,,"758,401","$4,923,028.71 ","$3,759,066.03 "
A4255,TOTAL,,662,"$5,504.10 ","$4,018.49 "
A4256,TOTAL,,"2,122,462","$22,544,304.64 ","$17,233,306.91 "
A4257,TOTAL,,"1,079","$1,360.91 ",$936.41 
A4258,TOTAL,,"1,320,330","$23,783,221.58 ","$18,454,503.17 "
A4259,TOTAL,,"8,719,723","$101,060,878.95 ","$77,757,217.39 "
A4265,TOTAL,,"16,521","$59,246.61 ","$45,375.48 "
A4280,TOTAL,,"27,999","$134,623.92 ","$105,815.07 "
A4290,TOTAL,,5,$959.86 ,$720.10 
A4300,TOTAL,,181,"$54,268.50 ","$43,192.62 "
A4301,TOTAL,,"1,761","$594,853.26 ","$473,170.79 "
A4305,TOTAL,,"11,155",$118.84 ,$109.15 
A4306,TOTAL,,4,$0.04 ,$0.04 
A4310,TOTAL,,"67,458","$727,852.93 ","$551,718.06 "
A4311,TOTAL,,"21,179","$307,033.74 ","$233,640.10 "
A4312,TOTAL,,"3,122","$63,188.74 ","$47,976.47 "
A4313,TOTAL,,878,"$13,987.90 ","$10,825.30 "
A4314,TOTAL,,"188,136","$4,581,215.87 ","$3,464,897.01 "
A4315,TOTAL,,"16,856","$421,275.00 ","$314,399.65 "
A4316,TOTAL,,"1,423","$36,649.58 ","$27,342.76 "
A4320,TOTAL,,"67,865","$329,776.82 ","$254,692.21 "
A4322,TOTAL,,"63,928","$147,654.67 ","$113,855.03 "
A4326,TOTAL,,"64,163","$492,518.94 ","$383,803.75 "
A4327,TOTAL,,"3,534","$155,722.89 ","$123,437.01 "
A4328,TOTAL,,"8,045","$41,016.85 ","$32,429.23 "
A4331,TOTAL,,"199,419","$618,564.80 ","$490,425.04 "
A4332,TOTAL,,"949,809","$107,751.61 ","$80,649.33 "
A4333,TOTAL,,"798,566","$1,755,381.91 ","$1,400,963.45 "
A4334,TOTAL,,"23,981","$763,867.17 ","$601,948.08 "
A4335,TOTAL,,"2,778","$9,084.49 ","$6,963.08 "
A4338,TOTAL,,"105,346","$1,241,145.89 ","$927,657.60 "
A4340,TOTAL,,"12,733","$393,306.02 ","$302,902.36 "
A4344,TOTAL,,"24,929","$380,646.10 ","$284,781.90 "
A4346,TOTAL,,"2,898","$38,039.57 ","$29,317.78 "
A4348,TOTAL,,"48,743","$1,281,156.91 ","$1,022,837.45 "
A4349,TOTAL,,"4,634,088","$8,986,699.82 ","$6,822,462.75 "
A4351,TOTAL,,"4,412,238","$7,142,934.46 ","$5,482,812.76 "
A4352,TOTAL,,"486,534","$2,673,580.51 ","$2,071,974.29 "
A4353,TOTAL,,"4,544,094","$31,442,857.53 ","$24,690,540.80 "
A4354,TOTAL,,"7,242","$131,990.82 ","$99,847.98 "
A4355,TOTAL,,"5,401","$63,191.55 ","$50,000.52 "
A4356,TOTAL,,"4,522","$191,684.16 ","$143,415.93 "
A4357,TOTAL,,"623,954","$5,772,309.98 ","$4,374,029.94 "
A4358,TOTAL,,"416,653","$2,667,471.16 ","$2,007,498.03 "
A4361,TOTAL,,"4,877","$122,291.56 ","$94,678.04 "
A4362,TOTAL,,"416,833","$1,242,088.00 ","$955,741.96 "
A4364,TOTAL,,"101,405","$348,765.49 ","$266,737.34 "
A4365,TOTAL,,"333,379","$1,439,265.01 ","$1,107,377.45 "
A4366,TOTAL,,"60,215","$75,448.59 ","$57,612.74 "
A4367,TOTAL,,"70,471","$499,682.55 ","$384,716.21 "
A4368,TOTAL,,"179,783","$47,110.26 ","$35,760.78 "
A4369,TOTAL,,"39,259","$73,699.49 ","$56,397.96 "
A4371,TOTAL,,"86,347","$324,505.54 ","$249,568.73 "
A4372,TOTAL,,"16,018","$63,406.75 ","$47,394.18 "
A4373,TOTAL,,"384,730","$2,373,838.77 ","$1,826,352.15 "
A4375,TOTAL,,"65,656","$782,743.89 ","$615,190.59 "
A4376,TOTAL,,"16,668","$589,173.33 ","$463,385.24 "
A4377,TOTAL,,"58,100","$224,982.54 ","$168,663.22 "
A4378,TOTAL,,"117,484","$3,522,116.46 ","$2,814,062.36 "
A4379,TOTAL,,"12,521","$162,743.32 ","$127,041.59 "
A4380,TOTAL,,"2,276","$46,403.13 ","$35,951.60 "
A4381,TOTAL,,"21,428","$96,947.84 ","$73,679.39 "
A4382,TOTAL,,"3,046","$60,146.49 ","$47,481.14 "
A4383,TOTAL,,"3,211","$61,254.97 ","$47,002.73 "
A4384,TOTAL,,"9,911","$73,375.21 ","$56,127.59 "
A4385,TOTAL,,"1,678,831","$8,312,980.90 ","$6,472,893.74 "
A4387,TOTAL,,"5,321","$19,572.48 ","$15,033.48 "
A4388,TOTAL,,"552,736","$2,292,522.96 ","$1,733,252.35 "
A4389,TOTAL,,"371,874","$2,225,051.49 ","$1,685,672.71 "
A4390,TOTAL,,"760,512","$7,005,589.39 ","$5,402,632.56 "
A4391,TOTAL,,"53,273","$362,542.02 ","$273,632.09 "
A4392,TOTAL,,"61,760","$494,594.56 ","$379,433.02 "
A4393,TOTAL,,"340,398","$3,005,604.93 ","$2,292,674.86 "
A4394,TOTAL,,"1,444,671","$2,833,269.73 ","$2,199,689.02 "
A4395,TOTAL,,"402,514","$19,921.79 ","$15,187.19 "
A4396,TOTAL,,"5,034","$198,011.98 ","$151,905.84 "
A4397,TOTAL,,"110,850","$410,561.33 ","$311,040.59 "
A4398,TOTAL,,"6,563","$99,540.93 ","$75,833.96 "
A4399,TOTAL,,"5,306","$62,038.55 ","$47,162.86 "
A4402,TOTAL,,"485,183","$563,109.04 ","$408,979.49 "
A4404,TOTAL,,"72,936","$114,070.40 ","$87,023.68 "
A4405,TOTAL,,"86,558","$350,189.17 ","$263,706.58 "
A4406,TOTAL,,"1,065,024","$5,480,028.72 ","$4,173,941.02 "
A4407,TOTAL,,"2,149,492","$18,551,064.16 ","$14,384,936.55 "
A4408,TOTAL,,"100,528","$926,698.60 ","$716,062.64 "
A4409,TOTAL,,"1,678,536","$10,321,851.98 ","$7,925,970.45 "
A4410,TOTAL,,"177,841","$1,517,156.96 ","$1,175,613.46 "
A4413,TOTAL,,"147,307","$758,998.81 ","$587,819.37 "
A4414,TOTAL,,"5,766,994","$28,221,405.28 ","$21,504,326.36 "
A4415,TOTAL,,"457,358","$2,682,541.08 ","$2,060,205.40 "
A4416,TOTAL,,"1,737,645","$4,708,406.24 ","$3,642,718.48 "
A4417,TOTAL,,"44,102","$157,662.81 ","$122,404.58 "
A4418,TOTAL,,"381,360","$686,927.63 ","$519,876.55 "
A4419,TOTAL,,"2,895,504","$5,020,840.44 ","$3,914,392.83 "
