Medicare Part B Physician/Supplier BESS Data,,,,,
For Calendar Year 2005,,,,,
Code Ranges B4000 - B9999,,,,,
,BESS REPORTS,CODE RANGES,,,
HCPCS,MODIFIER,DESCRIPTION,ALLOWED SERVICES,ALLOWED CHARGES,PAYMENT
_____,________,___________,________________,_______________,_______
B4034,TOTAL,ENTERAL AND PARENTAL THERAPY,"5,589,725","$32,028,362.44 ","$25,396,786.91 "
B4035,TOTAL,,"17,238,852","$194,157,569.81 ","$154,605,868.16 "
B4036,TOTAL,,"2,247,792","$17,105,588.93 ","$13,554,259.40 "
B4081,TOTAL,,729,"$14,240.88 ","$11,339.70 "
B4082,TOTAL,,"1,059","$16,400.65 ","$13,050.31 "
B4083,TOTAL,,698,"$1,650.92 ","$1,305.73 "
B4086,TOTAL,,"42,101","$1,457,858.52 ","$1,150,094.22 "
B4149,TOTAL,,"1,409,839","$2,059,630.88 ","$1,644,029.77 "
B4150,TOTAL,,"227,915,450","$142,799,807.77 ","$113,155,288.80 "
B4151,TOTAL,,445,$658.60 ,$526.88 
B4152,TOTAL,,"82,504,409","$43,525,291.45 ","$34,561,240.79 "
B4153,TOTAL,,"6,710,617","$11,829,313.43 ","$9,436,803.19 "
B4154,TOTAL,,"103,061,132","$117,819,874.45 ","$93,926,167.39 "
B4155,TOTAL,,"2,412,751","$2,020,874.87 ","$1,609,899.66 "
B4157,TOTAL,,"5,125","$9,951.81 ","$7,961.44 "
B4158,TOTAL,,"48,456","$36,522.33 ","$29,025.63 "
B4159,TOTAL,,"3,929","$5,166.88 ","$4,125.05 "
B4160,TOTAL,,"25,071","$28,516.11 ","$22,786.91 "
B4161,TOTAL,,"29,810","$80,035.06 ","$64,028.01 "
B4162,TOTAL,,316,"$2,433.38 ","$1,946.70 "
B4164,TOTAL,,"1,664","$24,535.46 ","$19,296.78 "
B4168,TOTAL,,7,$163.94 ,$131.15 
B4176,TOTAL,,312,"$14,001.47 ","$10,537.60 "
B4178,TOTAL,,"1,349","$71,344.62 ","$57,075.74 "
B4180,TOTAL,,816,"$16,010.43 ","$12,808.34 "
B4184,TOTAL,,"25,067","$1,392,329.39 ","$1,105,096.67 "
B4186,TOTAL,,"196,930","$13,374,999.65 ","$10,669,110.67 "
B4189,TOTAL,,"62,040","$10,155,599.27 ","$8,091,471.29 "
B4193,TOTAL,,"160,602","$28,135,929.48 ","$22,468,052.07 "
B4197,TOTAL,,"185,919","$48,174,591.44 ","$38,476,269.63 "
B4199,TOTAL,,"63,529","$18,670,408.67 ","$14,916,954.26 "
B4216,TOTAL,,"2,513","$17,759.60 ","$14,207.89 "
B4220,TOTAL,,"427,781","$3,133,313.41 ","$2,501,450.10 "
B4222,TOTAL,,"7,577","$70,287.16 ","$56,071.10 "
B4224,TOTAL,,"440,998","$10,279,277.90 ","$8,206,769.72 "
B5000,TOTAL,,"18,252","$196,663.28 ","$157,242.63 "
B5100,TOTAL,,"12,874","$54,538.00 ","$43,630.39 "
B9000,TOTAL,,"3,441","$1,771,225.09 ","$1,416,201.90 "
B9002,TOTAL,,"283,893","$32,619,975.15 ","$25,895,470.24 "
B9004,TOTAL,,"7,303","$2,704,717.20 ","$2,158,637.07 "
B9006,TOTAL,,950,"$351,673.83 ","$281,168.57 "
B9998,TOTAL,,"3,513","$12,896.23 ","$10,302.53 "
B9999,TOTAL,,304,"$48,112.52 ","$37,906.60 "
,,,,,
