Medicare Part B Physician/Supplier BESS Data,,,,,
For Calendar Year 2005,,,,,
Code Ranges E0100 - E2621,,,,,
,BESS REPORTS,CODE RANGES,,,
HCPCS,MODIFIER,DESCRIPTION,ALLOWED SERVICES,ALLOWED CHARGES,PAYMENT
_____,________,___________,________________,_______________,_______
E0100,TOTAL,DURABLE MEDICAL EQUIPMENT,"149,842","$3,014,147.98 ","$2,314,708.87 "
E0105,TOTAL,,"115,007","$5,411,270.99 ","$4,128,577.05 "
E0110,TOTAL,,"8,072","$536,621.01 ","$410,205.25 "
E0111,TOTAL,,"1,936","$91,416.65 ","$69,071.20 "
E0112,TOTAL,,"2,174","$65,441.42 ","$50,941.27 "
E0113,TOTAL,,129,"$2,310.54 ","$1,801.15 "
E0114,TOTAL,,"34,911","$1,407,661.35 ","$1,092,748.69 "
E0116,TOTAL,,"1,961","$36,018.71 ","$27,926.91 "
E0117,TOTAL,,13,"$1,772.84 ","$1,418.28 "
E0118,TOTAL,,423,"$24,524.25 ","$19,222.10 "
E0130,TOTAL,,"1,892","$115,548.48 ","$90,301.99 "
E0135,TOTAL,,"126,523","$9,908,810.80 ","$7,729,746.84 "
E0140,TOTAL,,244,"$67,492.11 ","$53,416.38 "
E0141,TOTAL,,"13,791","$1,494,114.70 ","$1,159,503.55 "
E0143,TOTAL,,"787,480","$87,876,352.39 ","$68,934,494.40 "
E0144,TOTAL,,687,"$182,381.20 ","$144,371.06 "
E0147,TOTAL,,"1,670","$673,454.54 ","$535,752.92 "
E0148,TOTAL,,"3,769","$447,380.49 ","$349,869.85 "
E0149,TOTAL,,"7,597","$1,539,292.77 ","$1,213,703.95 "
E0153,TOTAL,,"1,034","$56,359.66 ","$44,167.41 "
E0154,TOTAL,,"21,383","$1,112,349.58 ","$879,913.09 "
E0155,TOTAL,,"33,852","$969,996.80 ","$759,435.63 "
E0156,TOTAL,,"146,291","$3,822,937.77 ","$3,030,983.01 "
E0157,TOTAL,,574,"$33,105.44 ","$26,022.65 "
E0158,TOTAL,,"3,076","$84,453.03 ","$66,744.06 "
E0159,TOTAL,,"1,862","$31,566.26 ","$24,532.35 "
E0160,TOTAL,,363,"$9,099.09 ","$7,108.10 "
E0161,TOTAL,,38,$882.05 ,$677.57 
E0163,TOTAL,,"438,865","$45,613,719.33 ","$35,938,292.41 "
E0164,TOTAL,,"2,601","$386,677.70 ","$302,950.56 "
E0165,TOTAL,,"115,571","$1,693,893.39 ","$1,268,491.33 "
E0166,TOTAL,,536,"$14,011.23 ","$10,158.29 "
E0167,TOTAL,,631,"$6,691.75 ","$5,028.41 "
E0168,TOTAL,,"8,969","$1,011,433.78 ","$794,625.98 "
E0169,TOTAL,,"1,210","$48,752.77 ","$37,407.98 "
E0180,TOTAL,,"192,830","$3,493,804.45 ","$2,647,671.50 "
E0181,TOTAL,,"60,468","$1,195,504.62 ","$902,019.33 "
E0182,TOTAL,,"1,584","$32,034.87 ","$23,902.47 "
E0184,TOTAL,,"8,862","$1,320,631.23 ","$1,042,551.39 "
E0185,TOTAL,,"45,969","$11,447,558.31 ","$9,060,806.75 "
E0186,TOTAL,,"2,596","$78,336.29 ","$59,184.21 "
E0187,TOTAL,,16,$322.27 ,$225.33 
E0188,TOTAL,,"3,967","$100,211.03 ","$79,563.39 "
E0189,TOTAL,,866,"$41,471.19 ","$32,815.16 "
E0193,TOTAL,,"2,431","$1,856,397.72 ","$1,479,609.65 "
E0194,TOTAL,,951,"$2,465,082.16 ","$1,958,814.35 "
E0196,TOTAL,,"5,467","$166,313.17 ","$128,683.77 "
E0197,TOTAL,,"2,495","$349,176.19 ","$274,137.12 "
E0198,TOTAL,,111,"$61,805.79 ","$49,319.89 "
E0199,TOTAL,,"2,748","$80,161.73 ","$62,265.91 "
E0200,TOTAL,,776,"$64,427.21 ","$50,637.40 "
E0202,TOTAL,,27,"$1,344.89 ","$1,026.09 "
E0205,TOTAL,,"4,827","$943,631.59 ","$743,100.50 "
E0210,TOTAL,,"1,393","$43,171.81 ","$32,204.76 "
E0215,TOTAL,,"52,001","$3,545,655.54 ","$2,752,363.95 "
E0217,TOTAL,,"17,221","$7,716,883.12 ","$6,129,878.13 "
E0221,TOTAL,,1,$14.85 ,$11.88 
E0225,TOTAL,,18,"$4,581.52 ","$3,665.22 "
E0235,TOTAL,,"30,583","$443,620.23 ","$331,089.74 "
E0236,TOTAL,,"18,769","$78,885.04 ","$60,606.34 "
E0238,TOTAL,,844,"$13,360.20 ","$10,617.44 "
E0249,TOTAL,,"3,448","$314,414.39 ","$241,327.53 "
E0250,TOTAL,,"50,791","$4,061,589.58 ","$3,109,795.06 "
E0251,TOTAL,,530,"$32,923.82 ","$25,322.09 "
E0255,TOTAL,,"103,984","$10,258,022.90 ","$7,801,621.44 "
E0256,TOTAL,,"1,508","$103,127.05 ","$78,815.30 "
E0260,TOTAL,,"2,398,340","$285,971,723.66 ","$220,135,771.32 "
E0261,TOTAL,,"70,131","$7,834,576.28 ","$6,063,432.51 "
E0265,TOTAL,,"2,516","$472,863.76 ","$357,053.64 "
E0266,TOTAL,,65,"$9,581.94 ","$7,098.31 "
E0271,TOTAL,,"5,324","$857,672.42 ","$670,664.02 "
E0272,TOTAL,,"2,229","$331,368.78 ","$262,935.67 "
E0275,TOTAL,,554,"$7,306.50 ","$5,652.52 "
E0276,TOTAL,,232,"$2,668.07 ","$2,042.50 "
E0277,TOTAL,,"229,843","$134,799,240.35 ","$107,188,703.56 "
E0280,TOTAL,,242,"$5,888.30 ","$4,559.87 "
E0290,TOTAL,,798,"$47,839.52 ","$37,275.83 "
E0291,TOTAL,,78,"$3,396.71 ","$2,545.77 "
E0292,TOTAL,,573,"$39,389.24 ","$29,981.03 "
E0293,TOTAL,,162,"$9,377.28 ","$7,141.86 "
E0294,TOTAL,,"5,719","$645,780.14 ","$497,930.76 "
E0295,TOTAL,,"3,967","$407,423.12 ","$314,817.47 "
E0296,TOTAL,,47,"$6,680.74 ","$5,080.56 "
E0297,TOTAL,,3,$400.91 ,$320.74 
E0300,TOTAL,,4,"$7,377.24 ","$5,901.80 "
E0301,TOTAL,,"1,595","$353,877.03 ","$279,994.37 "
E0302,TOTAL,,66,"$35,722.97 ","$28,387.71 "
E0303,TOTAL,,"21,872","$5,400,578.48 ","$4,260,874.09 "
E0304,TOTAL,,859,"$545,755.45 ","$434,012.48 "
E0305,TOTAL,,"2,020","$28,512.45 ","$21,659.07 "
E0310,TOTAL,,"1,635","$107,891.60 ","$84,364.37 "
E0316,TOTAL,,341,"$58,389.64 ","$45,918.17 "
E0325,TOTAL,,"2,492","$20,769.99 ","$15,521.39 "
E0326,TOTAL,,252,"$1,435.25 ","$1,032.32 "
E0350,TOTAL,,1,$893.74 ,$714.99 
E0352,TOTAL,,675,"$27,825.60 ","$22,172.48 "
E0371,TOTAL,,"4,236","$1,540,517.16 ","$1,215,945.63 "
E0372,TOTAL,,"10,827","$4,898,948.92 ","$3,879,179.25 "
E0373,TOTAL,,"6,936","$3,330,537.12 ","$2,643,432.87 "
E0424,TOTAL,,"8,098","$1,632,370.90 ","$1,281,690.68 "
E0431,TOTAL,,"7,451,917","$239,860,346.33 ","$187,657,299.22 "
E0434,TOTAL,,"1,005,462","$32,478,891.25 ","$25,345,542.60 "
E0439,TOTAL,,"734,633","$145,813,761.00 ","$114,024,779.83 "
E0441,TOTAL,,"2,078","$119,477.91 ","$92,870.10 "
E0442,TOTAL,,"23,374","$240,062.81 ","$177,739.50 "
E0443,TOTAL,,"13,944","$175,857.30 ","$130,618.97 "
E0444,TOTAL,,"5,710","$6,713.12 ","$4,816.02 "
E0450,TOTAL,,"37,470","$34,469,642.12 ","$27,372,068.02 "
E0457,TOTAL,,44,"$3,995.43 ","$2,873.15 "
E0459,TOTAL,,29,"$1,078.35 ",$836.79 
E0460,TOTAL,,"1,488","$1,054,636.35 ","$836,217.89 "
E0461,TOTAL,,"9,020","$9,028,912.25 ","$7,207,927.38 "
E0462,TOTAL,,16,"$3,948.45 ","$3,070.75 "
E0463,TOTAL,,"7,290","$10,166,017.73 ","$8,083,864.59 "
E0464,TOTAL,,"6,637","$9,130,619.94 ","$7,303,993.74 "
E0470,TOTAL,,"399,428","$82,663,714.50 ","$64,745,786.67 "
