Medicare Part B Physician/Supplier BESS Data,,,,,
For Calendar Year 2005,,,,,
Code Ranges G0000 - G9036,,,,,
,BESS REPORTS,CODE RANGES,,,
HCPCS,MODIFIER,DESCRIPTION,ALLOWED SERVICES,ALLOWED CHARGES,PAYMENT
_____,________,___________,________________,_______________,_______
G0008,TOTAL,PROCEDURES/PROFESS,"10,617,137","$155,898,574.24 ","$155,761,093.90 "
G0009,TOTAL,,"1,333,899","$18,771,553.35 ","$18,741,669.01 "
G0010,TOTAL,,"17,914","$252,763.68 ","$188,321.33 "
G0027,TOTAL,,664,"$5,961.59 ","$5,961.59 "
G0030,TOTAL,,12,"$5,673.13 ","$4,536.63 "
G0031,TOTAL,,216,"$107,394.49 ","$84,493.28 "
G0032,TOTAL,,3,$250.03 ,$157.53 
G0033,TOTAL,,149,"$89,825.66 ","$71,561.59 "
G0034,TOTAL,,3,$448.59 ,$358.86 
G0035,TOTAL,,348,"$423,430.85 ","$336,577.06 "
G0036,TOTAL,,17,"$2,606.52 ","$2,053.23 "
G0037,TOTAL,,162,"$118,823.01 ","$93,941.66 "
G0039,TOTAL,,309,"$466,129.59 ","$369,654.73 "
G0040,TOTAL,,3,"$2,478.93 ","$1,895.14 "
G0041,TOTAL,,22,"$25,227.35 ","$18,885.84 "
G0043,TOTAL,,1,$118.09 ,$94.47 
G0044,TOTAL,,19,"$3,250.49 ","$2,600.38 "
G0045,TOTAL,,673,"$696,484.91 ","$551,591.78 "
G0046,TOTAL,,6,"$2,446.62 ","$1,950.95 "
G0047,TOTAL,,160,"$172,460.36 ","$136,666.08 "
G0101,TOTAL,,"1,074,998","$38,676,994.40 ","$30,864,510.79 "
G0102,TOTAL,,"29,962","$606,767.10 ","$361,649.09 "
G0103,TOTAL,,"1,738,632","$44,561,048.40 ","$44,491,063.40 "
G0104,TOTAL,,"14,500","$1,525,008.30 ","$1,060,106.53 "
G0105,TOTAL,,"209,587","$57,190,808.78 ","$44,517,821.75 "
G0106,TOTAL,,426,"$45,257.84 ","$33,597.63 "
G0107,TOTAL,,"1,656,787","$7,390,537.92 ","$7,370,412.32 "
G0108,TOTAL,,"100,490","$3,068,855.49 ","$2,298,203.12 "
G0109,TOTAL,,"185,732","$3,291,692.53 ","$2,530,586.72 "
G0110,TOTAL,,12,$265.79 ,$212.63 
G0111,TOTAL,,88,"$1,430.38 ","$1,079.63 "
G0112,TOTAL,,28,$409.42 ,$301.65 
G0113,TOTAL,,1,$78.50 ,$62.80 
G0114,TOTAL,,1,$59.00 ,$32.04 
G0115,TOTAL,,2,$67.00 ,$45.50 
G0116,TOTAL,,1,$93.55 ,$46.78 
G0117,TOTAL,,"1,135","$50,373.18 ","$34,619.86 "
G0118,TOTAL,,70,"$1,858.48 ","$1,408.53 "
G0120,TOTAL,,184,"$16,604.29 ","$12,863.29 "
G0121,TOTAL,,"306,841","$83,403,795.84 ","$64,834,608.24 "
G0123,TOTAL,,"748,029","$20,500,431.54 ","$20,481,492.44 "
G0124,TOTAL,,"60,469","$1,345,024.71 ","$1,033,257.08 "
G0125,TOTAL,,"10,891","$13,067,554.28 ","$10,371,592.23 "
G0127,TOTAL,,"811,697","$9,971,599.93 ","$7,372,964.74 "
G0130,TOTAL,,"1,915","$51,866.71 ","$37,568.38 "
G0141,TOTAL,,"1,921","$43,654.72 ","$32,860.87 "
G0143,TOTAL,,"14,422","$399,001.91 ","$396,427.95 "
G0144,TOTAL,,"3,582","$105,490.92 ","$105,380.23 "
G0145,TOTAL,,"210,096","$7,278,272.16 ","$7,266,870.74 "
G0147,TOTAL,,"1,243","$19,377.24 ","$19,372.80 "
G0148,TOTAL,,"9,199","$181,711.79 ","$178,693.23 "
G0166,TOTAL,,"383,422","$51,573,929.68 ","$40,828,029.89 "
G0168,TOTAL,,"16,093","$487,333.09 ","$375,463.01 "
G0173,TOTAL,,1,"$1,277.37 ","$1,021.90 "
G0179,TOTAL,,"812,820","$44,158,904.61 ","$33,570,004.92 "
G0180,TOTAL,,"1,010,033","$72,668,715.62 ","$56,656,054.06 "
G0181,TOTAL,,"211,843","$26,012,850.63 ","$20,591,618.44 "
G0182,TOTAL,,"24,346","$3,105,347.48 ","$2,395,277.84 "
G0186,TOTAL,,475,"$437,292.25 ","$347,544.17 "
G0202,TOTAL,,"630,952","$51,817,835.39 ","$41,306,438.81 "
G0204,TOTAL,,"100,810","$8,724,296.15 ","$6,556,042.80 "
G0206,TOTAL,,"107,120","$7,298,917.44 ","$5,416,269.77 "
G0210,TOTAL,,"4,467","$5,702,266.21 ","$4,530,914.34 "
G0211,TOTAL,,"6,230","$6,870,922.10 ","$5,463,846.87 "
G0212,TOTAL,,"9,654","$12,314,985.00 ","$9,768,449.62 "
G0213,TOTAL,,403,"$481,416.43 ","$382,262.01 "
G0214,TOTAL,,"1,851","$2,313,855.75 ","$1,841,613.27 "
G0215,TOTAL,,"6,257","$8,178,629.55 ","$6,485,713.69 "
G0216,TOTAL,,99,"$129,151.10 ","$101,232.96 "
G0217,TOTAL,,689,"$900,278.92 ","$713,346.14 "
G0218,TOTAL,,"1,363","$1,820,946.14 ","$1,445,407.80 "
G0220,TOTAL,,813,"$1,062,399.56 ","$843,719.72 "
G0221,TOTAL,,"2,493","$3,067,586.16 ","$2,438,775.89 "
G0222,TOTAL,,"8,365","$10,424,229.39 ","$8,232,300.69 "
G0223,TOTAL,,342,"$444,275.18 ","$352,383.38 "
G0224,TOTAL,,"1,205","$1,527,546.92 ","$1,212,488.22 "
G0225,TOTAL,,"2,241","$2,810,154.46 ","$2,220,948.37 "
G0226,TOTAL,,124,"$129,895.39 ","$103,051.09 "
G0227,TOTAL,,771,"$884,016.48 ","$703,608.04 "
G0228,TOTAL,,"1,026","$1,250,424.48 ","$990,213.83 "
G0229,TOTAL,,134,"$137,983.79 ","$108,982.27 "
G0230,TOTAL,,207,"$301,545.99 ","$240,097.99 "
G0231,TOTAL,,24,"$15,694.61 ","$12,494.56 "
G0232,TOTAL,,35,"$13,744.73 ","$10,923.16 "
G0233,TOTAL,,13,"$13,529.37 ","$10,802.44 "
G0234,TOTAL,,261,"$66,428.63 ","$52,354.66 "
G0235,TOTAL,,5,"$6,151.93 ","$4,921.55 "
G0237,TOTAL,,"49,266","$959,048.61 ","$761,513.07 "
G0238,TOTAL,,"71,013","$1,479,787.56 ","$1,179,654.46 "
G0239,TOTAL,,"1,079","$14,242.88 ","$11,183.96 "
G0242,TOTAL,,2,"$1,887.45 ","$1,509.96 "
G0245,TOTAL,,"3,513","$212,290.24 ","$157,145.70 "
G0246,TOTAL,,"5,355","$192,516.32 ","$141,711.15 "
G0247,TOTAL,,"6,899","$257,863.49 ","$194,858.39 "
G0248,TOTAL,,910,"$233,081.80 ","$182,737.09 "
G0249,TOTAL,,"12,926","$1,964,375.94 ","$1,535,355.01 "
G0250,TOTAL,,"2,778","$25,861.50 ","$20,108.86 "
G0253,TOTAL,,"7,257","$9,849,093.28 ","$7,811,000.58 "
G0254,TOTAL,,680,"$991,306.08 ","$785,422.76 "
G0255,TOTAL,,1,$0.01 ,$0.01 
G0260,TOTAL,,"26,759","$7,050,910.17 ","$5,586,865.10 "
G0265,TOTAL,,316,"$4,259.27 ","$3,494.27 "
G0266,TOTAL,,85,"$1,152.25 ",$925.91 
G0267,TOTAL,,115,"$23,526.75 ","$18,821.30 "
G0268,TOTAL,,"76,856","$3,609,243.73 ","$2,719,899.09 "
G0270,TOTAL,,"3,534","$55,235.39 ","$42,720.27 "
G0271,TOTAL,,570,"$3,147.29 ","$2,391.25 "
G0275,TOTAL,,"19,236","$259,665.78 ","$206,754.17 "
G0278,TOTAL,,"15,844","$217,055.45 ","$172,832.80 "
G0279,TOTAL,,29,"$6,634.02 ","$5,131.26 "
G0281,TOTAL,,"30,571","$337,038.89 ","$267,921.16 "
G0283,TOTAL,,"5,383,901","$63,000,705.68 ","$49,789,440.26 "
G0288,TOTAL,,"2,476","$1,034,215.02 ","$823,028.95 "
G0289,TOTAL,,"39,180","$3,105,002.58 ","$2,469,364.05 "
G0290,TOTAL,,7,"$5,497.59 ","$4,327.55 "
G0291,TOTAL,,1,$217.95 ,$174.36 
G0296,TOTAL,,192,"$204,854.10 ","$159,479.49 "
