Medicare Part B Physician/Supplier BESS Data,,,,,
For Calendar Year 2005,,,,,
Code Ranges - J0000 - J8499,,,,,
,BESS REPORTS, CODE RANGES,,,
HCPCS,MODIFIER,DESCRIPTION,ALLOWED SERVICES,ALLOWED CHARGES,PAYMENT
_____,________,___________,________________,_______________,_______
J0120,TOTAL,DRUGS OTHER THAN CHEMOTHERAPY,"1,145","$13,764.38 ","$10,877.18 "
J0128,TOTAL,,"19,265","$1,237,108.06 ","$981,813.82 "
J0130,TOTAL,,235,"$6,805.98 ","$5,306.89 "
J0135,TOTAL,,"4,016","$1,171,235.04 ","$935,678.35 "
J0150,TOTAL,,"142,826","$4,363,049.65 ","$3,445,613.98 "
J0152,TOTAL,,"1,721,061","$114,886,405.74 ","$90,697,000.33 "
J0170,TOTAL,,"55,205","$24,560.36 ","$19,169.55 "
J0180,TOTAL,,"52,789","$6,482,218.32 ","$5,185,245.31 "
J0200,TOTAL,,265,"$3,093.23 ","$2,438.77 "
J0205,TOTAL,,"9,868","$385,485.34 ","$308,280.01 "
J0207,TOTAL,,"55,496","$23,638,615.82 ","$18,751,128.59 "
J0210,TOTAL,,103,$960.11 ,$736.58 
J0215,TOTAL,,"283,613","$6,741,499.60 ","$5,347,471.04 "
J0256,TOTAL,,"2,018,003","$6,497,402.34 ","$5,185,963.42 "
J0270,TOTAL,,492,$851.16 ,$654.06 
J0275,TOTAL,,82,$431.59 ,$311.77 
J0280,TOTAL,,"293,198","$106,529.60 ","$84,241.15 "
J0282,TOTAL,,"2,524",$737.69 ,$585.63 
J0285,TOTAL,,"17,616","$156,909.20 ","$124,712.81 "
J0287,TOTAL,,"26,177","$441,741.73 ","$352,896.48 "
J0288,TOTAL,,1,$12.00 ,$9.60 
J0289,TOTAL,,"59,649","$1,995,649.79 ","$1,594,979.54 "
J0290,TOTAL,,"37,436","$49,081.02 ","$37,719.18 "
J0295,TOTAL,,"8,199","$51,309.33 ","$38,678.91 "
J0300,TOTAL,,39,$94.28 ,$40.90 
J0330,TOTAL,,411,$180.98 ,$142.94 
J0350,TOTAL,,4,"$2,515.60 ","$1,983.90 "
J0360,TOTAL,,348,"$2,155.97 ","$1,589.49 "
J0380,TOTAL,,147,$160.73 ,$111.47 
J0390,TOTAL,,199,"$3,275.64 ","$2,594.74 "
J0395,TOTAL,,3,$225.00 ,$92.00 
J0456,TOTAL,,"11,900","$267,364.14 ","$211,938.45 "
J0460,TOTAL,,"159,460","$52,231.04 ","$41,205.48 "
J0470,TOTAL,,34,$665.47 ,$441.18 
J0475,TOTAL,,"101,984","$13,974,121.56 ","$10,707,620.53 "
J0476,TOTAL,,"4,822","$124,514.88 ","$99,019.43 "
J0500,TOTAL,,"5,476","$69,867.86 ","$53,305.43 "
J0515,TOTAL,,681,"$2,274.41 ","$1,637.60 "
J0520,TOTAL,,24,$107.78 ,$78.28 
J0530,TOTAL,,"6,526","$74,558.94 ","$49,832.00 "
J0540,TOTAL,,"24,372","$524,863.83 ","$362,142.93 "
J0550,TOTAL,,"5,231","$131,386.60 ","$96,179.99 "
J0560,TOTAL,,"3,593","$56,971.55 ","$39,465.74 "
J0570,TOTAL,,"16,142","$415,896.50 ","$281,827.79 "
J0580,TOTAL,,"3,176","$162,593.14 ","$122,707.97 "
J0583,TOTAL,,462,$199.94 ,$159.97 
J0585,TOTAL,,"13,863,440","$66,048,666.66 ","$51,881,036.70 "
J0587,TOTAL,,"566,476","$3,938,737.81 ","$3,085,394.17 "
J0592,TOTAL,,"3,753","$3,046.88 ","$2,351.90 "
J0595,TOTAL,,"27,091","$36,206.59 ","$26,080.37 "
J0600,TOTAL,,"24,649","$836,597.75 ","$656,410.55 "
J0610,TOTAL,,"189,769","$43,194.50 ","$34,266.21 "
J0620,TOTAL,,"1,603","$13,636.85 ","$10,570.50 "
J0636,TOTAL,,"1,000",$712.25 ,$559.62 
J0637,TOTAL,,"78,343","$2,501,479.39 ","$1,983,520.28 "
J0640,TOTAL,,"3,260,888","$4,144,802.82 ","$3,280,182.83 "
J0670,TOTAL,,"136,805","$212,520.51 ","$164,025.36 "
J0690,TOTAL,,"165,329","$126,663.04 ","$95,755.03 "
J0692,TOTAL,,"74,461","$514,301.16 ","$406,821.06 "
J0694,TOTAL,,"4,174","$37,519.16 ","$27,029.29 "
J0696,TOTAL,,"2,891,061","$19,944,326.81 ","$14,982,964.25 "
J0697,TOTAL,,"9,056","$37,621.67 ","$25,222.59 "
J0698,TOTAL,,"71,844","$337,787.33 ","$239,131.86 "
J0702,TOTAL,,"1,184,169","$5,531,120.46 ","$4,191,080.59 "
J0704,TOTAL,,"249,091","$254,775.19 ","$194,684.06 "
J0706,TOTAL,,270,$720.67 ,$539.48 
J0710,TOTAL,,699,"$1,061.96 ",$720.35 
J0713,TOTAL,,"40,464","$157,500.76 ","$124,042.89 "
J0715,TOTAL,,"2,972","$9,430.46 ","$6,686.91 "
J0720,TOTAL,,876,"$5,130.08 ","$4,007.96 "
J0725,TOTAL,,"7,871","$24,265.18 ","$18,264.12 "
J0735,TOTAL,,"153,303","$7,001,692.90 ","$5,414,685.06 "
J0740,TOTAL,,"7,913","$5,931,614.93 ","$4,742,984.11 "
J0743,TOTAL,,"11,585","$135,864.35 ","$107,166.59 "
J0744,TOTAL,,"2,706","$17,548.26 ","$13,808.37 "
J0745,TOTAL,,252,$140.27 ,$110.85 
J0760,TOTAL,,"3,619","$15,739.89 ","$11,841.64 "
J0770,TOTAL,,326,"$8,143.54 ","$6,033.93 "
J0780,TOTAL,,"13,261","$40,389.22 ","$31,319.58 "
J0800,TOTAL,,"255,647","$21,932,832.10 ","$17,496,435.58 "
J0835,TOTAL,,"533,835","$21,178,433.81 ","$16,936,384.55 "
J0850,TOTAL,,"19,999","$13,421,595.54 ","$10,732,149.79 "
J0878,TOTAL,,"12,720,854","$3,711,485.54 ","$2,947,243.47 "
J0880,TOTAL,,"54,011,485","$850,390,264.07 ","$673,907,432.66 "
J0895,TOTAL,,"694,275","$10,733,655.78 ","$8,553,621.74 "
J0900,TOTAL,,"2,521","$3,457.59 ","$2,464.64 "
J0945,TOTAL,,"18,797","$13,952.92 ","$9,289.03 "
J0970,TOTAL,,"21,057","$441,753.24 ","$311,983.55 "
J1000,TOTAL,,"66,605","$313,407.85 ","$218,387.78 "
J1020,TOTAL,,"478,237","$1,253,195.10 ","$944,949.44 "
J1030,TOTAL,,"2,229,792","$11,503,145.22 ","$8,741,365.33 "
J1040,TOTAL,,"2,239,975","$19,554,692.87 ","$14,890,060.34 "
J1051,TOTAL,,"19,793","$97,538.00 ","$70,162.81 "
J1056,TOTAL,,87,"$1,799.85 ","$1,273.90 "
J1060,TOTAL,,"16,888","$65,679.63 ","$46,407.80 "
J1070,TOTAL,,"107,986","$527,628.07 ","$377,473.53 "
J1080,TOTAL,,"272,855","$3,300,070.73 ","$2,408,894.87 "
J1094,TOTAL,,"1,324,466","$601,121.14 ","$453,066.98 "
J1100,TOTAL,,"20,557,310","$2,651,082.91 ","$2,068,487.20 "
J1110,TOTAL,,"3,531","$67,824.96 ","$49,511.55 "
J1120,TOTAL,,468,"$4,800.56 ","$3,715.04 "
J1160,TOTAL,,552,"$1,434.23 ","$1,127.42 "
J1165,TOTAL,,"1,460",$904.16 ,$701.33 
J1170,TOTAL,,"2,910,212","$4,365,202.65 ","$3,393,821.34 "
J1180,TOTAL,,545,"$3,342.61 ","$2,408.26 "
J1190,TOTAL,,"9,406","$1,917,118.32 ","$1,523,892.35 "
J1200,TOTAL,,"787,336","$610,112.36 ","$478,331.70 "
J1205,TOTAL,,10,$88.86 ,$71.10 
J1212,TOTAL,,"32,573","$821,015.76 ","$633,168.96 "
J1230,TOTAL,,"92,708","$297,556.33 ","$237,090.07 "
J1240,TOTAL,,"2,595","$6,229.28 ","$4,656.81 "
J1245,TOTAL,,"1,346,098","$2,321,152.40 ","$1,833,812.85 "
J1250,TOTAL,,"288,224","$850,063.11 ","$671,247.72 "
J1260,TOTAL,,"4,145,618","$26,633,357.86 ","$21,094,945.57 "
J1270,TOTAL,,"3,576","$8,885.42 ","$6,956.26 "
J1320,TOTAL,,419,$909.21 ,$721.21 
J1325,TOTAL,,"2,145,133","$27,110,940.70 ","$21,519,217.65 "
