Medicare Part B Physician/Supplier BESS Data,,,,,
For Calendar Year 2005,,,,,
Code Ranges - K0000 - K0732,,,,,
,BESS REPORTS,CODE RANGES,,,
HCPCS,MODIFIER,DESCRIPTION,ALLOWED SERVICES,ALLOWED CHARGES,PAYMENT
_____,________,___________,________________,_______________,_______
K0001,TOTAL,REGIONAL DMERCS,"2,200,028","$95,591,612.50 ","$71,326,701.71 "
K0002,TOTAL,,"143,756","$9,356,425.25 ","$7,011,020.69 "
K0003,TOTAL,,"879,685","$62,467,864.24 ","$47,475,234.49 "
K0004,TOTAL,,"787,822","$82,719,451.15 ","$63,240,266.24 "
K0005,TOTAL,,"3,923","$4,956,527.66 ","$3,875,342.75 "
K0006,TOTAL,,"111,184","$11,001,029.51 ","$8,411,923.25 "
K0007,TOTAL,,"51,515","$7,539,250.01 ","$5,840,423.28 "
K0009,TOTAL,,108,"$147,345.13 ","$116,098.79 "
K0010,TOTAL,,"5,692","$12,330,969.00 ","$9,822,600.01 "
K0011,TOTAL,,"186,080","$886,491,262.58 ","$705,368,122.77 "
K0012,TOTAL,,"2,828","$5,668,581.52 ","$4,508,867.78 "
K0014,TOTAL,,"2,196","$15,971,722.86 ","$12,580,918.24 "
K0015,TOTAL,,"4,497","$587,377.57 ","$465,769.77 "
K0017,TOTAL,,"2,246","$43,385.98 ","$34,057.18 "
K0018,TOTAL,,362,"$8,195.15 ","$6,274.92 "
K0019,TOTAL,,"28,365","$456,212.77 ","$347,153.22 "
K0020,TOTAL,,"1,822","$37,067.52 ","$29,430.33 "
K0037,TOTAL,,718,"$9,685.71 ","$7,657.33 "
K0038,TOTAL,,"1,297","$28,763.22 ","$22,447.09 "
K0039,TOTAL,,409,"$16,668.85 ","$13,083.66 "
K0040,TOTAL,,"21,286","$1,414,180.50 ","$1,119,926.09 "
K0041,TOTAL,,"3,672","$171,183.79 ","$135,941.80 "
K0042,TOTAL,,505,"$16,197.89 ","$12,562.44 "
K0043,TOTAL,,"1,642","$29,685.36 ","$23,140.87 "
K0044,TOTAL,,949,"$15,484.31 ","$11,967.74 "
K0045,TOTAL,,"2,516","$87,557.95 ","$67,289.62 "
K0046,TOTAL,,383,"$4,070.14 ","$3,210.70 "
K0047,TOTAL,,670,"$30,560.37 ","$24,274.20 "
K0050,TOTAL,,120,"$3,502.12 ","$2,775.81 "
K0051,TOTAL,,446,"$18,566.45 ","$14,547.75 "
K0052,TOTAL,,"6,131","$365,879.28 ","$287,787.04 "
K0053,TOTAL,,"5,088","$165,397.14 ","$130,704.68 "
K0056,TOTAL,,"9,477","$286,952.61 ","$227,385.61 "
K0064,TOTAL,,"13,813","$318,887.60 ","$251,317.15 "
K0065,TOTAL,,362,"$14,722.92 ","$11,676.22 "
K0066,TOTAL,,"2,055","$49,013.86 ","$36,998.90 "
K0067,TOTAL,,"11,414","$312,790.20 ","$236,639.02 "
K0068,TOTAL,,"3,099","$16,923.72 ","$12,563.82 "
K0069,TOTAL,,"1,364","$122,277.87 ","$96,203.31 "
K0070,TOTAL,,"1,713","$267,361.79 ","$209,540.41 "
K0071,TOTAL,,"1,542","$134,100.44 ","$105,203.81 "
K0072,TOTAL,,"1,699","$100,277.78 ","$78,363.66 "
K0073,TOTAL,,142,"$4,022.44 ","$3,162.98 "
K0074,TOTAL,,"1,337","$33,920.42 ","$25,993.10 "
K0075,TOTAL,,"2,234","$79,493.86 ","$62,063.92 "
K0076,TOTAL,,"1,162","$28,034.49 ","$21,691.57 "
K0077,TOTAL,,"3,446","$182,902.19 ","$141,492.52 "
K0078,TOTAL,,468,"$3,952.22 ","$2,951.55 "
K0090,TOTAL,,"9,121","$525,790.23 ","$410,968.38 "
K0091,TOTAL,,"1,339","$18,870.39 ","$14,379.14 "
K0092,TOTAL,,"4,317","$911,820.35 ","$723,607.96 "
K0093,TOTAL,,"189,023","$27,810,087.43 ","$22,146,707.77 "
K0094,TOTAL,,"7,899","$343,402.01 ","$267,768.17 "
K0095,TOTAL,,"3,416","$127,703.51 ","$100,592.19 "
K0096,TOTAL,,"7,639","$1,854,374.88 ","$1,469,987.29 "
K0097,TOTAL,,"92,457","$5,673,474.74 ","$4,518,480.60 "
K0098,TOTAL,,137,"$3,431.46 ","$2,673.38 "
K0099,TOTAL,,"21,320","$1,567,163.10 ","$1,228,553.53 "
K0104,TOTAL,,"31,000","$2,190,503.23 ","$1,742,901.44 "
K0105,TOTAL,,129,"$7,312.20 ","$5,832.86 "
K0106,TOTAL,,"4,924","$341,113.82 ","$269,710.85 "
K0108,TOTAL,,"136,458","$20,728,600.24 ","$16,357,122.51 "
K0195,TOTAL,,"994,868","$17,077,827.07 ","$13,153,826.97 "
K0415,TOTAL,,"143,897","$828,333.47 ","$660,534.51 "
K0416,TOTAL,,12,$474.24 ,$379.40 
K0452,TOTAL,,"16,122","$102,755.26 ","$78,517.23 "
K0455,TOTAL,,"10,694","$2,723,608.76 ","$2,166,458.55 "
K0462,TOTAL,,"6,881","$2,933,319.63 ","$2,326,331.24 "
K0552,TOTAL,,"1,650,588","$4,339,508.40 ","$3,410,345.18 "
K0600,TOTAL,,4,"$32,590.42 ","$26,072.33 "
K0601,TOTAL,,"47,120","$51,810.79 ","$40,109.59 "
K0602,TOTAL,,"1,769","$10,987.05 ","$8,615.61 "
K0603,TOTAL,,"15,363","$9,005.08 ","$7,113.73 "
K0604,TOTAL,,485,"$2,924.84 ","$2,294.82 "
K0606,TOTAL,,920,"$1,893,143.01 ","$1,502,770.33 "
K0607,TOTAL,,3,$248.54 ,$198.83 
K0608,TOTAL,,4,$511.36 ,$409.09 
K0609,TOTAL,,19,"$1,445.09 ","$1,156.07 "
K0618,TOTAL,,433,"$263,339.00 ","$208,408.02 "
K0619,TOTAL,,71,"$23,645.86 ","$18,127.20 "
K0620,TOTAL,,"23,868","$23,507.66 ","$18,620.59 "
K0628,TOTAL,,"2,758,921","$66,661,525.93 ","$53,072,779.74 "
K0629,TOTAL,,"1,161,367","$41,669,295.78 ","$33,178,416.31 "
K0630,TOTAL,,"4,302","$295,282.96 ","$228,577.49 "
K0631,TOTAL,,531,"$83,977.01 ","$66,050.26 "
K0632,TOTAL,,207,"$22,764.54 ","$18,007.04 "
K0633,TOTAL,,7,$793.35 ,$634.69 
K0634,TOTAL,,"36,105","$1,531,235.77 ","$1,175,579.82 "
K0635,TOTAL,,"15,661","$951,060.31 ","$727,755.20 "
K0636,TOTAL,,"17,350","$5,464,121.73 ","$4,322,626.75 "
K0637,TOTAL,,"25,730","$1,667,054.35 ","$1,278,400.79 "
K0638,TOTAL,,384,"$71,376.66 ","$55,977.81 "
K0639,TOTAL,,"20,951","$2,637,936.88 ","$2,052,840.88 "
K0640,TOTAL,,"12,298","$9,866,872.93 ","$7,811,906.36 "
K0641,TOTAL,,41,"$13,530.75 ","$10,801.31 "
K0642,TOTAL,,"7,307","$1,648,771.64 ","$1,293,751.81 "
K0643,TOTAL,,142,"$72,603.35 ","$57,727.83 "
K0644,TOTAL,,589,"$432,511.09 ","$343,241.32 "
K0645,TOTAL,,428,"$382,184.28 ","$301,664.83 "
K0646,TOTAL,,"2,871","$2,757,895.62 ","$2,180,081.73 "
K0647,TOTAL,,"1,073","$1,114,345.28 ","$871,599.16 "
K0648,TOTAL,,"5,548","$5,197,528.69 ","$4,118,106.70 "
K0649,TOTAL,,"1,286","$1,012,937.58 ","$795,733.25 "
K0669,TOTAL,,5,"$1,595.11 ","$1,276.10 "
K0670,TOTAL,,190,"$2,669,248.03 ","$2,124,703.68 "
K0671,TOTAL,,"46,654","$1,468,855.87 ","$1,174,451.00 "
K0730,TOTAL,,944,"$149,559.92 ","$119,623.86 "
K0731,TOTAL,,224,"$11,351.78 ","$9,023.91 "
K0732,TOTAL,,704,"$89,043.98 ","$70,728.49 "
,,,,,
