Medicare Part B Physician/Supplier BESS Data,,,,,
For Calendar Year 2005,,,,,
Code Ranges - L0100 - L4398,,,,,
,BESS REPORTS, CODE RANGES,,,
HCPCS,MODIFIER,DESCRIPTION,ALLOWED SERVICES,ALLOWED CHARGES,PAYMENT
_____,________,___________,________________,_______________,_______
L0100,TOTAL,ORTHOTIC PROCEDURES,71,"$35,995.50 ","$28,695.81 "
L0110,TOTAL,,59,"$8,001.09 ","$6,327.45 "
L0112,TOTAL,,188,"$211,665.60 ","$168,245.04 "
L0120,TOTAL,,"21,283","$438,972.98 ","$337,882.21 "
L0130,TOTAL,,380,"$53,380.36 ","$41,691.18 "
L0140,TOTAL,,965,"$48,787.89 ","$37,844.34 "
L0150,TOTAL,,"1,085","$99,107.20 ","$76,605.90 "
L0160,TOTAL,,519,"$67,259.30 ","$52,199.45 "
L0170,TOTAL,,230,"$105,980.44 ","$84,018.37 "
L0172,TOTAL,,"5,391","$581,108.03 ","$450,186.78 "
L0174,TOTAL,,"2,359","$521,963.54 ","$409,301.01 "
L0180,TOTAL,,919,"$280,327.03 ","$219,631.67 "
L0190,TOTAL,,307,"$133,345.19 ","$104,191.80 "
L0200,TOTAL,,205,"$88,514.86 ","$69,582.34 "
L0210,TOTAL,,"7,049","$209,432.31 ","$159,164.29 "
L0220,TOTAL,,192,"$15,013.84 ","$11,331.52 "
L0430,TOTAL,,143,"$151,810.46 ","$121,328.53 "
L0450,TOTAL,,"3,850","$565,286.53 ","$440,960.88 "
L0452,TOTAL,,54,"$17,392.29 ","$13,266.60 "
L0454,TOTAL,,"1,756","$472,275.17 ","$371,680.58 "
L0456,TOTAL,,"1,412","$1,041,028.14 ","$826,110.97 "
L0458,TOTAL,,595,"$418,066.54 ","$332,508.26 "
L0460,TOTAL,,842,"$670,877.41 ","$528,809.47 "
L0462,TOTAL,,668,"$617,882.88 ","$490,769.33 "
L0464,TOTAL,,"2,580","$3,065,709.76 ","$2,436,346.31 "
L0466,TOTAL,,316,"$97,973.14 ","$77,368.07 "
L0468,TOTAL,,535,"$226,628.99 ","$180,007.30 "
L0470,TOTAL,,499,"$267,633.05 ","$211,512.77 "
L0472,TOTAL,,"8,589","$2,980,272.30 ","$2,354,112.74 "
L0480,TOTAL,,396,"$480,562.07 ","$377,722.64 "
L0482,TOTAL,,"1,048","$1,383,655.08 ","$1,091,572.70 "
L0484,TOTAL,,924,"$1,181,417.99 ","$931,481.60 "
L0486,TOTAL,,"2,989","$4,607,232.80 ","$3,631,211.69 "
L0488,TOTAL,,238,"$190,630.09 ","$150,179.82 "
L0490,TOTAL,,90,"$13,789.31 ","$10,754.47 "
L0700,TOTAL,,253,"$251,808.16 ","$200,880.25 "
L0710,TOTAL,,51,"$84,545.17 ","$66,483.91 "
L0810,TOTAL,,55,"$116,212.74 ","$91,845.41 "
L0820,TOTAL,,19,"$29,692.34 ","$22,956.70 "
L0830,TOTAL,,27,"$41,887.85 ","$33,510.30 "
L0860,TOTAL,,47,"$36,537.04 ","$27,754.17 "
L0861,TOTAL,,29,"$4,991.43 ","$3,840.69 "
L0970,TOTAL,,288,"$24,336.91 ","$18,949.96 "
L0972,TOTAL,,"2,092","$187,982.14 ","$144,322.23 "
L0974,TOTAL,,369,"$55,324.47 ","$43,427.31 "
L0976,TOTAL,,"2,546","$320,725.95 ","$250,430.32 "
L0978,TOTAL,,9,"$1,381.75 ","$1,105.39 "
L0980,TOTAL,,79,"$1,081.09 ",$844.71 
L0984,TOTAL,,2,$108.98 ,$87.18 
L0999,TOTAL,,252,"$18,467.36 ","$14,679.36 "
L1000,TOTAL,,46,"$85,952.70 ","$68,658.41 "
L1005,TOTAL,,80,"$197,805.24 ","$158,155.94 "
L1010,TOTAL,,31,"$1,550.88 ","$1,166.24 "
L1020,TOTAL,,80,"$4,710.65 ","$3,760.57 "
L1025,TOTAL,,16,"$1,831.25 ","$1,465.07 "
L1030,TOTAL,,115,"$4,974.47 ","$3,956.39 "
L1040,TOTAL,,171,"$9,727.25 ","$7,591.48 "
L1050,TOTAL,,97,"$6,785.64 ","$5,282.45 "
L1060,TOTAL,,51,"$4,135.83 ","$3,168.18 "
L1070,TOTAL,,9,$591.81 ,$433.44 
L1080,TOTAL,,2,$101.58 ,$81.27 
L1085,TOTAL,,5,$571.76 ,$457.41 
L1090,TOTAL,,12,$873.11 ,$635.77 
L1100,TOTAL,,10,"$1,589.37 ","$1,271.51 "
L1110,TOTAL,,4,$838.79 ,$671.03 
L1120,TOTAL,,139,"$4,260.40 ","$3,349.01 "
L1200,TOTAL,,326,"$433,172.98 ","$334,229.49 "
L1210,TOTAL,,155,"$33,893.80 ","$26,881.11 "
L1220,TOTAL,,815,"$156,354.98 ","$123,999.70 "
L1230,TOTAL,,7,"$3,010.74 ","$2,408.58 "
L1240,TOTAL,,351,"$23,382.38 ","$18,321.39 "
L1250,TOTAL,,119,"$7,126.28 ","$5,543.04 "
L1260,TOTAL,,215,"$13,339.22 ","$10,539.31 "
L1270,TOTAL,,650,"$17,031.50 ","$13,305.67 "
L1280,TOTAL,,73,"$4,643.94 ","$3,692.85 "
L1290,TOTAL,,96,"$6,500.39 ","$5,052.12 "
L1300,TOTAL,,139,"$212,952.63 ","$166,684.08 "
L1310,TOTAL,,52,"$75,849.54 ","$60,591.48 "
L1499,TOTAL,,470,"$59,655.50 ","$47,496.90 "
L1500,TOTAL,,4,"$7,625.65 ","$6,100.52 "
L1510,TOTAL,,4,"$3,480.45 ","$2,784.36 "
L1520,TOTAL,,47,"$107,618.25 ","$86,094.60 "
L1600,TOTAL,,252,"$26,126.57 ","$20,735.82 "
L1610,TOTAL,,5,$169.02 ,$135.22 
L1620,TOTAL,,3,$252.75 ,$202.20 
L1630,TOTAL,,6,$958.73 ,$766.97 
L1640,TOTAL,,20,"$7,918.58 ","$6,334.83 "
L1650,TOTAL,,37,"$6,988.86 ","$5,591.05 "
L1652,TOTAL,,"1,884","$539,308.86 ","$427,320.47 "
L1660,TOTAL,,16,"$2,102.51 ","$1,682.04 "
L1680,TOTAL,,94,"$86,894.99 ","$68,853.07 "
L1685,TOTAL,,171,"$167,199.56 ","$132,401.97 "
L1686,TOTAL,,"1,364","$1,067,000.11 ","$842,897.03 "
L1690,TOTAL,,13,"$17,411.94 ","$13,929.55 "
L1710,TOTAL,,5,"$8,971.10 ","$7,156.50 "
L1730,TOTAL,,4,"$3,769.98 ","$3,015.98 "
L1750,TOTAL,,7,$150.50 ,$120.40 
L1755,TOTAL,,2,"$2,800.47 ","$2,240.38 "
L1800,TOTAL,,"41,816","$2,181,124.44 ","$1,693,728.04 "
L1810,TOTAL,,"30,236","$2,539,654.67 ","$1,984,316.17 "
L1815,TOTAL,,"27,863","$2,106,637.08 ","$1,635,321.83 "
L1820,TOTAL,,"22,951","$2,444,436.42 ","$1,905,116.29 "
L1825,TOTAL,,"42,213","$1,762,060.55 ","$1,358,853.57 "
L1830,TOTAL,,"28,890","$1,988,185.76 ","$1,550,352.28 "
L1831,TOTAL,,"3,480","$813,097.15 ","$642,975.77 "
L1832,TOTAL,,"38,873","$20,531,847.36 ","$16,305,687.11 "
L1834,TOTAL,,540,"$295,570.79 ","$234,592.43 "
L1836,TOTAL,,331,"$32,555.53 ","$25,550.16 "
L1840,TOTAL,,333,"$202,608.54 ","$159,460.83 "
L1843,TOTAL,,"4,103","$2,901,914.59 ","$2,296,307.59 "
L1844,TOTAL,,"4,930","$6,593,244.60 ","$5,205,796.98 "
L1845,TOTAL,,"10,802","$7,244,195.31 ","$5,724,150.63 "
L1846,TOTAL,,"2,600","$2,390,642.42 ","$1,895,548.88 "
L1847,TOTAL,,"6,661","$3,054,417.77 ","$2,430,544.87 "
L1850,TOTAL,,"1,661","$377,740.68 ","$298,317.05 "
L1855,TOTAL,,"1,622","$1,583,361.80 ","$1,255,467.98 "
L1858,TOTAL,,"3,155","$3,271,571.63 ","$2,581,358.22 "
L1860,TOTAL,,150,"$128,436.67 ","$102,619.32 "
L1870,TOTAL,,173,"$131,979.13 ","$105,224.14 "
L1880,TOTAL,,628,"$331,462.24 ","$262,287.31 "
L1900,TOTAL,,892,"$172,404.65 ","$136,750.13 "
L1901,TOTAL,,"4,615","$64,174.85 ","$49,753.60 "
