Medicare Part B Physician/Supplier BESS Data,,,,,
For Calendar Year 2005,,,,,
Code Ranges - L5000 - L9900,,,,,
,BESS REPORTS,CODE RANGES,,,
HCPCS,MODIFIER,DESCRIPTION,ALLOWED SERVICES,ALLOWED CHARGES,PAYMENT
_____,________,___________,________________,_______________,_______
L5000,TOTAL,PROSTHECTICS,"13,111","$5,685,300.85 ","$4,494,092.55 "
L5010,TOTAL,,527,"$569,524.23 ","$448,308.71 "
L5020,TOTAL,,542,"$967,939.42 ","$754,739.81 "
L5050,TOTAL,,624,"$1,297,673.08 ","$1,025,468.71 "
L5060,TOTAL,,283,"$633,594.83 ","$506,649.49 "
L5100,TOTAL,,608,"$1,273,715.85 ","$996,853.16 "
L5105,TOTAL,,202,"$598,661.97 ","$473,839.02 "
L5150,TOTAL,,20,"$65,084.63 ","$52,067.71 "
L5160,TOTAL,,18,"$63,938.97 ","$50,996.58 "
L5200,TOTAL,,240,"$708,944.30 ","$564,703.80 "
L5210,TOTAL,,120,"$263,097.80 ","$210,159.43 "
L5220,TOTAL,,87,"$222,578.74 ","$177,985.16 "
L5230,TOTAL,,21,"$72,761.79 ","$56,130.97 "
L5250,TOTAL,,12,"$57,346.25 ","$45,689.40 "
L5270,TOTAL,,3,"$13,310.25 ","$10,606.72 "
L5280,TOTAL,,4,"$17,778.83 ","$11,222.14 "
L5301,TOTAL,,"25,775","$55,187,701.13 ","$43,470,371.57 "
L5311,TOTAL,,166,"$506,591.89 ","$390,564.52 "
L5321,TOTAL,,"7,481","$22,554,007.05 ","$17,881,318.30 "
L5331,TOTAL,,105,"$451,178.23 ","$353,521.22 "
L5341,TOTAL,,25,"$115,402.12 ","$92,172.40 "
L5400,TOTAL,,69,"$74,262.42 ","$58,983.17 "
L5410,TOTAL,,81,"$28,894.87 ","$22,811.91 "
L5420,TOTAL,,9,"$4,450.01 ","$3,560.02 "
L5430,TOTAL,,1,$403.56 ,$322.85 
L5450,TOTAL,,357,"$129,225.11 ","$100,035.96 "
L5460,TOTAL,,20,"$9,313.81 ","$7,451.07 "
L5500,TOTAL,,194,"$73,944.67 ","$57,610.99 "
L5505,TOTAL,,14,"$21,187.47 ","$16,861.97 "
L5510,TOTAL,,79,"$44,604.92 ","$35,595.91 "
L5520,TOTAL,,30,"$42,680.82 ","$33,023.51 "
L5530,TOTAL,,"1,729","$2,724,799.86 ","$2,146,147.87 "
L5535,TOTAL,,85,"$127,651.77 ","$99,627.04 "
L5540,TOTAL,,"3,815","$6,379,909.19 ","$5,048,238.71 "
L5560,TOTAL,,29,"$60,598.26 ","$48,381.97 "
L5570,TOTAL,,20,"$35,588.74 ","$28,398.96 "
L5580,TOTAL,,706,"$1,514,425.91 ","$1,194,609.49 "
L5585,TOTAL,,191,"$429,930.00 ","$343,445.12 "
L5590,TOTAL,,"1,597","$3,500,484.01 ","$2,780,002.77 "
L5595,TOTAL,,3,"$11,087.37 ","$8,869.89 "
L5600,TOTAL,,12,"$48,343.65 ","$38,432.42 "
L5610,TOTAL,,17,"$31,887.58 ","$23,091.53 "
L5611,TOTAL,,712,"$975,308.24 ","$773,363.42 "
L5613,TOTAL,,536,"$1,100,530.19 ","$865,971.67 "
L5614,TOTAL,,29,"$39,384.44 ","$31,507.56 "
L5616,TOTAL,,90,"$106,612.48 ","$84,528.54 "
L5617,TOTAL,,225,"$99,634.30 ","$78,793.32 "
L5618,TOTAL,,893,"$219,858.20 ","$173,858.04 "
L5620,TOTAL,,"50,550","$12,436,941.08 ","$9,798,881.21 "
L5622,TOTAL,,403,"$133,494.04 ","$104,623.49 "
L5624,TOTAL,,"18,949","$6,231,898.84 ","$4,931,761.46 "
L5626,TOTAL,,217,"$94,051.95 ","$72,412.02 "
L5628,TOTAL,,47,"$19,665.00 ","$15,253.24 "
L5629,TOTAL,,"33,637","$9,659,699.10 ","$7,617,001.64 "
L5630,TOTAL,,149,"$59,618.34 ","$47,207.06 "
L5631,TOTAL,,"9,623","$3,773,793.81 ","$2,988,516.07 "
L5632,TOTAL,,900,"$178,621.22 ","$141,789.00 "
L5634,TOTAL,,170,"$45,518.41 ","$35,859.28 "
L5636,TOTAL,,249,"$53,265.57 ","$42,370.58 "
L5637,TOTAL,,"41,364","$11,878,603.31 ","$9,380,900.29 "
L5638,TOTAL,,57,"$25,280.82 ","$19,764.07 "
L5639,TOTAL,,7,"$6,708.03 ","$5,366.43 "
L5640,TOTAL,,48,"$26,514.50 ","$20,469.47 "
L5642,TOTAL,,6,"$3,047.79 ","$2,438.24 "
L5643,TOTAL,,129,"$174,809.78 ","$139,064.85 "
L5644,TOTAL,,12,"$5,527.88 ","$4,422.27 "
L5645,TOTAL,,"10,829","$7,252,004.74 ","$5,721,496.08 "
L5646,TOTAL,,113,"$55,800.42 ","$44,569.96 "
L5647,TOTAL,,"8,879","$6,039,096.19 ","$4,756,509.60 "
L5648,TOTAL,,45,"$24,432.46 ","$19,102.49 "
L5649,TOTAL,,"11,761","$20,700,249.89 ","$16,404,808.61 "
L5650,TOTAL,,"11,238","$4,867,012.39 ","$3,855,598.47 "
L5651,TOTAL,,"9,796","$10,296,618.99 ","$8,152,145.64 "
L5652,TOTAL,,"5,507","$2,043,273.27 ","$1,616,262.43 "
L5653,TOTAL,,173,"$86,742.52 ","$67,922.12 "
L5654,TOTAL,,266,"$80,172.34 ","$62,902.64 "
L5655,TOTAL,,"8,218","$2,265,885.28 ","$1,792,210.71 "
L5656,TOTAL,,71,"$23,996.27 ","$18,555.19 "
L5658,TOTAL,,353,"$154,868.79 ","$122,960.29 "
L5661,TOTAL,,107,"$56,854.36 ","$45,367.16 "
L5665,TOTAL,,"2,767","$1,248,180.25 ","$989,623.47 "
L5666,TOTAL,,"2,742","$177,273.88 ","$137,771.76 "
L5668,TOTAL,,"13,793","$1,280,393.14 ","$1,004,732.34 "
L5670,TOTAL,,"5,333","$1,230,954.39 ","$972,051.47 "
L5671,TOTAL,,"33,457","$15,151,034.73 ","$11,956,373.77 "
L5672,TOTAL,,157,"$39,566.01 ","$30,729.19 "
L5673,TOTAL,,"73,822","$43,342,587.73 ","$34,092,088.63 "
L5676,TOTAL,,599,"$189,718.67 ","$148,128.42 "
L5677,TOTAL,,198,"$85,014.64 ","$67,468.86 "
L5678,TOTAL,,614,"$21,404.83 ","$16,708.05 "
L5679,TOTAL,,"20,109","$9,882,620.23 ","$7,760,794.53 "
L5680,TOTAL,,491,"$131,304.02 ","$102,689.31 "
L5681,TOTAL,,"1,656","$1,737,723.61 ","$1,373,025.31 "
L5682,TOTAL,,233,"$125,268.45 ","$98,586.53 "
L5683,TOTAL,,"3,946","$4,145,239.42 ","$3,264,727.76 "
L5684,TOTAL,,"1,175","$48,136.39 ","$37,474.80 "
L5685,TOTAL,,"31,436","$3,062,188.94 ","$2,393,287.85 "
L5686,TOTAL,,355,"$16,459.88 ","$12,751.06 "
L5688,TOTAL,,"1,137","$60,470.95 ","$46,346.84 "
L5690,TOTAL,,682,"$51,387.15 ","$39,107.39 "
L5692,TOTAL,,321,"$37,761.45 ","$29,761.49 "
L5694,TOTAL,,"1,159","$183,051.26 ","$143,749.78 "
L5695,TOTAL,,"4,208","$623,830.82 ","$490,402.58 "
L5696,TOTAL,,685,"$109,838.82 ","$87,201.41 "
L5697,TOTAL,,658,"$45,121.82 ","$35,414.29 "
L5698,TOTAL,,"1,189","$116,316.16 ","$89,413.36 "
L5699,TOTAL,,72,"$12,307.57 ","$9,649.15 "
L5700,TOTAL,,"10,649","$25,784,659.33 ","$20,279,247.11 "
L5701,TOTAL,,"3,535","$10,485,406.07 ","$8,267,185.70 "
L5702,TOTAL,,169,"$593,613.72 ","$469,203.55 "
L5704,TOTAL,,"25,962","$12,014,351.21 ","$9,472,849.00 "
L5705,TOTAL,,"6,876","$5,668,896.97 ","$4,486,218.95 "
L5706,TOTAL,,140,"$113,862.60 ","$88,116.59 "
L5707,TOTAL,,116,"$127,575.39 ","$100,237.89 "
L5710,TOTAL,,35,"$10,884.94 ","$8,529.94 "
L5711,TOTAL,,59,"$27,060.28 ","$21,648.12 "
L5712,TOTAL,,137,"$53,304.32 ","$42,544.83 "
L5714,TOTAL,,16,"$5,919.08 ","$4,735.25 "
