Medicare Part B Physician/Supplier BESS Data,,,,,
For Calendar Year 2005,,,,,
Code Ranges - Q0000 - Q9957,,,,,
,BESS REPORTS, CODE RANGES,,,
HCPCS,MODIFIER,DESCRIPTION,ALLOWED SERVICES,ALLOWED CHARGES,PAYMENT
_____,________,___________,________________,_______________,_______
Q0035,TOTAL,NATIONAL CODES ASSIGNED BY CMS ON A TEMPORARY BASIS,41,$524.64 ,$419.75 
Q0083,TOTAL,,1,$0.01 ,$0.01 
Q0084,TOTAL,,14,$0.14 ,$0.14 
Q0091,TOTAL,,"1,203,684","$44,465,669.40 ","$35,481,170.69 "
Q0092,TOTAL,,"1,740,124","$21,742,306.34 ","$16,884,150.21 "
Q0111,TOTAL,,"83,865","$487,944.15 ","$484,726.27 "
Q0112,TOTAL,,"48,505","$280,578.17 ","$279,028.57 "
Q0113,TOTAL,,6,$44.30 ,$41.24 
Q0114,TOTAL,,34,$335.68 ,$335.68 
Q0115,TOTAL,,204,"$2,819.95 ","$2,778.46 "
Q0136,TOTAL,,"80,198,228","$775,666,783.01 ","$615,049,796.46 "
Q0137,TOTAL,,"36,645,746","$116,694,974.16 ","$92,715,313.26 "
Q0163,TOTAL,,765,$46.51 ,$35.29 
Q0164,TOTAL,,"2,875",$196.50 ,$157.27 
Q0165,TOTAL,,"15,625","$2,008.07 ","$1,600.61 "
Q0166,TOTAL,,"27,047","$726,056.85 ","$573,223.00 "
Q0167,TOTAL,,"9,739","$39,656.10 ","$31,475.33 "
Q0168,TOTAL,,"11,634","$100,426.44 ","$79,685.22 "
Q0169,TOTAL,,65,$19.93 ,$15.94 
Q0170,TOTAL,,"6,632",$744.70 ,$594.44 
Q0172,TOTAL,,30,$1.86 ,$1.48 
Q0173,TOTAL,,33,$8.62 ,$6.90 
Q0177,TOTAL,,76,$5.59 ,$4.51 
Q0178,TOTAL,,65,$5.02 ,$4.02 
Q0179,TOTAL,,"108,117","$2,862,884.07 ","$2,270,626.80 "
Q0180,TOTAL,,"4,817","$192,773.35 ","$153,028.14 "
Q0181,TOTAL,,165,$953.48 ,$762.80 
Q0187,TOTAL,,"3,569","$27,010,462.73 ","$21,605,720.46 "
Q1001,TOTAL,,"2,321","$111,100.00 ","$88,521.57 "
Q1002,TOTAL,,"3,999","$197,474.95 ","$157,011.23 "
Q2002,TOTAL,,4,$8.00 ,$6.40 
Q2005,TOTAL,,8,"$3,303.73 ","$2,549.71 "
Q2007,TOTAL,,4,$209.10 ,$167.28 
Q2009,TOTAL,,122,$622.54 ,$498.03 
Q2011,TOTAL,,"13,384","$82,669.03 ","$66,135.30 "
Q2012,TOTAL,,3,$222.50 ,$178.00 
Q2014,TOTAL,,14,$149.05 ,$112.22 
Q2017,TOTAL,,32,"$8,416.47 ","$6,254.13 "
Q2019,TOTAL,,1,$485.00 ,$388.00 
Q2020,TOTAL,,22,"$18,544.95 ","$14,706.13 "
Q2022,TOTAL,,"166,456","$10,259,314.75 ","$8,206,888.36 "
Q3001,TOTAL,,"132,943","$9,864,443.42 ","$7,870,023.41 "
Q3002,TOTAL,,"1,626","$42,749.01 ","$33,360.83 "
Q3003,TOTAL,,265,"$103,060.88 ","$81,328.95 "
Q3004,TOTAL,,"1,084","$26,312.88 ","$21,027.10 "
Q3005,TOTAL,,"10,378","$845,240.10 ","$671,748.61 "
Q3006,TOTAL,,68,"$2,913.50 ","$2,330.92 "
Q3007,TOTAL,,41,"$10,094.23 ","$8,075.38 "
Q3008,TOTAL,,617,"$313,438.21 ","$248,794.18 "
Q3009,TOTAL,,"122,332","$1,008,450.08 ","$800,118.89 "
Q3010,TOTAL,,"30,482","$570,490.84 ","$452,911.81 "
Q3011,TOTAL,,27,"$3,883.20 ","$3,106.56 "
Q3012,TOTAL,,26,"$2,367.00 ","$1,869.15 "
Q3014,TOTAL,,"10,972","$227,346.97 ","$179,187.46 "
Q3019,TOTAL,,"390,642","$117,712,138.44 ","$92,972,988.36 "
Q3020,TOTAL,,"682,094","$139,356,433.34 ","$110,783,848.57 "
Q3025,TOTAL,,"243,496","$20,101,110.53 ","$15,853,518.24 "
Q4001,TOTAL,,310,"$8,556.37 ","$6,588.89 "
Q4002,TOTAL,,28,"$1,681.12 ","$1,344.88 "
Q4003,TOTAL,,19,$495.26 ,$374.18 
Q4004,TOTAL,,124,"$5,426.93 ","$4,292.52 "
Q4005,TOTAL,,890,"$8,197.67 ","$6,476.98 "
Q4006,TOTAL,,"13,098","$289,776.12 ","$227,511.70 "
Q4007,TOTAL,,9,$45.56 ,$36.47 
Q4008,TOTAL,,93,$948.05 ,$740.34 
Q4009,TOTAL,,"3,508","$20,669.76 ","$16,201.20 "
Q4010,TOTAL,,"70,592","$1,050,865.96 ","$821,296.26 "
Q4011,TOTAL,,9,$29.95 ,$18.82 
Q4012,TOTAL,,179,"$1,335.19 ","$1,036.82 "
Q4013,TOTAL,,273,"$3,209.11 ","$2,556.48 "
Q4014,TOTAL,,"4,108","$82,726.84 ","$64,637.69 "
Q4015,TOTAL,,2,$12.32 ,$9.86 
Q4016,TOTAL,,2,$19.82 ,$15.85 
Q4017,TOTAL,,"1,767","$12,364.30 ","$9,743.55 "
Q4018,TOTAL,,"5,674","$63,769.20 ","$49,707.65 "
Q4019,TOTAL,,8,$28.48 ,$22.80 
Q4020,TOTAL,,27,$151.68 ,$112.17 
Q4021,TOTAL,,"4,149","$21,687.73 ","$16,845.04 "
Q4022,TOTAL,,"13,468","$126,283.17 ","$98,204.75 "
Q4023,TOTAL,,4,$7.79 ,$6.23 
Q4024,TOTAL,,31,$146.05 ,$109.44 
Q4025,TOTAL,,5,$147.75 ,$118.20 
Q4026,TOTAL,,13,"$1,115.03 ",$892.06 
Q4027,TOTAL,,1,$13.43 ,$10.74 
Q4028,TOTAL,,1,$46.13 ,$36.90 
Q4029,TOTAL,,204,"$4,201.33 ","$3,306.69 "
Q4030,TOTAL,,"3,155","$167,227.99 ","$131,463.16 "
Q4031,TOTAL,,2,$17.30 ,$13.84 
Q4032,TOTAL,,21,$573.27 ,$458.60 
Q4033,TOTAL,,57,"$1,111.48 ",$843.17 
Q4034,TOTAL,,905,"$43,257.47 ","$34,275.71 "
Q4035,TOTAL,,6,$63.30 ,$45.60 
Q4036,TOTAL,,11,$285.98 ,$228.82 
Q4037,TOTAL,,"4,843","$56,758.56 ","$44,312.39 "
Q4038,TOTAL,,"67,298","$2,030,158.59 ","$1,581,150.46 "
Q4039,TOTAL,,22,$141.68 ,$113.34 
Q4040,TOTAL,,203,"$2,437.35 ","$1,930.43 "
Q4041,TOTAL,,241,"$3,626.95 ","$2,832.20 "
Q4042,TOTAL,,645,"$16,793.08 ","$12,975.64 "
Q4043,TOTAL,,3,$23.46 ,$12.52 
Q4044,TOTAL,,2,$26.70 ,$21.36 
Q4045,TOTAL,,"2,488","$19,843.61 ","$15,544.16 "
Q4046,TOTAL,,"4,402","$62,325.93 ","$48,156.95 "
Q4047,TOTAL,,2,$9.06 ,$3.62 
Q4048,TOTAL,,33,$240.30 ,$186.40 
Q4049,TOTAL,,"5,690","$9,290.16 ","$7,041.56 "
Q4050,TOTAL,,"1,597","$26,727.64 ","$20,947.83 "
Q4051,TOTAL,,"5,432","$93,658.66 ","$73,946.96 "
Q4054,TOTAL,,"1,132,637","$3,613,274.75 ","$2,876,339.11 "
Q4055,TOTAL,,"479,430","$4,160,788.36 ","$3,296,252.11 "
Q4075,TOTAL,,"595,613","$246,367.56 ","$196,945.40 "
Q4076,TOTAL,,"14,610","$6,044.04 ","$4,835.14 "
Q4077,TOTAL,,"691,388","$42,681,651.80 ","$33,836,224.10 "
Q4080,TOTAL,,"186,629","$5,725,148.29 ","$4,579,943.00 "
Q9941,TOTAL,,"615,006","$24,819,868.77 ","$19,662,787.42 "
Q9942,TOTAL,,"23,769,653","$9,653,291.01 ","$7,722,419.57 "
Q9943,TOTAL,,"895,002","$46,423,134.28 ","$36,830,682.09 "
Q9944,TOTAL,,"40,655,955","$22,703,543.19 ","$18,162,277.69 "
Q9945,TOTAL,,"2,780,141","$830,024.43 ","$660,711.90 "
Q9946,TOTAL,,"953,320","$1,170,307.48 ","$929,979.08 "
Q9947,TOTAL,,"1,453,907","$1,407,537.21 ","$1,120,169.29 "
