Medicare Part B Physician/Supplier BESS Data,,,,,
For Calendar Year 2005,,,,,
Code Ranges - S0000 - S9992,,,,,
,BESS REPORTS, CODE RANGES,,,
HCPCS,MODIFIER,DESCRIPTION,ALLOWED SERVICES,ALLOWED CHARGES,PAYMENT
_____,________,___________,________________,_______________,_______
S0016,TOTAL,NATIONAL CODES ESTABLISHED FOR PRIVATE PAYER USE,1,$0.01 ,$0.01 
S0020,TOTAL,,"2,283",$22.83 ,$20.86 
S0023,TOTAL,,225,$2.25 ,$2.10 
S0028,TOTAL,,205,$2.05 ,$2.05 
S0040,TOTAL,,5,$0.05 ,$0.05 
S0072,TOTAL,,4,$0.04 ,$0.04 
S0077,TOTAL,,87,$0.87 ,$0.74 
S0171,TOTAL,,7,$0.07 ,$0.06 
S0195,TOTAL,,1,$0.01 ,$0.01 
S0390,TOTAL,,42,$0.42 ,$0.32 
S0395,TOTAL,,2,$0.02 ,$0.02 
S0500,TOTAL,,2,$0.02 ,$0.02 
S0504,TOTAL,,6,$0.06 ,$0.04 
S0506,TOTAL,,16,$0.16 ,$0.14 
S0580,TOTAL,,2,$0.02 ,$0.02 
S0605,TOTAL,,7,$0.07 ,$0.06 
S0620,TOTAL,,8,$0.08 ,$0.06 
S0621,TOTAL,,7,$0.07 ,$0.02 
S0630,TOTAL,,99,$0.99 ,$0.93 
S0820,TOTAL,,1,$0.01 ,$0.01 
S1002,TOTAL,,3,$0.03 ,$0.03 
S2140,TOTAL,,1,$0.01 ,$0.01 
S3601,TOTAL,,41,$0.41 ,$0.39 
S4995,TOTAL,,1,$0.01 ,$0.01 
S5010,TOTAL,,3,$0.03 ,$0.03 
S5013,TOTAL,,1,$0.01 ,$0.01 
S8096,TOTAL,,1,$0.01 ,$0.01 
S8100,TOTAL,,2,$0.02 ,$0.02 
S8110,TOTAL,,132,$1.32 ,$1.19 
S8429,TOTAL,,6,$0.06 ,$0.06 
S8431,TOTAL,,8,$0.08 ,$0.08 
S8450,TOTAL,,5,$0.05 ,$0.03 
S8451,TOTAL,,12,$0.12 ,$0.11 
S9075,TOTAL,,7,$0.07 ,$0.05 
S9092,TOTAL,,8,$0.08 ,$0.08 
S9140,TOTAL,,1,$0.01 ,$0.01 
S9141,TOTAL,,1,$0.01 ,$0.01 
S9213,TOTAL,,1,$0.01 ,$0.01 
S9214,TOTAL,,2,$0.02 ,$0.02 
S9401,TOTAL,,3,$0.03 ,$0.03 
S9441,TOTAL,,1,$0.01 ,$0.01 
S9445,TOTAL,,1,$0.01 ,$0.01 
S9460,TOTAL,,2,$0.02 ,$0.02 
S9470,TOTAL,,1,$0.01 ,$0.01 
S9494,TOTAL,,6,$0.06 ,$0.03 
S9500,TOTAL,,127,$339.05 ,$271.19 
S9986,TOTAL,,22,$0.22 ,$0.22 
S9989,TOTAL,,3,$0.03 ,$0.03 
S9992,TOTAL,,1,$0.01 ,$0.01 
,,,,,
