Medicare Part B Physician/Supplier BESS Data,,,,,
For Calendar Year 2005,,,,,
Code Ranges - V0000 - V2799,,,,,
,BESS REPORTS,CODE RANGES,,,
HCPCS,MODIFIER,DESCRIPTION,ALLOWED SERVICES,ALLOWED CHARGES,PAYMENT
_____,________,___________,________________,_______________,_______
V2020,TOTAL,VISION SERVICES,"514,962","$29,168,819.09 ","$22,389,302.12 "
V2100,TOTAL,,"45,591","$1,493,543.64 ","$1,154,873.07 "
V2101,TOTAL,,"2,613","$92,414.40 ","$72,334.28 "
V2102,TOTAL,,"1,112","$48,110.20 ","$37,478.55 "
V2103,TOTAL,,"79,532","$2,366,879.05 ","$1,823,363.91 "
V2104,TOTAL,,"4,338","$139,994.18 ","$108,215.07 "
V2105,TOTAL,,465,"$16,663.82 ","$12,946.29 "
V2106,TOTAL,,183,"$7,068.54 ","$5,450.99 "
V2107,TOTAL,,"1,711","$65,805.50 ","$50,620.20 "
V2108,TOTAL,,484,"$18,043.13 ","$13,640.36 "
V2109,TOTAL,,70,"$3,066.57 ","$2,332.85 "
V2110,TOTAL,,63,"$2,658.86 ","$2,054.07 "
V2111,TOTAL,,231,"$10,495.93 ","$8,273.22 "
V2112,TOTAL,,67,"$3,142.92 ","$2,397.82 "
V2113,TOTAL,,36,"$1,853.09 ","$1,367.54 "
V2114,TOTAL,,84,"$4,949.81 ","$3,959.93 "
V2115,TOTAL,,58,"$2,893.89 ","$2,139.12 "
V2118,TOTAL,,11,$597.78 ,$478.23 
V2121,TOTAL,,258,"$15,800.24 ","$12,435.51 "
V2199,TOTAL,,3,$61.21 ,$48.97 
V2200,TOTAL,,"199,951","$8,646,187.34 ","$6,681,492.84 "
V2201,TOTAL,,"8,986","$411,234.30 ","$319,379.27 "
V2202,TOTAL,,"8,801","$451,753.39 ","$348,399.49 "
V2203,TOTAL,,"682,706","$29,947,417.99 ","$23,134,906.93 "
V2204,TOTAL,,"35,141","$1,615,147.45 ","$1,248,880.92 "
V2205,TOTAL,,"3,726","$181,703.35 ","$140,273.19 "
V2206,TOTAL,,"1,609","$85,505.70 ","$66,441.12 "
V2207,TOTAL,,"3,313","$163,976.99 ","$126,243.54 "
V2208,TOTAL,,"2,753","$132,442.24 ","$102,184.36 "
V2209,TOTAL,,349,"$18,832.19 ","$14,786.15 "
V2210,TOTAL,,308,"$17,194.20 ","$13,299.56 "
V2211,TOTAL,,593,"$35,089.85 ","$27,493.88 "
V2212,TOTAL,,422,"$25,436.64 ","$20,020.18 "
V2213,TOTAL,,232,"$12,628.22 ","$9,574.15 "
V2214,TOTAL,,782,"$45,770.16 ","$36,044.12 "
V2215,TOTAL,,674,"$36,513.42 ","$28,686.77 "
V2218,TOTAL,,79,"$6,661.08 ","$5,266.31 "
V2219,TOTAL,,"37,207","$957,593.98 ","$758,796.93 "
V2220,TOTAL,,"6,408","$158,176.56 ","$125,075.29 "
V2221,TOTAL,,"1,959","$132,432.65 ","$104,157.18 "
V2299,TOTAL,,20,$879.88 ,$663.91 
V2300,TOTAL,,"65,731","$3,660,173.62 ","$2,833,062.41 "
V2301,TOTAL,,"3,247","$200,861.30 ","$155,527.04 "
V2302,TOTAL,,"2,999","$195,095.04 ","$150,713.32 "
V2303,TOTAL,,"234,791","$12,964,141.93 ","$10,038,414.23 "
V2304,TOTAL,,"12,046","$693,034.03 ","$539,090.41 "
V2305,TOTAL,,"1,233","$80,009.23 ","$62,136.68 "
V2306,TOTAL,,251,"$16,957.31 ","$13,288.15 "
V2307,TOTAL,,"1,451","$90,767.38 ","$70,389.93 "
V2308,TOTAL,,613,"$39,882.07 ","$31,240.44 "
V2309,TOTAL,,123,"$8,503.66 ","$6,717.32 "
V2310,TOTAL,,87,"$5,432.85 ","$4,339.50 "
V2311,TOTAL,,158,"$11,711.46 ","$9,071.73 "
V2312,TOTAL,,178,"$12,389.34 ","$9,671.59 "
V2313,TOTAL,,161,"$10,401.46 ","$8,139.46 "
V2314,TOTAL,,111,"$7,839.52 ","$6,240.07 "
V2315,TOTAL,,195,"$10,104.26 ","$7,841.48 "
V2318,TOTAL,,43,"$4,014.02 ","$3,162.68 "
V2319,TOTAL,,"9,413","$281,903.30 ","$223,906.97 "
V2320,TOTAL,,"1,265","$45,123.48 ","$35,656.74 "
V2321,TOTAL,,158,"$12,056.36 ","$9,296.49 "
V2399,TOTAL,,6,$184.00 ,$147.20 
V2410,TOTAL,,374,"$26,734.54 ","$21,103.55 "
V2430,TOTAL,,"3,901","$342,742.68 ","$269,226.07 "
V2499,TOTAL,,1,$97.58 ,$78.07 
V2500,TOTAL,,506,"$34,544.08 ","$26,063.22 "
V2501,TOTAL,,18,"$1,689.89 ","$1,254.98 "
V2502,TOTAL,,22,"$2,332.44 ","$1,833.96 "
V2503,TOTAL,,30,"$2,756.95 ","$2,136.51 "
V2510,TOTAL,,"2,470","$214,982.66 ","$163,705.40 "
V2511,TOTAL,,158,"$18,874.01 ","$14,480.44 "
V2512,TOTAL,,111,"$17,055.97 ","$13,379.83 "
V2513,TOTAL,,685,"$91,597.01 ","$71,070.24 "
V2520,TOTAL,,"2,720","$237,157.20 ","$179,120.24 "
V2521,TOTAL,,269,"$36,337.25 ","$28,416.00 "
V2522,TOTAL,,58,"$7,566.75 ","$5,747.54 "
V2523,TOTAL,,"4,996","$638,091.59 ","$491,449.57 "
V2530,TOTAL,,41,"$4,911.26 ","$3,907.27 "
V2531,TOTAL,,39,"$9,972.19 ","$7,933.04 "
V2599,TOTAL,,62,"$6,226.47 ","$4,718.39 "
V2623,TOTAL,,"4,599","$3,702,034.71 ","$2,917,301.71 "
V2624,TOTAL,,"16,517","$861,917.65 ","$606,610.74 "
V2625,TOTAL,,"1,684","$553,642.98 ","$432,649.22 "
V2626,TOTAL,,"1,274","$241,998.01 ","$186,477.27 "
V2627,TOTAL,,"2,160","$2,404,429.48 ","$1,901,678.12 "
V2628,TOTAL,,"3,284","$870,243.48 ","$681,098.95 "
V2629,TOTAL,,12,"$9,499.69 ","$7,335.76 "
V2630,TOTAL,,165,"$58,892.28 ","$43,587.35 "
V2631,TOTAL,,1,$300.00 ,$240.00 
V2632,TOTAL,,305,"$133,100.89 ","$105,834.80 "
V2700,TOTAL,,"8,234","$295,819.89 ","$231,131.40 "
V2702,TOTAL,,9,$9.00 ,$7.20 
V2710,TOTAL,,"9,591","$507,281.64 ","$400,966.20 "
V2715,TOTAL,,"20,609","$188,499.33 ","$148,828.68 "
V2718,TOTAL,,"1,185","$27,612.42 ","$21,945.66 "
V2730,TOTAL,,"2,285","$38,889.56 ","$30,887.36 "
V2744,TOTAL,,"24,890","$352,704.40 ","$278,088.88 "
V2745,TOTAL,,"23,579","$204,320.26 ","$162,071.03 "
V2750,TOTAL,,"26,167","$447,438.43 ","$354,219.44 "
V2755,TOTAL,,"310,546","$3,761,955.39 ","$2,977,097.82 "
V2760,TOTAL,,2,$14.00 ,$11.20 
V2770,TOTAL,,34,$398.76 ,$311.54 
V2780,TOTAL,,641,"$6,843.65 ","$5,461.61 "
V2782,TOTAL,,"1,790","$57,255.26 ","$45,135.69 "
V2783,TOTAL,,"1,168","$43,210.32 ","$33,949.01 "
V2784,TOTAL,,"14,663","$398,098.95 ","$315,745.84 "
V2785,TOTAL,,"6,626","$14,307,778.55 ","$11,414,011.78 "
V2786,TOTAL,,2,$140.00 ,$112.00 
V2790,TOTAL,,415,"$250,399.17 ","$199,651.91 "
V2797,TOTAL,,1,$10.00 ,$8.00 
V2799,TOTAL,,"5,808","$302,798.45 ","$236,148.43 "
,,,,,
