,,,Medicare Part B Physician/Supplier BESS Data,,
,,,For Calendar Year 2006,,
,,,Code Ranges A4206 - A7527,,
HCPCS,MODIFIER,DESCRIPTION,ALLOWED SERVICES,ALLOWED CHARGES,PAYMENT
A4206,TOTAL,MEDICAL AND SURGICAL SUPPLIES,2,$0.02 ,$0.02 
A4208,TOTAL,,"1,731",$17.31 ,$14.44 
A4209,TOTAL,,636,$6.36 ,$5.49 
A4211,TOTAL,,1,$0.01 ,$0.01 
A4212,TOTAL,,"8,507","$32,350.40 ","$25,347.24 "
A4213,TOTAL,,4,$0.04 ,$0.04 
A4215,TOTAL,,"8,014","$5,788.60 ","$4,630.90 "
A4216,TOTAL,,"1,295,713","$465,011.04 ","$366,249.38 "
A4217,TOTAL,,"428,379","$1,040,883.24 ","$819,304.81 "
A4218,TOTAL,,"69,426","$13,478.39 ","$10,763.24 "
A4220,TOTAL,,"1,012","$19,195.95 ","$14,855.71 "
A4221,TOTAL,,"793,118","$17,710,033.43 ","$13,976,925.84 "
A4222,TOTAL,,"608,120","$26,429,297.10 ","$21,024,095.09 "
A4233,TOTAL,,"244,577","$194,894.95 ","$150,737.09 "
A4234,TOTAL,,"21,389","$77,833.23 ","$60,123.92 "
A4235,TOTAL,,"495,859","$1,154,197.50 ","$886,551.26 "
A4236,TOTAL,,"20,403","$33,780.92 ","$25,457.65 "
A4244,TOTAL,,80,$286.22 ,$228.93 
A4245,TOTAL,,"19,127","$3,526.42 ","$2,775.69 "
A4246,TOTAL,,55,$785.36 ,$628.29 
A4247,TOTAL,,"5,080","$4,873.18 ","$3,868.17 "
A4250,TOTAL,,18,$18.00 ,$14.40 
A4253,TOTAL,,"29,422,013","$1,077,125,774.61 ","$806,727,004.85 "
A4255,TOTAL,,"7,971","$9,307.04 ","$7,186.08 "
A4256,TOTAL,,"2,342,788","$24,941,039.60 ","$18,843,534.46 "
A4257,TOTAL,,446,$709.00 ,$548.51 
A4258,TOTAL,,"1,491,730","$26,862,541.39 ","$20,534,109.60 "
A4259,TOTAL,,"9,485,745","$109,841,544.18 ","$83,601,606.46 "
A4265,TOTAL,,"16,744","$63,262.56 ","$48,079.48 "
A4280,TOTAL,,"21,549","$104,431.62 ","$81,463.28 "
A4290,TOTAL,,42,"$18,844.40 ","$15,075.52 "
A4300,TOTAL,,120,"$35,179.50 ","$28,143.60 "
A4301,TOTAL,,"1,683","$548,692.56 ","$437,854.04 "
A4305,TOTAL,,13,$0.13 ,$0.10 
A4310,TOTAL,,"67,388","$692,650.74 ","$524,999.44 "
A4311,TOTAL,,"20,519","$300,136.19 ","$227,287.43 "
A4312,TOTAL,,"3,153","$57,309.75 ","$42,943.85 "
A4313,TOTAL,,281,"$4,223.66 ","$3,244.18 "
A4314,TOTAL,,"169,450","$4,182,454.60 ","$3,126,923.81 "
A4315,TOTAL,,"16,318","$394,778.75 ","$293,523.01 "
A4316,TOTAL,,"1,312","$32,662.37 ","$24,854.17 "
A4320,TOTAL,,"70,297","$343,163.55 ","$265,528.77 "
A4321,TOTAL,,115,$298.13 ,$238.51 
A4322,TOTAL,,"83,502","$180,939.73 ","$140,138.97 "
A4326,TOTAL,,"120,685","$1,123,536.31 ","$879,895.90 "
A4327,TOTAL,,"3,918","$161,537.84 ","$128,134.28 "
A4328,TOTAL,,"12,165","$78,519.83 ","$61,495.27 "
A4331,TOTAL,,"572,638","$1,814,080.93 ","$1,443,436.95 "
A4332,TOTAL,,"1,023,654","$115,574.35 ","$86,661.23 "
A4333,TOTAL,,"93,742","$202,547.23 ","$152,030.74 "
A4334,TOTAL,,"45,784","$220,103.91 ","$165,880.45 "
A4335,TOTAL,,"2,852","$6,175.09 ","$4,845.59 "
A4338,TOTAL,,"105,688","$1,250,388.56 ","$931,490.82 "
A4340,TOTAL,,"12,589","$399,086.29 ","$304,545.50 "
A4344,TOTAL,,"24,928","$406,290.56 ","$303,013.50 "
A4346,TOTAL,,"2,308","$25,327.32 ","$19,429.75 "
A4348,TOTAL,,"18,468","$436,293.17 ","$340,606.78 "
A4349,TOTAL,,"4,086,933","$8,026,101.50 ","$5,979,007.41 "
A4351,TOTAL,,"4,616,237","$7,486,434.42 ","$5,730,863.48 "
A4352,TOTAL,,"543,009","$3,027,225.61 ","$2,342,912.15 "
A4353,TOTAL,,"5,031,594","$34,674,954.70 ","$27,291,248.81 "
A4354,TOTAL,,"6,168","$103,910.87 ","$75,975.95 "
A4355,TOTAL,,"2,179","$16,629.79 ","$12,616.14 "
A4356,TOTAL,,"4,243","$181,975.42 ","$134,154.60 "
A4357,TOTAL,,"608,721","$5,642,103.83 ","$4,256,078.78 "
A4358,TOTAL,,"378,678","$2,430,555.64 ","$1,812,697.83 "
A4359,TOTAL,,1,$17.00 ,$13.60 
A4361,TOTAL,,"8,328","$123,908.80 ","$96,676.74 "
A4362,TOTAL,,"302,969","$896,246.13 ","$679,920.32 "
A4363,TOTAL,,"13,492","$26,874.19 ","$20,742.70 "
A4364,TOTAL,,"160,976","$352,069.33 ","$268,467.72 "
A4365,TOTAL,,"132,219","$1,574,126.17 ","$1,210,415.35 "
A4366,TOTAL,,"77,037","$94,927.71 ","$71,944.58 "
A4367,TOTAL,,"73,225","$521,102.08 ","$398,919.33 "
A4368,TOTAL,,"154,561","$40,340.30 ","$30,495.16 "
A4369,TOTAL,,"62,367","$87,515.30 ","$67,015.10 "
A4371,TOTAL,,"87,925","$330,626.74 ","$254,019.14 "
A4372,TOTAL,,"11,400","$45,024.61 ","$34,248.80 "
A4373,TOTAL,,"686,305","$4,260,682.99 ","$3,323,488.51 "
A4375,TOTAL,,"340,160","$5,545,529.65 ","$4,423,280.42 "
A4376,TOTAL,,"8,566","$263,806.63 ","$205,795.62 "
A4377,TOTAL,,"51,149","$197,642.78 ","$148,825.50 "
A4378,TOTAL,,"9,885","$233,391.96 ","$183,368.46 "
A4379,TOTAL,,"9,405","$124,066.79 ","$96,524.09 "
A4380,TOTAL,,"1,470","$48,996.29 ","$37,998.16 "
A4381,TOTAL,,"18,821","$84,967.14 ","$63,114.09 "
A4382,TOTAL,,"3,384","$65,666.62 ","$52,004.06 "
A4383,TOTAL,,"2,961","$62,242.96 ","$46,851.38 "
A4384,TOTAL,,"6,201","$51,409.74 ","$38,974.25 "
A4385,TOTAL,,"1,955,695","$9,768,487.81 ","$7,595,574.67 "
A4387,TOTAL,,"2,903","$9,782.87 ","$7,413.89 "
A4388,TOTAL,,"566,948","$2,362,524.37 ","$1,780,949.13 "
A4389,TOTAL,,"342,633","$2,052,337.27 ","$1,544,719.33 "
A4390,TOTAL,,"828,240","$7,666,977.62 ","$5,904,433.30 "
A4391,TOTAL,,"72,408","$498,993.84 ","$381,848.37 "
A4392,TOTAL,,"60,958","$490,159.94 ","$373,784.28 "
A4393,TOTAL,,"332,547","$2,936,991.01 ","$2,235,103.24 "
A4394,TOTAL,,"1,833,581","$3,413,533.67 ","$2,637,544.39 "
A4395,TOTAL,,"382,818","$19,161.53 ","$14,326.48 "
A4396,TOTAL,,"4,954","$195,026.65 ","$149,548.69 "
A4397,TOTAL,,"106,916","$414,572.12 ","$312,988.03 "
A4398,TOTAL,,"5,962","$89,423.45 ","$67,411.52 "
A4399,TOTAL,,"4,883","$59,954.52 ","$45,238.01 "
A4402,TOTAL,,"535,243","$621,937.53 ","$450,333.11 "
