Medicare Part B Physician/Supplier BESS Data,,,,,
For Calendar Year 2006,,,,,
Code Ranges B4034 - B 9999,,,,,
HCPCS,MODIFIER,DESCRIPTION,ALLOWED SERVICES,ALLOWED CHARGES,PAYMENT
_____,________,___________,________________,_______________,_______
B4034,TOTAL,ENTERAL AND PARENTAL THERAPY,"5,336,999","$31,144,261.90 ","$24,665,281.97 "
B4035,TOTAL,,"16,817,294","$193,982,807.25 ","$154,406,401.13 "
B4036,TOTAL,,"2,095,344","$16,261,697.12 ","$12,874,787.59 "
B4081,TOTAL,,582,"$11,610.42 ","$9,222.54 "
B4082,TOTAL,,808,"$12,724.53 ","$9,928.48 "
B4083,TOTAL,,724,"$1,773.18 ","$1,400.81 "
B4086,TOTAL,,"37,919","$1,326,857.32 ","$1,046,755.39 "
B4149,TOTAL,,"1,504,082","$2,275,945.35 ","$1,813,131.21 "
B4150,TOTAL,,"200,361,762","$128,724,611.92 ","$101,898,052.58 "
B4152,TOTAL,,"87,173,171","$46,770,464.00 ","$37,083,902.80 "
B4153,TOTAL,,"7,890,019","$14,383,852.51 ","$11,471,640.82 "
B4154,TOTAL,,"117,412,640","$136,675,674.11 ","$108,873,094.85 "
B4155,TOTAL,,"2,390,776","$2,051,416.68 ","$1,632,618.43 "
B4157,TOTAL,,"13,067","$40,031.75 ","$32,016.51 "
B4158,TOTAL,,"43,908","$26,312.84 ","$20,851.81 "
B4159,TOTAL,,"8,710","$7,603.81 ","$6,083.03 "
B4160,TOTAL,,"77,045","$81,105.17 ","$64,568.28 "
B4161,TOTAL,,"58,354","$125,131.12 ","$100,044.60 "
B4162,TOTAL,,412,"$4,882.03 ","$3,905.62 "
B4164,TOTAL,,"1,146","$18,562.15 ","$14,750.50 "
B4168,TOTAL,,32,$673.98 ,$539.18 
B4176,TOTAL,,121,"$5,528.74 ","$4,423.10 "
B4178,TOTAL,,"1,992","$103,212.82 ","$82,508.28 "
B4180,TOTAL,,"1,484","$29,613.61 ","$23,691.12 "
B4185,TOTAL,,"1,461,977","$13,217,683.91 ","$10,559,379.69 "
B4189,TOTAL,,"61,274","$10,254,028.33 ","$8,192,644.69 "
B4193,TOTAL,,"135,628","$29,457,994.59 ","$23,524,263.31 "
B4197,TOTAL,,"184,344","$49,030,447.21 ","$39,157,408.19 "
B4199,TOTAL,,"61,795","$18,660,414.93 ","$14,908,255.80 "
B4216,TOTAL,,"3,460","$25,731.83 ","$20,584.95 "
B4220,TOTAL,,"425,384","$3,216,326.09 ","$2,568,563.45 "
B4222,TOTAL,,"8,727","$83,311.07 ","$66,611.34 "
B4224,TOTAL,,"442,969","$10,590,605.66 ","$8,458,897.75 "
B5000,TOTAL,,65,$748.80 ,$599.04 
B5100,TOTAL,,"25,433","$111,058.75 ","$88,846.95 "
B9000,TOTAL,,"8,656","$6,985,224.44 ","$5,586,609.57 "
B9002,TOTAL,,"266,082","$31,332,110.19 ","$24,856,044.84 "
B9004,TOTAL,,"7,928","$3,018,408.77 ","$2,409,103.22 "
B9006,TOTAL,,745,"$282,755.93 ","$225,576.80 "
B9998,TOTAL,,"3,160","$16,158.78 ","$12,901.77 "
B9999,TOTAL,,"1,555","$73,149.06 ","$58,519.19 "
