,,,Medicare Part B Physician/Supplier BESS Data,,
,,,For Calendar Year 2006,,
,,,Code Ranges L5000 - L9999,,
HCPCS,MODIFIER,DESCRIPTION,ALLOWED SERVICES,ALLOWED CHARGES,PAYMENT
_____   _,_______,___________,________________,_______________,_______
L5000,TOTAL,PROSTHETIC PROCEDURES,"13,792","$6,025,186.97 ","$4,765,265.76 "
L5010,TOTAL,,489,"$523,021.30 ","$412,311.98 "
L5020,TOTAL,,"1,519","$1,024,038.23 ","$804,646.22 "
L5050,TOTAL,,685,"$1,351,460.00 ","$1,059,459.74 "
L5060,TOTAL,,19,"$50,084.58 ","$37,521.52 "
L5100,TOTAL,,528,"$1,054,305.12 ","$820,974.37 "
L5105,TOTAL,,88,"$274,893.10 ","$215,941.35 "
L5150,TOTAL,,12,"$36,442.16 ","$28,994.78 "
L5160,TOTAL,,9,"$28,676.12 ","$22,940.91 "
L5200,TOTAL,,294,"$869,873.74 ","$680,672.24 "
L5210,TOTAL,,94,"$174,754.31 ","$139,406.66 "
L5220,TOTAL,,54,"$141,986.97 ","$113,547.24 "
L5230,TOTAL,,18,"$62,212.07 ","$49,463.80 "
L5250,TOTAL,,11,"$49,160.65 ","$39,328.52 "
L5270,TOTAL,,1,"$5,025.07 ","$4,020.06 "
L5280,TOTAL,,2,"$8,995.40 ","$7,196.33 "
L5301,TOTAL,,"25,060","$53,524,340.06 ","$42,167,125.75 "
L5311,TOTAL,,177,"$533,783.84 ","$420,077.41 "
L5321,TOTAL,,"7,846","$23,773,573.61 ","$18,803,231.06 "
L5331,TOTAL,,109,"$458,822.21 ","$362,373.00 "
L5341,TOTAL,,25,"$89,365.40 ","$71,095.51 "
L5400,TOTAL,,134,"$140,864.03 ","$108,676.43 "
L5410,TOTAL,,51,"$19,244.99 ","$15,202.75 "
L5420,TOTAL,,16,"$6,043.57 ","$4,834.87 "
L5430,TOTAL,,9,"$3,721.54 ","$2,977.23 "
L5450,TOTAL,,372,"$130,908.12 ","$100,427.71 "
L5460,TOTAL,,28,"$13,722.40 ","$10,709.80 "
L5500,TOTAL,,115,"$65,488.34 ","$51,959.04 "
L5505,TOTAL,,14,"$21,485.31 ","$17,188.24 "
L5510,TOTAL,,132,"$47,245.33 ","$36,953.53 "
L5520,TOTAL,,33,"$40,955.03 ","$31,114.11 "
L5530,TOTAL,,"1,594","$2,530,000.28 ","$1,996,086.02 "
L5535,TOTAL,,92,"$141,782.36 ","$111,322.02 "
L5540,TOTAL,,"3,370","$5,606,676.58 ","$4,434,213.90 "
L5560,TOTAL,,15,"$29,373.29 ","$22,747.55 "
L5570,TOTAL,,18,"$34,188.31 ","$27,251.44 "
L5580,TOTAL,,704,"$1,493,128.32 ","$1,181,215.68 "
L5585,TOTAL,,129,"$306,732.49 ","$244,977.38 "
L5590,TOTAL,,"1,286","$2,856,882.07 ","$2,273,523.32 "
L5595,TOTAL,,8,"$27,804.92 ","$22,144.73 "
L5600,TOTAL,,9,"$33,502.54 ","$26,702.84 "
L5610,TOTAL,,12,"$22,201.05 ","$17,760.84 "
L5611,TOTAL,,751,"$1,026,438.15 ","$818,224.79 "
L5613,TOTAL,,521,"$1,082,814.32 ","$852,109.23 "
L5614,TOTAL,,12,"$16,280.65 ","$13,024.55 "
L5616,TOTAL,,74,"$86,939.01 ","$69,328.40 "
L5617,TOTAL,,215,"$96,043.86 ","$76,233.92 "
L5618,TOTAL,,999,"$247,606.47 ","$195,291.24 "
L5620,TOTAL,,"50,999","$12,513,949.77 ","$9,864,877.03 "
L5622,TOTAL,,401,"$132,869.86 ","$104,665.22 "
L5624,TOTAL,,"20,114","$6,583,139.67 ","$5,209,201.37 "
L5626,TOTAL,,231,"$100,560.13 ","$78,821.16 "
L5628,TOTAL,,53,"$22,557.49 ","$18,004.72 "
L5629,TOTAL,,"33,667","$9,623,774.52 ","$7,601,021.01 "
L5630,TOTAL,,126,"$48,217.57 ","$37,934.66 "
L5631,TOTAL,,"10,547","$4,135,525.47 ","$3,274,219.03 "
L5632,TOTAL,,984,"$188,086.52 ","$148,508.15 "
L5634,TOTAL,,152,"$40,609.17 ","$32,145.34 "
L5636,TOTAL,,288,"$57,830.72 ","$45,801.16 "
L5637,TOTAL,,"41,080","$11,530,197.15 ","$9,113,315.36 "
L5638,TOTAL,,33,"$14,890.42 ","$11,912.28 "
L5639,TOTAL,,13,"$10,035.92 ","$6,949.75 "
L5640,TOTAL,,41,"$23,419.29 ","$18,122.38 "
L5642,TOTAL,,14,"$7,393.23 ","$5,914.60 "
L5643,TOTAL,,128,"$172,383.64 ","$134,815.55 "
L5644,TOTAL,,6,"$2,897.27 ","$2,317.82 "
L5645,TOTAL,,"11,647","$7,829,478.08 ","$6,194,884.40 "
L5646,TOTAL,,152,"$72,839.71 ","$58,172.45 "
L5647,TOTAL,,"8,371","$5,730,564.14 ","$4,521,177.59 "
L5648,TOTAL,,66,"$37,304.47 ","$29,611.80 "
L5649,TOTAL,,"12,375","$21,968,623.84 ","$17,405,085.62 "
L5650,TOTAL,,"13,339","$5,759,945.68 ","$4,563,144.06 "
L5651,TOTAL,,"10,525","$11,100,243.69 ","$8,788,001.30 "
L5652,TOTAL,,"5,626","$2,087,924.52 ","$1,650,160.65 "
L5653,TOTAL,,170,"$83,990.30 ","$66,032.54 "
L5654,TOTAL,,252,"$76,006.46 ","$59,575.43 "
L5655,TOTAL,,"6,810","$1,743,470.30 ","$1,378,452.33 "
L5656,TOTAL,,67,"$22,343.67 ","$17,537.10 "
L5658,TOTAL,,279,"$118,956.46 ","$94,973.93 "
L5661,TOTAL,,130,"$70,333.16 ","$55,677.62 "
L5665,TOTAL,,"2,435","$1,103,111.15 ","$871,605.65 "
L5666,TOTAL,,"2,176","$140,968.84 ","$108,572.20 "
L5668,TOTAL,,"12,465","$1,159,149.67 ","$911,416.89 "
L5670,TOTAL,,"4,908","$1,147,732.75 ","$908,956.22 "
L5671,TOTAL,,"35,354","$15,984,496.43 ","$12,647,827.36 "
L5672,TOTAL,,110,"$27,768.28 ","$21,883.13 "
L5673,TOTAL,,"79,305","$46,612,410.80 ","$36,756,600.81 "
L5676,TOTAL,,681,"$191,626.82 ","$149,106.58 "
L5677,TOTAL,,199,"$84,472.29 ","$66,368.85 "
L5678,TOTAL,,622,"$21,493.01 ","$16,693.60 "
L5679,TOTAL,,"22,110","$10,859,981.54 ","$8,530,841.53 "
L5680,TOTAL,,505,"$135,072.96 ","$105,327.76 "
L5681,TOTAL,,"1,770","$1,856,530.24 ","$1,460,538.71 "
L5682,TOTAL,,231,"$121,494.30 ","$95,058.66 "
L5683,TOTAL,,"3,189","$3,335,586.16 ","$2,618,470.06 "
L5684,TOTAL,,969,"$39,575.84 ","$30,178.39 "
L5685,TOTAL,,"34,598","$3,529,588.61 ","$2,729,375.95 "
L5686,TOTAL,,318,"$14,706.80 ","$11,337.50 "
L5688,TOTAL,,945,"$50,935.82 ","$38,123.75 "
L5690,TOTAL,,461,"$39,830.73 ","$30,554.18 "
L5692,TOTAL,,296,"$34,797.61 ","$26,999.08 "
L5694,TOTAL,,"1,116","$177,415.21 ","$137,492.42 "
L5695,TOTAL,,"3,942","$588,866.00 ","$462,619.41 "
L5696,TOTAL,,521,"$84,996.19 ","$67,096.27 "
L5697,TOTAL,,502,"$34,809.57 ","$27,178.84 "
L5698,TOTAL,,969,"$95,116.63 ","$73,972.82 "
