MEDICARE PART B PHYSICIAN/SUPPLIER BESS DATA,,,,,
FOR CALENDAR YEAR 2007,,,,,
,,,,,
HCPCS,MODIFIER,DESCRIPTION,ALLOWED SERVICES,ALLOWED CHARGES,PAYMENT
_____,________,___________,________________,_______________,_______
A4206,TOTAL,MEDICAL SURGICAL,"1,269",$12.69 ,$10.24 
A4207,TOTAL,,10,$0.10 ,$0.10 
A4208,TOTAL,,"8,563",$85.63 ,$79.75 
A4209,TOTAL,,"8,339",$85.38 ,$73.79 
A4211,TOTAL,,5,$129.14 ,$103.31 
A4212,TOTAL,,459,$500.22 ,$400.13 
A4213,TOTAL,,529,$5.29 ,$4.85 
A4215,TOTAL,,"12,512","$2,259.83 ","$1,809.26 "
A4216,TOTAL,,"1,222,159","$433,051.17 ","$338,696.93 "
A4217,TOTAL,,"447,240","$1,018,030.68 ","$799,217.74 "
A4218,TOTAL,,"51,399","$7,998.66 ","$6,159.79 "
A4220,TOTAL,,268,"$3,711.42 ","$2,890.91 "
A4221,TOTAL,,"925,445","$20,721,378.55 ","$16,410,875.11 "
A4222,TOTAL,,"625,161","$27,196,779.97 ","$21,647,818.56 "
A4223,TOTAL,,100,$4.15 ,$3.32 
A4233,TOTAL,,"218,101","$174,406.81 ","$131,655.55 "
A4234,TOTAL,,"13,966","$41,073.90 ","$30,664.31 "
A4235,TOTAL,,"638,628","$1,476,265.83 ","$1,136,638.70 "
A4236,TOTAL,,"27,565","$38,023.09 ","$29,455.22 "
A4244,TOTAL,,112,$343.84 ,$272.68 
A4245,TOTAL,,"18,294","$2,669.81 ","$2,101.33 "
A4246,TOTAL,,55,$689.96 ,$551.93 
A4247,TOTAL,,"3,620","$4,074.04 ","$3,097.30 "
A4248,TOTAL,,1,$0.01 ,$0.01 
A4253,TOTAL,,"30,836,078","$1,132,691,643.58 ","$850,457,326.51 "
A4255,TOTAL,,"3,108","$3,986.21 ","$2,517.79 "
A4256,TOTAL,,"2,749,926","$29,474,034.25 ","$22,336,241.30 "
A4257,TOTAL,,343,$652.81 ,$458.47 
A4258,TOTAL,,"1,713,022","$30,828,345.93 ","$23,638,592.48 "
A4259,TOTAL,,"10,064,686","$116,682,981.88 ","$89,256,951.16 "
A4265,TOTAL,,"19,260","$71,523.09 ","$55,006.11 "
A4280,TOTAL,,"21,131","$107,563.73 ","$84,579.66 "
A4290,TOTAL,,83,"$43,877.38 ","$35,068.31 "
A4300,TOTAL,,34,"$11,070.15 ","$8,856.12 "
A4301,TOTAL,,"1,602","$582,003.57 ","$462,706.73 "
A4305,TOTAL,,4,$23.86 ,$19.09 
A4310,TOTAL,,"65,895","$774,456.97 ","$590,573.58 "
A4311,TOTAL,,"19,994","$308,878.15 ","$234,525.27 "
