MEDICARE PART B PHYSICIAN/SUPPLIER BESS DATA,,,,,
FOR CALENDAR YEAR 2007,,,,,
,,,,,
HCPCS,MODIFIER,DESCRIPTION,ALLOWED SERVICES,ALLOWED CHARGES,PAYMENT
_____,________,___________,________________,_______________,_______
100,AA,ANESTHESIA,"3,263","$765,818.00 ","$603,233.08 "
,AD,,73,"$4,544.30 ","$3,635.46 "
,QK,,"3,837","$509,022.24 ","$402,954.06 "
,QZ,,"1,241","$272,741.89 ","$215,454.18 "
,OTHER,,"3,967","$484,683.46 ","$384,703.86 "
,TOTAL,,"12,381","$2,036,809.89 ","$1,609,980.64 "
102,AA,,47,"$6,916.28 ","$5,436.68 "
,QK,,16,"$1,915.68 ","$1,415.82 "
,QZ,,4,$717.24 ,$573.80 
,OTHER,,28,"$2,835.61 ","$2,258.77 "
,TOTAL,,95,"$12,384.81 ","$9,685.07 "
103,AA,,"28,444","$4,324,392.24 ","$3,405,404.37 "
,AD,,351,"$20,617.96 ","$16,276.78 "
,QK,,"21,136","$1,677,059.75 ","$1,315,429.07 "
,QZ,,"23,887","$3,340,159.94 ","$2,622,874.51 "
,OTHER,,"24,666","$1,919,756.92 ","$1,514,286.58 "
,TOTAL,,"98,484","$11,281,986.81 ","$8,874,271.31 "
104,AA,,"88,411","$7,492,984.37 ","$4,650,242.89 "
,AD,,588,"$31,070.43 ","$19,531.23 "
,QK,,"23,425","$1,013,007.87 ","$629,747.19 "
,QZ,,"12,236","$1,020,976.01 ","$605,303.87 "
,OTHER,,"50,334","$2,072,734.74 ","$1,291,048.67 "
,TOTAL,,"174,994","$11,630,773.42 ","$7,195,873.85 "
120,AA,,"5,945","$1,184,482.58 ","$930,137.05 "
,AD,,98,"$6,358.78 ","$4,928.47 "
,QK,,"6,408","$705,419.59 ","$555,033.81 "
,QZ,,"2,538","$434,876.16 ","$343,231.29 "
,OTHER,,"6,688","$685,492.92 ","$541,840.44 "
,TOTAL,,"21,677","$3,016,630.03 ","$2,375,171.06 "
124,AA,,188,"$18,772.99 ","$14,530.64 "
,AD,,4,$251.84 ,$201.47 
,QK,,190,"$9,932.54 ","$7,533.21 "
,QZ,,136,"$12,812.03 ","$9,912.21 "
,OTHER,,218,"$11,311.34 ","$8,807.08 "
,TOTAL,,736,"$53,080.74 ","$40,984.61 "
126,AA,,"2,675","$265,029.12 ","$207,772.15 "
,AD,,51,"$3,091.06 ","$2,421.88 "
,QK,,"2,633","$134,282.10 ","$105,870.12 "
,QZ,,"1,345","$131,142.94 ","$102,508.20 "
,OTHER,,"3,266","$165,679.63 ","$131,079.45 "
,TOTAL,,"9,970","$699,224.85 ","$549,651.80 "
140,AA,,"44,937","$6,481,808.21 ","$5,125,066.26 "
,AD,,352,"$21,479.74 ","$16,988.53 "
,QK,,"25,201","$2,045,453.15 ","$1,610,656.90 "
,QZ,,"34,482","$4,492,533.60 ","$3,554,028.15 "
,OTHER,,"31,244","$2,490,473.32 ","$1,970,017.87 "
,TOTAL,,"136,216","$15,531,748.02 ","$12,276,757.71 "
142,AA,,"597,853","$61,458,131.48 ","$48,646,450.67 "
,AD,,"8,935","$533,323.44 ","$422,837.12 "
,QK,,"387,330","$20,592,135.78 ","$16,276,149.02 "
,QZ,,"588,003","$55,566,307.25 ","$43,927,820.70 "
,OTHER,,"501,219","$26,287,623.51 ","$20,833,444.58 "
,TOTAL,,"2,083,340","$164,437,521.46 ","$130,106,702.09 "
144,AA,,"5,321","$1,030,577.38 ","$814,582.38 "
,AD,,133,"$7,447.55 ","$5,842.78 "
,QK,,"6,319","$629,680.90 ","$495,859.78 "
,QZ,,"4,504","$773,763.07 ","$608,822.67 "
,OTHER,,"6,801","$662,293.83 ","$524,599.04 "
,TOTAL,,"23,078","$3,103,762.73 ","$2,449,706.65 "
145,AA,,"36,353","$6,815,971.24 ","$5,386,448.56 "
,AD,,513,"$30,491.04 ","$23,876.75 "
,QK,,"33,678","$3,343,315.77 ","$2,638,501.05 "
,QZ,,"15,716","$2,769,565.09 ","$2,183,463.80 "
,OTHER,,"37,367","$3,669,902.94 ","$2,911,923.14 "
,TOTAL,,"123,627","$16,629,246.08 ","$13,144,213.30 "
147,AA,,293,"$39,073.42 ","$29,927.00 "
,AD,,4,$216.23 ,$172.98 
,QK,,235,"$15,057.87 ","$11,578.74 "
,QZ,,139,"$17,019.23 ","$13,360.56 "
,OTHER,,232,"$14,650.35 ","$11,517.90 "
,TOTAL,,903,"$86,017.10 ","$66,557.18 "
148,AA,,166,"$16,732.76 ","$12,465.69 "
,AD,,4,$218.62 ,$138.75 
,QK,,257,"$14,970.98 ","$11,337.19 "
,QZ,,71,"$7,494.95 ","$5,644.18 "
,OTHER,,258,"$14,650.32 ","$11,241.02 "
,TOTAL,,756,"$54,067.63 ","$40,826.83 "
0016T,OTHER,,185,"$118,417.55 ","$94,573.01 "
,TOTAL,,185,"$118,417.55 ","$94,573.01 "
160,AA,,"19,633","$3,412,435.13 ","$2,681,320.95 "
,AD,,280,"$18,271.05 ","$14,467.91 "
,QK,,"18,762","$1,731,133.51 ","$1,360,190.23 "
,QZ,,"8,356","$1,397,358.19 ","$1,099,443.36 "
,OTHER,,"21,177","$1,883,117.59 ","$1,485,791.18 "
,TOTAL,,"68,208","$8,442,315.47 ","$6,641,213.63 "
162,AA,,343,"$99,449.94 ","$77,859.46 "
,AD,,6,$363.25 ,$290.60 
,QK,,521,"$96,421.47 ","$76,430.82 "
,QZ,,106,"$28,522.51 ","$22,818.02 "
,OTHER,,407,"$70,398.42 ","$56,064.51 "
,TOTAL,,"1,383","$295,155.59 ","$233,463.41 "
164,AA,,127,"$17,651.81 ","$14,112.96 "
,QK,,96,"$6,794.65 ","$5,336.41 "
,QZ,,104,"$13,154.09 ","$10,454.08 "
,OTHER,,269,"$17,133.11 ","$13,478.96 "
,TOTAL,,596,"$54,733.66 ","$43,382.41 "
170,AA,,"8,195","$1,319,019.17 ","$1,023,712.78 "
,AD,,122,"$7,091.02 ","$5,593.33 "
,QK,,"9,685","$875,623.86 ","$669,012.79 "
,QZ,,"3,992","$601,855.97 ","$461,560.19 "
,OTHER,,"10,436","$909,208.56 ","$704,879.29 "
,TOTAL,,"32,430","$3,712,798.58 ","$2,864,758.38 "
172,AA,,24,"$4,891.43 ","$3,695.26 "
,QK,,25,"$3,458.38 ","$2,758.63 "
,QZ,,13,"$2,236.49 ","$1,789.20 "
,OTHER,,24,"$2,373.40 ","$1,769.42 "
,TOTAL,,86,"$12,959.70 ","$10,012.51 "
174,AA,,27,"$5,063.72 ","$4,050.97 "
,QK,,22,"$2,135.75 ","$1,647.31 "
,QZ,,13,"$2,107.33 ","$1,685.86 "
,OTHER,,29,"$2,782.40 ","$2,225.92 "
,TOTAL,,91,"$12,089.20 ","$9,610.06 "
176,AA,,330,"$146,526.42 ","$116,578.33 "
,AD,,6,$335.10 ,$268.06 
,QK,,798,"$230,743.61 ","$183,511.96 "
,QZ,,69,"$30,128.81 ","$23,839.79 "
,OTHER,,577,"$157,150.25 ","$124,948.42 "
,TOTAL,,"1,780","$564,884.19 ","$449,146.56 "
0019T,OTHER,,99,"$20,727.38 ","$16,236.27 "
,TOTAL,,99,"$20,727.38 ","$16,236.27 "
190,AA,,"2,755","$557,249.78 ","$439,328.86 "
,AD,,45,"$3,150.43 ","$2,434.20 "
,QK,,"3,657","$439,790.20 ","$343,807.98 "
,QZ,,833,"$163,174.84 ","$127,278.39 "
,OTHER,,"3,515","$391,884.58 ","$309,163.46 "
,TOTAL,,"10,805","$1,555,249.83 ","$1,222,012.89 "
192,AA,,591,"$177,389.94 ","$140,361.47 "
,AD,,16,$922.83 ,$738.26 
,QK,,949,"$172,219.24 ","$135,581.33 "
,QZ,,173,"$48,419.39 ","$38,699.36 "
,OTHER,,828,"$137,160.26 ","$108,658.91 "
,TOTAL,,"2,557","$536,111.66 ","$424,039.33 "
210,AA,,"13,412","$5,320,051.64 ","$4,221,553.95 "
,AD,,167,"$11,467.21 ","$9,071.85 "
,QK,,"15,305","$3,303,158.89 ","$2,617,564.54 "
,QZ,,"2,727","$1,000,934.75 ","$794,450.29 "
,OTHER,,"13,388","$2,651,094.20 ","$2,109,225.88 "
,TOTAL,,"44,999","$12,286,706.69 ","$9,751,866.51 "
212,AA,,48,"$8,768.26 ","$7,006.83 "
,QK,,29,"$2,725.06 ","$2,173.35 "
,QZ,,9,"$1,545.87 ","$1,236.71 "
,OTHER,,55,"$5,044.92 ","$4,025.70 "
,TOTAL,,141,"$18,084.11 ","$14,442.59 "
214,AA,,"3,460","$896,505.21 ","$709,985.58 "
,AD,,46,"$2,832.93 ","$2,215.21 "
,QK,,"3,406","$459,552.72 ","$362,842.72 "
,QZ,,944,"$229,537.21 ","$181,655.41 "
,OTHER,,"3,804","$501,644.46 ","$398,819.20 "
,TOTAL,,"11,660","$2,090,072.53 ","$1,655,518.12 "
215,AA,,311,"$96,639.75 ","$75,850.24 "
,AD,,9,$739.71 ,$591.75 
,QK,,505,"$88,852.51 ","$70,447.66 "
