MEDICARE PART B PHYSICIAN/SUPPLIER BESS DATA,,,,,
FOR CALENDAR YEAR 2007,,,,,
,,,,,
HCPCS,MODIFIER,DESCRIPTION,ALLOWED SERVICES,ALLOWED CHARGES,PAYMENT
_____,________,___________,________________,_______________,_______
B4034,TOTAL,ENTERAL AND PARENTAL THERAPY,"5,177,728","$31,738,423.02 ","$25,152,247.78 "
B4035,TOTAL,,"15,359,481","$184,767,292.21 ","$147,155,714.43 "
B4036,TOTAL,,"1,678,943","$13,682,025.29 ","$10,840,385.70 "
B4081,TOTAL,,492,"$10,127.63 ","$8,082.49 "
B4082,TOTAL,,"1,343","$21,777.10 ","$17,406.21 "
B4083,TOTAL,,658,"$1,659.98 ","$1,314.09 "
B4086,TOTAL,,"39,002","$1,466,557.75 ","$1,158,064.52 "
B4149,TOTAL,,"1,485,016","$2,339,361.73 ","$1,862,212.93 "
B4150,TOTAL,,"177,803,062","$119,124,237.31 ","$94,323,955.84 "
B4152,TOTAL,,"91,341,970","$50,846,129.73 ","$40,323,633.23 "
B4153,TOTAL,,"8,629,792","$16,432,506.32 ","$13,092,156.65 "
B4154,TOTAL,,"100,713,261","$122,878,140.01 ","$97,858,745.67 "
B4155,TOTAL,,"2,711,079","$2,387,309.21 ","$1,902,111.25 "
B4157,TOTAL,,"17,291","$65,456.77 ","$52,327.83 "
B4158,TOTAL,,"10,444","$14,940.74 ","$11,699.05 "
B4159,TOTAL,,"9,139","$24,652.69 ","$19,722.14 "
B4160,TOTAL,,"128,410","$189,735.64 ","$149,059.16 "
B4161,TOTAL,,"81,674","$173,317.92 ","$138,349.55 "
B4162,TOTAL,,"3,171","$15,294.61 ","$12,235.68 "
B4164,TOTAL,,"1,095","$18,464.64 ","$14,666.91 "
B4168,TOTAL,,195,"$2,227.60 ","$1,782.05 "
B4172,TOTAL,,16,"$1,631.73 ","$1,305.38 "
B4176,TOTAL,,72,"$3,440.66 ","$2,752.57 "
B4178,TOTAL,,"2,013","$100,416.24 ","$80,135.14 "
B4180,TOTAL,,"1,801","$34,558.84 ","$27,509.05 "
B4185,TOTAL,,"1,670,788","$16,169,665.08 ","$12,909,956.43 "
B4189,TOTAL,,"61,237","$10,752,223.67 ","$8,591,209.67 "
B4193,TOTAL,,"144,672","$33,050,895.51 ","$26,408,584.38 "
B4197,TOTAL,,"204,272","$56,223,751.20 ","$44,920,223.33 "
B4199,TOTAL,,"71,021","$22,410,546.56 ","$17,910,790.98 "
B4216,TOTAL,,"2,615","$20,329.04 ","$16,245.11 "
B4220,TOTAL,,"451,844","$3,579,441.73 ","$2,860,273.85 "
B4222,TOTAL,,"9,677","$96,279.79 ","$76,979.13 "
B4224,TOTAL,,"474,220","$11,873,344.80 ","$9,487,290.61 "
B5000,TOTAL,,99,"$1,189.98 ",$951.98 
B5100,TOTAL,,"10,135","$45,378.50 ","$36,302.81 "
B9000,TOTAL,,845,"$156,825.32 ","$124,181.10 "
B9002,TOTAL,,"247,397","$30,149,542.99 ","$23,911,405.01 "
B9004,TOTAL,,"8,322","$3,303,188.03 ","$2,637,179.96 "
B9006,TOTAL,,873,"$342,913.08 ","$274,170.81 "
B9998,TOTAL,,"1,085","$21,845.99 ","$17,104.96 "
B9999,TOTAL,,"4,899","$31,152.18 ","$24,882.50 "
