MEDICARE PART B PHYSICIAN/SUPPLIER BESS DATA,,,,,
FOR CALENDAR YEAR 2007,,,,,
,,,,,
HCPCS,MODIFIER,DESCRIPTION,ALLOWED SERVICES,ALLOWED CHARGES,PAYMENT
_____,________,___________,________________,_______________,_______
33010,SG,CARDIOVASCULAR,1,$212.69 ,$170.15 
,OTHER,,"4,064","$410,705.80 ","$323,740.51 "
,TOTAL,,"4,065","$410,918.49 ","$323,910.66 "
33011,OTHER,,137,"$8,996.69 ","$7,090.12 "
,TOTAL,,137,"$8,996.69 ","$7,090.12 "
33015,OTHER,,476,"$212,415.33 ","$169,012.26 "
,TOTAL,,476,"$212,415.33 ","$169,012.26 "
33020,80'S,,33,"$3,186.97 ","$2,549.55 "
,OTHER,,250,"$156,164.86 ","$123,901.27 "
,TOTAL,,283,"$159,351.83 ","$126,450.82 "
33025,80'S,,553,"$62,631.12 ","$49,942.92 "
,OTHER,,"6,692","$4,276,760.07 ","$3,406,129.39 "
,TOTAL,,"7,245","$4,339,391.19 ","$3,456,072.31 "
33030,80'S,,123,"$20,029.63 ","$16,023.77 "
,OTHER,,650,"$604,111.28 ","$480,516.64 "
,TOTAL,,773,"$624,140.91 ","$496,540.41 "
33031,80'S,,86,"$11,335.40 ","$9,013.54 "
,OTHER,,299,"$214,529.57 ","$170,822.70 "
,TOTAL,,385,"$225,864.97 ","$179,836.24 "
33050,80'S,,17,"$1,962.71 ","$1,570.18 "
,OTHER,,111,"$62,819.15 ","$50,045.66 "
,TOTAL,,128,"$64,781.86 ","$51,615.84 "
33120,80'S,,204,"$37,714.36 ","$30,171.40 "
,OTHER,,807,"$740,298.43 ","$589,387.05 "
,TOTAL,,"1,011","$778,012.79 ","$619,558.45 "
33130,80'S,,9,"$1,455.82 ","$1,164.67 "
,OTHER,,42,"$30,359.10 ","$24,287.28 "
,TOTAL,,51,"$31,814.92 ","$25,451.95 "
33140,80'S,,15,"$3,338.29 ","$2,670.62 "
,OTHER,,97,"$108,859.49 ","$84,969.84 "
,TOTAL,,112,"$112,197.78 ","$87,640.46 "
33141,80'S,,244,"$6,437.67 ","$5,135.83 "
,OTHER,,"1,597","$195,776.67 ","$155,836.19 "
,TOTAL,,"1,841","$202,214.34 ","$160,972.02 "
33202,OTHER,,"2,765","$1,625,022.63 ","$1,291,962.13 "
,TOTAL,,"2,765","$1,625,022.63 ","$1,291,962.13 "
33203,OTHER,,210,"$150,410.65 ","$118,982.46 "
,TOTAL,,210,"$150,410.65 ","$118,982.46 "
33206,OTHER,,"1,607","$638,100.68 ","$506,889.38 "
,TOTAL,,"1,607","$638,100.68 ","$506,889.38 "
33207,80'S,,1,$93.87 ,$75.10 
,OTHER,,"27,869","$13,910,827.29 ","$11,072,668.80 "
,TOTAL,,"27,870","$13,910,921.16 ","$11,072,743.90 "
33208,OTHER,,"120,924","$57,657,534.05 ","$45,846,891.52 "
,TOTAL,,"120,924","$57,657,534.05 ","$45,846,891.52 "
33210,OTHER,,"21,469","$2,758,724.22 ","$2,186,306.26 "
,TOTAL,,"21,469","$2,758,724.22 ","$2,186,306.26 "
33211,OTHER,,"1,103","$127,337.19 ","$100,945.82 "
,TOTAL,,"1,103","$127,337.19 ","$100,945.82 "
33212,SG,,1,$497.77 ,$398.22 
,OTHER,,"13,156","$4,241,088.60 ","$3,359,839.00 "
,TOTAL,,"13,157","$4,241,586.37 ","$3,360,237.22 "
33213,80'S,,1,$49.35 ,$39.48 
,OTHER,,"44,676","$16,449,659.61 ","$13,036,649.20 "
,TOTAL,,"44,677","$16,449,708.96 ","$13,036,688.68 "
33214,80'S,,5,$346.12 ,$276.89 
,OTHER,,923,"$385,029.23 ","$305,748.74 "
,TOTAL,,928,"$385,375.35 ","$306,025.63 "
33215,OTHER,,"5,069","$1,299,442.73 ","$1,033,057.80 "
,TOTAL,,"5,069","$1,299,442.73 ","$1,033,057.80 "
33216,OTHER,,"5,796","$1,663,097.07 ","$1,317,469.81 "
,TOTAL,,"5,796","$1,663,097.07 ","$1,317,469.81 "
33217,OTHER,,"3,662","$1,072,107.67 ","$851,856.33 "
,TOTAL,,"3,662","$1,072,107.67 ","$851,856.33 "
33218,OTHER,,761,"$240,070.45 ","$190,964.96 "
,TOTAL,,761,"$240,070.45 ","$190,964.96 "
33220,OTHER,,444,"$142,838.10 ","$113,885.62 "
,TOTAL,,444,"$142,838.10 ","$113,885.62 "
33222,SG,,4,"$1,778.45 ","$1,422.77 "
,OTHER,,"3,681","$899,288.36 ","$713,779.30 "
,TOTAL,,"3,685","$901,066.81 ","$715,202.07 "
33223,SG,,1,$446.75 ,$357.40 
,80'S,,6,$292.49 ,$234.00 
,OTHER,,"5,344","$1,512,600.03 ","$1,201,277.31 "
,TOTAL,,"5,351","$1,513,339.27 ","$1,201,868.71 "
33224,OTHER,,"3,279","$1,364,958.00 ","$1,083,042.95 "
,TOTAL,,"3,279","$1,364,958.00 ","$1,083,042.95 "
33225,OTHER,,"33,504","$14,536,192.34 ","$11,567,719.50 "
,TOTAL,,"33,504","$14,536,192.34 ","$11,567,719.50 "
33226,OTHER,,990,"$451,628.05 ","$358,200.58 "
,TOTAL,,990,"$451,628.05 ","$358,200.58 "
33233,SG,,2,$448.84 ,$359.07 
,80'S,,1,$15.85 ,$12.68 
,OTHER,,"61,561","$7,951,862.96 ","$6,313,521.09 "
,TOTAL,,"61,564","$7,952,327.65 ","$6,313,892.84 "
33234,OTHER,,"3,880","$1,412,183.86 ","$1,124,432.76 "
,TOTAL,,"3,880","$1,412,183.86 ","$1,124,432.76 "
33235,80'S,,1,$81.44 ,$65.15 
,OTHER,,"3,639","$2,011,537.72 ","$1,602,670.32 "
,TOTAL,,"3,640","$2,011,619.16 ","$1,602,735.47 "
33236,OTHER,,77,"$49,025.15 ","$39,155.07 "
,TOTAL,,77,"$49,025.15 ","$39,155.07 "
33237,80'S,,1,$132.08 ,$105.66 
,OTHER,,84,"$57,049.90 ","$45,140.88 "
,TOTAL,,85,"$57,181.98 ","$45,246.54 "
33238,80'S,,4,$345.12 ,$276.09 
,OTHER,,102,"$69,630.45 ","$55,602.74 "
,TOTAL,,106,"$69,975.57 ","$55,878.83 "
33240,OTHER,,"22,653","$9,903,491.51 ","$7,835,302.40 "
,TOTAL,,"22,653","$9,903,491.51 ","$7,835,302.40 "
33241,80'S,,21,$507.10 ,$405.69 
,OTHER,,"27,030","$3,374,835.98 ","$2,670,945.48 "
,TOTAL,,"27,051","$3,375,343.08 ","$2,671,351.17 "
33243,80'S,,55,"$7,357.97 ","$5,743.70 "
,OTHER,,366,"$344,483.89 ","$272,776.53 "
,TOTAL,,421,"$351,841.86 ","$278,520.23 "
33244,80'S,,3,$351.85 ,$281.49 
,OTHER,,"4,550","$3,330,205.26 ","$2,640,620.28 "
,TOTAL,,"4,553","$3,330,557.11 ","$2,640,901.77 "
33249,OTHER,,"67,582","$57,632,811.08 ","$45,777,711.55 "
,TOTAL,,"67,582","$57,632,811.08 ","$45,777,711.55 "
33250,80'S,,14,"$1,707.06 ","$1,365.63 "
,OTHER,,23,"$20,715.53 ","$16,557.02 "
,TOTAL,,37,"$22,422.59 ","$17,922.65 "
33251,80'S,,98,"$12,265.56 ","$9,812.55 "
,OTHER,,326,"$211,267.74 ","$168,447.25 "
,TOTAL,,424,"$223,533.30 ","$178,259.80 "
33254,80'S,,48,"$8,676.06 ","$6,898.94 "
,OTHER,,209,"$186,833.95 ","$149,232.06 "
,TOTAL,,257,"$195,510.01 ","$156,131.00 "
33255,80'S,,27,"$6,247.65 ","$4,793.86 "
,OTHER,,114,"$135,985.66 ","$106,569.56 "
,TOTAL,,141,"$142,233.31 ","$111,363.42 "
33256,80'S,,45,"$12,837.41 ","$10,269.90 "
,OTHER,,148,"$202,887.48 ","$161,211.78 "
,TOTAL,,193,"$215,724.89 ","$171,481.68 "
33261,80'S,,60,"$7,605.62 ","$6,075.03 "
,OTHER,,152,"$102,205.16 ","$80,888.93 "
,TOTAL,,212,"$109,810.78 ","$86,963.96 "
33265,80'S,,47,"$8,890.19 ","$6,988.13 "
,OTHER,,178,"$170,734.01 ","$136,391.94 "
,TOTAL,,225,"$179,624.20 ","$143,380.07 "
33266,80'S,,54,"$14,541.58 ","$11,368.45 "
,OTHER,,227,"$309,458.24 ","$246,325.90 "
,TOTAL,,281,"$323,999.82 ","$257,694.35 "
33282,OTHER,,"3,934","$1,229,922.64 ","$976,272.44 "
,TOTAL,,"3,934","$1,229,922.64 ","$976,272.44 "
33284,OTHER,,"2,541","$521,673.10 ","$407,576.84 "
,TOTAL,,"2,541","$521,673.10 ","$407,576.84 "
33300,80'S,,42,"$12,932.84 ","$10,241.44 "
,OTHER,,265,"$431,934.83 ","$344,130.58 "
,TOTAL,,307,"$444,867.67 ","$354,372.02 "
33305,80'S,,64,"$32,128.41 ","$25,702.73 "
,OTHER,,236,"$608,084.55 ","$485,106.32 "
,TOTAL,,300,"$640,212.96 ","$510,809.05 "
33310,80'S,,8,"$1,178.22 ",$942.58 
,OTHER,,100,"$73,071.11 ","$58,415.00 "
,TOTAL,,108,"$74,249.33 ","$59,357.58 "
33315,80'S,,65,"$9,326.89 ","$7,374.30 "
,OTHER,,308,"$231,056.45 ","$183,257.44 "
,TOTAL,,373,"$240,383.34 ","$190,631.74 "
33320,80'S,,31,"$3,200.57 ","$2,560.43 "
,OTHER,,176,"$113,759.66 ","$90,253.15 "
,TOTAL,,207,"$116,960.23 ","$92,813.58 "
33321,OTHER,,5,"$2,837.92 ","$2,270.34 "
,TOTAL,,5,"$2,837.92 ","$2,270.34 "
33322,80'S,,43,"$5,397.80 ","$4,310.56 "
,OTHER,,176,"$119,116.16 ","$95,153.28 "
,TOTAL,,219,"$124,513.96 ","$99,463.84 "
33330,80'S,,10,"$1,286.02 ",$924.04 
,OTHER,,43,"$34,318.08 ","$27,454.44 "
,TOTAL,,53,"$35,604.10 ","$28,378.48 "
33335,80'S,,35,"$5,636.38 ","$4,509.10 "
,OTHER,,125,"$111,820.17 ","$89,456.08 "
,TOTAL,,160,"$117,456.55 ","$93,965.18 "
33400,80'S,,104,"$23,338.14 ","$18,670.47 "
,OTHER,,386,"$463,965.77 ","$368,812.02 "
,TOTAL,,490,"$487,303.91 ","$387,482.49 "
33401,OTHER,,6,"$4,295.75 ","$3,436.59 "
,TOTAL,,6,"$4,295.75 ","$3,436.59 "
33403,80'S,,3,$354.06 ,$283.25 
,OTHER,,9,"$6,821.84 ","$5,457.47 "
,TOTAL,,12,"$7,175.90 ","$5,740.72 "
33404,80'S,,36,"$9,617.04 ","$7,693.59 "
,OTHER,,79,"$121,357.63 ","$96,269.12 "
,TOTAL,,115,"$130,974.67 ","$103,962.71 "
33405,80'S,,"10,516","$3,431,169.87 ","$2,731,470.22 "
,OTHER,,"38,742","$63,161,758.94 ","$50,260,401.96 "
,TOTAL,,"49,258","$66,592,928.81 ","$52,991,872.18 "
33406,80'S,,221,"$89,224.73 ","$71,311.86 "
,OTHER,,583,"$1,308,125.45 ","$1,039,576.48 "
,TOTAL,,804,"$1,397,350.18 ","$1,110,888.34 "
33410,80'S,,422,"$142,680.67 ","$114,015.04 "
,OTHER,,"1,538","$2,675,074.74 ","$2,133,075.75 "
,TOTAL,,"1,960","$2,817,755.41 ","$2,247,090.79 "
33411,80'S,,336,"$163,757.71 ","$130,448.93 "
,OTHER,,"1,125","$2,726,392.89 ","$2,165,358.13 "
,TOTAL,,"1,461","$2,890,150.60 ","$2,295,807.06 "
33412,80'S,,15,"$5,896.91 ","$4,717.52 "
,OTHER,,40,"$79,635.25 ","$62,221.22 "
,TOTAL,,55,"$85,532.16 ","$66,938.74 "
33413,80'S,,6,"$2,653.56 ","$2,122.86 "
,OTHER,,11,"$27,373.00 ","$21,898.38 "
,TOTAL,,17,"$30,026.56 ","$24,021.24 "
33414,80'S,,14,"$2,457.83 ","$1,966.26 "
,OTHER,,97,"$84,311.24 ","$67,449.07 "
,TOTAL,,111,"$86,769.07 ","$69,415.33 "
33415,80'S,,24,"$4,225.02 ","$3,380.02 "
,OTHER,,139,"$115,621.23 ","$91,398.56 "
,TOTAL,,163,"$119,846.25 ","$94,778.58 "
33416,80'S,,162,"$30,265.83 ","$23,920.92 "
,OTHER,,767,"$710,085.91 ","$566,902.21 "
,TOTAL,,929,"$740,351.74 ","$590,823.13 "
33417,80'S,,68,"$10,093.80 ","$7,970.25 "
,OTHER,,185,"$132,288.32 ","$105,830.61 "
,TOTAL,,253,"$142,382.12 ","$113,800.86 "
33420,OTHER,,99,"$21,291.97 ","$16,873.11 "
,TOTAL,,99,"$21,291.97 ","$16,873.11 "
33422,80'S,,23,"$3,636.70 ","$2,909.35 "
,OTHER,,74,"$57,697.01 ","$46,157.58 "
,TOTAL,,97,"$61,333.71 ","$49,066.93 "
33425,80'S,,245,"$87,820.95 ","$69,945.53 "
,OTHER,,808,"$1,517,762.06 ","$1,207,574.11 "
,TOTAL,,"1,053","$1,605,583.01 ","$1,277,519.64 "
33426,80'S,,"2,121","$716,126.47 ","$568,790.81 "
,OTHER,,"9,004","$14,863,512.23 ","$11,824,204.33 "
,TOTAL,,"11,125","$15,579,638.70 ","$12,392,995.14 "
33427,80'S,,989,"$381,989.75 ","$304,300.06 "
,OTHER,,"3,710","$7,260,678.44 ","$5,772,810.82 "
,TOTAL,,"4,699","$7,642,668.19 ","$6,077,110.88 "
33430,80'S,,"3,163","$1,266,638.62 ","$1,007,464.30 "
,OTHER,,"11,476","$23,027,133.21 ","$18,326,538.24 "
,TOTAL,,"14,639","$24,293,771.83 ","$19,334,002.54 "
33460,80'S,,12,"$2,827.05 ","$2,261.64 "
,OTHER,,61,"$56,472.60 ","$45,178.06 "
,TOTAL,,73,"$59,299.65 ","$47,439.70 "
33463,80'S,,218,"$85,130.44 ","$67,644.88 "
,OTHER,,961,"$1,892,267.61 ","$1,504,759.59 "
,TOTAL,,"1,179","$1,977,398.05 ","$1,572,404.47 "
33464,80'S,,821,"$159,120.96 ","$126,212.49 "
,OTHER,,"3,423","$3,338,829.43 ","$2,658,446.50 "
,TOTAL,,"4,244","$3,497,950.39 ","$2,784,658.99 "
33465,80'S,,99,"$30,502.85 ","$24,402.35 "
,OTHER,,434,"$730,150.06 ","$584,015.08 "
,TOTAL,,533,"$760,652.91 ","$608,417.43 "
33468,80'S,,4,$639.14 ,$511.32 
,OTHER,,11,"$10,582.30 ","$8,465.84 "
,TOTAL,,15,"$11,221.44 ","$8,977.16 "
33470,OTHER,,3,"$1,739.68 ","$1,391.75 "
,TOTAL,,3,"$1,739.68 ","$1,391.75 "
33474,OTHER,,6,"$7,802.41 ","$6,241.92 "
,TOTAL,,6,"$7,802.41 ","$6,241.92 "
