MEDICARE PART B PHYSICIAN/SUPPLIER BESS DATA,,,,,
FOR CALENDAR YEAR 2007,,,,,
,,,,,
HCPCS,MODIFIER,DESCRIPTION,ALLOWED SERVICES,ALLOWED CHARGES,PAYMENT
_____,________,___________,________________,_______________,_______
E0100,TOTAL,DME,"130,772","$2,612,187.35 ","$1,999,918.53 "
E0105,TOTAL,,"92,000","$4,309,453.63 ","$3,276,957.25 "
E0110,TOTAL,,"6,114","$415,551.83 ","$313,657.84 "
E0111,TOTAL,,"1,530","$72,083.41 ","$54,283.73 "
E0112,TOTAL,,"1,149","$36,330.78 ","$27,841.36 "
E0113,TOTAL,,121,"$2,153.20 ","$1,654.99 "
E0114,TOTAL,,"39,598","$1,647,766.90 ","$1,274,787.18 "
E0116,TOTAL,,"1,928","$34,491.66 ","$26,673.86 "
E0117,TOTAL,,45,"$4,990.74 ","$3,755.83 "
E0118,TOTAL,,"1,408","$76,744.10 ","$59,791.90 "
E0130,TOTAL,,"1,826","$116,583.46 ","$90,480.52 "
E0135,TOTAL,,"87,261","$6,751,208.60 ","$5,271,051.64 "
E0140,TOTAL,,651,"$212,992.29 ","$168,099.76 "
E0141,TOTAL,,"9,387","$1,031,947.10 ","$795,920.71 "
E0143,TOTAL,,"799,925","$89,932,393.96 ","$70,419,423.17 "
E0144,TOTAL,,560,"$137,990.71 ","$108,830.99 "
E0147,TOTAL,,"2,052","$851,848.45 ","$674,507.16 "
E0148,TOTAL,,"3,051","$367,177.06 ","$287,346.17 "
E0149,TOTAL,,"9,489","$1,961,019.68 ","$1,541,053.07 "
E0153,TOTAL,,893,"$47,334.21 ","$37,329.74 "
E0154,TOTAL,,"20,015","$1,056,408.07 ","$833,424.81 "
E0155,TOTAL,,"17,975","$512,632.26 ","$399,495.37 "
E0156,TOTAL,,"197,784","$4,985,419.93 ","$3,916,027.85 "
E0157,TOTAL,,531,"$28,653.43 ","$22,624.93 "
E0158,TOTAL,,"2,320","$65,279.23 ","$51,596.88 "
E0159,TOTAL,,"2,659","$45,182.53 ","$34,935.08 "
E0160,TOTAL,,287,"$7,184.68 ","$5,570.66 "
E0161,TOTAL,,44,$999.78 ,$760.93 
E0162,TOTAL,,1,$120.33 ,$96.26 
E0163,TOTAL,,"409,172","$42,687,243.08 ","$33,614,820.09 "
E0165,TOTAL,,"109,575","$1,604,082.36 ","$1,199,649.09 "
E0167,TOTAL,,357,"$3,866.43 ","$2,957.57 "
E0168,TOTAL,,"15,682","$1,849,313.93 ","$1,457,700.73 "
E0170,TOTAL,,149,"$17,016.62 ","$13,006.49 "
E0171,TOTAL,,"5,445","$132,515.83 ","$104,940.96 "
E0181,TOTAL,,"231,007","$5,095,932.88 ","$3,911,143.13 "
E0182,TOTAL,,"1,649","$32,759.68 ","$24,551.61 "
E0184,TOTAL,,"12,515","$1,677,100.72 ","$1,320,771.46 "
E0185,TOTAL,,"49,606","$11,139,390.99 ","$8,816,523.38 "
E0186,TOTAL,,"2,242","$50,974.40 ","$39,006.36 "
E0187,TOTAL,,18,$329.62 ,$251.87 
E0188,TOTAL,,"3,672","$90,817.49 ","$72,208.22 "
E0189,TOTAL,,"1,030","$48,961.23 ","$38,798.35 "
E0193,TOTAL,,"1,189","$883,625.91 ","$703,046.23 "
E0194,TOTAL,,"3,504","$9,070,216.92 ","$7,252,414.39 "
E0196,TOTAL,,"4,919","$129,008.39 ","$99,268.22 "
E0197,TOTAL,,"2,265","$313,689.22 ","$246,323.35 "
E0198,TOTAL,,30,"$15,004.38 ","$12,003.55 "
E0199,TOTAL,,"2,431","$70,551.05 ","$54,469.36 "
E0200,TOTAL,,686,"$52,784.85 ","$41,390.28 "
E0202,TOTAL,,6,$340.65 ,$272.54 
E0205,TOTAL,,"5,462","$1,021,487.38 ","$808,293.64 "
E0210,TOTAL,,"1,302","$38,971.34 ","$28,746.26 "
E0215,TOTAL,,"61,762","$4,109,620.74 ","$3,162,514.89 "
E0217,TOTAL,,"38,336","$17,526,987.04 ","$13,926,029.22 "
E0225,TOTAL,,13,"$1,381.66 ","$1,087.77 "
E0235,TOTAL,,"24,660","$354,933.33 ","$264,341.72 "
E0236,TOTAL,,"1,285","$50,093.39 ","$39,314.94 "
E0238,TOTAL,,177,"$3,898.34 ","$2,984.51 "
E0249,TOTAL,,"11,813","$1,095,188.38 ","$858,246.51 "
E0250,TOTAL,,"18,668","$1,477,075.53 ","$1,082,811.88 "
E0251,TOTAL,,269,"$16,302.94 ","$11,744.44 "
E0255,TOTAL,,"45,679","$4,339,105.58 ","$3,169,231.53 "
E0256,TOTAL,,"1,377","$90,319.21 ","$69,125.18 "
E0260,TOTAL,,"2,214,807","$265,046,390.00 ","$202,869,886.00 "
E0261,TOTAL,,"51,049","$5,532,807.68 ","$4,258,116.61 "
E0265,TOTAL,,"9,233","$1,617,477.65 ","$1,220,081.52 "
E0266,TOTAL,,284,"$44,581.94 ","$34,331.32 "
E0271,TOTAL,,"6,571","$927,725.16 ","$723,491.35 "
E0272,TOTAL,,"1,113","$150,773.83 ","$118,345.65 "
E0275,TOTAL,,394,"$5,418.50 ","$4,178.31 "
E0276,TOTAL,,178,"$2,201.64 ","$1,706.44 "
E0277,TOTAL,,"176,834","$103,516,830.61 ","$82,293,945.66 "
E0280,TOTAL,,154,"$4,340.89 ","$3,277.70 "
E0290,TOTAL,,165,"$10,298.70 ","$7,484.11 "
E0291,TOTAL,,89,"$4,133.24 ","$3,116.29 "
E0292,TOTAL,,430,"$29,102.33 ","$20,612.98 "
E0293,TOTAL,,156,"$8,964.19 ","$6,583.42 "
E0294,TOTAL,,"6,403","$690,481.81 ","$529,263.82 "
E0295,TOTAL,,"6,026","$614,424.88 ","$472,553.23 "
E0296,TOTAL,,200,"$28,696.00 ","$22,346.72 "
E0297,TOTAL,,99,"$11,647.88 ","$8,990.01 "
E0300,TOTAL,,9,"$9,388.94 ","$7,336.70 "
E0301,TOTAL,,"3,710","$819,028.56 ","$643,935.16 "
E0302,TOTAL,,260,"$140,814.17 ","$111,837.32 "
E0303,TOTAL,,"30,632","$7,613,496.45 ","$5,972,881.75 "
E0304,TOTAL,,"1,492","$939,011.77 ","$742,740.27 "
E0305,TOTAL,,"3,156","$44,439.50 ","$33,700.98 "
E0310,TOTAL,,"1,826","$116,673.48 ","$91,865.38 "
E0316,TOTAL,,349,"$59,525.22 ","$46,891.94 "
E0325,TOTAL,,"2,179","$17,590.66 ","$12,818.10 "
E0326,TOTAL,,150,"$1,430.69 ","$1,094.32 "
E0352,TOTAL,,586,"$26,500.29 ","$21,184.14 "
E0371,TOTAL,,"3,518","$1,271,978.69 ","$1,001,377.96 "
E0372,TOTAL,,"5,112","$2,314,352.97 ","$1,835,417.08 "
E0373,TOTAL,,"2,952","$1,448,567.66 ","$1,142,672.14 "
E0424,TOTAL,,"5,099","$1,000,660.45 ","$772,984.52 "
E0430,TOTAL,,2,$63.58 ,$50.86 
E0431,TOTAL,,"7,129,283","$226,323,610.18 ","$176,733,606.14 "
E0434,TOTAL,,"930,966","$29,579,297.02 ","$23,015,960.36 "
E0439,TOTAL,,"662,540","$132,192,010.09 ","$102,665,388.53 "
E0441,TOTAL,,612,"$34,736.27 ","$26,047.84 "
E0442,TOTAL,,"5,983","$48,724.21 ","$36,331.63 "
E0443,TOTAL,,"7,763","$298,090.16 ","$224,512.73 "
E0444,TOTAL,,"1,204","$15,012.70 ","$11,363.85 "
E0445,TOTAL,,1,$50.00 ,$40.00 
E0450,TOTAL,,"31,078","$28,238,711.99 ","$22,346,523.19 "
E0457,TOTAL,,30,"$3,666.74 ","$2,846.09 "
E0459,TOTAL,,1,$43.26 ,$34.61 
E0460,TOTAL,,565,"$391,166.53 ","$309,249.87 "
E0461,TOTAL,,"3,145","$2,915,276.01 ","$2,319,100.82 "
E0462,TOTAL,,17,"$4,191.75 ","$3,353.40 "
E0463,TOTAL,,"12,590","$17,601,083.27 ","$13,964,264.70 "
E0464,TOTAL,,"1,171","$1,609,613.30 ","$1,277,174.87 "
E0470,TOTAL,,"489,569","$101,796,139.36 ","$79,290,026.25 "
E0471,TOTAL,,"65,814","$32,120,228.97 ","$25,375,230.41 "
E0472,TOTAL,,610,"$296,069.73 ","$232,917.80 "
E0480,TOTAL,,"3,277","$118,761.80 ","$90,248.14 "
E0482,TOTAL,,"6,554","$2,330,207.15 ","$1,822,304.01 "
E0483,TOTAL,,"14,713","$12,707,535.05 ","$10,094,339.43 "
E0484,TOTAL,,"2,387","$86,080.64 ","$67,309.34 "
E0485,TOTAL,,8,"$7,216.84 ","$5,773.47 "
E0486,TOTAL,,164,"$189,185.60 ","$151,089.03 "
E0500,TOTAL,,"7,955","$852,013.95 ","$658,960.78 "
E0550,TOTAL,,"2,146","$88,317.75 ","$68,311.76 "
E0555,TOTAL,,14,$53.83 ,$39.83 
E0560,TOTAL,,269,"$13,678.03 ","$10,163.12 "
E0561,TOTAL,,"15,449","$624,376.89 ","$485,010.06 "
E0562,TOTAL,,"719,047","$69,238,688.40 ","$54,496,630.02 "
E0565,TOTAL,,"33,757","$1,659,691.58 ","$1,282,137.47 "
E0570,TOTAL,,"4,354,897","$59,840,744.05 ","$44,291,311.28 "
E0571,TOTAL,,"30,514","$744,503.45 ","$574,359.56 "
E0572,TOTAL,,410,"$12,744.84 ","$9,596.86 "
E0574,TOTAL,,"1,064","$37,045.42 ","$28,615.78 "
E0575,TOTAL,,162,"$12,213.61 ","$9,463.06 "
E0580,TOTAL,,112,"$8,105.70 ","$6,281.41 "
E0585,TOTAL,,"1,014","$27,452.09 ","$21,020.11 "
E0600,TOTAL,,"150,865","$5,590,418.10 ","$4,265,077.13 "
E0601,TOTAL,,"2,809,230","$252,073,658.61 ","$189,640,764.58 "
E0605,TOTAL,,499,"$12,323.11 ","$9,032.98 "
E0606,TOTAL,,10,$195.02 ,$156.02 
E0607,TOTAL,,"408,087","$26,073,589.71 ","$19,722,180.89 "
E0610,TOTAL,,67,"$11,979.20 ","$9,379.66 "
E0615,TOTAL,,105,"$47,598.26 ","$37,516.37 "
E0616,TOTAL,,2,"$6,200.00 ","$4,960.00 "
E0617,TOTAL,,102,"$26,180.58 ","$20,467.15 "
E0618,TOTAL,,30,"$6,437.08 ","$5,130.58 "
E0619,TOTAL,,15,"$2,704.39 ","$2,163.49 "
E0620,TOTAL,,55,"$5,660.73 ","$4,528.37 "
E0621,TOTAL,,"2,070","$142,604.46 ","$108,851.80 "
E0627,TOTAL,,"38,618","$12,634,485.61 ","$9,960,882.32 "
E0628,TOTAL,,"11,970","$3,921,861.15 ","$3,105,134.73 "
E0629,TOTAL,,"4,583","$1,479,851.18 ","$1,173,688.91 "
E0630,TOTAL,,"316,971","$26,187,702.45 ","$19,950,693.71 "
E0635,TOTAL,,953,"$89,403.03 ","$69,023.91 "
E0636,TOTAL,,273,"$236,530.81 ","$189,225.22 "
E0650,TOTAL,,"3,074","$1,303,647.90 ","$1,039,389.76 "
E0651,TOTAL,,"7,356","$3,599,591.45 ","$2,863,189.61 "
E0652,TOTAL,,"4,196","$19,109,783.08 ","$15,255,617.13 "
E0655,TOTAL,,6,$368.63 ,$294.91 
E0660,TOTAL,,188,"$13,061.89 ","$10,406.21 "
E0665,TOTAL,,90,"$5,539.94 ","$4,298.06 "
E0666,TOTAL,,278,"$14,628.39 ","$11,527.69 "
E0667,TOTAL,,"10,369","$3,069,755.88 ","$2,450,103.15 "
E0668,TOTAL,,"1,283","$478,441.90 ","$381,579.44 "
E0669,TOTAL,,"2,255","$282,410.49 ","$225,743.10 "
E0671,TOTAL,,"2,756","$1,076,333.66 ","$860,929.34 "
E0672,TOTAL,,108,"$27,312.67 ","$21,707.92 "
E0673,TOTAL,,245,"$58,261.10 ","$46,555.21 "
E0675,TOTAL,,678,"$242,703.48 ","$193,489.58 "
E0691,TOTAL,,63,"$42,834.54 ","$33,428.21 "
E0692,TOTAL,,12,"$4,069.57 ","$3,255.66 "
E0693,TOTAL,,38,"$48,050.18 ","$37,549.51 "
E0694,TOTAL,,45,"$163,735.10 ","$128,106.54 "
E0705,TOTAL,,"9,515","$470,809.05 ","$371,548.09 "
E0720,TOTAL,,"12,452","$1,637,401.10 ","$1,293,978.67 "
E0730,TOTAL,,"180,890","$25,229,390.15 ","$20,050,429.10 "
E0731,TOTAL,,"9,403","$3,124,777.58 ","$2,496,994.72 "
E0740,TOTAL,,"1,850","$670,720.25 ","$532,535.62 "
E0744,TOTAL,,8,$624.29 ,$499.44 
E0745,TOTAL,,"3,148","$238,871.40 ","$185,231.91 "
E0746,TOTAL,,178,"$2,537.01 ","$2,029.88 "
E0747,TOTAL,,"5,018","$18,298,741.27 ","$14,534,678.67 "
E0748,TOTAL,,"13,345","$50,544,321.01 ","$40,029,262.19 "
E0760,TOTAL,,"3,135","$9,863,574.30 ","$7,879,354.05 "
E0762,TOTAL,,"37,161","$4,210,873.07 ","$3,162,315.63 "
E0764,TOTAL,,1,$895.10 ,$716.08 
E0765,TOTAL,,1,$84.13 ,$67.30 
E0776,TOTAL,,"385,474","$10,290,984.82 ","$8,148,193.81 "
E0779,TOTAL,,"1,304","$18,536.84 ","$14,808.53 "
E0780,TOTAL,,129,"$1,073.34 ",$858.60 
E0781,TOTAL,,"90,190","$19,920,453.66 ","$15,899,739.46 "
E0782,TOTAL,,88,"$39,004.20 ","$30,818.06 "
E0783,TOTAL,,245,"$1,851,965.22 ","$1,478,384.34 "
E0784,TOTAL,,"80,084","$27,674,211.75 ","$21,984,335.46 "
E0785,TOTAL,,94,"$41,107.67 ","$32,796.46 "
E0786,TOTAL,,35,"$266,996.12 ","$213,596.80 "
E0791,TOTAL,,464,"$129,255.30 ","$103,206.79 "
E0840,TOTAL,,46,"$3,752.83 ","$2,947.50 "
E0849,TOTAL,,"5,051","$1,813,817.87 ","$1,437,125.17 "
E0850,TOTAL,,11,$623.47 ,$450.32 
E0855,TOTAL,,387,"$138,584.84 ","$109,724.80 "
E0860,TOTAL,,"7,714","$649,658.45 ","$512,533.51 "
E0870,TOTAL,,155,"$7,461.86 ","$5,926.16 "
E0880,TOTAL,,32,"$1,851.18 ","$1,395.57 "
E0890,TOTAL,,35,"$3,252.55 ","$2,458.34 "
E0900,TOTAL,,238,"$19,779.95 ","$15,668.30 "
E0910,TOTAL,,"234,127","$3,791,837.33 ","$2,914,168.90 "
E0911,TOTAL,,"1,507","$62,518.53 ","$48,714.59 "
E0912,TOTAL,,"6,744","$639,552.09 ","$501,480.70 "
E0920,TOTAL,,"1,187","$43,913.41 ","$33,690.46 "
E0930,TOTAL,,226,"$8,263.66 ","$6,157.64 "
E0935,TOTAL,,"862,115","$18,202,411.95 ","$14,490,487.46 "
