MEDICARE PART B PHYSICIAN/SUPPLIER BESS DATA,,,,,
FOR CALENDAR YEAR 2007,,,,,
,,,,,
HCPCS,MODIFIER,DESCRIPTION,ALLOWED SERVICES,ALLOWED CHARGES,PAYMENT
_____,________,___________,________________,_______________,_______
99201,TOTAL,EVALUATION AND MANAGEMENT,"357,962","$11,776,569.09 ","$7,821,624.37 "
99202,TOTAL,,"2,453,724","$146,288,402.95 ","$97,481,584.73 "
99203,TOTAL,,"5,221,143","$467,821,780.69 ","$317,102,532.16 "
99204,TOTAL,,"3,254,602","$446,143,050.63 ","$309,308,448.76 "
99205,TOTAL,,"1,044,507","$181,034,832.81 ","$130,358,039.36 "
99211,TOTAL,,"9,355,179","$182,566,783.30 ","$130,160,109.00 "
99212,TOTAL,,"21,691,298","$765,299,698.12 ","$541,070,732.51 "
99213,TOTAL,,"104,454,986","$6,052,794,539.29 ","$4,191,138,423.07 "
99214,TOTAL,,"65,598,357","$5,784,678,924.34 ","$4,061,699,045.14 "
99215,TOTAL,,"8,082,948","$974,873,179.47 ","$686,933,918.63 "
99217,TOTAL,,"477,847","$30,749,125.82 ","$24,101,152.94 "
99218,TOTAL,,"85,394","$5,173,835.80 ","$3,981,568.31 "
99219,TOTAL,,"273,155","$27,491,856.53 ","$21,144,257.80 "
99220,TOTAL,,"344,551","$49,188,212.41 ","$38,110,009.37 "
99221,TOTAL,,"448,059","$37,280,549.00 ","$29,032,096.16 "
99222,TOTAL,,"3,092,803","$364,381,065.25 ","$283,473,110.87 "
99223,TOTAL,,"5,696,468","$985,746,977.95 ","$772,824,308.54 "
99231,TOTAL,,"16,367,898","$579,369,305.71 ","$458,968,287.10 "
99232,TOTAL,,"51,140,130","$3,268,697,651.60 ","$2,595,365,081.80 "
99233,TOTAL,,"19,623,507","$1,802,239,252.65 ","$1,432,192,364.31 "
99234,TOTAL,,"71,004","$8,736,132.30 ","$6,810,884.53 "
99235,TOTAL,,"133,822","$21,778,495.13 ","$16,908,760.42 "
99236,TOTAL,,"118,031","$24,030,593.26 ","$18,763,710.90 "
99238,TOTAL,,"5,658,725","$367,653,440.19 ","$291,225,611.65 "
99239,TOTAL,,"2,804,650","$265,455,773.36 ","$210,817,123.44 "
99241,TOTAL,,"344,899","$15,479,160.27 ","$11,160,438.97 "
99242,TOTAL,,"1,539,085","$131,831,619.50 ","$95,713,942.64 "
99243,TOTAL,,"5,035,954","$601,612,813.37 ","$442,221,206.97 "
99244,TOTAL,,"6,108,785","$1,080,228,796.52 ","$814,080,751.48 "
99245,TOTAL,,"2,280,377","$502,718,817.20 ","$385,066,950.23 "
99251,TOTAL,,"283,933","$12,900,727.10 ","$10,076,378.16 "
99252,TOTAL,,"988,127","$72,588,387.30 ","$56,803,308.91 "
99253,TOTAL,,"3,242,718","$353,891,355.40 ","$277,453,885.67 "
99254,TOTAL,,"5,813,387","$918,966,889.78 ","$722,689,111.97 "
99255,TOTAL,,"2,898,342","$575,388,682.60 ","$453,760,603.22 "
99281,TOTAL,,"108,527","$2,049,347.06 ","$1,511,898.75 "
99282,TOTAL,,"712,824","$25,835,671.98 ","$18,997,740.09 "
99283,TOTAL,,"4,387,950","$260,113,139.50 ","$194,161,669.01 "
99284,TOTAL,,"5,340,497","$582,576,349.30 ","$446,079,146.90 "
99285,TOTAL,,"7,642,932","$1,261,675,378.56 ","$986,819,922.65 "
99289,TOTAL,,19,"$3,924.13 ","$3,121.46 "
99290,TOTAL,,6,$682.52 ,$546.03 
99291,TOTAL,,"3,803,734","$806,865,937.06 ","$640,395,080.87 "
99292,TOTAL,,"377,464","$39,579,602.18 ","$31,549,093.67 "
99293,TOTAL,,65,"$31,365.66 ","$25,019.84 "
99294,TOTAL,,198,"$71,590.60 ","$56,494.58 "
99295,TOTAL,,22,"$13,656.00 ","$9,965.88 "
99296,TOTAL,,27,"$9,257.74 ","$7,301.19 "
99298,TOTAL,,10,"$1,183.62 ",$946.89 
99299,TOTAL,,13,"$1,529.34 ","$1,223.47 "
99300,TOTAL,,76,"$6,375.00 ","$4,791.36 "
99304,TOTAL,,"188,667","$11,421,503.34 ","$8,668,076.33 "
99305,TOTAL,,"600,612","$48,765,525.75 ","$37,674,873.60 "
99306,TOTAL,,"1,083,473","$109,392,240.71 ","$85,138,684.42 "
99307,TOTAL,,"4,117,602","$128,745,867.87 ","$92,232,145.08 "
99308,TOTAL,,"8,636,302","$447,304,931.19 ","$330,490,146.41 "
99309,TOTAL,,"5,361,536","$387,874,735.70 ","$290,303,624.02 "
99310,TOTAL,,"1,071,884","$97,354,404.04 ","$73,184,248.94 "
99315,TOTAL,,"297,653","$16,685,975.12 ","$13,031,233.56 "
99316,TOTAL,,"198,655","$14,567,535.34 ","$11,416,619.11 "
99318,TOTAL,,"148,416","$8,769,601.68 ","$5,997,774.92 "
99324,TOTAL,,"46,282","$2,513,092.90 ","$1,850,961.36 "
99325,TOTAL,,"40,825","$3,241,044.31 ","$2,380,296.56 "
99326,TOTAL,,"29,837","$3,344,058.64 ","$2,457,260.02 "
99327,TOTAL,,"26,735","$3,922,585.10 ","$2,881,625.61 "
99328,TOTAL,,"17,316","$3,136,634.90 ","$2,328,477.55 "
99334,TOTAL,,"347,764","$14,583,971.98 ","$10,436,955.02 "
99335,TOTAL,,"576,206","$37,672,314.80 ","$27,243,729.81 "
99336,TOTAL,,"501,449","$49,461,692.42 ","$36,270,255.18 "
99337,TOTAL,,"109,980","$15,767,429.84 ","$11,747,393.01 "
99341,TOTAL,,"28,043","$1,561,758.74 ","$1,148,425.09 "
99342,TOTAL,,"52,662","$4,338,083.42 ","$3,244,092.55 "
99343,TOTAL,,"45,378","$5,335,858.58 ","$3,975,095.06 "
99344,TOTAL,,"48,504","$7,415,085.91 ","$5,384,444.35 "
99345,TOTAL,,"58,126","$10,960,597.06 ","$8,143,673.19 "
99347,TOTAL,,"233,936","$10,265,614.27 ","$7,595,820.70 "
99348,TOTAL,,"541,402","$37,065,787.11 ","$27,585,784.44 "
99349,TOTAL,,"830,024","$86,262,531.57 ","$64,853,042.43 "
99350,TOTAL,,"355,999","$53,854,735.63 ","$41,107,679.91 "
99354,TOTAL,,"205,621","$18,671,202.57 ","$14,539,854.84 "
99355,TOTAL,,"27,641","$2,417,834.84 ","$1,915,017.87 "
99356,TOTAL,,"114,692","$9,675,516.39 ","$7,701,293.83 "
99357,TOTAL,,"7,107","$596,884.48 ","$475,694.79 "
99358,TOTAL,,4,$88.08 ,$70.47 
99373,TOTAL,,1,$0.01 ,$0.01 
99386,TOTAL,,3,$1.02 ,
99387,TOTAL,,1,$0.01 ,$0.01 
99395,TOTAL,,1,$0.01 ,$0.01 
99396,TOTAL,,45,$43.02 ,$34.42 
99397,TOTAL,,22,$406.92 ,$253.35 
