MEDICARE PART B PHYSICIAN/SUPPLIER BESS DATA,,,,,
FOR CALENDAR YEAR 2007,,,,,
,,,,,
HCPCS,MODIFIER,DESCRIPTION,ALLOWED SERVICES,ALLOWED CHARGES,PAYMENT
_____,________,___________,________________,_______________,_______
69000,OTHER,EAR,"1,578","$214,828.79 ","$165,360.68 "
,TOTAL,,"1,578","$214,828.79 ","$165,360.68 "
69005,OTHER,,935,"$161,260.25 ","$126,271.14 "
,TOTAL,,935,"$161,260.25 ","$126,271.14 "
69020,OTHER,,"1,671","$319,891.39 ","$248,865.29 "
,TOTAL,,"1,671","$319,891.39 ","$248,865.29 "
69100,OTHER,,"82,588","$6,961,387.61 ","$5,256,018.81 "
,TOTAL,,"82,588","$6,961,387.61 ","$5,256,018.81 "
69105,OTHER,,"1,191","$127,195.48 ","$97,577.68 "
,TOTAL,,"1,191","$127,195.48 ","$97,577.68 "
69110,SG,,356,"$97,226.32 ","$76,956.46 "
,OTHER,,"2,942","$887,158.79 ","$697,839.16 "
,TOTAL,,"3,298","$984,385.11 ","$774,795.62 "
69120,SG,,7,"$2,188.98 ","$1,751.19 "
,OTHER,,313,"$59,144.89 ","$46,650.91 "
,TOTAL,,320,"$61,333.87 ","$48,402.10 "
69140,SG,,36,"$14,389.34 ","$11,406.67 "
,OTHER,,195,"$136,931.83 ","$108,549.16 "
,TOTAL,,231,"$151,321.17 ","$119,955.83 "
69145,SG,,285,"$111,553.28 ","$88,632.16 "
,OTHER,,"2,091","$547,079.83 ","$427,165.23 "
,TOTAL,,"2,376","$658,633.11 ","$515,797.39 "
69150,SG,,39,"$14,964.92 ","$11,854.16 "
,80'S,,1,$80.35 ,$64.28 
,OTHER,,287,"$247,862.92 ","$196,664.76 "
,TOTAL,,327,"$262,908.19 ","$208,583.20 "
69155,80'S,,2,$494.27 ,$395.41 
,OTHER,,28,"$40,386.72 ","$32,309.39 "
,TOTAL,,30,"$40,880.99 ","$32,704.80 "
69200,OTHER,,"25,347","$2,574,089.52 ","$1,923,665.91 "
,TOTAL,,"25,347","$2,574,089.52 ","$1,923,665.91 "
69205,SG,,99,"$28,427.84 ","$22,742.30 "
,OTHER,,569,"$45,075.26 ","$34,805.16 "
,TOTAL,,668,"$73,503.10 ","$57,547.46 "
69210,OTHER,,"1,292,450","$56,547,591.50 ","$39,733,993.46 "
,TOTAL,,"1,292,450","$56,547,591.50 ","$39,733,993.46 "
69220,OTHER,,"50,885","$6,030,655.90 ","$4,424,048.56 "
,TOTAL,,"50,885","$6,030,655.90 ","$4,424,048.56 "
69222,OTHER,,"7,943","$1,589,091.54 ","$1,211,833.36 "
,TOTAL,,"7,943","$1,589,091.54 ","$1,211,833.36 "
69300,SG,,9,"$3,351.27 ","$2,681.01 "
,OTHER,,38,"$11,608.39 ","$9,181.93 "
,TOTAL,,47,"$14,959.66 ","$11,862.94 "
69310,SG,,122,"$52,505.44 ","$41,842.47 "
,OTHER,,834,"$701,099.26 ","$557,551.94 "
,TOTAL,,956,"$753,604.70 ","$599,394.41 "
69320,SG,,2,"$2,036.58 ","$1,549.62 "
,OTHER,,34,"$47,862.44 ","$36,724.05 "
,TOTAL,,36,"$49,899.02 ","$38,273.67 "
69399,OTHER,,101,"$14,883.59 ","$11,806.05 "
,TOTAL,,101,"$14,883.59 ","$11,806.05 "
69400,OTHER,,"1,131","$138,037.28 ","$108,274.05 "
,TOTAL,,"1,131","$138,037.28 ","$108,274.05 "
69401,OTHER,,"7,013","$471,244.03 ","$363,310.05 "
,TOTAL,,"7,013","$471,244.03 ","$363,310.05 "
69405,OTHER,,45,"$6,736.47 ","$5,316.98 "
,TOTAL,,45,"$6,736.47 ","$5,316.98 "
69420,OTHER,,"11,902","$1,938,226.60 ","$1,487,544.77 "
,TOTAL,,"11,902","$1,938,226.60 ","$1,487,544.77 "
69421,SG,,137,"$57,244.11 ","$45,562.02 "
,OTHER,,452,"$53,649.71 ","$42,242.93 "
,TOTAL,,589,"$110,893.82 ","$87,804.95 "
69424,OTHER,,935,"$91,842.00 ","$69,593.96 "
,TOTAL,,935,"$91,842.00 ","$69,593.96 "
69433,OTHER,,"36,955","$6,384,028.88 ","$4,882,047.12 "
,TOTAL,,"36,955","$6,384,028.88 ","$4,882,047.12 "
69436,SG,,"3,916","$1,767,699.18 ","$1,397,330.02 "
,OTHER,,"10,964","$1,760,286.98 ","$1,378,587.47 "
,TOTAL,,"14,880","$3,527,986.16 ","$2,775,917.49 "
69440,SG,,91,"$40,426.65 ","$31,942.61 "
,OTHER,,941,"$506,000.05 ","$399,703.34 "
,TOTAL,,"1,032","$546,426.70 ","$431,645.95 "
69450,SG,,44,"$8,303.90 ","$6,643.03 "
,OTHER,,381,"$198,753.16 ","$157,027.48 "
,TOTAL,,425,"$207,057.06 ","$163,670.51 "
69501,SG,,9,"$8,869.98 ","$7,095.99 "
,OTHER,,73,"$41,155.49 ","$32,888.04 "
,TOTAL,,82,"$50,025.47 ","$39,984.03 "
69502,SG,,15,"$14,147.96 ","$10,955.55 "
,OTHER,,196,"$147,624.90 ","$116,487.03 "
,TOTAL,,211,"$161,772.86 ","$127,442.58 "
69505,SG,,14,"$13,845.30 ","$11,076.23 "
,80'S,,1,$162.50 ,$130.00 
,OTHER,,96,"$102,744.50 ","$81,714.93 "
,TOTAL,,111,"$116,752.30 ","$92,921.16 "
69511,SG,,4,"$3,966.50 ","$3,173.21 "
,80'S,,1,$161.94 ,$129.55 
,OTHER,,52,"$54,550.67 ","$43,506.67 "
,TOTAL,,57,"$58,679.11 ","$46,809.43 "
69530,OTHER,,19,"$28,478.72 ","$22,782.99 "
,TOTAL,,19,"$28,478.72 ","$22,782.99 "
69535,80'S,,1,$415.63 ,$332.50 
,OTHER,,179,"$429,408.11 ","$343,429.03 "
,TOTAL,,180,"$429,823.74 ","$343,761.53 "
69540,OTHER,,496,"$79,270.65 ","$61,726.56 "
,TOTAL,,496,"$79,270.65 ","$61,726.56 "
69550,SG,,6,"$4,233.67 ","$3,386.93 "
,OTHER,,75,"$68,360.21 ","$54,305.99 "
,TOTAL,,81,"$72,593.88 ","$57,692.92 "
69552,SG,,2,"$1,945.58 ","$1,556.47 "
,80'S,,1,$240.93 ,$192.74 
,OTHER,,32,"$47,624.07 ","$37,264.56 "
,TOTAL,,35,"$49,810.58 ","$39,013.77 "
69554,OTHER,,4,"$6,133.68 ","$4,906.94 "
,TOTAL,,4,"$6,133.68 ","$4,906.94 "
69601,SG,,7,"$7,035.10 ","$5,628.08 "
,OTHER,,59,"$53,157.57 ","$41,897.78 "
,TOTAL,,66,"$60,192.67 ","$47,525.86 "
69602,SG,,8,"$7,835.36 ","$6,268.29 "
,OTHER,,87,"$78,974.06 ","$63,032.67 "
,TOTAL,,95,"$86,809.42 ","$69,300.96 "
69603,SG,,5,"$4,251.25 ","$3,388.62 "
,OTHER,,58,"$67,128.65 ","$52,781.82 "
,TOTAL,,63,"$71,379.90 ","$56,170.44 "
69604,SG,,7,"$6,736.29 ","$5,329.22 "
,OTHER,,57,"$51,131.93 ","$40,865.94 "
,TOTAL,,64,"$57,868.22 ","$46,195.16 "
69605,SG,,1,$987.80 ,$790.24 
,OTHER,,2,"$2,761.75 ","$2,209.40 "
,TOTAL,,3,"$3,749.55 ","$2,999.64 "
69610,OTHER,,"2,798","$968,031.85 ","$754,679.12 "
,TOTAL,,"2,798","$968,031.85 ","$754,679.12 "
69620,SG,,163,"$63,257.32 ","$49,636.61 "
,OTHER,,720,"$354,820.91 ","$276,623.96 "
,TOTAL,,883,"$418,078.23 ","$326,260.57 "
69631,SG,,667,"$463,697.74 ","$364,846.80 "
,OTHER,,"2,611","$1,948,923.13 ","$1,534,494.29 "
,TOTAL,,"3,278","$2,412,620.87 ","$1,899,341.09 "
69632,SG,,63,"$42,910.44 ","$33,809.46 "
,OTHER,,335,"$311,104.70 ","$245,561.18 "
,TOTAL,,398,"$354,015.14 ","$279,370.64 "
69633,SG,,144,"$91,952.64 ","$72,762.66 "
,OTHER,,600,"$531,005.95 ","$416,501.54 "
,TOTAL,,744,"$622,958.59 ","$489,264.20 "
69635,SG,,47,"$45,954.99 ","$36,002.62 "
,OTHER,,238,"$256,904.70 ","$202,977.45 "
,TOTAL,,285,"$302,859.69 ","$238,980.07 "
69636,SG,,17,"$15,575.80 ","$12,404.53 "
,OTHER,,105,"$129,262.38 ","$102,437.27 "
,TOTAL,,122,"$144,838.18 ","$114,841.80 "
69637,SG,,46,"$43,636.94 ","$34,909.49 "
,OTHER,,120,"$148,725.69 ","$117,121.20 "
,TOTAL,,166,"$192,362.63 ","$152,030.69 "
69641,SG,,188,"$182,916.28 ","$144,418.16 "
,OTHER,,730,"$652,942.78 ","$514,525.06 "
,TOTAL,,918,"$835,859.06 ","$658,943.22 "
69642,SG,,51,"$49,630.32 ","$38,948.26 "
,OTHER,,238,"$284,283.58 ","$224,942.88 "
,TOTAL,,289,"$333,913.90 ","$263,891.14 "
69643,SG,,82,"$79,932.31 ","$63,945.84 "
,OTHER,,645,"$697,558.79 ","$547,755.32 "
,TOTAL,,727,"$777,491.10 ","$611,701.16 "
69644,SG,,47,"$44,234.24 ","$34,436.21 "
,OTHER,,375,"$501,426.62 ","$390,359.58 "
,TOTAL,,422,"$545,660.86 ","$424,795.79 "
69645,SG,,41,"$40,737.42 ","$32,485.15 "
,OTHER,,352,"$468,063.02 ","$370,263.52 "
,TOTAL,,393,"$508,800.44 ","$402,748.67 "
69646,SG,,31,"$30,815.95 ","$24,438.33 "
,80'S,,1,$207.57 ,$166.06 
,OTHER,,277,"$392,313.36 ","$306,101.11 "
,TOTAL,,309,"$423,336.88 ","$330,705.50 "
69650,SG,,11,"$10,203.53 ","$8,162.79 "
,OTHER,,66,"$30,847.29 ","$23,713.91 "
,TOTAL,,77,"$41,050.82 ","$31,876.70 "
69660,SG,,123,"$86,169.00 ","$68,296.52 "
,OTHER,,677,"$557,407.13 ","$437,289.98 "
,TOTAL,,800,"$643,576.13 ","$505,586.50 "
69661,SG,,61,"$42,423.94 ","$33,806.59 "
,OTHER,,139,"$153,409.82 ","$121,861.07 "
,TOTAL,,200,"$195,833.76 ","$155,667.66 "
69662,SG,,45,"$29,974.75 ","$23,979.82 "
,OTHER,,178,"$187,514.95 ","$145,969.56 "
,TOTAL,,223,"$217,489.70 ","$169,949.38 "
69666,SG,,19,"$8,742.89 ","$6,723.25 "
,OTHER,,108,"$57,125.26 ","$45,296.81 "
,TOTAL,,127,"$65,868.15 ","$52,020.06 "
69667,SG,,13,"$6,104.71 ","$4,716.26 "
,OTHER,,117,"$57,604.40 ","$46,020.55 "
,TOTAL,,130,"$63,709.11 ","$50,736.81 "
69670,SG,,2,$484.90 ,$387.92 
,OTHER,,74,"$39,745.58 ","$31,796.48 "
,TOTAL,,76,"$40,230.48 ","$32,184.40 "
69676,OTHER,,1,"$1,109.09 ",$887.27 
,TOTAL,,1,"$1,109.09 ",$887.27 
69700,SG,,7,"$2,739.87 ","$2,191.89 "
,OTHER,,16,"$9,146.29 ","$7,317.02 "
,TOTAL,,23,"$11,886.16 ","$9,508.91 "
69711,SG,,1,$334.48 ,$267.58 
,OTHER,,19,"$12,657.12 ","$10,125.69 "
,TOTAL,,20,"$12,991.60 ","$10,393.27 "
69714,SG,,104,"$137,076.96 ","$109,558.73 "
,OTHER,,695,"$672,191.11 ","$532,641.77 "
,TOTAL,,799,"$809,268.07 ","$642,200.50 "
69715,OTHER,,9,"$10,451.46 ","$8,361.18 "
,TOTAL,,9,"$10,451.46 ","$8,361.18 "
69717,SG,,2,"$2,725.10 ","$2,180.08 "
,OTHER,,16,"$17,331.95 ","$12,984.75 "
,TOTAL,,18,"$20,057.05 ","$15,164.83 "
69718,OTHER,,3,"$4,108.78 ","$3,287.03 "
,TOTAL,,3,"$4,108.78 ","$3,287.03 "
69720,SG,,9,"$6,174.81 ","$4,835.05 "
,80'S,,2,$165.59 ,$132.47 
,OTHER,,93,"$69,484.34 ","$55,084.41 "
,TOTAL,,104,"$75,824.74 ","$60,051.93 "
69725,OTHER,,8,"$8,845.38 ","$7,076.31 "
,TOTAL,,8,"$8,845.38 ","$7,076.31 "
69740,OTHER,,10,"$7,696.37 ","$6,157.09 "
,TOTAL,,10,"$7,696.37 ","$6,157.09 "
69745,OTHER,,2,"$1,845.91 ","$1,476.73 "
,TOTAL,,2,"$1,845.91 ","$1,476.73 "
69799,OTHER,,86,"$27,562.10 ","$21,976.90 "
,TOTAL,,86,"$27,562.10 ","$21,976.90 "
69801,SG,,710,"$492,280.28 ","$387,534.97 "
,OTHER,,"4,258","$2,742,292.30 ","$2,148,366.60 "
,TOTAL,,"4,968","$3,234,572.58 ","$2,535,901.57 "
69802,OTHER,,21,"$18,215.83 ","$14,069.83 "
,TOTAL,,21,"$18,215.83 ","$14,069.83 "
69805,SG,,5,"$5,172.72 ","$4,138.17 "
,OTHER,,53,"$47,942.00 ","$37,711.13 "
,TOTAL,,58,"$53,114.72 ","$41,849.30 "
69806,SG,,31,"$30,703.02 ","$24,562.41 "
,OTHER,,199,"$159,224.31 ","$124,350.41 "
,TOTAL,,230,"$189,927.33 ","$148,912.82 "
69820,OTHER,,7,"$4,212.73 ","$3,370.20 "
,TOTAL,,7,"$4,212.73 ","$3,370.20 "
69840,SG,,3,"$2,146.60 ","$1,717.29 "
,OTHER,,3,"$2,781.19 ","$2,224.95 "
,TOTAL,,6,"$4,927.79 ","$3,942.24 "
69905,OTHER,,21,"$14,143.73 ","$11,314.99 "
,TOTAL,,21,"$14,143.73 ","$11,314.99 "
69910,SG,,3,"$2,467.31 ","$1,973.85 "
,OTHER,,92,"$76,071.24 ","$60,038.87 "
,TOTAL,,95,"$78,538.55 ","$62,012.72 "
69915,OTHER,,11,"$13,022.96 ","$10,418.36 "
,TOTAL,,11,"$13,022.96 ","$10,418.36 "
69930,SG,,24,"$23,654.86 ","$18,124.33 "
,OTHER,,"1,603","$1,842,871.04 ","$1,448,587.97 "
,TOTAL,,"1,627","$1,866,525.90 ","$1,466,712.30 "
69949,80'S,,1,$63.97 ,$51.18 
,OTHER,,67,"$24,323.16 ","$19,458.52 "
,TOTAL,,68,"$24,387.13 ","$19,509.70 "
69950,OTHER,,8,"$9,573.85 ","$7,659.07 "
,TOTAL,,8,"$9,573.85 ","$7,659.07 "
69955,OTHER,,12,"$19,825.68 ","$15,182.94 "
,TOTAL,,12,"$19,825.68 ","$15,182.94 "
69960,OTHER,,16,"$19,535.04 ","$15,628.04 "
,TOTAL,,16,"$19,535.04 ","$15,628.04 "
69970,80'S,,2,$630.86 ,$504.69 
,OTHER,,30,"$52,045.71 ","$41,127.22 "
,TOTAL,,32,"$52,676.57 ","$41,631.91 "
69979,OTHER,,7,"$3,110.09 ","$2,488.08 "
,TOTAL,,7,"$3,110.09 ","$2,488.08 "
69990,80'S,,891,"$30,025.68 ","$23,804.66 "
,OTHER,,"12,926","$2,562,557.89 ","$2,033,280.48 "
,TOTAL,,"13,817","$2,592,583.57 ","$2,057,085.14 "
