MEDICARE PART B PHYSICIAN/SUPPLIER BESS DATA,,,,,
FOR CALENDAR YEAR 2007,,,,,
,,,,,
HCPCS,MODIFIER,DESCRIPTION,ALLOWED SERVICES,ALLOWED CHARGES,PAYMENT
_____,________,___________,________________,_______________,_______
60000,OTHER,ENDOCRINE,14,"$1,727.52 ","$1,382.02 "
,TOTAL,,14,"$1,727.52 ","$1,382.02 "
60001,OTHER,,"2,003","$129,137.55 ","$100,680.26 "
,TOTAL,,"2,003","$129,137.55 ","$100,680.26 "
60100,OTHER,,"21,854","$1,811,419.70 ","$1,415,690.06 "
,TOTAL,,"21,854","$1,811,419.70 ","$1,415,690.06 "
60200,SG,,22,"$9,227.54 ","$7,382.04 "
,80'S,,288,"$17,024.88 ","$13,563.97 "
,OTHER,,"2,145","$1,074,578.32 ","$855,109.97 "
,TOTAL,,"2,455","$1,100,830.74 ","$876,055.98 "
60210,80'S,,346,"$30,411.02 ","$24,084.61 "
,OTHER,,"1,637","$850,631.62 ","$674,198.30 "
,TOTAL,,"1,983","$881,042.64 ","$698,282.91 "
60212,80'S,,43,"$5,659.51 ","$4,518.60 "
,OTHER,,210,"$170,051.14 ","$135,280.92 "
,TOTAL,,253,"$175,710.65 ","$139,799.52 "
60220,80'S,,"2,399","$255,049.26 ","$200,627.67 "
,OTHER,,"9,304","$5,845,872.94 ","$4,608,903.31 "
,TOTAL,,"11,703","$6,100,922.20 ","$4,809,530.98 "
60225,80'S,,278,"$36,691.14 ","$29,005.44 "
,OTHER,,"1,075","$836,076.76 ","$660,426.89 "
,TOTAL,,"1,353","$872,767.90 ","$689,432.33 "
60240,80'S,,"1,995","$275,467.84 ","$217,700.06 "
,OTHER,,"8,253","$6,790,763.96 ","$5,366,505.87 "
,TOTAL,,"10,248","$7,066,231.80 ","$5,584,205.93 "
60252,80'S,,253,"$47,009.39 ","$36,922.90 "
,OTHER,,"1,208","$1,369,385.48 ","$1,087,129.84 "
,TOTAL,,"1,461","$1,416,394.87 ","$1,124,052.74 "
60254,80'S,,62,"$15,328.95 ","$12,263.21 "
,OTHER,,255,"$374,610.83 ","$298,608.94 "
,TOTAL,,317,"$389,939.78 ","$310,872.15 "
60260,80'S,,277,"$43,587.50 ","$34,415.52 "
,OTHER,,"1,183","$1,086,813.29 ","$859,768.56 "
,TOTAL,,"1,460","$1,130,400.79 ","$894,184.08 "
60270,80'S,,40,"$7,882.68 ","$6,245.54 "
,OTHER,,221,"$231,165.85 ","$182,667.93 "
,TOTAL,,261,"$239,048.53 ","$188,913.47 "
60271,80'S,,325,"$46,116.43 ","$36,519.89 "
,OTHER,,"1,478","$1,330,618.49 ","$1,058,107.12 "
,TOTAL,,"1,803","$1,376,734.92 ","$1,094,627.01 "
60280,SG,,46,"$28,578.94 ","$21,528.93 "
,80'S,,50,"$2,975.01 ","$2,379.99 "
,OTHER,,352,"$131,352.47 ","$102,629.82 "
,TOTAL,,448,"$162,906.42 ","$126,538.74 "
60281,SG,,2,"$1,248.58 ",$998.86 
,80'S,,1,$86.41 ,$69.13 
,OTHER,,13,"$6,605.26 ","$5,149.81 "
,TOTAL,,16,"$7,940.25 ","$6,217.80 "
60500,80'S,,"2,988","$424,968.57 ","$331,954.42 "
,OTHER,,"12,908","$11,097,359.28 ","$8,804,019.23 "
,TOTAL,,"15,896","$11,522,327.85 ","$9,135,973.65 "
60502,80'S,,137,"$25,300.84 ","$19,466.13 "
,OTHER,,570,"$632,568.02 ","$503,243.47 "
,TOTAL,,707,"$657,868.86 ","$522,709.60 "
60505,80'S,,32,"$6,632.22 ","$5,305.76 "
,OTHER,,123,"$140,501.55 ","$112,296.40 "
,TOTAL,,155,"$147,133.77 ","$117,602.16 "
60512,80'S,,318,"$11,470.94 ","$9,166.24 "
,OTHER,,"2,125","$464,614.16 ","$369,749.79 "
,TOTAL,,"2,443","$476,085.10 ","$378,916.03 "
60520,80'S,,48,"$6,482.67 ","$5,186.13 "
,OTHER,,269,"$230,802.65 ","$181,302.00 "
,TOTAL,,317,"$237,285.32 ","$186,488.13 "
60521,80'S,,63,"$8,879.96 ","$7,103.98 "
,OTHER,,351,"$289,843.24 ","$228,214.77 "
,TOTAL,,414,"$298,723.20 ","$235,318.75 "
60522,80'S,,33,"$6,205.91 ","$4,876.52 "
,OTHER,,195,"$210,345.90 ","$167,033.02 "
,TOTAL,,228,"$216,551.81 ","$171,909.54 "
60540,80'S,,215,"$28,882.12 ","$22,963.37 "
,OTHER,,643,"$487,520.51 ","$386,003.70 "
,TOTAL,,858,"$516,402.63 ","$408,967.07 "
60545,80'S,,46,"$6,824.13 ","$5,459.29 "
,OTHER,,164,"$145,368.65 ","$116,235.01 "
,TOTAL,,210,"$152,192.78 ","$121,694.30 "
60600,80'S,,38,"$7,740.14 ","$6,065.36 "
,OTHER,,151,"$180,507.62 ","$142,618.16 "
,TOTAL,,189,"$188,247.76 ","$148,683.52 "
60605,80'S,,4,"$1,037.46 ",$829.97 
,OTHER,,17,"$23,970.09 ","$19,053.29 "
,TOTAL,,21,"$25,007.55 ","$19,883.26 "
60650,80'S,,308,"$53,729.02 ","$42,737.41 "
,OTHER,,913,"$949,742.81 ","$752,948.17 "
,TOTAL,,"1,221","$1,003,471.83 ","$795,685.58 "
60659,80'S,,3,$431.05 ,$344.84 
,OTHER,,20,"$14,710.89 ","$11,628.35 "
,TOTAL,,23,"$15,141.94 ","$11,973.19 "
60699,80'S,,5,$546.03 ,$436.84 
,OTHER,,143,"$50,691.60 ","$40,372.55 "
,TOTAL,,148,"$51,237.63 ","$40,809.39 "
61000,OTHER,,23,$893.36 ,$686.61 
,TOTAL,,23,$893.36 ,$686.61 
61001,OTHER,,8,$485.99 ,$369.59 
,TOTAL,,8,$485.99 ,$369.59 
61020,80'S,,1,$9.53 ,$7.62 
,OTHER,,472,"$52,912.68 ","$42,058.91 "
,TOTAL,,473,"$52,922.21 ","$42,066.53 "
61026,OTHER,,590,"$67,817.83 ","$53,613.67 "
,TOTAL,,590,"$67,817.83 ","$53,613.67 "
61050,OTHER,,155,"$15,819.85 ","$12,065.83 "
,TOTAL,,155,"$15,819.85 ","$12,065.83 "
61055,SG,,28,"$4,923.09 ","$3,725.99 "
,OTHER,,"1,562","$198,184.45 ","$154,055.85 "
,TOTAL,,"1,590","$203,107.54 ","$157,781.84 "
61070,SG,,53,"$9,479.93 ","$7,374.29 "
,OTHER,,"3,078","$224,744.63 ","$174,809.72 "
,TOTAL,,"3,131","$234,224.56 ","$182,184.01 "
