MEDICARE PART B PHYSICIAN/SUPPLIER BESS DATA,,,,,
FOR CALENDAR YEAR 2007,,,,,
,,,,,
HCPCS,MODIFIER,DESCRIPTION,ALLOWED SERVICES,ALLOWED CHARGES,PAYMENT
_____,________,___________,________________,_______________,_______
65091,SG,EYE,18,"$8,917.48 ","$6,696.94 "
,OTHER,,81,"$43,044.80 ","$33,645.42 "
,TOTAL,,99,"$51,962.28 ","$40,342.36 "
65093,SG,,197,"$93,700.36 ","$74,490.37 "
,OTHER,,698,"$366,122.59 ","$289,582.65 "
,TOTAL,,895,"$459,822.95 ","$364,073.02 "
65101,SG,,20,"$9,203.49 ","$7,258.01 "
,OTHER,,112,"$66,046.75 ","$52,367.85 "
,TOTAL,,132,"$75,250.24 ","$59,625.86 "
65103,SG,,52,"$25,462.00 ","$20,347.00 "
,OTHER,,210,"$133,108.77 ","$105,855.38 "
,TOTAL,,262,"$158,570.77 ","$126,202.38 "
65105,SG,,220,"$136,595.82 ","$108,806.77 "
,80'S,,41,"$4,445.47 ","$3,456.22 "
,OTHER,,975,"$684,171.99 ","$542,324.51 "
,TOTAL,,"1,236","$825,213.28 ","$654,587.50 "
65110,SG,,9,"$6,213.30 ","$4,865.86 "
,80'S,,4,$766.35 ,$613.08 
,OTHER,,106,"$101,403.09 ","$80,369.54 "
,TOTAL,,119,"$108,382.74 ","$85,848.48 "
65112,SG,,1,$960.17 ,$768.14 
,80'S,,4,$896.46 ,$717.17 
,OTHER,,35,"$39,966.67 ","$31,763.75 "
,TOTAL,,40,"$41,823.30 ","$33,249.06 "
65114,SG,,4,"$4,070.54 ","$3,256.43 "
,80'S,,3,$683.22 ,$546.57 
,OTHER,,28,"$34,611.85 ","$27,689.47 "
,TOTAL,,35,"$39,365.61 ","$31,492.47 "
65125,OTHER,,25,"$5,693.64 ","$4,490.13 "
,TOTAL,,25,"$5,693.64 ","$4,490.13 "
65130,SG,,11,"$4,744.70 ","$3,795.77 "
,OTHER,,25,"$13,986.81 ","$11,189.43 "
,TOTAL,,36,"$18,731.51 ","$14,985.20 "
65135,SG,,11,"$3,996.30 ","$2,966.71 "
,OTHER,,30,"$17,501.46 ","$13,886.73 "
,TOTAL,,41,"$21,497.76 ","$16,853.44 "
65140,SG,,1,$492.59 ,$394.07 
,OTHER,,25,"$14,430.15 ","$11,207.85 "
,TOTAL,,26,"$14,922.74 ","$11,601.92 "
65150,SG,,14,"$4,255.48 ","$3,404.38 "
,OTHER,,39,"$15,462.43 ","$12,369.97 "
,TOTAL,,53,"$19,717.91 ","$15,774.35 "
65155,SG,,10,"$4,007.86 ","$3,206.28 "
,OTHER,,58,"$38,134.28 ","$30,304.61 "
,TOTAL,,68,"$42,142.14 ","$33,510.89 "
65175,SG,,26,"$6,169.97 ","$4,936.00 "
,OTHER,,213,"$96,880.55 ","$77,141.91 "
,TOTAL,,239,"$103,050.52 ","$82,077.91 "
65205,OTHER,,"27,285","$1,250,895.55 ","$898,021.01 "
,TOTAL,,"27,285","$1,250,895.55 ","$898,021.01 "
65210,OTHER,,"23,574","$1,390,206.32 ","$1,007,442.50 "
,TOTAL,,"23,574","$1,390,206.32 ","$1,007,442.50 "
65220,OTHER,,"2,942","$124,261.64 ","$87,301.59 "
,TOTAL,,"2,942","$124,261.64 ","$87,301.59 "
65222,OTHER,,"34,238","$2,209,114.18 ","$1,562,780.97 "
,TOTAL,,"34,238","$2,209,114.18 ","$1,562,780.97 "
65235,SG,,109,"$43,935.31 ","$34,894.28 "
,OTHER,,229,"$103,364.01 ","$81,755.93 "
