MEDICARE PART B PHYSICIAN/SUPPLIER BESS DATA,,,,,
FOR CALENDAR YEAR 2007,,,,,
,,,,,
HCPCS,MODIFIER,DESCRIPTION,ALLOWED SERVICES,ALLOWED CHARGES,PAYMENT
_____,________,___________,________________,_______________,_______
56405,OTHER,FEMALE GENITAL,"4,780","$464,834.44 ","$346,553.23 "
,TOTAL,,"4,780","$464,834.44 ","$346,553.23 "
56420,OTHER,,"1,718","$191,686.39 ","$140,943.84 "
,TOTAL,,"1,718","$191,686.39 ","$140,943.84 "
56440,SG,,36,"$15,686.77 ","$11,849.95 "
,OTHER,,351,"$55,949.23 ","$43,348.58 "
,TOTAL,,387,"$71,636.00 ","$55,198.53 "
56441,SG,,51,"$13,545.71 ","$10,684.92 "
,80'S,,2,$32.30 ,$25.84 
,OTHER,,392,"$45,060.99 ","$34,912.95 "
,TOTAL,,445,"$58,639.00 ","$45,623.71 "
56442,80'S,,1,$6.86 ,$5.49 
,OTHER,,28,$878.83 ,$634.90 
,TOTAL,,29,$885.69 ,$640.39 
56501,OTHER,,"3,559","$404,666.49 ","$301,332.33 "
,TOTAL,,"3,559","$404,666.49 ","$301,332.33 "
56515,SG,,109,"$53,138.45 ","$41,554.71 "
,OTHER,,"1,760","$322,997.09 ","$250,406.82 "
,TOTAL,,"1,869","$376,135.54 ","$291,961.53 "
56605,OTHER,,"25,344","$1,887,537.29 ","$1,397,312.99 "
,TOTAL,,"25,344","$1,887,537.29 ","$1,397,312.99 "
56606,OTHER,,"4,871","$170,914.70 ","$133,760.44 "
,TOTAL,,"4,871","$170,914.70 ","$133,760.44 "
56620,SG,,151,"$104,701.06 ","$81,831.98 "
,80'S,,76,"$5,090.55 ","$4,035.88 "
,OTHER,,"2,242","$1,030,780.07 ","$812,460.36 "
,TOTAL,,"2,469","$1,140,571.68 ","$898,328.22 "
56625,SG,,1,"$1,153.57 ",$922.86 
,80'S,,13,"$1,181.01 ",$944.80 
,OTHER,,197,"$93,792.89 ","$73,879.13 "
,TOTAL,,211,"$96,127.47 ","$75,746.79 "
56630,80'S,,47,"$5,799.57 ","$4,629.50 "
,OTHER,,738,"$562,222.45 ","$446,737.55 "
,TOTAL,,785,"$568,022.02 ","$451,367.05 "
56631,80'S,,21,"$3,574.50 ","$2,859.60 "
,OTHER,,266,"$263,246.13 ","$209,615.39 "
,TOTAL,,287,"$266,820.63 ","$212,474.99 "
56632,80'S,,27,"$5,070.58 ","$4,056.49 "
,OTHER,,212,"$236,722.33 ","$188,602.68 "
,TOTAL,,239,"$241,792.91 ","$192,659.17 "
56633,80'S,,21,"$3,345.49 ","$2,676.37 "
,OTHER,,158,"$147,772.52 ","$117,085.64 "
,TOTAL,,179,"$151,118.01 ","$119,762.01 "
56634,80'S,,7,"$1,270.07 ",$910.26 
