MEDICARE PART B PHYSICIAN/SUPPLIER BESS DATA,,,,,
FOR CALENDAR YEAR 2007,,,,,
,,,,,
HCPCS,MODIFIER,DESCRIPTION,ALLOWED SERVICES,ALLOWED CHARGES,PAYMENT
_____,________,___________,________________,_______________,_______
G0008,TOTAL,PROCEDURES/PROFESSIONAL SERVICES,"12,043,945","$208,652,155.92 ","$208,491,528.75 "
G0009,TOTAL,,"1,306,635","$22,713,399.57 ","$22,685,680.32 "
G0010,TOTAL,,"18,713","$328,853.87 ","$242,552.74 "
G0027,TOTAL,,636,"$5,759.13 ","$5,758.22 "
G0101,TOTAL,,"1,075,907","$37,118,511.65 ","$29,648,934.74 "
G0102,TOTAL,,"27,723","$526,539.99 ","$301,318.83 "
G0103,TOTAL,,"1,630,020","$41,790,708.91 ","$41,730,210.70 "
G0104,TOTAL,,"5,612","$525,306.91 ","$418,878.08 "
G0105,TOTAL,,"252,891","$69,144,351.17 ","$54,197,457.15 "
G0106,TOTAL,,551,"$27,561.45 ","$21,950.54 "
G0108,TOTAL,,"103,478","$2,967,654.73 ","$2,198,751.83 "
G0109,TOTAL,,"170,758","$2,806,013.67 ","$2,142,109.21 "
G0117,TOTAL,,706,"$31,713.37 ","$22,116.19 "
G0118,TOTAL,,5,$135.30 ,$108.23 
G0120,TOTAL,,93,"$8,635.07 ","$6,896.58 "
G0121,TOTAL,,"311,573","$84,268,831.41 ","$66,063,618.97 "
G0123,TOTAL,,"576,630","$15,809,905.72 ","$15,800,308.19 "
G0124,TOTAL,,"68,630","$1,570,233.88 ","$1,199,205.47 "
G0127,TOTAL,,"751,677","$9,367,129.43 ","$6,870,697.64 "
G0130,TOTAL,,724,"$25,248.22 ","$17,785.84 "
G0141,TOTAL,,"2,631","$62,463.28 ","$47,292.23 "
G0143,TOTAL,,"9,533","$262,770.88 ","$261,247.69 "
G0144,TOTAL,,"4,615","$134,028.63 ","$134,016.67 "
G0145,TOTAL,,"472,312","$16,614,589.54 ","$16,599,686.93 "
G0147,TOTAL,,563,"$8,927.76 ","$8,867.34 "
G0148,TOTAL,,"7,958","$153,820.83 ","$153,267.48 "
G0166,TOTAL,,"271,393","$40,272,986.78 ","$31,943,590.41 "
G0168,TOTAL,,"20,182","$536,661.05 ","$413,894.74 "
G0175,TOTAL,,1,$33.18 ,$26.54 
G0179,TOTAL,,"1,107,510","$52,992,441.34 ","$40,076,946.43 "
G0180,TOTAL,,"1,182,288","$75,539,523.35 ","$58,663,947.19 "
G0181,TOTAL,,"287,854","$32,110,919.44 ","$25,360,853.20 "
G0182,TOTAL,,"29,926","$3,408,334.14 ","$2,617,184.30 "
G0186,TOTAL,,187,"$178,959.01 ","$142,497.89 "
G0202,TOTAL,,"1,966,407","$142,496,192.39 ","$113,652,806.93 "
G0204,TOTAL,,"282,808","$22,419,463.55 ","$16,613,739.18 "
G0206,TOTAL,,"325,247","$20,755,933.23 ","$15,235,938.65 "
G0235,TOTAL,,2,"$1,405.68 ","$1,124.54 "
G0237,TOTAL,,"106,168","$1,803,480.23 ","$1,422,547.90 "
G0238,TOTAL,,"145,689","$2,607,440.16 ","$2,064,488.27 "
G0239,TOTAL,,"6,495","$86,854.93 ","$68,457.07 "
G0245,TOTAL,,"2,857","$163,701.68 ","$118,981.87 "
G0246,TOTAL,,"5,175","$177,538.48 ","$126,469.91 "
G0247,TOTAL,,"6,315","$234,200.94 ","$170,655.05 "
G0248,TOTAL,,"1,026","$265,016.41 ","$209,233.43 "
G0249,TOTAL,,"26,724","$3,849,094.92 ","$3,007,448.69 "
G0250,TOTAL,,"4,140","$37,055.84 ","$27,428.83 "
G0255,TOTAL,,2,$0.02 ,$0.02 
G0260,TOTAL,,"38,327","$10,174,346.36 ","$8,061,599.76 "
G0265,TOTAL,,93,"$1,177.59 ",$941.38 
G0266,TOTAL,,42,$564.90 ,$430.72 
G0267,TOTAL,,51,"$26,930.75 ","$21,544.64 "
G0268,TOTAL,,"94,636","$4,218,772.95 ","$3,151,867.56 "
G0269,TOTAL,,1,$0.01 ,$0.01 
G0270,TOTAL,,"5,993","$138,715.74 ","$107,165.75 "
G0271,TOTAL,,789,"$9,625.67 ","$6,685.33 "
G0275,TOTAL,,"16,899","$214,564.47 ","$170,865.44 "
G0278,TOTAL,,"15,230","$195,929.26 ","$156,073.04 "
G0281,TOTAL,,"9,823","$107,708.25 ","$85,080.88 "
G0283,TOTAL,,"5,179,027","$58,386,023.72 ","$45,948,749.70 "
G0288,TOTAL,,"4,521","$1,448,365.23 ","$1,148,873.04 "
G0289,TOTAL,,"45,741","$3,940,333.69 ","$3,126,344.90 "
G0298,TOTAL,,2,$189.76 ,$151.80 
G0300,TOTAL,,40,"$33,840.93 ","$27,072.72 "
G0306,TOTAL,,"140,034","$1,515,225.05 ","$1,512,884.37 "
G0307,TOTAL,,"65,822","$580,305.36 ","$580,078.96 "
G0308,TOTAL,,41,"$30,026.82 ","$23,792.46 "
G0309,TOTAL,,20,"$12,583.24 ","$9,797.36 "
G0310,TOTAL,,49,"$24,247.39 ","$19,149.89 "
G0311,TOTAL,,489,"$256,170.96 ","$203,254.97 "
G0312,TOTAL,,157,"$54,343.12 ","$43,165.53 "
G0313,TOTAL,,223,"$75,017.37 ","$59,380.48 "
G0314,TOTAL,,"2,861","$1,274,230.29 ","$1,001,260.78 "
G0315,TOTAL,,"1,120","$397,141.07 ","$312,182.87 "
