MEDICARE PART B PHYSICIAN/SUPPLIER BESS DATA,,,,,
FOR CALENDAR YEAR 2007,,,,,
,,,,,
HCPCS,MODIFIER,DESCRIPTION,ALLOWED SERVICES,ALLOWED CHARGES,PAYMENT
_____,________,___________,________________,_______________,_______
10040,OTHER,INTEGUMENTARY,"29,007","$2,162,333.62 ","$1,605,418.30 "
,TOTAL,,"29,007","$2,162,333.62 ","$1,605,418.30 "
10060,80'S,,4,$55.97 ,$44.78 
,OTHER,,"557,262","$50,499,480.83 ","$37,354,170.49 "
,TOTAL,,"557,266","$50,499,536.80 ","$37,354,215.27 "
10061,OTHER,,"172,090","$26,876,919.26 ","$20,563,648.66 "
,TOTAL,,"172,090","$26,876,919.26 ","$20,563,648.66 "
10080,OTHER,,"1,924","$240,794.85 ","$177,992.72 "
,TOTAL,,"1,924","$240,794.85 ","$177,992.72 "
10081,OTHER,,832,"$151,121.78 ","$115,716.16 "
,TOTAL,,832,"$151,121.78 ","$115,716.16 "
10120,OTHER,,"40,398","$4,522,928.57 ","$3,348,355.60 "
,TOTAL,,"40,398","$4,522,928.57 ","$3,348,355.60 "
10121,SG,,375,"$152,318.27 ","$120,079.21 "
,OTHER,,"7,543","$1,460,380.12 ","$1,129,996.72 "
,TOTAL,,"7,918","$1,612,698.39 ","$1,250,075.93 "
10140,80'S,,1,$13.95 ,$11.16 
,OTHER,,"71,679","$8,360,029.11 ","$6,450,113.92 "
,TOTAL,,"71,680","$8,360,043.06 ","$6,450,125.08 "
10160,OTHER,,"64,524","$6,362,250.33 ","$4,879,607.55 "
,TOTAL,,"64,524","$6,362,250.33 ","$4,879,607.55 "
10180,SG,,337,"$139,931.25 ","$110,282.89 "
,80'S,,1,$26.29 ,$21.03 
,OTHER,,"14,974","$2,256,768.26 ","$1,774,505.54 "
,TOTAL,,"15,312","$2,396,725.80 ","$1,884,809.46 "
1050F,OTHER,,1,$0.01 ,$0.01 
,TOTAL,,1,$0.01 ,$0.01 
1055F,OTHER,,9,$0.09 ,$0.09 
,TOTAL,,9,$0.09 ,$0.09 
1100F,OTHER,,2,$0.02 ,$0.02 
,TOTAL,,2,$0.02 ,$0.02 
11000,OTHER,,"129,791","$5,578,580.26 ","$4,197,554.53 "
,TOTAL,,"129,791","$5,578,580.26 ","$4,197,554.53 "
11001,OTHER,,"4,473","$91,678.79 ","$70,696.89 "
,TOTAL,,"4,473","$91,678.79 ","$70,696.89 "
11004,80'S,,1,$82.37 ,$65.90 
,OTHER,,"2,377","$1,136,159.75 ","$901,716.52 "
,TOTAL,,"2,378","$1,136,242.12 ","$901,782.42 "
11005,80'S,,38,"$4,138.36 ","$3,310.71 "
,OTHER,,"3,779","$2,592,212.13 ","$2,056,378.22 "
,TOTAL,,"3,817","$2,596,350.49 ","$2,059,688.93 "
11006,OTHER,,744,"$451,640.52 ","$358,395.82 "
,TOTAL,,744,"$451,640.52 ","$358,395.82 "
11008,80'S,,22,$876.25 ,$700.99 
,OTHER,,"1,262","$324,272.67 ","$258,170.74 "
,TOTAL,,"1,284","$325,148.92 ","$258,871.73 "
1101F,OTHER,,1,$0.01 ,$0.01 
,TOTAL,,1,$0.01 ,$0.01 
11010,SG,,51,"$8,265.32 ","$6,565.64 "
,80'S,,7,$259.89 ,$207.91 
,OTHER,,"2,781","$568,322.63 ","$449,020.87 "
