MEDICARE PART B PHYSICIAN/SUPPLIER BESS DATA,,,,,
FOR CALENDAR YEAR 2007,,,,,
,,,,,
HCPCS,MODIFIER,DESCRIPTION,ALLOWED SERVICES,ALLOWED CHARGES,PAYMENT
_____,________,___________,________________,_______________,_______
J0120,TOTAL,DRUGS OTHER THAN CHEMOTHERAPY,6,$48.97 ,$35.05 
J0128,TOTAL,,60,"$4,117.20 ","$3,270.37 "
J0129,TOTAL,,"3,934,740","$72,836,840.16 ","$56,741,859.06 "
J0130,TOTAL,,865,"$103,015.94 ","$82,164.72 "
J0132,TOTAL,,561,"$1,150.72 ",$920.61 
J0133,TOTAL,,"460,352","$142,216.37 ","$113,601.08 "
J0135,TOTAL,,37,"$9,279.77 ","$7,228.13 "
J0150,TOTAL,,"130,157","$2,315,743.01 ","$1,836,690.61 "
J0152,TOTAL,,"1,874,008","$124,347,105.10 ","$98,155,253.91 "
J0170,TOTAL,,"21,279","$17,835.30 ","$13,577.57 "
J0180,TOTAL,,"46,690","$5,928,416.66 ","$4,709,951.67 "
J0200,TOTAL,,9,$65.32 ,$52.26 
J0205,TOTAL,,77,"$1,939.22 ","$1,531.38 "
J0207,TOTAL,,"36,479","$17,388,358.99 ","$13,816,723.22 "
J0210,TOTAL,,160,"$1,909.74 ","$1,436.29 "
J0215,TOTAL,,"78,948","$1,834,710.61 ","$1,456,975.86 "
J0256,TOTAL,,"1,883,742","$6,274,302.75 ","$4,982,929.61 "
J0270,TOTAL,,342,$618.30 ,$483.15 
J0275,TOTAL,,6,$140.30 ,$112.25 
J0278,TOTAL,,"30,543","$34,320.98 ","$27,218.39 "
J0280,TOTAL,,"327,430","$134,949.51 ","$105,231.69 "
J0282,TOTAL,,194,$49.88 ,$38.80 
J0285,TOTAL,,"16,436","$198,155.92 ","$157,655.65 "
J0287,TOTAL,,"19,107","$388,782.76 ","$310,747.29 "
J0288,TOTAL,,641,"$7,680.43 ","$6,144.00 "
J0289,TOTAL,,"39,474","$1,356,472.59 ","$1,084,662.61 "
J0290,TOTAL,,"30,747","$67,984.27 ","$50,245.60 "
J0295,TOTAL,,"7,653","$42,353.11 ","$31,856.82 "
J0300,TOTAL,,1,$2.48 ,$1.98 
J0330,TOTAL,,451,$79.02 ,$62.88 
J0348,TOTAL,,"21,714","$41,430.32 ","$33,144.26 "
J0360,TOTAL,,340,"$2,433.61 ","$1,926.72 "
J0364,TOTAL,,1,$3.01 ,$2.41 
J0390,TOTAL,,8,$99.19 ,$79.36 
J0456,TOTAL,,"2,888","$67,670.08 ","$52,502.14 "
J0460,TOTAL,,"139,105","$82,807.62 ","$65,176.30 "
J0470,TOTAL,,84,"$2,116.23 ","$1,476.43 "
J0475,TOTAL,,"104,575","$15,763,632.71 ","$12,125,626.01 "
J0476,TOTAL,,"26,842","$238,983.59 ","$156,652.44 "
J0480,TOTAL,,"1,920","$1,980.00 ","$1,539.20 "
J0500,TOTAL,,"3,165","$43,576.45 ","$32,962.08 "
J0515,TOTAL,,713,"$9,191.46 ","$5,909.91 "
J0520,TOTAL,,6,$9.49 ,$7.59 
J0530,TOTAL,,"3,416","$43,435.91 ","$28,330.78 "
J0540,TOTAL,,"11,355","$296,906.36 ","$205,101.47 "
J0550,TOTAL,,"2,290","$68,006.27 ","$50,101.64 "
J0560,TOTAL,,"3,036","$64,076.98 ","$44,995.61 "
J0570,TOTAL,,"10,861","$384,535.39 ","$267,077.83 "
J0580,TOTAL,,"2,344","$96,630.10 ","$71,205.38 "
J0583,TOTAL,,899,"$1,591.71 ","$1,226.89 "
J0585,TOTAL,,"16,283,666","$83,878,476.07 ","$65,869,310.53 "
J0587,TOTAL,,"858,376","$5,954,558.07 ","$4,677,315.80 "
J0592,TOTAL,,"1,935","$1,368.47 ",$990.36 
J0594,TOTAL,,"3,012","$27,128.80 ","$21,703.07 "
J0595,TOTAL,,"26,580","$17,840.77 ","$12,941.36 "
J0600,TOTAL,,"24,059","$961,748.46 ","$758,558.83 "
J0610,TOTAL,,"183,501","$106,390.98 ","$84,167.61 "
J0620,TOTAL,,288,"$2,623.92 ","$2,054.31 "
J0636,TOTAL,,"5,084","$2,462.11 ","$1,969.67 "
J0637,TOTAL,,"32,208","$919,839.14 ","$731,089.75 "
J0640,TOTAL,,"2,627,508","$2,723,066.48 ","$2,157,321.73 "
J0670,TOTAL,,"105,152","$154,634.05 ","$118,388.57 "
J0690,TOTAL,,"171,206","$243,696.78 ","$179,744.03 "
J0692,TOTAL,,"127,054","$1,002,107.50 ","$794,628.29 "
J0694,TOTAL,,"8,177","$63,694.54 ","$49,239.96 "
J0696,TOTAL,,"2,861,215","$4,537,175.15 ","$3,319,710.71 "
J0697,TOTAL,,"7,634","$23,666.67 ","$16,292.72 "
J0698,TOTAL,,"35,466","$194,157.78 ","$138,526.63 "
J0702,TOTAL,,"1,640,093","$8,545,896.45 ","$6,469,133.43 "
J0704,TOTAL,,"284,035","$316,216.54 ","$239,890.13 "
J0706,TOTAL,,"1,342","$3,373.42 ","$2,664.09 "
J0710,TOTAL,,81,$461.24 ,$355.75 
J0713,TOTAL,,"42,375","$166,143.61 ","$131,114.55 "
J0715,TOTAL,,"3,055","$12,468.37 ","$8,954.14 "
J0720,TOTAL,,"1,069","$9,137.60 ","$6,487.38 "
J0725,TOTAL,,"7,892","$29,143.24 ","$21,973.70 "
J0735,TOTAL,,"51,357","$2,860,189.29 ","$2,155,961.43 "
J0740,TOTAL,,856,"$583,765.67 ","$457,049.16 "
J0743,TOTAL,,"10,535","$142,300.90 ","$110,579.17 "
J0744,TOTAL,,"4,336","$14,167.12 ","$11,150.69 "
J0745,TOTAL,,54,"$1,774.47 ","$1,416.91 "
J0760,TOTAL,,"2,456","$11,414.00 ","$8,643.44 "
J0770,TOTAL,,245,"$5,323.63 ","$3,562.17 "
J0780,TOTAL,,"13,294","$24,277.53 ","$18,643.13 "
J0795,TOTAL,,977,"$4,277.20 ","$2,383.23 "
J0800,TOTAL,,"10,438","$1,037,251.42 ","$819,973.54 "
J0835,TOTAL,,"4,814","$264,867.36 ","$200,841.34 "
J0850,TOTAL,,743,"$581,667.40 ","$465,333.59 "
J0878,TOTAL,,"21,602,543","$7,375,129.94 ","$5,814,396.52 "
J0881,TOTAL,,"292,613,365","$937,553,912.43 ","$742,224,705.12 "
J0882,TOTAL,,"1,895,734","$5,968,233.64 ","$4,734,266.92 "
J0885,TOTAL,,"56,360,152","$520,860,240.49 ","$411,355,746.77 "
J0886,TOTAL,,"376,506","$3,479,119.09 ","$2,754,655.48 "
J0894,TOTAL,,"1,696,692","$45,043,110.14 ","$35,764,805.73 "
J0895,TOTAL,,"217,943","$3,315,752.87 ","$2,643,100.87 "
J0900,TOTAL,,629,"$2,184.72 ","$1,642.44 "
J0945,TOTAL,,"19,640","$17,080.98 ","$11,567.58 "
J0970,TOTAL,,"15,799","$438,139.88 ","$313,045.01 "
J1000,TOTAL,,"51,424","$279,039.85 ","$193,822.14 "
J1020,TOTAL,,"500,554","$1,122,190.50 ","$844,574.48 "
J1030,TOTAL,,"2,213,972","$10,508,429.18 ","$7,917,842.77 "
J1040,TOTAL,,"1,647,509","$13,859,855.02 ","$10,308,623.45 "
J1051,TOTAL,,"19,507","$111,252.34 ","$78,682.57 "
J1056,TOTAL,,8,$181.79 ,$128.16 
J1060,TOTAL,,"11,380","$46,293.69 ","$32,182.79 "
J1070,TOTAL,,"122,434","$618,702.38 ","$444,175.75 "
J1080,TOTAL,,"275,746","$3,317,606.80 ","$2,391,154.97 "
J1094,TOTAL,,"1,134,813","$259,156.37 ","$187,202.00 "
J1100,TOTAL,,"21,165,825","$2,490,642.22 ","$1,947,049.52 "
J1110,TOTAL,,"4,068","$80,181.40 ","$59,898.16 "
J1120,TOTAL,,259,"$4,046.84 ","$3,185.07 "
J1160,TOTAL,,730,"$1,599.21 ","$1,261.83 "
J1162,TOTAL,,1,$260.00 ,$208.00 
J1165,TOTAL,,215,$139.86 ,$104.30 
J1170,TOTAL,,"2,743,710","$4,363,797.67 ","$3,358,497.23 "
J1180,TOTAL,,139,"$1,111.86 ",$851.13 
J1190,TOTAL,,"5,378","$897,362.40 ","$708,079.92 "
J1200,TOTAL,,"853,057","$669,716.78 ","$526,055.82 "
J1205,TOTAL,,33,"$3,675.43 ","$2,940.39 "
J1212,TOTAL,,"26,409","$824,135.48 ","$631,023.36 "
J1230,TOTAL,,"178,666","$591,985.49 ","$469,676.88 "
J1240,TOTAL,,"3,079","$7,069.02 ","$5,499.41 "
J1245,TOTAL,,"1,285,238","$1,786,607.85 ","$1,409,110.59 "
J1250,TOTAL,,"223,228","$769,987.22 ","$609,204.48 "
J1260,TOTAL,,"2,399,506","$13,204,322.96 ","$10,472,783.23 "
J1265,TOTAL,,"17,041","$11,050.03 ","$8,757.56 "
J1270,TOTAL,,273,$714.23 ,$569.14 
J1325,TOTAL,,"2,045,972","$25,859,137.18 ","$20,517,503.04 "
J1327,TOTAL,,1,$16.05 ,$12.84 
J1335,TOTAL,,"78,752","$1,896,005.65 ","$1,497,993.50 "
J1364,TOTAL,,273,"$1,592.62 ","$1,249.76 "
J1380,TOTAL,,"5,069","$59,177.82 ","$41,794.57 "
J1390,TOTAL,,"7,251","$114,436.92 ","$80,254.10 "
J1410,TOTAL,,"4,468","$186,858.48 ","$138,126.65 "
J1430,TOTAL,,9,$707.62 ,$566.08 
J1435,TOTAL,,"3,744","$1,120.27 ",$848.77 
J1438,TOTAL,,49,"$2,416.48 ","$1,933.27 "
J1440,TOTAL,,"207,633","$39,628,885.78 ","$31,431,227.97 "
J1441,TOTAL,,"281,033","$84,156,215.83 ","$66,741,515.34 "
J1450,TOTAL,,"2,980","$31,330.62 ","$24,750.36 "
J1451,TOTAL,,54,$627.73 ,$466.32 
J1455,TOTAL,,"15,855","$200,919.16 ","$160,526.57 "
J1457,TOTAL,,"5,956","$8,832.98 ","$7,030.50 "
J1458,TOTAL,,65,"$7,648.78 ","$6,119.02 "
J1460,TOTAL,,761,"$8,791.97 ","$6,742.98 "
J1470,TOTAL,,"1,238","$28,518.76 ","$21,288.84 "
J1480,TOTAL,,215,"$7,436.80 ","$5,618.63 "
J1490,TOTAL,,916,"$38,526.01 ","$29,999.61 "
J1500,TOTAL,,236,"$12,198.35 ","$9,648.01 "
J1510,TOTAL,,64,"$4,452.68 ","$3,372.40 "
J1520,TOTAL,,23,"$1,554.97 ","$1,243.98 "
J1530,TOTAL,,73,"$4,820.49 ","$3,783.20 "
J1540,TOTAL,,"1,136","$114,178.54 ","$91,207.43 "
J1550,TOTAL,,856,"$91,962.27 ","$73,165.57 "
J1560,TOTAL,,"60,383","$6,067,331.47 ","$4,852,826.15 "
J1562,TOTAL,,"1,099,980","$13,330,754.16 ","$10,568,932.99 "
J1566,TOTAL,,"983,637","$25,667,180.87 ","$19,989,970.21 "
J1567,TOTAL,,"1,126,955","$34,020,850.18 ","$26,694,081.25 "
J1570,TOTAL,,"13,202","$471,116.86 ","$376,256.27 "
J1580,TOTAL,,"171,818","$177,367.18 ","$134,788.78 "
J1590,TOTAL,,120,$97.07 ,$74.31 
J1600,TOTAL,,"9,734","$66,911.19 ","$49,232.51 "
J1610,TOTAL,,"2,131","$140,732.27 ","$110,245.74 "
J1620,TOTAL,,42,"$5,764.85 ","$4,565.68 "
J1626,TOTAL,,"3,227,679","$21,857,750.06 ","$17,308,589.59 "
J1630,TOTAL,,"5,445","$10,782.77 ","$7,297.75 "
J1631,TOTAL,,"144,518","$423,466.19 ","$255,079.94 "
J1640,TOTAL,,"50,771","$342,983.51 ","$259,761.75 "
J1642,TOTAL,,"18,368,721","$941,474.63 ","$733,043.44 "
J1644,TOTAL,,"1,428,257","$302,318.42 ","$235,809.03 "
J1645,TOTAL,,"18,492","$212,117.65 ","$165,356.58 "
J1650,TOTAL,,"330,552","$1,872,327.13 ","$1,471,124.04 "
J1652,TOTAL,,"268,138","$1,593,544.80 ","$1,261,037.65 "
J1655,TOTAL,,"221,903","$534,730.65 ","$421,342.28 "
J1670,TOTAL,,"8,693","$424,609.00 ","$314,183.53 "
J1700,TOTAL,,"1,227","$2,510.64 ","$1,983.91 "
J1710,TOTAL,,"1,765","$8,462.67 ","$6,514.40 "
J1720,TOTAL,,"67,778","$117,224.88 ","$91,187.34 "
J1730,TOTAL,,16,$178.00 ,$132.00 
J1740,TOTAL,,"133,696","$18,427,080.77 ","$14,514,016.24 "
J1742,TOTAL,,39,"$3,881.92 ","$2,026.74 "
J1745,TOTAL,,"11,232,845","$605,365,651.28 ","$472,611,735.32 "
J1751,TOTAL,,"908,696","$10,666,760.60 ","$8,385,352.41 "
J1752,TOTAL,,"37,200","$386,288.65 ","$302,114.66 "
J1756,TOTAL,,"15,696,299","$5,797,099.55 ","$4,549,837.06 "
J1785,TOTAL,,"9,521,809","$37,574,890.99 ","$30,050,190.90 "
J1790,TOTAL,,"7,740","$7,939.03 ","$6,292.22 "
J1800,TOTAL,,"1,762","$6,824.52 ","$5,241.40 "
J1810,TOTAL,,246,"$1,363.66 ","$1,028.39 "
J1815,TOTAL,,"53,203","$13,010.51 ","$10,405.90 "
J1817,TOTAL,,"4,261,837","$11,757,234.73 ","$9,269,244.36 "
J1835,TOTAL,,68,"$2,543.26 ","$2,034.64 "
J1840,TOTAL,,580,"$2,179.12 ","$1,657.28 "
J1850,TOTAL,,307,$181.62 ,$139.91 
J1885,TOTAL,,"1,488,012","$689,034.01 ","$504,740.23 "
J1890,TOTAL,,154,$918.99 ,$721.25 
J1931,TOTAL,,"9,822","$234,431.61 ","$187,541.23 "
J1940,TOTAL,,"188,689","$51,591.95 ","$39,798.43 "
J1950,TOTAL,,"2,251","$960,528.37 ","$755,298.31 "
J1955,TOTAL,,"1,796","$14,568.78 ","$11,231.69 "
J1956,TOTAL,,"31,958","$217,909.27 ","$171,035.15 "
J1960,TOTAL,,11,$33.97 ,$25.31 
J1980,TOTAL,,591,"$5,095.96 ","$3,789.07 "
J2001,TOTAL,,"506,413","$8,769.22 ","$7,147.82 "
J2010,TOTAL,,"213,484","$801,967.50 ","$554,268.70 "
J2020,TOTAL,,"4,972","$123,317.63 ","$97,253.81 "
J2060,TOTAL,,"92,716","$105,187.29 ","$83,034.01 "
J2150,TOTAL,,"111,047","$102,427.65 ","$81,127.91 "
J2175,TOTAL,,"212,126","$363,804.92 ","$279,666.65 "
J2180,TOTAL,,"10,488","$39,272.54 ","$29,553.85 "
J2185,TOTAL,,"44,309","$163,514.91 ","$128,859.21 "
J2210,TOTAL,,132,$613.06 ,$181.79 
J2248,TOTAL,,"30,952","$50,122.93 ","$39,975.89 "
J2250,TOTAL,,"515,462","$110,464.07 ","$86,177.54 "
J2260,TOTAL,,"886,275","$40,623,558.40 ","$32,487,244.36 "
J2270,TOTAL,,"276,130","$267,506.52 ","$210,000.25 "
J2271,TOTAL,,"102,176","$843,512.12 ","$672,883.90 "
