MEDICARE PART B PHYSICIAN/SUPPLIER BESS DATA,,,,,
FOR CALENDAR YEAR 2007,,,,,
,,,,,
HCPCS,MODIFIER,DESCRIPTION,ALLOWED SERVICES,ALLOWED CHARGES,PAYMENT
_____,________,___________,________________,_______________,_______
J8520,TOTAL,CHEMOTHERAPY,"10,305","$42,468.11 ","$33,833.88 "
J8521,TOTAL,,"125,729","$1,708,712.78 ","$1,363,033.87 "
J8530,TOTAL,,"13,797","$13,459.70 ","$10,345.59 "
J8540,TOTAL,,"481,274","$35,542.01 ","$28,274.45 "
J8597,TOTAL,,"208,338","$1,321,436.97 ","$1,053,639.13 "
J8610,TOTAL,,716,$176.71 ,$136.66 
J8700,TOTAL,,"17,153","$158,394.86 ","$126,591.31 "
J8999,TOTAL,,"170,914","$1,910,397.71 ","$1,524,883.32 "
J9000,TOTAL,,"679,501","$4,250,695.57 ","$3,362,761.50 "
J9001,TOTAL,,"118,478","$46,439,354.99 ","$36,881,327.89 "
J9010,TOTAL,,"30,305","$16,486,565.41 ","$13,096,556.54 "
J9015,TOTAL,,"2,044","$1,527,772.62 ","$1,215,731.25 "
J9017,TOTAL,,"59,502","$2,023,041.95 ","$1,596,496.39 "
J9020,TOTAL,,377,"$20,611.53 ","$16,387.99 "
J9025,TOTAL,,"15,252,623","$65,575,748.50 ","$52,180,073.28 "
J9027,TOTAL,,874,"$101,001.51 ","$80,801.23 "
J9031,TOTAL,,"149,051","$16,877,728.40 ","$13,231,181.62 "
J9035,TOTAL,,"10,837,678","$620,702,878.25 ","$492,150,515.07 "
J9040,TOTAL,,"11,944","$443,524.83 ","$350,533.54 "
J9041,TOTAL,,"3,041,366","$100,409,363.18 ","$79,379,037.65 "
J9045,TOTAL,,"1,905,722","$16,175,933.48 ","$12,828,938.44 "
J9050,TOTAL,,"2,014","$292,284.34 ","$232,927.33 "
J9055,TOTAL,,"3,600,017","$179,057,663.35 ","$141,848,297.04 "
J9060,TOTAL,,"334,149","$840,976.46 ","$665,591.02 "
J9062,TOTAL,,"77,408","$968,760.25 ","$764,893.67 "
J9065,TOTAL,,"26,638","$989,577.99 ","$774,149.62 "
J9070,TOTAL,,"342,487","$658,022.61 ","$521,055.99 "
J9080,TOTAL,,"30,358","$116,594.81 ","$92,252.52 "
J9090,TOTAL,,"80,846","$1,341,205.20 ","$1,061,914.16 "
J9091,TOTAL,,"45,383","$872,842.36 ","$691,029.00 "
J9092,TOTAL,,"4,871","$188,057.45 ","$149,339.46 "
J9093,TOTAL,,"91,769","$168,244.67 ","$133,234.46 "
J9094,TOTAL,,"6,583","$25,322.23 ","$20,080.51 "
J9095,TOTAL,,"23,492","$225,518.14 ","$178,441.77 "
J9096,TOTAL,,"14,207","$263,552.98 ","$208,945.45 "
J9097,TOTAL,,"1,390","$47,671.10 ","$37,890.02 "
J9098,TOTAL,,"1,144","$293,663.07 ","$229,392.65 "
J9100,TOTAL,,"39,055","$75,234.48 ","$59,636.06 "
J9110,TOTAL,,"4,782","$41,959.16 ","$33,506.14 "
J9120,TOTAL,,212,"$77,504.91 ","$61,970.92 "
J9130,TOTAL,,"30,399","$152,206.65 ","$120,633.37 "
J9140,TOTAL,,"22,246","$222,621.29 ","$176,473.18 "
J9150,TOTAL,,"1,389","$28,561.07 ","$22,848.96 "
J9151,TOTAL,,18,"$1,006.62 ",$805.30 
J9160,TOTAL,,"4,215","$5,923,358.77 ","$4,687,243.31 "
J9170,TOTAL,,"886,373","$273,124,138.73 ","$216,575,165.88 "
J9175,TOTAL,,46,$185.69 ,$148.54 
J9178,TOTAL,,"346,892","$7,420,606.69 ","$5,882,912.35 "
J9181,TOTAL,,"850,213","$416,573.60 ","$330,224.89 "
J9182,TOTAL,,"142,426","$698,120.54 ","$553,669.76 "
J9185,TOTAL,,"68,897","$16,312,661.60 ","$12,941,811.55 "
J9190,TOTAL,,"1,855,815","$3,210,541.83 ","$2,543,743.25 "
J9200,TOTAL,,"4,316","$530,170.83 ","$422,954.66 "
J9201,TOTAL,,"1,692,308","$213,767,419.23 ","$169,735,757.69 "
J9202,TOTAL,,"250,051","$46,013,146.47 ","$35,851,392.05 "
J9206,TOTAL,,"1,050,744","$132,372,872.90 ","$104,834,417.48 "
J9208,TOTAL,,"21,721","$962,350.85 ","$759,233.49 "
J9209,TOTAL,,"95,185","$825,198.38 ","$651,721.31 "
J9211,TOTAL,,805,"$242,167.94 ","$193,497.34 "
J9212,TOTAL,,726,"$3,386.05 ","$2,708.85 "
J9213,TOTAL,,"2,916","$112,240.77 ","$88,674.37 "
J9214,TOTAL,,"1,211,915","$16,810,798.50 ","$13,276,389.03 "
J9216,TOTAL,,377,"$108,774.25 ","$86,837.43 "
J9217,TOTAL,,"1,169,769","$201,151,972.64 ","$158,140,541.69 "
J9218,TOTAL,,65,$568.98 ,$443.62 
J9219,TOTAL,,"9,650","$14,120,445.18 ","$11,195,158.42 "
J9225,TOTAL,,"9,263","$11,583,532.28 ","$9,189,127.94 "
J9230,TOTAL,,981,"$64,637.58 ","$50,467.41 "
J9245,TOTAL,,350,"$418,152.50 ","$334,521.75 "
J9250,TOTAL,,"441,399","$110,493.45 ","$84,129.06 "
J9260,TOTAL,,"132,602","$346,969.32 ","$267,624.03 "
J9261,TOTAL,,"1,024","$88,122.31 ","$70,497.84 "
J9263,TOTAL,,"34,422,605","$312,050,843.31 ","$247,550,224.87 "
J9264,TOTAL,,"7,702,751","$67,182,077.38 ","$53,253,650.32 "
J9265,TOTAL,,"1,628,916","$22,214,006.20 ","$17,637,200.18 "
J9266,TOTAL,,29,"$52,560.01 ","$42,048.01 "
