MEDICARE PART B PHYSICIAN/SUPPLIER BESS DATA,,,,,
FOR CALENDAR YEAR 2007,,,,,
,,,,,
HCPCS,MODIFIER,DESCRIPTION,ALLOWED SERVICES,ALLOWED CHARGES,PAYMENT
_____,________,___________,________________,_______________,_______
K0001,TOTAL,REGIONAL DURABLE MEDICAL EQUIPMENTRCS,"1,793,139","$78,066,781.40 ","$57,694,387.30 "
K0002,TOTAL,,"86,589","$5,727,757.49 ","$4,220,908.43 "
K0003,TOTAL,,"934,998","$66,419,092.34 ","$50,012,043.92 "
K0004,TOTAL,,"736,745","$76,862,159.05 ","$58,344,282.26 "
K0005,TOTAL,,"6,662","$6,552,887.14 ","$5,138,758.68 "
K0006,TOTAL,,"108,275","$10,619,066.35 ","$8,076,828.91 "
K0007,TOTAL,,"64,002","$9,262,285.54 ","$7,106,037.03 "
K0009,TOTAL,,286,"$476,174.36 ","$369,398.35 "
K0010,TOTAL,,687,"$228,319.12 ","$174,386.10 "
K0011,TOTAL,,"3,221","$1,412,864.10 ","$1,100,668.87 "
K0012,TOTAL,,302,"$84,397.99 ","$64,821.96 "
K0014,TOTAL,,13,"$9,597.29 ","$7,631.99 "
K0015,TOTAL,,"2,675","$362,964.46 ","$287,456.57 "
K0017,TOTAL,,"1,771","$58,202.96 ","$45,690.04 "
K0018,TOTAL,,"1,026","$27,270.36 ","$21,105.93 "
K0019,TOTAL,,"32,624","$527,063.45 ","$399,633.62 "
K0020,TOTAL,,"1,391","$19,049.84 ","$14,921.28 "
K0037,TOTAL,,830,"$8,682.82 ","$6,772.47 "
K0038,TOTAL,,"1,463","$33,617.69 ","$26,509.79 "
K0039,TOTAL,,368,"$16,798.06 ","$13,358.06 "
K0040,TOTAL,,"14,577","$964,795.73 ","$761,867.27 "
K0041,TOTAL,,"1,055","$46,561.84 ","$36,708.27 "
K0042,TOTAL,,484,"$14,576.47 ","$11,292.18 "
K0043,TOTAL,,"1,445","$26,408.33 ","$20,343.77 "
K0044,TOTAL,,836,"$13,568.28 ","$10,260.15 "
K0045,TOTAL,,"1,958","$72,729.57 ","$55,886.43 "
K0046,TOTAL,,470,"$4,654.81 ","$3,600.18 "
K0047,TOTAL,,"1,064","$66,318.28 ","$51,959.38 "
K0050,TOTAL,,151,"$4,583.84 ","$3,587.82 "
K0051,TOTAL,,570,"$25,137.57 ","$19,165.23 "
K0052,TOTAL,,"4,278","$289,309.00 ","$227,088.64 "
K0053,TOTAL,,"9,430","$253,510.62 ","$199,004.47 "
