MEDICARE PART B PHYSICIAN/SUPPLIER BESS DATA,,,,,
FOR CALENDAR YEAR 2007,,,,,
,,,,,
HCPCS,MODIFIER,DESCRIPTION,ALLOWED SERVICES,ALLOWED CHARGES,PAYMENT
_____,________,___________,________________,_______________,_______
L0112,TOTAL,ORTHOTIC PROCEDURES,51,"$57,409.79 ","$45,414.16 "
L0120,TOTAL,,"20,770","$449,152.28 ","$345,254.49 "
L0130,TOTAL,,375,"$71,474.56 ","$56,318.31 "
L0140,TOTAL,,767,"$39,148.62 ","$30,094.56 "
L0150,TOTAL,,884,"$83,854.54 ","$64,550.95 "
L0160,TOTAL,,574,"$78,688.13 ","$61,188.33 "
L0170,TOTAL,,124,"$64,174.42 ","$50,704.69 "
L0172,TOTAL,,"5,638","$633,164.76 ","$492,555.30 "
L0174,TOTAL,,"3,862","$881,318.87 ","$689,101.39 "
L0180,TOTAL,,"1,768","$615,771.33 ","$488,967.72 "
L0190,TOTAL,,242,"$104,349.86 ","$81,175.53 "
L0200,TOTAL,,526,"$241,875.23 ","$192,564.14 "
L0210,TOTAL,,"5,856","$190,943.14 ","$143,458.68 "
L0220,TOTAL,,150,"$12,518.38 ","$9,759.38 "
L0430,TOTAL,,123,"$136,175.68 ","$108,298.68 "
L0450,TOTAL,,"3,608","$569,232.42 ","$438,177.27 "
L0452,TOTAL,,19,"$6,251.57 ","$5,001.24 "
L0454,TOTAL,,"1,415","$393,667.52 ","$309,304.29 "
L0456,TOTAL,,"1,741","$1,398,962.12 ","$1,110,355.09 "
L0458,TOTAL,,946,"$695,100.01 ","$551,033.68 "
L0460,TOTAL,,"1,407","$1,153,355.24 ","$912,693.42 "
L0462,TOTAL,,"3,572","$3,684,103.68 ","$2,922,101.40 "
L0464,TOTAL,,"1,101","$1,350,234.99 ","$1,074,769.15 "
L0466,TOTAL,,231,"$74,453.33 ","$58,237.10 "
L0468,TOTAL,,740,"$301,494.85 ","$233,700.64 "
L0470,TOTAL,,273,"$157,207.98 ","$124,377.48 "
L0472,TOTAL,,"7,217","$2,592,334.25 ","$2,047,667.84 "
L0480,TOTAL,,249,"$312,929.73 ","$248,591.81 "
